,分词排序,词频
0,物业,238
1,杭州,131
2,南,116
3,浙江,116
4,物业管理,86
5,上海,58
6,房地产,54
7,工程,54
8,大悦,49
9,金枫,45
10,信息,39
11,韩芳,35
12,业主,30
13,江苏,29
14,乐勤,26
15,悦,25
16,采林,25
17,公寓,24
18,物业费,24
19,社区,23
20,物业公司,22
21,数据,19
22,换届,18
23,银泰置,17
24,舟山,16
25,五彩石,16
26,沈,16
27,北京,15
28,住房,15
29,绿地,15
30,国军,15
31,湖滨,15
32,装修,14
33,群岛,14
34,宁波,14
35,银泰,14
36,顾问,13
37,文化,13
38,建设,13
39,陈红,13
40,银行,13
41,市场价,13
42,百强,12
43,建信,11
44,装饰,11
45,地产,11
46,店,11
47,杭州湾,11
48,阙,11
49,建华,11
50,招股,11
51,楼宇,10
52,服务项目,10
53,写字楼,10
54,房产,10
55,传富,10
56,华美,9
57,娜,9
58,网络科技,9
59,秩序,9
60,环境,9
61,教育,9
62,西溪,9
63,成都,9
64,沈慧芳,9
65,券商,9
66,生物,9
67,清洁,8
68,中远,8
69,酬金,8
70,保洁,8
71,绿化,8
72,幢,8
73,天健,8
74,案场,8
75,购物中心,8
76,青年,8
77,肖小凌金涛,8
78,徐静,8
79,新昌,8
80,龙翔,8
81,艺术,8
82,土地,8
83,年代,7
84,包干制,7
85,资源,7
86,路,7
87,住宅,7
88,策划,7
89,满意度,7
90,欢乐城,7
91,网络,7
92,倪瑶,7
93,日内,7
94,建筑物,7
95,常熟市,6
96,长江,6
97,开发商,6
98,家政,6
99,西湖区,6
100,联合大厦,6
101,美好生活,6
102,品类,6
103,水电,6
104,定期存款,6
105,意向,6
106,金涛,6
107,承租,6
108,混合型,6
109,蔡黛燕,6
110,黄瑜,6
111,之江,6
112,油气,6
113,淄博,6
114,城,5
115,维修,5
116,咨询服务,5
117,赵磊,5
118,紫荆花,5
119,单元楼,5
120,美好,5
121,学校,5
122,互联网,5
123,人力,5
124,灵活,5
125,公益,5
126,营销策划,5
127,材料,5
