,分词排序,词频
0,禾丰,703
1,牧业,526
2,饲料,454
3,辽宁,286
4,养殖,189
5,许可证,144
6,食品,142
7,肉鸡,123
8,沈阳,114
9,禾,89
10,生猪,75
11,屠宰,74
12,肉禽,73
13,科技,68
14,大连,65
15,农牧,65
16,生物,64
17,信息,63
18,沈阳市,59
19,排放,59
20,动物,57
21,九股,57
22,河,57
23,丰,53
24,饲料原料,46
25,白羽,46
26,粮食,46
27,农业,44
28,建设,43
29,北京,42
30,工程,41
31,辽宁省,40
32,料,40
33,环保,39
34,卫东,37
35,饲证,37
36,证件,36
37,换发,36
38,资源,35
39,兽药,35
40,营养,34
41,辽,34
42,饲养,33
43,畜牧业,32
44,环境,31
45,华康,31
46,检测,30
47,畜禽,29
48,畜牧,29
49,排污,28
50,文化,26
51,废水,26
52,可比,26
53,受控,26
54,转账,26
55,母猪,25
56,联营公司,25
57,养殖户,24
58,防疫,24
59,肉类,24
60,猪肉,24
61,反刍,23
62,种鸡,23
63,鸡肉,23
64,开封,23
65,添加剂,22
66,濮阳,22
67,数据,21
68,健康,21
69,消费,21
70,公主岭,21
71,猪瘟,21
72,兰考,21
73,扶贫,21
74,供给,20
75,非洲,20
76,污染物,20
77,张文良,19
78,中佳,19
79,食品安全,19
80,污染,19
81,农户,19
82,猪,19
83,佳,19
84,西安,19
85,禾源,18
86,水产,18
87,玉米,18
88,代,18
89,生,18
90,配方,17
91,土地,17
92,废气,17
93,污水处理,17
94,皇家,16
95,鱼粉,16
96,肉品,16
97,凌源,16
98,证,16
99,合格证,16
100,台安县,16
101,葫芦岛,16
102,丁云峰,16
103,天地,16
104,混合,15
105,一体化,15
106,仔猪,15
107,饲料行业,15
108,疫情,15
109,毛鸡,15
110,环境保护,15
111,豫,15
112,唐山,15
113,邵彩梅,15
114,浓度,15
115,尼泊尔,14
116,河南,14
117,事业,14
118,孵化,14
119,消费量,14
120,管理者,14
121,日粮,14
122,防合字,14
123,长春,14
124,鞍山市,14
125,王凤久,14
126,王仲涛,14
127,物排放,14
128,共享,13
129,深加工,13
130,肉,13
131,环节,13
132,育肥,13
133,周期性,13
134,来看,13
135,养殖场,13
136,免疫,13
137,牛肉,13
138,三元,13
139,扶余,13
140,海城,13
141,爱,13
142,普特,13
143,台安,13
144,合力,12
145,致使,12
146,端,12
147,生长,12
148,永远,12
149,信息化,12
150,抗菌药,12
151,鹤来,12
152,农大,12
153,电子商务,12
154,平原,12
155,成三,12
156,北票市,12
157,广州,12
158,荷兰,11
159,出栏,11
160,助力,11
161,药品,11
162,工业,11
163,无抗,11
164,大庆,11
165,锦州,11
166,荆州,11
167,青岛,11
168,九丰,11
169,限值,11
170,加盟,11
171,材料,11
172,配合,10
173,群,10
174,熟食,10
175,科学,10
176,养殖业,10
177,引种,10
178,祖代,10
179,非瘟,10
180,深化,10
181,通风,10
182,节省,10
183,水产饲料,10
184,卓越,10
185,兽用,10
186,黑,10
187,凌海市,10
188,宏发,10
189,兽医,10
190,收储,10
191,监测,10
192,悬浮物,10
193,锅炉,10
194,人金,10
195,大鸿,10
196,大连市,10
197,丰禽业,9
198,上海,9
199,氨基酸,9
200,多家,9
201,大农场,9
202,笼养,9
203,中国饲料,9
204,鸡,9
205,人均,9
206,变革,9
