,分词排序,词频
0,石油,292
1,中曼,257
2,上海,123
3,钻井,101
4,工程,98
5,天然气,92
6,装备,83
7,钻机,60
8,李春,60
9,油气,58
10,信息,56
11,伊恩江,54
12,钻井工程,49
13,制造,46
14,勘探,45
15,海湾,44
16,朱逢学,39
17,科技,37
18,四川,33
19,俄罗斯,30
20,伊拉克,30
21,创业投资,30
22,一体化,28
23,区块,26
24,油田,26
25,红土,26
26,海洋,24
27,巴基斯坦,23
28,银行,23
29,神开,22
30,材料,22
31,新疆,21
32,石油设备,19
33,石油勘探,19
34,李玉池,19
35,沙特,18
36,能源,18
37,埃及,18
38,路,18
39,香港,18
40,工程技术,17
41,房地产,17
42,工程项目,17
43,油服,16
44,乌克兰,16
45,北京,16
46,探矿权,15
47,红杉,15
48,建设,15
49,伊朗,15
50,中原,15
51,井,14
52,温宿,13
53,油价,13
54,华夏,13
55,大包,13
56,数据,13
57,施工,13
58,陕西,13
59,土地,13
60,购房款,13
61,昆仑,12
62,天津,12
63,媒体,12
64,立信,12
65,资源,12
66,临港,12
67,生物,12
68,信用证,12
69,作业,11
70,壳牌,11
71,昕,11
72,清欠,11
73,环保,11
74,电气工程,10
75,共兴,10
76,苏州,10
77,国际化,10
78,江苏,10
79,原油,10
80,王祖海,10
81,完井,9
82,中兴,9
83,举鹏,9
84,测井,9
85,环境,9
86,服务公司,9
87,配件,9
88,阿克苏,9
89,探井,9
90,机器设备,9
91,建筑物,9
92,云端,9
93,智能化,8
94,国,8
95,中石化,8
96,钻,8
97,致远,8
98,工作量,8
99,招股,8
100,高新技术,8
101,开具,8
102,款年,8
103,弄,8
104,模块,8
105,新都区,8
106,关系密切,8
107,家庭成员,8
108,深,7
109,创投,7
110,信远,7
111,共荣,7
112,共远,7
113,发,7
114,井筒,7
115,用工,7
116,勘查,7
117,西部,7
118,年利率,7
119,陈庆军,7
120,安平,7
121,辞去,7
122,上海浦东,7
123,南京,7
124,网络,7
125,现场会议,7
126,建造,7
127,浦东新区,7
128,财政补贴,7
129,哈萨克斯坦,6
130,聚业,6
131,石油化工,6
132,俄油,6
133,哈里,6
134,伯顿,6
135,地质,6
136,商务,6
137,中东,6
138,日费,6
139,创效,6
140,队伍,6
141,事故,6
142,增多,6
143,铠,6
144,撒,6
145,李世光,6
146,含其,6
147,无需,6
148,三十六个,6
149,杨红敏,6
150,李辉锋,6
151,张维宾,6
152,湖北,6
153,东,6
154,投票,6
155,井及,6
156,元为,6
157,房,6
158,保险费,6
159,中国光大银行,6
160,卢布,6
161,镑,6
162,长远,5
163,几年,5
164,自用,5
165,曾影,5
166,苏国发,5
167,国土资源部,5
168,固井,5
169,钻井液,5
170,录井,5
171,钻头,5
172,套管,5
173,泥浆,5
174,地球物理,5
175,健康,5
176,刘万清,5
177,上海市浦东新区,5
178,江山,5
179,网站,5
180,带动,5
181,开钻,5
182,加剧,5
183,甲方,5
184,低温,5
185,当地化,5
186,服务项目,5
187,项目管理,5
188,外籍,5
189,培训中心,5
190,系统化,5
191,取证,5
192,开采,5
193,变,5
194,地缘,5
195,政治,5
196,供需,5
197,塞浦路斯,5
198,充足,5
199,王,5
200,韩长,5
201,印,5
202,李培廉,5
203,姚桂成,5
204,张云,5
205,优强,5
206,项目经理,5
207,管委会,5
208,西安,5
209,常州,5
210,软件,5
211,四十四,5
212,原名,5
213,除净,5
214,存入,5
215,矿区,5
216,探明,5
217,浦,5
218,任命,5
219,第中曼,5
220,抵押物,5
221,下滑,4
222,对此,4
223,回暖,4
224,奠定,4
225,油公司,4
226,诺瓦,4
227,泰克,4
228,井下,4
229,钻杆,4
230,地层,4
231,油气井,4
232,连接,4
233,钻进,4
234,分包,4
235,钻前,4
236,招投标,4
237,上游,4
238,延伸,4
239,部署,4
240,干部,4
241,新兴,4
242,玛湖,4
243,挑战,4
244,顺利,4
245,稳步,4
246,调配,4
247,共人,4
248,国际标准,4
249,文化,4
250,石油价格,4
251,比比,4
252,国外,4
253,人工,4
254,长庆油田,4
255,营房,4
256,帐款,4
257,售后,4
258,回租,4
259,新疆维吾尔自治区,4
260,表现,4
261,精细化,4
262,低成本,4
263,外汇,4
264,充分考虑,4
265,起个,4
266,中国人民银行,4
267,兑,4
268,中间价,4
269,能源开发,4
270,天数,4
271,环境保护,4
272,恒顺,4
273,石书义,4
274,富欣,4
275,进忠,4
276,胡德祥,4
277,深圳,4
278,伊恩,4
279,南通,4
280,参照,4
281,辞职,4
282,课程,4
283,主持,4
284,召集,4
285,代理人,4
286,三十二,4
287,中央银行,4
288,影年,4
289,以换,4
290,时该,4
291,清理,4
292,跨境,4
293,建筑,4
294,国家税务局,4
295,地方税务局,4
296,证书编号,4
297,损失率,4
298,成都,4
299,借款人,4
300,技术改造,4
301,人工岛,4
302,集成,4
303,外经贸,4
304,合作项目,4
305,经信局,4
306,岗位补贴,4
307,代扣,4
308,陆家嘴,4
309,知识产权局,4
310,旅游局,4
311,资助款,4
312,里亚尔,4
313,沪,4
314,马来西亚,3
315,阿美,3
316,坚戈,3
317,块,3
318,搭建,3
319,过硬,3
320,深耕,3
321,走出,3
322,电气,3
323,振华,3
324,斯伦贝谢,3
325,中航,3
326,专业化,3
327,工业,3
328,四大,3
329,定向井,3
330,岩石,3
331,井底,3
332,钻探,3
333,自由贸易,3
334,试验区,3
335,商城,3
336,一次性,3
337,高难度,3
338,钻具,3
339,环节,3
340,设计方案,3
341,分开,3
342,投标,3
343,执行力,3
344,把握,3
345,打破,3
346,单一化,3
347,亿美元,3
348,多家,3
349,证,3
350,阿联酋,3
351,同行,3
352,经济效益,3
353,管理模式,3
354,海内外,3
355,知名度,3
356,一线,3
357,进程,3
358,新疆塔里木盆地,3
359,成交,3
360,论证,3
361,三维,3
362,地震,3
363,体现,3
364,尚需,3
365,国际石油,3
366,增比,3
367,增,3
368,减减,3
369,少,3
370,销,3
371,售额,3
372,减产,3
