,分词排序,词频
0,上海,138
1,木,133
2,徕,120
3,电子,118
4,汽车,101
5,精密,84
6,连接器,77
7,信息,53
8,屏蔽,44
9,罩,40
10,手机,38
11,工程,38
12,湖南,35
13,银行,32
14,科技,29
15,配股,29
16,模具,28
17,江苏,26
18,贵维,24
19,建设,21
20,结构件,20
21,方培教,20
22,环境,19
23,朱新爱,18
24,康连,18
25,类产品,17
26,电子科技,16
27,创业投资,16
28,组件,16
29,专用设备,16
30,数据,14
31,制造,14
32,材料,14
33,汉寿,14
34,配件,13
35,填补,13
36,年生,13
37,土地,12
38,电子元件,11
39,厂商,11
40,房地产,11
41,模具设计,10
42,治具,10
43,刘静,10
44,生物,10
45,袁建芳,9
46,创新能力,9
47,高新技术,9
48,建筑物,9
49,培教,9
50,六个月,9
51,天健,8
52,深圳,8
53,科鑫,8
54,网站,8
55,机器设备,8
56,上交,8
57,触发,8
58,或本,8
59,洞,7
60,模块,7
61,冲压,7
62,注塑,7
63,零部件,7
64,第一名,7
65,第二名,7
66,第三名,7
67,第四名,7
68,第五名,7
69,提案,7
70,人方,7
71,经济损失,7
72,排污,7
73,电子产品,6
74,模块化,6
75,制造业,6
76,产品设计,6
77,整车,6
78,车用,6
79,五金,6
80,制品,6
81,技术改造,6
82,促使,6
83,扣留,6
84,环保,6
85,医疗,6
86,教育,6
87,建造,6
88,油气,6
89,海洋,5
90,奕,5
91,领富,5
92,信息技术,5
93,松江区,5
94,洞泾镇,5
95,薛路,5
96,应用领域,5
97,粒子,5
98,物料,5
99,测算,5
100,交货,5
101,同步,5
102,生产能力,5
103,组试,5
104,强大,5
105,五大,5
106,工业用地,5
107,工业,5
108,机电,5
109,监管部门,5
110,加计,5
111,招股,5
112,整,5
113,长沙,5
114,社区,5
115,历次,5
116,换取,5
117,商业银行,5
118,源于,5
119,外汇,5
120,海通,4
121,和春生,4
122,久,4
123,朱,4
124,小海,4
125,弄,4
126,铜带,4
127,市场导向,4
128,国外,4
129,核心技术,4
130,端子,4
131,大众,4
132,通用,4
133,快速反应,4
134,外资企业,4
135,快,4
136,近几年,4
137,东台,4
138,万个,4
139,汽车行业,4
140,通讯,4
141,零配件,4
142,消费,4
143,足额,4
144,清理,4
145,公众,4
146,薄,4
147,表中,4
148,方培喜,4
149,方永涛,4
150,三十六个,4
151,自动,4
152,擅自,4
153,如未,4
154,不应,4
155,简化,4
156,上海银行,4
157,闵行,4
158,防治法,4
159,担保人,4
160,自徕,4
161,培喜,4
162,吴杰,4
163,刘亚岚,4
164,张晓荣,4
165,金丰,4
166,遥感,4
167,上海石化,4
168,召集,4
169,会议记录,4
170,尽职,4
171,朱新爱否,4
172,核对,4
173,中央银行,4
174,教育费,4
175,不获,4
176,南京,4
177,主管人员,3
178,浙江,3
179,壹号,3
180,久奕睿丰,3
181,连接,3
182,车型,3
183,路,3
184,自然灾害,3
185,金属材料,3
186,管理系统,3
187,产品种类,3
188,通信,3
189,有机,3
190,队伍,3
191,软件,3
192,开发新,3
193,整车厂,3
194,比亚迪,3
195,板,3
196,响应,3
197,坚实基础,3
198,得以,3
199,群体,3
200,转化,3
201,高速,3
202,高清,3
203,第五次,3
204,东台市,3
205,亩,3
206,第七次,3
207,本比上,3
208,银行贷款,3
209,占据,3
210,较强,3
211,技术含量,3
212,东区,3
213,限定,3
214,筹建,3
215,据元,3
216,专注,3
217,公司财务,3
218,塑料,3
219,充分考虑,3
220,该类,3
221,升值,3
222,证监会,3
223,要约,3
224,摊,3
225,网络,3
226,经济实体,3
227,若所持,3
228,内如,3
229,二十个,3
230,上市日,3
231,第个,3
232,若本,3
233,下同,3
234,单次,3
235,表现,3
236,半数以上,3
237,后应,3
238,动用,3
239,解聘,3
240,致使,3
241,证券交易,3
242,司法机关,3
243,先行,3
244,和解,3
245,调解,3
246,赔偿标准,3
247,摊薄,3
248,选取,3
249,湖南省,3
250,户,3
251,平安,3
252,王雪,3
253,沈建强,3
254,刘以,3
255,工程师,3
256,分析师,3
257,杭州,3
258,中国科学院,3
259,锐奇,3
260,智能,3
261,机器人,3
262,支持性,3
263,发票,3
264,函证,3
265,期后,3
266,附属,3
267,转固,3
268,保费,3
269,准备金,3
270,近似,3
271,款额,3
272,竣工,3
273,专利权,3
274,售出,3
275,政策性,3
276,余值,3
277,数为,3
278,借支,3
279,装修,3
280,系由康,3
281,由康,3
282,基础设施,3
283,拟以,2
284,泾,2
285,科投,2
286,创投,2
287,器件,2
288,子系统,2
289,电子设备,2
290,能量,2
291,信号,2
292,速度,2
293,降,2
294,信息中心,2
295,北京,2
296,智多星,2
297,缩短,2
298,外文,2
299,电子信箱,2
300,网址,2
301,闵行区,2
302,刘,2
303,利亚,2
304,非金融,2
305,显失,2
306,一次性,2
307,塑胶,2
308,名录,2
309,价格水平,2
310,名册,2
311,框架,2
312,规格,2
313,计算机,2
314,专业化,2
315,开发技术,2
316,零件,2
317,样品,2
318,大大提高,2
319,紧抓,2
320,主流,2
321,日产,2
322,嵌入式,2
323,产品开发,2
324,电流,2
325,高频,2
326,传输,2
327,高速传输,2
328,特性,2
329,打下,2
330,灵活,2
331,抓住,2
332,法雷奥,2
333,科世达,2
334,技术实力,2
335,投产,2
336,产品数量,2
337,互联,2
338,投资总额,2
339,产量比,2
340,产品成本,2
341,比值,2
342,依赖,2
343,上游,2
344,成熟,2
345,大规模,2
346,民营企业,2
347,电脑,2
348,多家,2
349,内资,2
350,五路,2
351,护套,2
352,自营,2
353,动,2
354,无线,2
355,广播电视,2
356,信息产业,2
357,扩展,2
358,稳定性,2
359,自动化,2
360,电子化,2
361,智能化,2
362,化发展,2
363,新能源,2
364,努力提高,2
365,创建,2
366,和谐,2
367,供给,2
368,拟定,2
369,征集,2
370,第六次,2
371,生产国,2
372,知名,2
373,较长,2
374,技术创新,2
375,两类,2
376,日益,2
377,劳动力,2
378,下调,2
379,出货,2
380,三地,2
381,知名企业,2
382,营运,2
383,批次,2
384,会计制度,2
385,证书编号,2
386,税收政策,2
387,免抵退,2
388,退税率,2
389,各期,2
390,或仅,2
391,极少量,2
392,整体利益,2
393,论证,2
394,间隔,2
395,投票,2
396,交流,2
397,收购人,2
398,再融资,2
399,信托,2
400,租赁经营,2
401,对徕,2
402,任职期间,2
403,半年,2
404,如本,2
405,第至,2
406,上缴,2
407,等额,2
408,本项,2
409,第项,2
410,书面通知,2
411,负有,2
412,按规定,2
413,责令,2
414,限期,2
415,公式,2
416,拒,2
417,扣减,2
418,其应,2
419,社会公众,2
420,出席会议,2
421,三分之二,2
422,总和,2
423,中分,2
424,输送,2
425,自律,2
426,消费行为,2
427,采取措施,2
428,道歉,2
429,拒不履行,2
430,股票交易,2
431,均价,2
432,孰高,2
433,程序实施,2
434,另有,2
435,若因,2
436,天内,2
437,登记日,2
438,权限,2
439,前若,2
440,最新,2
441,解读,2
442,此项,2
443,调整法,2
444,同日,2
445,小企业,2
446,健康,2
447,工会,2
448,帮困,2
449,集群,2
450,环境保护,2
451,扶贫帮困,2
452,核查,2
453,公示,2
454,外资股,2
455,杨旭明,2
456,否徕,2
457,杨,2
458,小康,2
459,朱新爱方,2
460,培教方,2
461,高中,2
462,海纳,2
463,水产,2
464,石化,2
465,坂田,2
466,加油站,2
467,物流,2
468,任徕,2
469,汉寿县,2
470,专员,2
471,投资部,2
472,部门经理,2
473,佩尼,2
474,贝生,2
475,心瑞,2
476,倍,2
477,谙基,2
478,生物科技,2
479,卡通,2
480,杉,2
481,德金,2
482,卡,2
483,信息系统,2
484,晨,2
485,研究员,2
486,兼职,2
487,交通,2
488,数字地球,2
489,研究室,2
490,天马,2
491,论道,2
492,华铭,2
493,放马过来,2
494,亿山,2
495,睦,2
496,任添,2
497,柴,2
498,海顺,2
499,互联网,2
500,灏,2
501,尚工,2
502,首席,2
503,百事通,2
504,广联,2
505,岩土,2
506,万华,2
507,化学,2
508,桂冠,2
509,电力,2
510,水利,2
511,厂长,2
512,职工代表,2
513,中专,2
514,职员,2
515,专科,2
516,财务科,2
517,副经理,2
518,朱尚辉,2
519,重要性,2
520,总章,2
521,会议室,2
522,第九次,2
523,所示,2
524,样本,2
525,抽样,2
526,五一,2
527,当前情况,2
528,车间,2
529,开支,2
530,抽查,2
531,凭证,2
532,工程项目,2
533,疑虑,2
534,持续性,2
535,金融机构,2
536,元器件,2
537,市场经济,2
538,其于,2
539,持续时间,2
540,含个,2
541,回升,2
542,低值易耗品,2
543,包装物,2
544,转售,2
545,组在,2
546,组时,2
547,运输工具,2
548,办公设备,2
549,相当于,2
550,应予,2
551,非专利,2
552,资源,2
553,日有,2
554,待摊,2
555,日以,2
556,法将,2
557,见本,2
558,应缴,2
559,税额,2
560,计征,2
561,备,2
562,承兑人,2
563,故本,2
564,票据法,2
565,持票人,2
566,票,2
567,明讯,2
568,香港,2
569,消耗性,2
570,自制,2
571,半成品,2
572,本部,2
573,系由本,2
574,处分,2
575,保险费,2
576,教育经费,2
577,天津,2
578,投入使用,2
579,尾款,2
580,差旅,2
581,修理,2
582,代扣代缴,2
583,稳岗,2
584,注资,2
585,矽涧,2
586,上表,2
587,计息,2
588,一本,1
589,三天,1
590,健,1
591,刘静及,1
592,五经,1
593,股六,1
594,否八,1
595,违反规定,1
596,否九,1
597,详细描述,1
598,查阅,1
599,文义,1
600,另有所指,1
601,含义,1
602,常用,1
603,木康,1
604,木九亭,1
605,指天健,1
606,指徕,1
607,九亭,1
608,传送,1
609,不易,1
610,退化,1
611,贴装,1
612,主板,1
613,金属,1
614,壳体,1
615,体将,1
616,部件,1
617,电路,1
618,电缆,1
619,干扰源,1
620,包围起来,1
621,干扰,1
622,电磁场,1
623,外扩散,1
624,将板,1
625,隔离,1
626,电磁,1
627,装置,1
628,功效,1
629,串扰,1
630,行业协会,1
631,领富久,1
632,睿,1
633,丰,1
634,节约,1
635,开发成本,1
636,开发周期,1
637,汽车产业,1
638,型号,1
639,多元化,1
640,中文名称,1
641,中文,1
642,缩写,1
643,人二,1
644,联系人,1
645,联系方式,1
646,联系地址,1
647,电话传真,1
648,中春路,1
649,选定,1
650,媒体,1
651,登载,1
652,事务部,1
653,无六,1
654,机构名称,1
655,代表人,1
656,西溪路,1
657,新湖,1
658,商务大厦,1
659,黄,1
660,竞超,1
661,广东,1
662,孙炜,1
663,韩丽,1
664,前本,1
665,前二,1
666,第一季度,1
667,第二季度,1
668,第三季度,1
669,第四季度,1
670,十非,1
671,偶发性,1
672,符合国家,1
673,少部分,1
674,全过程,1
675,质量保证,1
676,交货期,1
677,态度,1
678,考量,1
679,控制程序,1
680,并经,1
681,送样,1
682,列入,1
683,交期,1
684,有害物质,1
685,规避,1
686,走势,1
687,周期性,1
688,突发性,1
689,概率,1
690,多样,1
691,很大,1
692,差别,1
693,所下,1
694,统筹安排,1
695,直销,1
696,排定,1
697,发货,1
698,配备,1
699,有人,1
700,专利技术,1
701,发明专利,1
702,集成商,1
703,分解,1
704,上均,1
705,体现,1
706,出较,1
707,导入,1
708,高精密,1
709,注塑模,1
710,具,1
711,工程设计,1
712,数据传输,1
713,共享,1
714,一体化,1
715,并行,1
716,此基础,1
717,精密度,1
718,成型,1
719,五金件,1
720,先发,1
721,无铅化,1
722,已有,1
723,多款,1
724,对线,1
725,密集型,1
726,千套,1
727,汽车模具,1
728,初步,1
729,电压,1
730,售后服务,1
731,树立,1
732,宗旨,1
733,地为,1
734,己任,1
735,响应速度,1
736,是因为,1
737,精简,1
738,决策层,1
739,传递,1
740,决策权,1
741,经营权,1
742,分离,1
743,设计方案,1
744,反馈,1
745,调配,1
746,精益,1
747,管理模式,1
748,极大,1
749,打开,1
750,强有力,1
751,尤为,1
752,带给,1
753,商,1
754,性价比,1
755,接到,1
756,认证工作,1
757,麦格纳,1
758,伟世通,1
759,贝,1
760,洱海,1
761,拉,1
762,哈曼,1
763,大陆,1
764,汽车集团,1
765,电装,1
766,宁德,1
767,奔驰,1
768,大牌,1
769,中为,1
770,奠定,1
771,而成,1
772,部署,1
773,轻重缓急,1
774,至本,1
775,全套,1
776,几年,1
777,研新,1
778,爬坡,1
779,批量生产,1
780,带动,1
781,注前,1
782,对前,1
783,产品升级,1
784,紧紧围绕,1
785,科研成果,1
786,高质量,1
787,车灯,1
788,转向,1
789,中央,1
790,配电盒,1
791,合作开发,1
792,高压,1
793,扩建,1
794,管委会,1
795,协议书,1
796,招拍,1
797,挂,1
798,内外销,1
799,呈现,1
800,态势,1
801,同步增长,1
802,福,1
803,否前,1
804,否年,1
805,客户服务,1
806,二非,1
807,同步进行,1
808,构筑,1
809,龙头,1
810,上下游,1
811,有色金属,1
812,工程塑料,1
813,大宗,1
814,价格体系,1
815,航空航天,1
816,军事,1
817,电子行业,1
818,分工,1
819,以泰,1
820,科莫,1
821,仕安费诺,1
822,为首,1
823,业内,1
824,领先水平,1
825,个人电脑,1
826,周边设备,1
827,台湾,1
828,控制能力,1
829,家电,1
830,庞大,1
831,小型企业,1
832,简单,1
833,同质化,1
834,激烈,1
835,就近,1
836,制造商,1
837,设厂,1
838,规模较,1
839,人民,1
840,活年,1
841,汽车配件,1
842,常德市,1
843,黄福,1
844,居委会,1
845,麒麟,1
846,发射,1
847,卫星,1
848,地面,1
849,接收,1
850,行政许可,1
851,许可证,1
852,栋,1
853,楼,1
854,偏光片,1
855,液晶模块,1
856,触摸屏,1
857,元徕,1
858,活,1
859,二四,1
860,快速增长,1
861,契机,1
862,电,1
863,接触,1
864,精度,1
865,行列,1
866,前沿,1
867,力量,1
868,数年,1
869,高速成长,1
870,高成长性,1
871,产学研,1
872,客户群,1
873,以期,1
874,更大,1
875,分配资源,1
876,娱乐,1
877,普及,1
878,刺激作用,1
879,募,1
880,达产,1
881,用地,1
882,厂区,1
883,三期,1
884,透明度,1
885,展示,1
886,思路,1
887,积极主动,1
888,氛围,1
889,营造,1
890,缓解,1
891,防范,1
892,面向,1
893,消费结构,1
894,终端,1
895,在内,1
896,恶化,1
897,诸多,1
898,系统性,1
899,经济危机,1
900,带来不利,1
901,宏观,1
902,经济波动,1
903,加剧,1
904,千家,1
905,十分激烈,1
906,竞争者,1
907,合资企业,1
908,领先地位,1
909,高度,1
910,贴近,1
911,反应速度,1
912,经营风险,1
913,千种,1
914,料号,1
915,中兴,1
916,高新产品,1
917,初期,1
918,变革,1
919,集成化,1
920,轻薄,1
921,跨行业,1
922,终端产品,1
923,技术革新,1
924,技术储备,1
925,多样化,1
926,削弱,1
927,人才流失,1
928,外泄,1
929,历来,1
930,排除,1
931,流失,1
932,严密,1
933,保护措施,1
934,保密,1
935,失密,1
936,革新,1
937,生产成本,1
938,工艺水平,1
939,装配车间,1
940,抵消,1
941,成本上升,1
942,整机,1
943,转嫁,1
944,产品价格,1
945,下滑,1
946,人工成本,1
947,市场供应,1
948,充足,1
949,供求,1
950,签订合同,1
951,工艺流程,1
952,利用率,1
953,成效,1
954,上涨幅度,1
955,大批量,1
956,扩张期,1
957,吸引,1
958,充实,1
959,抗,1
960,战略目标,1
961,全国性,1
962,承接,1
963,大批量生产,1
964,辐射,1
965,华南地区,1
966,愈加,1
967,膨胀,1
968,扩张,1
969,信誉,1
970,稳步增长,1
971,呆坏账,1
972,审慎,1
973,资金周转,1
974,小批量,1
975,年度计划,1
976,通用性,1
977,备货,1
978,复审,1
979,称号,1
980,本身,1
981,价,1
982,销售价格,1
983,公司业绩,1
984,大幅度,1
985,退税,1
986,纳税人,1
987,少量,1
988,秘密,1
989,商业秘密,1
990,连续性,1
991,兼顾,1
992,长远利益,1
993,所余,1
994,正值,1
995,成长期,1
996,中所,1
997,内拟,1
998,绝对值,1
999,原则上,1
1000,提议,1
1001,成长性,1
1002,应为,1
1003,听取,1
1004,诉求,1
1005,答复,1
1006,关心,1
1007,派发,1
1008,既定,1
1009,现行,1
1010,当次,1
1011,应以,1
1012,出发点,1
1013,参会,1
1014,应经,1
1015,战争,1
1016,之比均,1
1017,送红,1
1018,数元,1
1019,数股,1
1020,公年,1
1021,股含,1
1022,税股,1
1023,年司,1
1024,三以,1
1025,一步,1
1026,人自,1
1027,意向,1
1028,之否,1
1029,获配,1
1030,是否是,1
1031,派出机构,1
1032,同等,1
1033,政策法规,1
1034,归责,1
1035,不可避免,1
1036,承包经营,1
1037,同等条件,1
1038,优先权,1
1039,无条件,1
1040,给徕,1
1041,朱新爱及,1
1042,科投及,1
1043,第至个,1
1044,因派,1
1045,增发,1
1046,下述,1
1047,少于,1
1048,若方,1
1049,试行,1
1050,交易方式,1
1051,补充规定,1
1052,下向,1
1053,中投,1
1054,赞成票,1
1055,还应,1
1056,收盘价格,1
1057,不宜,1
1058,无须,1
1059,实施方案,1
1060,补救,1
1061,改正,1
1062,主管机关,1
1063,增,1
1064,出台,1
1065,重新得到,1
1066,内应,1
1067,不因,1
1068,拒绝,1
1069,除因,1
1070,继承,1
1071,强制执行,1
1072,除经,1
1073,每名,1
1074,情节严重,1
1075,更换,1
1076,因本,1
1077,天内本,1
1078,为准,1
1079,原限售,1
1080,收市,1
1081,项下,1
1082,代持,1
1083,配,1
1084,忠实,1
1085,侵占,1
1086,清欠,1
1087,节五,1
1088,前任,1
1089,保荐人,1
1090,改聘,1
1091,数额较大,1
1092,不良,1
1093,签署日,1
1094,反担保,1
1095,三项,1
1096,两笔,1
1097,扶贫,1
1098,管理机制,1
1099,健全,1
1100,休息,1
1101,休假,1
1102,定期检查,1
1103,每月,1
1104,缴交,1
1105,社会保障,1
1106,自觉,1
1107,隐私,1
1108,作业,1
1109,心理,1
1110,生理,1
1111,讲座,1
1112,举措,1
1113,多方位,1
1114,身心健康,1
1115,幸福感,1
1116,使命,1
1117,因势利导,1
1118,两头,1
1119,主导产业,1
1120,低端,1
1121,站稳,1
1122,脚跟,1
1123,相继,1
1124,巨头,1
1125,本土,1
1126,一份,1
1127,贡献,1
1128,重大项目,1
1129,一套,1
1130,科学,1
1131,筛选,1
1132,评判,1
1133,能级,1
1134,经济效益,1
1135,具体分析,1
1136,合法经营,1
1137,诚实,1
1138,守信,1
1139,秉公,1
1140,守法,1
1141,正直,1
1142,敬业,1
