,分词排序,词频
0,恒林,115
1,家具,97
2,浙江,86
3,安吉,54
4,海绵,51
5,信息,49
6,环境,38
7,锐德,38
8,健康,36
9,王江林,32
10,湖州,31
11,家具行业,31
12,沙发,29
13,建设,29
14,家居,28
15,工程,28
16,科技,27
17,数据,27
18,土地,27
19,办公椅,26
20,制造,26
21,坐具,26
22,椅业,22
23,按摩椅,22
24,材料,22
25,朱思东,21
26,安吉县,21
27,环保,21
28,恒鑫,20
29,房地产,20
30,定制,20
31,消费者,20
32,银行,20
33,废气,19
34,越南,18
35,唯亚,17
36,工业,15
37,排放,15
38,万套,14
39,应急,13
40,生物,13
41,恒友,12
42,去年同期,12
43,大同,12
44,广德,11
45,香港,11
46,农,11
47,递铺,11
48,配件,11
49,王雅琴,11
50,擅自,11
51,商行,10
52,全屋,10
53,排污,10
54,创业投资,10
55,集体,10
56,外汇,10
57,恒宜,9
58,米德,9
59,金属制品,9
60,美家,9
61,制造业,9
62,湖州市,9
63,文化,9
64,注注,9
65,远期,9
66,现金管理,9
67,深圳,8
68,西藏,8
69,德,8
70,商业银行,8
71,网站,8
72,越来越,8
73,精益,8
74,结售汇,8
75,恒瑞,7
76,天健,7
77,致力于,7
78,座椅,7
79,一站式,7
80,电子商务,7
81,杭州,7
82,技术创新,7
83,公司公告,7
84,消费,7
85,整装,7
86,新设,7
87,街道,6
88,上海,6
89,高品质,6
90,舒适,6
91,椅,6
92,电商,6
93,万件,6
94,智能化,6
95,智能,6
96,体验,6
97,北京,6
98,入职,6
99,外销,6
100,人工,6
101,退税,6
102,拆,6
103,挑战,6
104,废水,6
105,收集,6
106,绿叶,6
107,董秘,6
108,教育,6
109,油气,6
110,教育费,6
111,铺,6
112,保险公司,6
113,农村,5
114,夹溪路,5
115,人体,5
116,风格,5
117,成品,5
118,电子,5
119,自动化,5
120,高新技术,5
121,德国,5
122,知名,5
123,统计,5
124,红领,5
125,深化,5
126,干部,5
127,内销,5
128,赔偿款,5
129,退税款,5
130,障碍,5
131,资源,5
132,为此,5
133,适时,5
134,环境保护,5
135,在此期间,5
136,海邦,5
137,银泰睿祺,5
138,单次,5
139,附属,5
140,券商,5
141,信托,5
142,污水,5
143,固体废弃物,5
144,车间,5
145,喷胶,5
146,梅益敏,5
147,蔡彬,5
148,秦宝荣,5
149,抽样,5
150,建造,5
151,注表中,5
152,面积,5
153,康山,5
154,出让,5
155,土地出让,5
156,源于,5
157,第七次,4
158,大众,4
159,初步,4
160,一体化,4
161,软件,4
162,智慧,4
163,个性化,4
164,节能,4
165,工作站,4
166,浙江工业大学,4
167,信息化,4
168,理解,4
169,清晰,4
170,阿米巴,4
171,摩擦,4
172,实践,4
173,延伸,4
174,产品品质,4
175,拟以,4
176,规避,4
177,课堂,4
178,客户服务,4
179,购房款,4
180,电费,4
181,人民,4
182,发展壮大,4
183,差异化,4
184,如未,4
185,扣留,4
186,将相,4
187,滚动,4
188,处理厂,4
189,废,4
190,危险废物,4
191,许可证,4
192,噪声,4
193,噪音,4
194,鸿源,4
195,天明,4
196,刘国平,4
197,蒋,4
198,凭证,4
199,提单,4
200,中央银行,4
201,建筑物,4
202,保险,4
203,用地,4
204,无年,4
205,火灾,4
206,北方,4
207,亚事,4
208,登记日,3
209,中文,3
210,陈建富,3
211,媒体,3
212,兴业,3
213,恒林自,3
214,人为,3
215,手段,3
216,原创,3
217,再次,3
218,评审,3
219,皮革,3
220,分工,3
221,伴随,3
222,人性化,3
223,亿美元,3
224,持续性,3
225,附加值,3
226,副会长,3
227,业协会,3
228,工程学,3
229,合作伙伴,3
230,博士后,3
231,生产工艺,3
232,管理系统,3
233,引入,3
234,跨境,3
235,集群,3
236,展位,3
237,企业家,3
238,高质量,3
239,贯彻,3
240,全员,3
241,全方位,3
242,上游,3
243,国际贸易,3
244,奠定,3
245,党校,3
246,运杂费,3
247,人工成本,3
248,海关,3
249,产销,3
250,东南亚,3
251,举措,3
252,参照,3
253,而定,3
254,出资额,3
255,年均,3
256,行业龙头,3
257,网络,3
258,信心,3
259,物料,3
260,来源于,3
261,防范措施,3
262,人王,3
263,王凡,3
264,自动,3
265,上交,3
266,社会公众,3
267,净资产值,3
268,解聘,3
269,池,3
270,金融机构,3
271,环境保护部,3
272,污水处理,3
273,污染物,3
274,焊接,3
275,装置,3
276,高空,3
277,烟尘,3
278,监测,3
279,回收公司,3
280,垃圾,3
281,演练,3
282,事故,3
283,污染源,3
284,少量,3
285,胶水,3
286,包装桶,3
287,机器设备,3
288,户,3
289,配偶,3
290,张赟辉,3
291,卫东,3
292,恒升,3
293,小额贷款,3
294,业务部,3
295,陈,3
296,熊晓萍,3
297,通讯,3
298,支持性,3
299,核对,3
300,函证,3
301,期后,3
302,保费,3
303,准备金,3
304,家具公司,3
305,工商行政管理局,3
306,非专利,3
307,商品销售,3
308,政策性,3
309,余值,3
310,税额,3
311,财产保险,3
312,消耗性,3
313,亩,3
314,价,3
315,递,3
316,由递,3
317,宗,3
318,金元,3
319,掉期,3
320,见本,3
321,主管人员,2
322,拟定,2
323,之三,2
324,恒林指,2
325,恒鑫锐,2
326,捷林,2
327,外文,2
328,电话传真,2
329,电子信箱,2
330,网址,2
331,非金融,2
332,自然灾害,2
333,显失,2
334,一次性,2
335,高效率,2
336,使命,2
337,专注,2
338,计测,2
339,心理,2
340,高效能,2
341,铸就,2
342,成就,2
343,设计师,2
344,为辅,2
345,细化,2
346,研发部门,2
347,试销,2
348,主流,2
349,装修,2
350,木制品,2
351,电器元件,2
352,信息技术,2
353,柔性化,2
354,专业化,2
355,高度,2
356,互联网,2
357,购物,2
358,厂家直销,2
359,样品,2
360,国外,2
361,传统,2
362,多元化,2
363,稳中有,2
364,变变,2
365,中有,2
366,忧,2
367,把握,2
368,常态,2
369,造型,2
370,美观,2
371,行业标准,2
372,起草,2
373,领军,2
374,院士,2
375,国家专利,2
376,发明专利,2
377,外观,2
378,意大利,2
379,装备,2
380,仓储,2
381,推行,2
382,有助于,2
383,客户资源,2
384,家居用品,2
385,地理,2
386,区位,2
387,便捷,2
388,充足,2
389,采取措施,2
390,展,2
391,椅艺,2
392,坐,2
393,倡导者,2
394,稳固,2
395,开发商,2
396,制造商,2
397,出口商,2
398,知名品牌,2
399,零售商,2
400,凝聚,2
401,恒林人,2
402,动荡,2
403,经济体,2
404,复苏,2
405,动力,2
406,减弱,2
407,经信,2
408,委和省,2
409,统计局,2
410,全省,2
411,总产值,2
412,交货值,2
413,规上,2
414,工业产值,2
415,秉承,2
416,价值观,2
417,六项,2
418,精进,2
419,落地,2
420,国际化,2
421,路线,2
422,上线,2
423,多渠道,2
424,家具市场,2
425,随后,2
426,更好,2
427,馆,2
428,网络结构,2
429,设有,2
430,商学院,2
431,大讲堂,2
432,退伍军人,2
433,人才培养,2
434,坚实,2
435,场,2
436,价格上涨,2
437,两家,2
438,国外市场,2
439,产品成本,2
440,项为,2
441,现已,2
442,二非,2
443,注注注,2
444,浮亏,2
445,购入,2
446,银行贷款,2
447,国网,2
448,比上,2
449,苔,2
450,米,2
451,张志杰,2
452,协议书,2
453,此次,2
454,竞争能力,2
455,交割,2
456,立方米,2
457,板,2
458,多层板,2
459,第五次,2
460,为准,2
461,步骤,2
462,协作关系,2
463,服务公司,2
464,鸿林,2
465,万港元,2
466,高速,2
467,交流,2
468,国际形势,2
469,立足,2
470,激烈,2
471,购买决策,2
472,知名度,2
473,内涵,2
474,龙头企业,2
475,产品设计,2
476,展示,2
477,现实,2
478,卓越,2
479,导入,2
480,使恒林,2
481,响应,2
482,管理机制,2
483,定,2
484,制成品,2
485,软装,2
486,继续加强,2
487,场次,2
488,政治,2
489,变革,2
490,同行,2
491,利润率,2
492,各国,2
493,建立健全,2
494,建厂,2
495,黏性,2
496,下单,2
497,主动性,2
498,开支,2
499,合规性,2
500,一致同意,2
501,收购人,2
502,三十六个,2
503,限售期,2
504,均价,2
505,致使,2
506,法定程序,2
507,前提条件,2
508,任一,2
509,触发,2
510,应增,2
511,其当次,2
512,暂扣,2
513,项下,2
514,报刊,2
515,道歉,2
516,动用,2
517,填补,2
518,经济损失,2
519,业务范围,2
520,退出,2
521,从中,2
522,超出,2
523,折抵,2
524,经年,2
525,房产,2
526,上限,2
527,保障型,2
528,营运,2
529,为个,2
530,存续,2
531,安全性,2
532,起个,2
533,法披,2
534,历次,2
535,门,2
536,污染,2
537,达标,2
538,排入,2
539,喷塑,2
540,浸漆,2
541,低温,2
542,等离子,2
543,捕捉,2
544,室内,2
545,滤芯,2
546,标,2
547,综合利用,2
548,环卫,2
549,清运,2
550,选用,2
551,隔声,2
552,设置,2
553,环保部门,2
554,应年,2
555,指挥,2
556,领导小组,2
557,废品,2
558,国家有关,2
559,含尘,2
560,喷,2
561,罩,2
562,木材,2
563,排风,2
564,边角废料,2
565,废料,2
566,外资股,2
567,津昌,2
568,朱,2
569,海峰,2
570,高寿,2
571,周志红,2
572,王雅琴系,2
573,胞姐,2
574,王凡系,2
575,之子,2
576,第八十三,2
577,条,2
578,王,2
579,凡应,2
580,郑兴,2
581,李长水,2
582,李卉,2
583,曾卫,2
584,义云,2
585,清洁,2
586,兴,2
587,恒通,2
588,名誉,2
589,理事长,2
590,国路安,2
591,聚力,2
592,硕士生,2
593,导师,2
594,党代表,2
595,基本工资,2
596,年终,2
597,第十七次,2
598,调动,2
599,积极性,2
600,在职,2
601,平等,2
602,来访,2
603,人员构成,2
604,组建,2
605,相关者,2
606,同日,2
607,所示,2
608,交付给,2
609,方且,2
610,报关,2
611,发票,2
612,出库,2
613,发货单,2
614,签收,2
615,货运,2
616,担保物,2
617,损失率,2
618,当前情况,2
619,疑虑,2
620,登记注册,2
621,近似,2
622,市场经济,2
623,其于,2
624,持续时间,2
625,含个,2
626,回升,2
627,低值易耗品,2
628,包装物,2
629,组在,2
630,组时,2
631,运输工具,2
632,竣工,2
633,应予,2
634,专利权,2
635,日有,2
636,售出,2
637,法将,2
638,款额,2
639,计征,2
640,应缴,2
641,中远期,2
642,金元国,2
643,网,2
644,票,2
645,不获,2
646,注小计,2
647,买断式,2
648,追索权,2
649,国税局,2
650,垚,2
651,清理,2
652,款注,2
653,区内,2
654,总面积,2
655,每亩,2
656,已付,2
657,成交,2
658,确认书,2
659,工作日内,2
660,抵付,2
661,保险费,2
662,代王,2
663,江林收,2
664,额年,2
665,评报,2
666,小计续,2
667,上表,2
668,故不作,2
669,一本,1
670,三天,1
671,健,1
672,五经,1
673,需提交,1
674,否八,1
675,违反规定,1
676,否九,1
677,详细描述,1
678,查阅,1
679,之四,1
680,文义,1
681,另有所指,1
682,含义,1
683,常用,1
684,指恒林,1
685,指美家,1
686,指锐,1
687,更名,1
688,中文名称,1
689,缩写,1
690,人二,1
691,联系人,1
692,联系方式,1
693,联系地址,1
694,汤,1
695,鸿雁,1
696,周,1
697,丽莎,1
698,选定,1
699,登载,1
700,无六,1
701,机构名称,1
702,代表人,1
703,钱江路,1
704,华润,1
705,座,1
706,卢娅萍,1
707,张建东,1
708,福州市,1
709,湖东路,1
710,刘德新,1
711,陈全,1
712,末年,1
713,第一季度,1
714,第二季度,1
715,第三季度,1
716,第四季度,1
717,十非,1
718,偶发性,1
719,符合国家,1
720,世界领先,1
721,提供商,1
722,愿景,1
723,生理,1
724,力学,1
725,适合,1
726,身心,1
727,效能,1
728,产品类别,1
729,图示,1
730,人体工学,1
731,恒林以,1
732,座具,1
733,接触,1
734,群体,1
735,材料价格,1
736,细致,1
737,此基础,1
738,市场调研,1
739,初步设计,1
740,轮,1
741,打样,1
742,定型,1
743,推向市场,1
744,专人,1
745,市场走势,1
746,户型,1
747,软体,1
748,流行,1
749,新元素,1
750,创意,1
751,甄选,1
752,供货,1
753,考察,1
754,事中,1
755,网布,1
756,塑料,1
757,五金配件,1
758,代工,1
759,办公桌,1
760,文件柜,1
761,所在地,1
762,周边地区,1
763,以销定产,1
764,自建厂,1
765,房,1
766,招募,1
767,模块化,1
768,拆分,1
769,标准件,1
770,规模化,1
771,非标件,1
772,柔性,1
773,非常重视,1
774,并于,1
775,直销,1
776,学校,1
777,政企,1
778,直供,1
779,订货,1
780,意向,1
781,批量生产,1
782,贴牌,1
783,日常生活,1
784,社会活动,1
785,中为,1
786,配备,1
787,用具,1
788,改革开放,1
789,前所未有,1
790,分支,1
791,不断更新,1
792,近些年,1
793,楼宇,1
794,高档,1
795,写字楼,1
796,需求量,1
797,多功能性,1
798,约家,1
799,九大,1
800,零部件,1
801,木家具,1
802,金属家具,1
803,占前,1
804,经济运行,1
805,稳中有进,1
806,态势,1
807,生产总值,1
808,来看,1
809,民间,1
810,减税,1
811,降费,1
812,定向,1
813,降准,1
814,亏损额,1
815,产业结构,1
816,要素,1
817,课题,1
818,后后,1
819,职场,1
820,主力,1
821,年轻人,1
822,多元,1
823,中长期,1
824,看为,1
825,相配套,1
826,本行业,1
827,网络营销,1
828,峰会,1
829,保健,1
830,器具,1
831,十强,1
832,获,1
833,奖,1
834,五星,1
835,大户,1
836,金牛,1
837,称号,1
838,以恒林,1
839,午休,1
840,团体,1
841,脚轮,1
842,参编,1
843,科研,1
844,立项,1
845,转化,1
846,常年,1
847,浙江大学,1
848,西安交通大学,1
849,产学研,1
850,框架,1
851,豪迈,1
852,比亚斯,1
853,温康纳,1
854,数字化,1
855,工厂,1
856,批量,1
857,化大,1
858,一支,1
859,敬业,1
860,务实,1
861,深刻,1
862,行业动态,1
863,一批,1
864,经理人,1
865,京瓷,1
866,系统地,1
867,网络管理,1
868,知名企业,1
869,零售,1
870,超市,1
871,各大,1
872,评为,1
873,广阔,1
874,使年,1
875,乡,1
876,长三角,1
877,交通,1
878,域,1
879,上下游,1
880,成熟,1
881,效率高,1
882,优于,1
883,域外,1
884,竞争对手,1
885,政府部门,1
886,县内,1
887,绿色,1
888,产业园,1
889,综合体,1
890,小镇,1
891,充满,1
892,英国,1
893,脱欧,1
894,中美,1
895,增长速度,1
896,放缓,1
897,回落,1
898,下行,1
899,产值,1
900,产销率,1
901,亿件,1
902,利税,1
903,感恩,1
904,赢,1
905,保质保量,1
906,构造,1
907,高效益,1
908,全过程,1
909,严肃,1
910,自检,1
911,预防,1
912,班组,1
913,带动,1
914,促成,1
915,降本增效,1
916,纵向,1
917,中国工程院,1
918,工程师,1
919,全民,1
920,舒适度,1
921,感,1
922,走向,1
923,发达国家,1
924,紧密,1
925,贴近,1
926,关键技术,1
927,维度,1
928,展开,1
929,融入,1
930,良好基础,1
931,市场占有率,1
932,长远,1
933,教学,1
934,专业技能,1
935,精神文明,1
936,宜家,1
937,年报,1
938,混合,1
939,上报,1
940,是因为,1
941,保底,1
942,工价,1
943,增多,1
944,延续,1
945,年底,1
946,变,1
947,动,1
948,火灾保险,1
949,备货,1
950,职工宿舍,1
951,投入使用,1
952,系新,1
953,暂收,1
954,及本节,1
955,比比,1
956,增比,1
957,增,1
958,减减,1
959,直营店,1
960,经销店,1
961,线上,1
962,大宗,1
963,适用地区,1
964,大洋洲,1
965,非洲,1
966,美洲,1
967,欧洲,1
968,亚洲,1
969,此举,1
970,逐步推进,1
971,休闲椅,1
972,恒林于,1
973,路径,1
974,由美家,1
975,暂定名,1
976,工商登记,1
977,机关,1
978,价以,1
979,加利福尼亚州,1
980,汉堡,1
981,上文,1
982,钢,1
983,塑制品,1
984,稳中求进,1
985,基调,1
986,合力,1
987,对外贸易,1
988,主导地位,1
989,出口值,1
990,挖掘,1
991,深耕,1
992,消化,1
993,群众,1
994,多样化,1
995,释放,1
996,潜力,1
997,零售额,1
998,门槛,1
999,不高,1
1000,并非易事,1
1001,品牌设计,1
1002,工艺技术,1
1003,实绩,1
1004,系统化,1
1005,资金投入,1
1006,高昂,1
1007,一大,1
1008,灵魂,1
1009,定位,1
1010,日趋激烈,1
1011,充分运用,1
1012,家年,1
1013,具,1
1014,途径,1
1015,立于不败之地,1
1016,无一不是,1
1017,酝酿,1
1018,洗礼,1
1019,体现,1
1020,缺乏,1
1021,生命力,1
1022,标志,1
1023,耐用,1
1024,消费品,1
1025,品位,1
1026,美誉度,1
1027,占有,1
1028,权重,1
1029,塑造,1
1030,品牌形象,1
1031,输出,1
1032,凸显,1
1033,有望,1
1034,强大,1
1035,多样,1
1036,偏好,1
1037,保证系统,1
1038,厂商,1
1039,成套,1
1040,节省,1
1041,不断丰富,1
