,分词排序,词频
0,天马,424
1,饲料,311
2,科技,298
3,福建,293
4,配合,179
5,水产,140
6,养殖,97
7,陈庆堂,82
8,信息,81
9,特种,75
10,水产饲料,52
11,工程,49
12,财政拨款,47
13,建设,43
14,厦门,39
15,大黄鱼,37
16,银行,31
17,登记日,30
18,福马,29
19,膨化,29
20,扶贫,28
21,健康,27
22,网站,26
23,鳗鲡,26
24,环保,26
25,生物科技,25
26,养殖业,25
27,健马,24
28,食品,24
29,水产品,24
30,渔业,24
31,期货,24
32,环境,23
33,可转债,21
34,福州市,21
35,工业,21
36,媒体,20
37,福清市,20
38,石斑鱼,20
39,数据,19
40,男年生,19
41,香港,18
42,动物,18
43,食品科技,18
44,鱼粉,18
45,起个,18
46,鱼,17
47,养殖场,17
48,增效,17
49,换届,17
50,金屿,16
51,福州,16
52,颗粒,16
53,郑坤,16
54,泉州市,16
55,商品销售,16
56,梦华,15
57,饲料行业,15
58,进口,15
59,养殖户,15
60,生物,15
61,陈庆昌,15
62,江苏,14
63,土地,14
64,病害,14
65,副会长,14
66,信用证,14
67,上交,14
68,张蕉霖,14
69,台山,13
70,迳,13
71,房地产,13
72,高新技术,13
73,动保,13
74,鳗鱼,13
75,材料,13
76,林家,13
77,修明,13
78,成分,13
79,四川,12
80,西龙,12
81,农业,12
82,鲟鱼,12
83,鳗,12
84,鳖,12
85,六个月,12
86,被套,12
87,增产,12
88,吴丽萍,11
89,德百特,11
90,广东,11
91,福荣,11
92,淡水,11
93,种苗,11
94,生态,11
95,加成,11
96,脱贫,11
97,慈善,11
98,泉港区,11
99,限售期,11
100,许,10
101,海南,10
102,上海,10
103,镇,10
104,国家级,10
105,料,10
106,发明专利,10
107,科研,10
108,配方,10
109,教育,10
110,中国饲料,10
111,资源,10
112,赞助,10
113,后本,10
114,贫困,10
115,会长,10
116,潘琰,10
117,浙江,9
118,彩印包装,9
119,延伸,9
120,厘米,9
121,工业协会,9
122,套,9
123,组建,9
124,论坛,9
125,强制性,9
126,自动,9
127,陈,9
128,本部,9
129,总会,9
130,当日,9
131,邹见,9
132,华唐,9
133,正文,9
134,海通,8
135,工业区,8
136,十条,8
137,国家标准,8
138,体长,8
139,规模化,8
140,添加剂,8
141,创业,8
142,结构性,8
143,多元化,8
144,押汇,8
145,规避,8
146,姚建忠,8
147,号文,8
148,福清,8
149,信用等级,8
150,新华,8
151,功能性,8
152,债转股,7
153,台山市,7
154,致同,7
155,自然灾害,7
156,幼鱼,7
157,鲍鱼,7
158,营养,7
159,环境友好,7
160,人力资源,7
161,捕捞,7
162,海洋,7
163,队伍,7
164,企业家,7
165,主办,7
166,畜牧,7
167,建筑物,7
168,绿色,7
169,车间,7
170,期在,7
171,扣留,7
172,交易系统,7
173,骆福镇,7
174,吴景红,7
175,腾飞,7
176,清理,7
177,孔平涛,7
178,授信额度,7
179,雷,7
180,朝华,7
181,稳,7
182,首个,7
183,推行,6
184,贡献,6
185,龙头企业,6
186,慢沉,6
187,节能,6
188,预,6
189,加工业,6
190,时期,6
191,兴业,6
192,工作站,6
193,填补,6
194,产学研,6
195,厦门大学,6
196,集美,6
197,最新,6
198,数据库,6
199,高质量,6
200,文化,6
201,网络,6
202,鳗业,6
203,骨干,6
204,营运,6
205,兴何,6
206,沈玉福,6
207,华宝,6
208,南平市,6
209,建阳,6
210,周家,6
211,兜底,6
212,贫困地区,6
213,公益事业,6
214,公益,6
215,住房,6
216,排放,6
217,环境保护,6
218,锅炉,6
219,获授,6
220,工商联,6
221,二届,6
222,北京,6
223,油气,6
224,此次,6
225,嵌入,6
226,止自,6
227,技术改造,6
228,正向,6
229,新设,6
230,买方,6
231,彩印,5
232,江西,5
233,第一季度,5
234,无效,5
235,鲍,5
236,海参,5
237,黄,5
238,纵向,5
239,横向,5
240,生长,5
241,混合,5
242,一把手,5
243,大宗,5
244,态势,5
245,总产量,5
246,快,5
247,充足,5
248,生产工艺,5
249,博士后,5
250,技术创新,5
251,农业部,5
252,强大,5
253,供给,5
254,仓储,5
255,经营策略,5
256,市场占有率,5
257,走,5
258,马来西亚,5
259,致力于,5
260,业协会,5
261,交流,5
262,片区,5
263,兴化,5
264,如遇,5
265,刘宝荣,5
266,宁波,5
267,开立,5
268,邵武市,5
269,水北,5
270,宏利,5
271,永安市,5
272,槐南,5
273,鳗和堂,5
274,残疾人,5
275,导师,5
276,袋,5
277,修正,5
278,中层,5
279,有元,5
280,起满个,5
281,运输,5
282,汤,5
283,沉性,5
284,商贸业,5
285,路,4
286,王莉,4
287,人工,4
288,海水鱼,4
289,颡,4
290,无公害,4
291,粉状,4
292,成鱼,4
293,软,4
294,鲳鱼,4
295,毫米,4
296,稚鱼,4
297,工厂化,4
298,工艺技术,4
299,环节,4
300,豆粕,4
301,粕,4
302,核心技术,4
303,制造业,4
304,大国,4
305,高速,4
306,饲料原料,4
307,传统,4
308,仓,4
309,备货,4
310,院士,4
311,科研院所,4
312,水生,4
313,高度重视,4
314,顺利,4
315,马来,4
316,宗旨,4
317,贯彻,4
318,动力,4
319,深化,4
320,农村,4
321,标志,4
322,侧,4
323,领军,4
324,卵形,4
325,鲳,4
326,鲹,4
327,智能,4
328,积极响应,4
329,工序,4
330,精,4
331,中长期,4
332,一带,4
333,一路,4
334,走出,4
335,精英,4
336,总站,4
337,防治,4
338,比上,4
339,带动,4
340,成都,4
341,农产品,4
342,水域,4
343,休渔,4
344,出台,4
345,卫生标准,4
346,一代,4
347,五大,4
348,物流,4
349,半年,4
350,兴,4
351,柯玉彬,4
352,第一年,4
353,第二年,4
354,摊薄,4
355,摘要,4
356,三明市,4
357,陈善富,4
358,农林,4
359,讲师,4
360,保险,4
361,粉尘,4
362,烟气,4
363,公益活动,4
364,社保,4
365,贡献奖,4
366,排污,4
367,协会会长,4
368,联合会,4
369,常务,4
370,关瑞章,4
371,工程师,4
372,组成员,4
373,研究员,4
374,副教授,4
375,软件,4
376,樊海平,4
377,选取,4
378,损失率,4
379,中央银行,4
380,增至,4
381,因转股,4
382,参与者,4
383,集体,4
384,保险费,4
385,退休,4
386,具体方法,4
387,税额,4
388,免征,4
389,扣款,4
390,肠道,4
391,推广应用,4
392,乌龟,4
393,生态型,4
394,巨人,4
395,符合条件,4
396,对手,4
397,交通银行,4
398,拟以,3
399,联系人,3
400,联系方式,3
401,代表人,3
402,系年,3
403,第四季度,3
404,一次性,3
405,系本,3
406,苗期,3
407,养成,3
408,虾料,3
409,齐全,3
410,早期,3
411,制造,3
412,名牌产品,3
413,黑仔,3
414,幼鳗,3
415,列为,3
416,三等奖,3
417,三项,3
418,长,3
419,自然,3
420,伸展,3
