,分词排序,词频
0,今创,368
1,常州,252
2,江苏,150
3,轨道交通,148
4,车辆,97
5,科技,81
6,轨道,67
7,制造业,65
8,剑湖,58
9,信息,55
10,建设,49
11,铁路,48
12,俞,45
13,金坤,45
14,制造,44
15,创,39
16,今,38
17,常州市,37
18,交通设备,36
19,银行,36
20,材料,31
21,工程,30
22,客车,29
23,上海,29
24,遥观,29
25,长春,28
26,城轨,28
27,房地产,27
28,扶贫,27
29,兴业银行,26
30,装备,25
31,常矿,24
32,糸,24
33,泰勒,24
34,维克,24
35,动车组,24
36,电子,23
37,电,23
38,特斯,23
39,公里,23
40,里程,23
41,起重机械,22
42,东海,22
43,伊特,21
44,纳博,21
45,克今,21
46,武进区,21
47,线路,21
48,成都,20
49,法国,20
50,环保,20
51,建设银行,20
52,易宏,19
53,万润,19
54,新誉,19
55,地铁,19
56,胡丽敏,18
57,福,18
58,环境,18
59,横林,18
60,戈建鸣,18
61,青岛,17
62,印度,17
63,视听,17
64,住,17
65,人戈,17
66,建鸣,17
67,重庆,16
68,机械,16
69,橡胶,16
70,被套,16
71,新加坡,15
72,高铁,15
73,交通,14
74,车钩,14
75,高新技术,14
76,六六六,14
77,商品销售,14
78,中车,13
79,夏固,13
80,数据,13
81,风挡,13
82,整车,13
83,万公里,13
84,武进,13
85,房产,13
86,金城,12
87,网站,12
88,高速铁路,12
89,智能,12
90,生物,12
91,座椅,11
92,工厂,11
93,农行,11
94,香港,11
95,欧洲,10
96,澳大利亚,10
97,长度,10
98,复审,10
99,土地,10
100,新瑞,10
101,郑,9
102,小兵,9
103,指今,9
104,芜湖,9
105,庞巴迪,9
106,交通运输,9
107,维保,9
108,西安,9
109,在手,9
110,戈耀红,9
111,职工代表,9
112,国开,9
113,江门,8
114,合肥,8
115,武汉,8
116,加拿大,8
117,沈阳,8
118,镇,8
119,外汇,8
120,创嘉蓝,8
121,博杰,8
122,新能源,8
123,创路,7
124,英国,7
125,检修,7
126,国际贸易,7
127,智慧,7
128,应急,7
129,人力资源,7
130,苏州,7
131,曹章,7
132,王亦金,7
133,武进市,7
134,月度,7
135,建筑物,7
136,宋剑,7
137,湖得园,7
138,大酒店,7
139,重工,7
140,四方,6
141,南京,6
142,元较,6
143,装,6
144,动车,6
145,配件,6
146,国民经济,6
147,逐年,6
148,延伸,6
149,检测,6
150,总包,6
151,工业,6
152,远期,6
153,六个月,6
154,单次,6
155,第九次,6
156,交通银行,6
157,建行,6
158,教育,6
159,定点,6
160,远,6
161,通信,6
162,配件厂,6
163,就职,6
164,油气,6
165,当日,6
166,保险费,6
167,免租,6
168,教育费,6
169,证书编号,6
170,云信,6
171,精算,6
172,产业政策,5
173,凯西,5
174,唐山,5
175,邹春中,5
176,非金融,5
177,主营,5
178,采购部,5
179,运输,5
180,统计,5
181,技术创新,5
182,一带,5
183,一路,5
184,铁路网,5
185,共有,5
186,开通,5
187,国际化,5
188,门,5
189,模块化,5
190,创日,5
191,唐,5
192,山剑湖,5
193,售后,5
194,特种,5
195,运输设备,5
196,文化,5
197,限定,5
198,第项,5
199,填补,5
200,是否是,5
201,东亚银行,5
202,经开区,5
203,中信银行,5
204,排放,5
205,罗燚,5
206,李军,5
207,内限售,5
208,鹏,5
209,钱波,5
210,科长,5
211,张存,5
212,辞职,5
213,库龄,5
214,准备金,5
215,业经,5
216,验资,5
217,审验,5
218,服务业,5
219,建造,5
220,未到,5
221,塞拉,4
222,赛诺,4
223,长春市,4
224,特,4
225,创住,4
226,创纳博今,4
227,创剑湖,4
228,浦镇,4
229,指中车,4
230,机车车辆,4
231,阿尔斯通,4
232,环节,4
233,市场部,4
234,竞争性,4
235,城市化,4
236,保持良好,4
237,绿色,4
238,竣工,4
239,走,4
240,自动,4
241,零部件,4
242,物流,4
243,响应,4
244,稳,4
245,就业,4
246,数字化,4
247,资源,4
248,中介,4
249,新加坡元,4
250,在线,4
251,安全性,4
252,立足,4
253,屏蔽门,4
254,干部,4
255,队伍,4
256,所得税法,4
257,三十六个,4
258,本项,4
259,排污,4
260,废水,4
261,污染物,4
262,废气,4
263,危险废物,4
264,监测,4
265,变为,4
266,保金,4
267,琰,4
268,赛尔,4
269,泵业,4
270,振华,4
271,兴华,4
272,设计师,4
273,储桂荣,4
274,能源,4
275,丰,4
276,模型,4
277,条线,4
278,金融机构,4
279,中央银行,4
280,开来,4
281,集体,4
282,改为,4
283,光伏,4
284,电能,4
285,英镑,4
286,加拿大元,4
287,印度卢比,4
288,无年,4
289,办公设备,4
290,首个,4
291,层面,4
292,登记日,3
293,长客,3
294,媒体,3
295,一次性,3
296,设有,3
297,供货,3
298,分级,3
299,销售业务,3
300,国外,3
301,项目管理,3
302,越来越,3
303,中长期,3
304,客运,3
305,大陆,3
306,数为,3
307,年均,3
308,焊接,3
309,西门子,3
310,奠定,3
311,管理系统,3
312,信息技术,3
313,服务网络,3
314,新工艺,3
315,无纸化,3
316,调度,3
317,略有,3
318,机器设备,3
319,经营规模,3
320,改良,3
321,五级,3
322,致力,3
323,降本增效,3
324,联网,3
325,最新,3
326,中高层,3
327,积极性,3
328,投资规模,3
329,创福,3
330,健康,3
331,时其,3
332,具体措施,3
333,顺位,3
334,股票交易,3
335,触发,3
336,促使,3
337,将要,3
338,向名,3
339,考察,3
340,公益,3
341,至股,3
342,户,3
343,淮安,3
344,湘亭,3
345,蔡旭,3
346,张怀斌,3
347,钱,3
348,任海峙,3
349,照明,3
350,厂长,3
351,任今,3
352,人事,3
353,人力资源部,3
354,长,3
355,鹰普,3
356,辞去,3
357,代表大会,3
358,创博凡,3
359,通道,3
360,课程,3
361,通讯,3
362,较长,3
363,保费,3
364,列,3
365,会验,3
366,按原,3
367,此类,3
368,无风险,3
369,低值易耗品,3
370,一组,3
371,率年,3
372,大部分,3
373,带息,3
374,乘以,3
375,每一,3
376,两者之间,3
377,带薪,3
378,缺勤,3
379,指除,3
380,参照,3
381,交付给,3
382,高度,3
383,清理,3
384,继续执行,3
385,注年,3
386,号线,3
387,受限制,3
388,见本,3
389,退休金,3
390,日元,3
391,澳元,3
392,商务,3
393,泰国,3
394,齿轮,3
395,诚康,3
396,金阳,3
397,防腐工程,3
398,航运,3
399,滨湖,3
400,股该,2
401,尚需,2
402,加剧,2
403,经营风险,2
404,外文,2
405,电子信箱,2
406,网址,2
407,中信,2
408,建投,2
409,约个,2
410,自然灾害,2
411,显失,2
412,拉门,2
413,厨房,2
414,北京,2
415,近,2
416,关键技术,2
417,统筹,2
418,研发部,2
419,首件,2
420,比价,2
421,采购计划,2
422,物料,2
423,车型,2
424,柔性化,2
425,定制,2
426,特性,2
427,生产能力,2
428,内装及,2
429,中外合资,2
430,服务部,2
431,售后服务,2
432,谈判,2
433,交通运输业,2
434,增长势头,2
435,节能,2
436,经济体,2
437,蓬勃发展,2
438,契机,2
439,联盟,2
440,中信证券,2
441,中远期,2
442,成就,2
443,亮丽,2
444,名片,2
445,第十三个,2
446,纲要,2
447,列入,2
448,进程,2
449,大城市,2
450,人口数量,2
451,激增,2
452,公路交通,2
453,拥堵,2
454,城市轨道,2
455,后起,2
456,新兴国家,2
457,方兴未艾,2
458,亚洲地区,2
459,伊朗,2
460,越南,2
461,印度尼西亚,2
462,在内,2
463,条,2
464,排名,2
465,人均,2
466,密度,2
467,低远,2
468,美法,2
469,日德,2
470,发达国家,2
471,个数,2
472,五三年,2
473,交通线,2
474,网,2
475,获批,2
476,发展势头,2
477,新线,2
478,保有量,2
479,实践,2
480,夯实,2
481,大力发展,2
482,最初,2
483,产品设计,2
484,两大,2
485,箱体,2
486,高速,2
487,一站式,2
488,厂商,2
489,偏向,2
490,知名,2
491,合资,2
492,客户资源,2
493,稳定性,2
494,十位,2
495,一体,2
496,工作站,2
497,以人为本,2
498,复合,2
499,侧,2
500,核心技术,2
501,建立健全,2
502,软,2
503,紧紧围绕,2
504,战略规划,2
505,战略方针,2
506,防范,2
507,积极响应,2
508,东南亚,2
509,策划,2
510,评审,2
511,知识库,2
512,扩展,2
513,四新,2
514,积极探索,2
515,互联网,2
516,全过程,2
517,推行,2
518,增效,2
519,严控,2
520,保质保量,2
521,科学,2
522,精益,2
523,零,2
524,乌鲁木齐,2
525,指出,2
526,增长点,2
527,基础设施,2
528,结存,2
529,强度,2
530,年底,2
531,扩充,2
532,二非,2
533,扩建,2
534,交割,2
535,船舶,2
536,万日元,2
537,加深,2
538,现代化,2
539,维修,2
540,投资银行,2
541,出发,2
542,中亚,2
543,倡导,2
544,翻新,2
545,寻找,2
546,合适,2
547,方针,2
548,信息化,2
549,缩短,2
550,驻,2
551,限度,2
552,网点,2
553,多种形式,2
554,多层次,2
555,晋升,2
556,职级,2
557,景气,2
558,关联性,2
559,万亿元,2
560,竞争者,2
561,条例,2
562,外汇交易,2
563,政治局势,2
564,政治,2
565,兼顾,2
566,具体条件,2
567,要约,2
568,收购人,2
569,二十个,2
570,半年,2
571,如遇,2
572,上限,2
573,内在,2
574,交易方式,2
575,自上,2
576,日其,2
577,冲突,2
578,除因,2
579,继承,2
580,强制执行,2
581,除经,2
582,选聘,2
583,输送,2
584,动用,2
585,平等,2
586,解聘,2
587,公司财务,2
588,其为,2
589,第七次,2
590,创纳博,2
591,部克,2
592,无未,2
593,上海银行,2
594,交行,2
595,顺利开展,2
596,中学,2
597,援疆,2
598,脱贫,2
599,职业技能,2
600,担当,2
601,环境保护部,2
602,污染,2
603,污水,2
604,贮存,2
605,当地政府,2
606,环境保护,2
607,外资股,2
608,股年,2
609,限售期,2
610,父子关系,2
611,达为,2
612,始终保持,2
613,蓝海,2
614,潜龙,2
615,否张,2
616,否年,2
617,否王,2
618,剑,2
619,湖钱家,2
620,技术员,2
621,人民,2
622,防空,2
623,秘书长,2
624,膜,2
625,事务所律师,2
626,永创,2
627,当选,2
628,立信,2
629,浙江,2
630,天宇,2
631,药业,2
632,金叶,2
633,静波戈,2
634,保左小鹏,2
635,王洪斌,2
636,金琰,2
637,孙超,2
638,河南,2
639,员,2
640,钱家,2
641,安技,2
642,项目经理,2
643,工程师,2
644,营业部,2
645,工程机械,2
646,搬运,2
647,于今,2
648,操作工,2
649,处处长,2
650,淄博,2
651,无锡,2
652,苏州市,2
653,保险,2
654,叶静波,2
655,第十二次,2
656,兰娴,2
657,电气,2
658,薪资,2
659,序列,2
660,一线,2
661,胜任,2
662,内训,2
663,外训,2
664,四个,2
665,人员构成,2
666,自主经营,2
667,摘要,2
668,授信额度,2
669,拟定,2
670,会师,2
671,报字,2
672,固有,2
673,分析判断,2
674,选取,2
675,样本,2
676,函证,2
677,清单,2
678,高水平,2
679,六年,2
680,填,2
681,五五,2
682,公司概况,2
683,防灾,2
684,系统集成,2
685,清污,2
686,阀门,2
687,装置,2
688,常,2
689,月经,2
690,拟以,2
691,要素,2
692,公历,2
693,日止,2
694,如属,2
695,日为,2
696,兼有,2
697,内因,2
698,因购买,2
699,很小,2
700,中国人民银行,2
701,外汇牌价,2
702,中间价,2
703,恶性,2
704,通货膨胀,2
705,物价指数,2
706,近期内,2
707,所作,2
708,包装物,2
709,组是,2
710,中将,2
711,或应,2
712,除净,2
713,一致同意,2
714,指为,2
715,备,2
716,电子设备,2
717,运输工具,2
718,工程项目,2
719,借入,2
720,软件,2
721,非专利,2
722,客户关系,2
723,结果表明,2
724,公平交易,2
725,配偶,2
726,医疗保险,2
727,工伤保险,2
728,生育,2
729,住房,2
730,工会,2
731,教育经费,2
732,养老保险,2
733,早日,2
734,裁减,2
735,换取,2
736,日以,2
737,权日,2
738,使用费,2
739,交货,2
740,凭据,2
741,装船,2
742,报关,2
743,报关单,2
744,余值,2
745,作套,2
746,无效,2
747,数在,2
748,鉴定,2
749,原先,2
750,应缴,2
751,额应,2
752,放在,2
753,票,2
754,损失率,2
755,元因,2
756,期非,2
757,垫,2
758,公共资源,2
759,交易中心,2
760,消耗性,2
761,在于,2
762,时速,2
763,长编,2
764,综合类,2
765,仓库,2
766,期末存货,2
767,制品,2
768,收购价,2
769,稳定期,2
770,利润率,2
771,质保,2
772,河道,2
773,三位一体,2
774,保函及,2
775,马来,2
776,西,2
777,之内,2
778,承受,2
779,多维,2
780,电器,2
781,戈亚琴,2
782,赁,2
783,自首,2
784,笔,2
785,缴付,2
786,元注,2
787,一本,1
788,三上,1
789,主管人员,1
790,五经,1
791,否八,1
792,违反规定,1
793,否九,1
794,详细描述,1
795,查阅,1
796,文义,1
797,另有所指,1
798,含义,1
799,常用,1
800,特今,1
801,创指,1
802,指新誉,1
803,西门子公司,1
804,德国西门子公司,1
805,股指,1
806,小时,1
807,指注本,1
808,各单项,1
809,尾数,1
810,四舍五入,1
811,中文名称,1
812,中文,1
813,缩写,1
814,联系人,1
815,联系方式,1
816,联系地址,1
817,电话传真,1
818,陆华,1
819,选定,1
820,登载,1
821,无六,1
822,机构名称,1
823,威海路,1
824,文新,1
825,报业,1
826,楼,1
827,袁涛,1
828,高纯进,1
829,浦东南路,1
830,北塔,1
831,代表人,1
832,陈,1
833,菁菁,1
834,冷鲲,1
835,增年,1
836,第一季度,1
837,第二季度,1
838,第三季度,1
839,第四季度,1
840,十非,1
841,偶发性,1
842,符合国家,1
843,内装侧,1
844,国产化,1
845,天津,1
846,广州,1
847,深圳,1
848,几十个,1
849,百条,1
850,意大利,1
851,比利时,1
852,数十个,1
853,设计模式,1
854,性需求,1
855,课题,1
856,平台车,1
857,整车厂,1
858,设计方案,1
859,需报,1
860,总体方案,1
861,工程化,1
862,细化,1
863,既定,1
864,技术指标,1
865,品管部,1
866,工业化,1
867,小组,1
868,优胜劣汰,1
869,议价,1
870,核价,1
871,规格型号,1
872,小批量,1
873,短交期,1
874,鲜明,1
875,车间,1
876,柔性,1
877,衔接,1
878,交货期,1
879,制造商,1
880,直销,1
881,招投标,1
882,电汇,1
883,举足轻重,1
884,共识,1
885,方便快捷,1
886,出行,1
887,各国,1
888,青睐,1
889,发展中国家,1
890,依然,1
891,保持稳定,1
892,战略性,1
893,新兴产业,1
894,来说,1
895,通车,1
896,既有,1
897,加密,1
898,带动,1
899,广阔,1
900,服务商,1
901,勇于,1
902,力抓,1
903,新机遇,1
904,业态,1
905,专注,1
906,顶板,1
907,地板,1
908,墙板,1
909,间壁,1
910,风道,1
911,司机,1
912,室,1
913,加热器,1
914,千余个,1
915,三维,1
916,激光,1
917,切割机,1
918,冲床,1
919,机器人,1
920,坐标,1
921,测量仪,1
922,多层,1
923,热压机,1
924,喷涂,1
925,流水线,1
926,倾向,1
927,集成,1
928,非核心,1
929,便于管理,1
930,产品线,1
931,占据,1
932,多家,1
933,电气控制,1
934,柜,1
935,制动,1
936,空气,1
937,弹簧,1
938,多类,1
939,竞争能力,1
940,客户群,1
941,及时性,1
942,韩国,1
943,稳固,1
944,产品开发,1
945,服务水平,1
946,产品认证,1
947,粘接,1
948,企划,1
949,人力,1
950,资源管理,1
951,雄厚,1
952,建有,1
953,国家级,1
954,博士后,1
955,科研,1
956,院士,1
957,内饰,1
958,工程技术,1
959,产学研,1
960,一支,1
961,经验丰富,1
962,领先者,1
963,不锈钢,1
964,薄板,1
965,箱盖,1
966,工艺技术,1
967,铝合金,1
968,超塑,1
969,气胀,1
970,成形,1
971,模具,1
972,同步,1
973,有助于,1
974,大力支持,1
975,国际标准,1
976,此基础,1
977,引入,1
978,卓越,1
979,再造,1
980,上线,1
981,广泛应用,1
982,稳中求进,1
983,基调,1
984,供给,1
985,调,1
986,惠民,1
987,生防,1
988,挑战,1
989,共存,1
990,审时度势,1
991,研判,1
992,新形势下,1
993,高质量,1
994,发力,1
995,落地,1
996,挖掘,1
997,降,1
998,潜力,1
999,选人,1
1000,用人,1
1001,健全,1
1002,高度负责,1
1003,态度,1
1004,产业布局,1
1005,倡议,1
1006,筹备,1
1007,产业园,1
1008,扩能,1
1009,顺应,1
1010,服务体系,1
1011,进一步提高,1
1012,服务质量,1
1013,逐步提高,1
1014,紧盯,1
1015,前沿,1
1016,稳步,1
1017,继续加强,1
1018,碳,1
1019,减重,1
1020,动能,1
1021,项四,1
1022,创建,1
1023,着重,1
1024,化交期,1
1025,开发技术,1
1026,信息系统,1
1027,凝聚,1
1028,共享,1
1029,兼容,1
1030,模版,1
1031,实时,1
1032,推送,1
1033,高年,1
1034,效,1
1035,成熟度,1
1036,智能化,1
1037,逐步完善,1
1038,出台,1
1039,型材,1
1040,铸件,1
1041,板,1
1042,油漆,1
1043,预浸料,1
1044,筛选,1
1045,控有,1
1046,针对性,1
1047,地新,1
1048,定额管理,1
1049,作业,1
1050,终端,1
1051,内外部,1
1052,意见反馈,1
1053,把关,1
1054,贯彻,1
1055,产年,1
1056,品,1
1057,该类,1
1058,量减少,1
1059,内地,1
1060,有个,1
1061,投运,1
1062,交通线路,1
1063,条新开,1
1064,延伸段,1
1065,比达,1
1066,比年,1
1067,一倍,1
1068,工程建设,1
1069,行动计划,1
1070,一万公里,1
1071,位居,1
1072,位年,1
1073,放缓,1
1074,较往年,1
1075,减缓,1
1076,万公年,1
1077,丰硕,1
1078,投产,1
1079,产品成本,1
1080,人工,1
1081,同期相比,1
1082,水电,1
1083,气,1
1084,能耗,1
1085,厂房设备,1
1086,修缮,1
1087,三是,1
1088,费较,1
1089,四是,1
1090,工程系,1
1091,一年期,1
1092,年报,1
1093,航空,1
1094,高附加值,1
1095,修理,1
1096,改装,1
1097,重大项目,1
1098,涨幅,1
1099,卢比,1
1100,城镇化,1
1101,互连,1
1102,互通,1
1103,明确提出,1
1104,普速,1
1105,国,1
1106,交通枢纽,1
1107,复线,1
1108,电气化,1
1109,北美,1
1110,西欧,1
1111,发达,1
1112,二次,1
1113,部件,1
1114,大面积,1
1115,更换,1
1116,架修,1
1117,大修,1
1118,复制,1
1119,前年,1
1120,可靠性,1
1121,较长时间,1
1122,过往,1
1123,严格要求,1
1124,准入,1
1125,门槛,1
1126,受制于,1
1127,少,1
1128,难且,1
