,分词排序,词频
0,上海,197
1,科技,127
2,半导体,101
3,至纯,63
4,集成电路,61
5,蒋渊,60
6,高纯,53
7,信息,50
8,湿法,46
9,纯,46
10,制造,38
11,银行,38
12,材料,34
13,工程,33
14,江苏,31
15,纯洁,30
16,平湖,29
17,波汇,28
18,电子,27
19,清洗,24
20,合肥,23
21,陆磊,22
22,工艺设备,19
23,至微,16
24,波威,16
25,蒲锐迪,16
26,尚纯,15
27,土地,15
28,房地产,14
29,进口,14
30,宁波,14
31,制造业,13
32,数据,13
33,启东,13
34,启微,13
35,系统工程,13
36,合波,13
37,颀瑞,13
38,陈盛云,13
39,化学品,12
40,制药,12
41,装备,12
42,建设,12
43,子,12
44,晶圆厂,11
45,机电设备,11
46,珐成,11
47,司法机关,11
48,去年同期,10
49,联新,10
50,光伏,10
51,气体,10
52,网站,10
53,资源,10
54,机电工程,10
55,陆龙英,10
56,陈盛云为,10
57,抵债,10
58,系由,10
59,工程技术,9
60,海路,9
61,泛,9
62,启东市,9
63,中恒建,9
64,技术咨询,9
65,株式会社,9
66,立案侦查,9
67,人及,9
68,蒋渊为,9
69,杭州,9
70,闵行,9
71,生物,9
72,闵行区,8
73,紫,8
74,光纤,8
75,传感,8
76,环保,8
77,亿美元,8
78,促使,8
79,混合型,8
80,决策者,8
81,医疗器械,8
82,登记日,7
83,高科技,7
84,陆续,7
85,零部件,7
86,配置,7
87,调试,7
88,厂务,7
89,产线,7
90,国产,7
91,人工,7
92,诺同,7
93,电子科技,7
94,至砾,7
95,香港,7
96,国华,7
97,新能源,7
98,咨询中心,6
99,微,6
100,介质,6
101,晶圆,6
102,一线,6
103,专用设备,6
104,工厂,6
105,韩国,6
106,本土,6
107,太阳能,6
108,微微,6
109,信息技术,6
110,成就,6
111,出资额,6
112,填补,6
113,摘要,6
114,第十一次,6
115,第十二次,6
116,农商,6
117,周,6
118,油气,6
119,代理人,6
120,建筑物,6
121,鸿宝,6
122,重要性,6
123,生物医药,5
124,生物制药,5
125,机电,5
126,众华,5
127,国外,5
128,供给,5
129,槽式,5
130,软件,5
131,跟动,5
132,持续增长,5
133,客户资源,5
134,智能,5
135,大陆,5
136,技术改造,5
137,优秀人才,5
138,系统集成,5
