,分词排序,词频
0,生物,329
1,上海,284
2,疫苗,178
3,海利,114
4,科技,103
5,捷门,90
6,活疫苗,86
7,猪,80
8,金海,77
9,灭,68
10,动物,64
11,杨凌,60
12,豪园,52
13,病毒,51
14,兽药,51
15,张海明,49
16,信息,47
17,生物科技,42
18,陈连勇,40
19,药品,38
20,裕隆,35
21,禽流感,34
22,生物制品,32
23,口蹄疫,31
24,工程,31
25,银行,31
26,兽用,30
27,株,29
28,预防,28
29,亚型,28
30,药明,27
31,猪瘟,27
32,苏州,27
33,免疫,26
34,建设,26
35,支原体,25
36,肺炎,24
37,疫病,23
38,数据,22
39,兽医,22
40,病,22
41,检测,22
42,医疗,21
43,冉裕,21
44,新城疫,21
45,新药,20
46,环境,20
47,创业投资,20
48,大华,19
49,悬浮,19
50,排放,19
51,海德,18
52,圆环,18
53,奉贤区,17
54,三联,17
55,药,17
56,非洲,15
57,三类,15
58,鸡,15
59,株株,15
60,材料,15
61,奉贤,15
62,高新技术,14
63,抗原,14
64,传染性,14
65,医药,14
66,牧海,13
67,表达,13
68,细胞,13
69,动保,13
70,嗜血,13
71,杆菌,13
72,二联,13
73,养殖,12
74,转化,12
75,顺利,12
76,毒株,12
77,大宗,12
78,朱青生,12
79,法人代表,12
80,润瓴,11
81,临床试验,11
82,禽用,11
83,农业,11
84,致病性,11
85,生产工艺,11
86,腺病毒,11
87,流行,11
88,车间,11
89,张悦,11
90,松江,11
91,工商登记,11
92,治疗,10
93,疫情,10
94,养殖业,10
95,净化,10
96,博士,10
97,资源,10
98,健康,10
99,年报,10
100,总和,10
101,锅炉,10
102,高建,10
103,黄俊芹,9
104,灏,9
105,真牧,9
106,冉牧,9
107,微生物,9
108,诊断,9
109,变异,9
110,病原,9
111,网站,9
112,一类,9
113,杆状病毒,9
114,防控,9
115,安全性,9
116,型型,9
117,畜牧,9
118,环保,9
119,配股,9
120,六个月,9
121,陈晓,9
122,张鲁葛维成,9
123,石梅,9
124,废水,9
125,武汉,9
126,委派代表,9
127,建造,9
128,序康,8
129,奠定,8
130,批准文号,8
131,工艺技术,8
132,贡献,8
133,流行性,8
134,腹泻,8
135,基因,8
136,陕西,8
137,抓好,8
138,医疗器械,8
139,毫升,8
140,存续,8
141,国寿,8
142,安保,8
143,永中,8
144,光大银行,8
145,排污,8
146,污水,8
147,万份,8
148,房地产,8
149,制成,7
150,畜禽,7
151,制备,7
152,公路,7
153,赢,7
154,技术转让,7
155,纯化,7
156,猪用,7
157,引发,7
158,蛋白,7
159,三价,7
160,支气管炎,7
161,法氏囊,7
162,猪链球菌,7
163,终端,7
164,北京,7
165,人保,7
166,教育,7
167,狂犬病,7
168,可比,7
169,监管部门,7
170,亚洲,7
171,软件,7
172,经济实体,7
173,浦发,7
174,环境保护,7
175,张鲁,7
176,香港,7
177,验资,7
178,股东会,7
179,无锡,6
180,药物,6
181,疾病,6
182,感染,6
183,人用,6
184,农业部,6
185,产品线,6
186,工程技术,6
187,制造,6
188,致力于,6
189,直销,6
190,规模化,6
191,基因工程,6
192,试剂,6
193,在内,6
194,关键技术,6
195,课题,6
196,攻关,6
197,犬,6
198,抗体,6
199,实验,6
200,伪,6
201,二价,6
202,检验,6
203,依赖,6
204,万头,6
205,医用,6
206,制剂,6
207,畜牧业,6
208,交易系统,6
209,各年,6
210,戴黎,6
211,医学,6
212,天津,6
213,油气,6
214,止本,6
215,土地,6
216,缩写,5
217,定制,5
218,核发,5
219,获,5
220,昆虫,5
221,发酵,5
222,文化,5
223,犬瘟热,5
224,细小,5
225,株型,5
226,选用,5
227,攻毒,5
228,缺失,5
229,技术改造,5
230,四川,5
231,质控,5
232,瑞普,5
233,临床,5
234,技术咨询,5
235,三级,5
236,增发,5
237,招股,5
238,限额,5
239,审,5
240,共赢,5
241,分级,5
242,浦发银行,5
243,农村部,5
244,应急,5
245,王利枫,5
246,工商管理,5
247,师,5
248,就读于,5
249,就职,5
250,华舟,5
251,彩音,5
252,投资人,5
253,征收率,5
254,注本,5
255,门道,5
256,委托人,4
257,阿根廷,4
258,瓴,4
259,英文,4
260,制药,4
261,人工,4
262,浦冬婵,4
263,爆发,4
264,能量,4
265,研制,4
266,公司员工,4
267,首个,4
268,毒种,4
269,含量,4
270,试剂盒,4
271,冠状病毒,4
272,猪伪,4
273,狂犬病毒,4
274,灭活,4
275,狂犬,4
276,源头,4
277,尊重,4
278,变,4
279,配合,4
280,稳定性,4
281,合资,4
282,癌症,4
283,有望,4
284,大会,4
285,践行,4
286,效应,4
287,信用卡,4
288,创建,4
289,防疫,4
290,变革,4
291,猪苗,4
292,传染病,4
293,经济效益,4
294,批件,4
295,第五次,4
296,科学,4
297,动物保健,4
298,五个,4
299,致使,4
300,薪资,4
301,投资决策,4
302,收益权,4
303,下述,4
304,公式,4
305,超出,4
306,如捷门,4
307,应予,4
308,止个,4
309,派送,4
310,肿瘤,4
311,商业贷款,4
312,展期,4
313,颁发,4
314,许可证,4
315,和谐,4
316,环境保护部,4
317,门,4
318,在线,4
319,监测,4
320,废气,4
321,杨管,4
322,户,4
323,张海,4
324,刘巨宏,4
325,陈磊,4
326,学士学位,4
327,硕士学位,4
328,创始人,4
329,通和毓承,4
330,电气,4
331,中博,4
332,中央银行,4
333,刘瑛,4
334,龙检,4
335,以换,4
336,专利权,4
337,政策性,4
338,浦,4
339,强制性,3
340,全过程,3
341,活性,3
342,生长,3
343,化学,3
344,商业化,3
345,胚胎,3
346,媒体,3
347,防治,3
348,家畜,3
349,家禽,3
350,管理系统,3
351,拟定,3
352,养殖场,3
353,业务员,3
354,产学研,3
355,科研,3
356,亚,3
357,多价,3
358,每月,3
359,原辅料,3
360,牛羊,3
361,息息相关,3
362,生猪,3
363,养猪业,3
364,挑战,3
365,消毒剂,3
366,优质优价,3
367,创新能力,3
368,体现,3
369,全员,3
370,学习型,3
371,核酸,3
372,浓缩,3
373,内外部,3
374,更好,3
375,进一步提高,3
376,举措,3
377,诱导,3
378,易于,3
379,二类,3
380,载体,3
381,选取,3
382,经典,3
383,保护率,3
384,三种,3
385,猪只,3
386,大规模,3
387,竣工,3
388,免疫学,3
389,控制技术,3
390,传统,3
391,举办,3
392,高峰论坛,3
393,产品开发,3
394,下半年,3
395,保持稳定,3
396,交叉,3
397,坚实,3
398,公司业绩,3
399,落地,3
400,广阔,3
401,更大,3
402,活苗,3
403,参会,3
404,清洁,3
405,污染,3
406,污染物,3
407,比上,3
408,降幅,3
409,产品名称,3
410,饲料,3
411,研发部,3
412,到底,3
413,中牧,3
414,普莱柯,3
415,来源于,3
416,该病,3
417,厂家,3
418,禽,3
419,审查,3
420,打开,3
421,证,3
422,技术储备,3
423,培训费,3
424,科技领域,3
425,种业,3
426,利润率,3
427,改良,3
428,四级,3
429,经济损失,3
430,第十次,3
431,收购人,3
432,证券交易,3
433,由本,3
434,自本,3
435,三十六个,3
436,二十个,3
437,自动,3
438,愿向,3
439,百灏,3
440,施加影响,3
441,选举权,3
442,被选举权,3
443,内向,3
444,之可于,3
445,表时,3
446,前任,3
447,摘要,3
448,一家,3
449,生物医药,3
450,平安,3
451,南京,3
452,西路,3
453,胶乳,3
454,称号,3
