,分词排序,词频
0,节目,221
1,天择,192
2,视频,136
3,长沙,104
4,广,97
5,电视台,70
6,中广,66
7,媒体,65
8,湖南,63
9,信息,61
10,图,54
11,长沙市,54
12,电视剧,49
13,频道,45
14,传媒,44
15,网络,43
16,广播电视,36
17,文化,35
18,数据,34
19,工程,33
20,地面,31
21,互联网,29
22,播出,29
23,电视,27
24,电视节目,26
25,海南,26
26,影视剧,24
27,教育,24
28,创业投资,20
29,卫视,20
30,招股,19
31,传播,19
32,孙静,18
33,广电,18
34,天图,18
35,天心区,18
36,北京,18
37,深圳,18
38,上海,16
39,收视,16
40,版权,16
41,房地产,15
42,建设,15
43,曾雄,14
44,播映权,14
45,广播,14
46,社会公众,14
47,道歉,14
48,先导,13
49,兴华,13
50,扶贫,13
51,文化传媒,13
52,任长,13
53,兴盛,12
54,许可证,12
55,湖南省,12
56,如本,12
57,大禹,12
58,创投,11
59,交易方式,11
60,补救措施,11
61,生于,11
62,天津,10
63,类节目,10
64,季播,10
65,科技,10
66,时段,10
67,视听,10
68,环境,10
69,文化产业,10
70,六个月,10
71,五个,10
72,喀什,10
73,银行,10
74,政法,10
75,国信,9
76,瑞华,9
77,影视,9
78,付费,9
79,片酬,9
80,头部,9
81,影视文化,9
82,后本,9
83,新疆,9
84,服务业,9
85,弘盛,8
86,天绎,8
87,文娱,8
88,网站,8
89,周播,8
90,综艺,8
91,宣传,8
92,出品,8
93,能量,8
94,咨询服务,8
95,自动,8
96,工作日内,8
97,生物,8
98,摄制,8
99,栏目,7
100,账号,7
101,受众,7
102,日益,7
103,真人秀,7
104,常规,7
105,传统媒体,7
106,台,7
107,信息技术,7
108,软件,7
109,新闻,7
110,部门规章,7
111,内本,7
112,采取相应,7
113,最小,7
114,雨花区,7
115,湘江,7
116,农业,7
117,创业,7
118,本节,7
119,演播厅,7
120,兴瑞天,6
121,深耕,6
122,垂直,6
123,资源,6
124,激烈,6
125,意愿,6
126,态势,6
127,冠军,6
128,合作方,6
129,千台,6
130,视界,6
131,资本运作,6
132,审慎,6
133,大宗,6
134,前应,6
135,湖北,6
136,新广,6
137,雅润,6
138,王永华,6
139,卫东,6
140,湖南大学,6
141,委派代表,6
142,油气,6
143,嵌入,6
144,著作权,6
145,土地,6
146,兴瑞,5
147,地产,5
148,把握,5
149,强大,5
150,电影,5
151,娱乐,5
152,明星,5
153,广视,5
154,媒介,5
155,招商,5
156,湖南卫视,5
157,爱奇艺,5
158,搜狐,5
159,有家,5
160,持续增长,5
161,总编辑,5
162,脱贫,5
163,剧盟,5
164,购,5
165,影业,5
166,汽车,5
167,极锐,5
168,湖南投资,5
169,业经,5
170,润,5
171,观众,5
172,促使,5
173,填补,5
174,健康,5
175,半数以上,5
176,清理,5
177,开庭审理,5
178,二审,5
179,元及,5
180,结构性,5
181,社会保障,5
182,冯,5
183,潘攀,5
184,慧远,5
185,人力资源部,5
186,女性频道,5
187,就业,5
188,发改委,4
189,芙蓉,4
190,中路,4
191,二段,4
192,新世纪,4
193,体育,4
194,网球,4
195,俱乐部,4
196,一次性,4
197,主流,4
198,纪实,4
199,闪亮,4
200,名字,4
201,卫星频道,4
202,趋严,4
203,短期内,4
204,上游,4
205,进一步提高,4
206,主管部门,4
207,流量,4
208,广电总局,4
209,现象,4
210,统计,4
211,优酷,4
212,深化,4
213,体制,4
214,群体,4
215,档,4
216,安徽,4
217,儿女,4
218,长,4
219,尝试,4
220,一步,4
221,一网,4
222,招摇,4
223,近年,4
224,住所,4
225,街道,4
226,策划,4
227,计算机,4
228,农产品,4
229,零售,4
230,精品,4
231,日播,4
232,真实性,4
233,完整性,4
234,若本,4
235,得以,4
236,获,4
237,如中广,4
238,公平交易,4
239,之诉,4
240,不服,4
241,上诉,4
242,暂无,4
243,撤诉,4
244,湘,4
245,名人,4
246,理事会,4
247,大公,4
248,刘小虎,4
249,彭宇,4
250,温立,4
251,传媒大学,4
252,武汉,4
253,乐,4
254,行天下,4
255,餐饮,4
256,金融服务,4
257,职称,4
258,制片人,4
259,广东,4
260,秘书长,4
261,中央银行,4
262,法将,4
263,该类,4
264,逐笔,4
265,制片,4
266,投出,4
267,建造,4
268,建筑物,4
269,转制,4
270,中央,4
271,奖,4
272,第三季度,3
273,提供商,3
274,电视观众,3
275,神奇,3
276,图书馆,3
277,发力,3
278,以中广,3
279,顺利实现,3
280,偏好,3
281,联盟,3
282,重要性,3
283,总局,3
284,嘉宾,3
285,本身,3
286,准入,3
287,复合,3
288,民营,3
289,收视率,3
290,呈,3
291,上半年,3
292,县级,3
293,年底,3
294,国家统计局,3
295,成熟,3
296,网,3
297,艾瑞,3
298,定制,3
299,专注,3
300,实践,3
301,先锋,3
302,规模化,3
303,视频产品,3
304,网络平台,3
305,已有,3
306,弘扬,3
307,编委会,3
308,传统,3
309,王,3
310,两季,3
311,创优,3
312,排名,3
313,纪录片,3
314,第二季,3
315,网综,3
316,家有,3
317,初长成,3
318,密战,3
319,无声,3
320,青春,3
321,抛物线,3
322,浮生若梦,3
323,剧,3
324,越过,3
325,山丘,3
326,播放,3
327,审字,3
328,广州,3
329,演职人员,3
330,陈,3
331,武东,3
332,开福区,3
333,月湖,3
334,鸭子,3
335,铺路,3
336,电子商务,3
337,珠宝,3
338,食品,3
339,优品,3
340,电信业务,3
341,吸引,3
342,环节,3
343,观看,3
344,为此,3
345,多方,3
346,公益,3
347,孵化,3
348,占据,3
349,专题,3
350,失败,3
351,公众,3
352,中所,3
353,及时性,3
354,致使,3
355,司法机关,3
356,消费,3
357,非因,3
358,尽快,3
359,尽可能,3
360,无法弥补,3
361,项下,3
362,因未,3
363,至本,3
364,或本,3
365,反诉,3
366,单方,3
367,拖欠,3
368,书,3
369,兴业银行,3
370,助力,3
371,排污,3
372,户,3
373,保险,3
374,曹欧,3
375,劼,3
376,广播电视局,3
377,金雨,3
378,十大,3
379,方圆,3
380,审计部,3
381,中国社会科学院,3
382,广告公司,3
383,经贸,3
384,参照,3
385,年终,3
386,住房,3
387,熟悉,3
388,通讯,3
389,对比,3
390,期数,3
391,拍摄,3
392,保费,3
393,准备金,3
394,场地,3
395,混合,3
396,素材,3
397,立项,3
398,体现,3
399,限定,3
400,除净,3
401,中除,3
402,专用设备,3
403,商标权,3
404,保险费,3
405,补助款,3
406,教育费,3
407,事业单位,3
408,烟花,3
409,子项目,3
410,服务体系,3
411,知识产权局,3
412,新闻频道,3
413,增至,2
414,需提交,2
415,人民,2
416,广播电台,2
417,其原,2
418,外文,2
419,人二,2
420,周智,2
421,电子信箱,2
422,网址,2
423,东城区,2
424,第一季度,2
425,非金融,2
426,自然灾害,2
427,显失,2
428,紧紧,2
429,脉搏,2
430,二十余,2
431,档日播,2
432,艺考,2
433,四十余,2
434,专业化,2
435,借助,2
436,千号,2
437,亲密合作,2
438,美妆,2
439,影评,2
440,潮鞋,2
441,特效,2
442,籍,2
443,矩阵,2
444,三大,2
445,客户群,2
446,广阔,2
447,编排,2
448,增大,2
449,迫切,2
450,建,2
451,省会,2
452,纷纷,2
453,挑战,2
454,三成,2
455,负面影响,2
456,消费者,2
457,成熟度,2
458,凸显,2
459,影视明星,2
460,出台,2
461,演员,2
462,国家广电总局,2
463,放开,2
464,公示,2
465,家较,2
466,达较,2
467,持证,2
468,比于,2
469,八成,2
470,新闻出版,2
471,传导,2
472,分流,2
473,索福瑞,2
474,人均,2
475,每日,2
476,分钟,2
477,减弱,2
478,额为,2
479,不及,2
480,养成,2
481,中国互联网络信息中心,2
482,推升,2
483,相较,2
484,一百多,2
485,可圈可点,2
486,将近,2
487,千亿,2
488,腾讯,2
489,商业模式,2
490,哔哩,2
491,粘性,2
492,需求量,2
493,雄厚,2
494,爱奇,2
495,及待收,2
496,下中广,2
497,创制,2
498,这一,2
499,网络化,2
500,联供,2
501,中宣部,2
502,高度,2
503,效应,2
504,号召力,2
505,差异化,2
506,形态,2
507,服务公司,2
508,强势,2
509,需求方,2
510,公司出品,2
511,市场萎缩,2
512,题材,2
513,投资规模,2
514,创作,2
515,现实,2
516,之中,2
517,原创,2
518,一大批,2
519,价值观,2
520,编辑,2
521,坚守,2
522,造,2
523,今日,2
524,头条,2
525,合作伙伴,2
526,攻坚,2
527,多家,2
528,报道,2
529,全世界,2
530,介绍,2
531,向前,2
532,购物,2
533,电商,2
534,圈,2
535,三四,2
536,下沉,2
537,在线,2
538,成效,2
539,参投,2
540,情感,2
541,初步成效,2
542,重点项目,2
543,建立健全,2
544,公司法人,2
545,传输,2
546,有线电视,2
547,剧名,2
548,许,2
549,公映,2
550,监狱,2
551,犬,2
552,影视作品,2
553,作品名称,2
554,上映,2
555,档期,2
556,北京华,2
557,霍尔果斯,2
558,王耀辉,2
559,高亚麟,2
560,王琳,2
561,林丛,2
562,影院,2
563,商务信息,2
564,礼仪,2
565,号室,2
566,风险投资,2
567,旅游,2
568,应用软件,2
569,计算机硬件,2
570,接入,2
571,交流,2
572,动漫,2
573,电子产品,2
574,化妆品,2
575,工艺品,2
576,服装,2
577,日用品,2
578,家具,2
579,器材,2
580,国民经济,2
581,综艺节目,2
582,发展前景,2
583,看好,2
584,爆款,2
585,塑造,2
586,力,2
587,独播,2
588,终端,2
589,深入研究,2
590,切入点,2
591,主创,2
592,交易平台,2
593,继续加强,2
594,一网融,2
595,剧集,2
596,依然,2
597,品类,2
598,第三季,2
599,第四季,2
600,杀青,2
601,后期制作,2
602,精心,2
603,市场潜力,2
604,打通,2
605,协同效应,2
606,市场准入,2
607,审查,2
608,进口,2
609,作品,2
610,监管部门,2
611,外资,2
612,更大,2
613,冲击,2
614,制播,2
615,分离,2
616,很小,2
617,一批,2
618,竞争对手,2
619,国外,2
620,成本上升,2
621,快速增长,2
622,论证,2
623,成熟期,2
624,收购人,2
625,下称,2
626,为止,2
627,因本,2
628,开拓市场,2
629,展开,2
630,到位,2
631,以使,2
632,早日,2
633,动用,2
634,拒不履行,2
635,贯彻执行,2
636,国务院,2
637,再融资,2
638,负有,2
639,停发,2
640,强制执行,2
641,同类,2
642,专栏,2
643,养生,2
644,本地,2
645,长沙地区,2
646,国家有关,2
647,业务范围,2
648,商业机会,2
649,获知,2
650,询证,2
651,接到,2
652,规章制度,2
653,超出,2
654,足额,2
655,元重,2
656,解聘,2
657,侵权,2
658,解除合同,2
659,民事裁定,2
660,诉讼费,2
661,费元,2
662,滞纳金,2
663,耳畔,2
664,宣传片,2
665,保全,2
666,滚动,2
667,公司财务,2
668,交通银行,2
