,分词排序,词频
0,秦安,119
1,汽车,100
2,重庆,70
3,信息,61
4,零部件,59
5,铸造,55
6,制造,39
7,新能源,35
8,工装,31
9,工程,30
10,发动机,27
11,整车,27
12,机电,26
13,车间,22
14,银行,21
15,曲轴,20
16,排放,20
17,机,16
18,环境,16
19,美沣,15
20,变速器,15
21,上海,14
22,重庆市,14
23,数据,14
24,模具,14
25,唐梓长,14
26,唐,14
27,机加工,13
28,机加,13
29,工业,13
30,产品开发,13
31,危险废物,13
32,许峥,12
33,废气,12
34,废水,12
35,长安,11
36,动力,11
37,张华鸣,11
38,气缸,11
39,经济实体,11
40,亚东,11
41,福特,10
42,体,10
43,箱体,10
44,量产,10
45,二十四个,10
46,污染物,10
47,污水,10
48,生物,10
49,压铸机,10
50,黄容,9
51,气缸盖,9
52,传动系统,9
53,毛坯,9
54,铸件,9
55,售后服务,9
56,装备,9
57,汽车行业,9
58,稳步,9
59,证监局,9
60,动力系统,9
61,小川,9
62,六个月,9
63,教育,9
64,环保,9
65,生产废水,9
66,泓,8
67,柳州,8
68,九龙坡区,8
69,房地产,8
70,销售部,8
71,有色,8
72,宇部,8
73,压铸,8
74,建设,8
75,周斌,8
76,陈宋生,8
77,任职期间,8
78,噪声,8
79,废水处理,8
80,长安汽车,7
81,检测,7
82,工艺技术,7
83,软件,7
84,同步,7
85,缸体,7
86,罗,7
87,交由,7
88,禾,6
89,乘用车,6
90,夹具,6
91,维修,6
92,缸盖,6
93,材料,6
94,三包,6
95,混合,6
96,汽车产业,6
97,户,6
98,中所,6
99,刘宏庆,6
100,固体废物,6
101,除尘,6
102,市政,6
103,管网,6
104,油气,6
105,金融机构,6
106,土地,6
107,五菱,5
108,吉利,5
109,海拓,5
110,机械厂,5
111,祥禾泓安,5
112,生命周期,5
113,需求量,5
114,销售价格,5
115,黑色,5
116,深耕,5
117,奠定,5
118,投产,5
119,高度重视,5
120,预提,5
121,态势,5
122,放缓,5
123,赵洪岐,5
124,杨颖,5
125,张茂良,5
126,下同,5
127,科技,5
128,北京理工大学,5
129,野生动物,5
130,排放口,5
131,生化,5
132,建造,5
133,换取,5
134,商业银行,5
135,源于,5
136,外汇,5
137,北汽,4
138,福田,4
139,一汽,4
140,兰美路,4
141,附号,4
142,天健,4
143,壳体,4
144,立足,4
145,开发部,4
146,采购部,4
147,检具,4
148,生产工艺,4
149,实时,4
150,储存,4
151,物流,4
152,技术支持,4
153,一支,4
154,配置,4
155,布勒,4
156,一体化,4
157,生产能力,4
158,人力,4
159,挖掘,4
160,节能,4
161,信用证,4
162,下滑,4
163,来看,4
164,挑战,4
165,利用自身,4
166,涉足,4
167,公众,4
168,成熟期,4
169,刘加基,4
170,颜正刚,4
171,公正,4
172,旭东,4
173,结构性,4
174,环境保护,4
175,布袋,4
176,池,4
177,排入,4
178,运输,4
179,固废,4
180,配偶,4
181,国营,4
182,技术员,4
183,车间主任,4
184,部副,4
185,召集,4
186,期后,4
187,中央银行,4
188,不获,4
189,上汽,3
190,通用五菱,3
191,广汽,3
192,全柴,3
193,安祥,3
194,涌安泓成,3
195,轿车,3
196,杭州,3
197,涌安,3
198,对接,3
199,供货,3
200,铝锭,3
201,碳钢,3
202,压块,3
203,低值易耗品,3
204,网络,3
205,自制,3
206,月度,3
207,主流,3
208,强势,3
209,崛起,3
210,试制,3
211,交样,3
212,产品成本,3
213,高压,3
214,精加工,3
215,德国,3
216,全自动,3
217,配合,3
218,进口,3
219,英国,3
220,奖,3
221,健康,3
222,表现,3
223,健全,3
224,产销,3
225,交流,3
226,负增长,3
227,公司业绩,3
228,导入,3
229,人力资源,3
230,高速,3
231,专业知识,3
232,设置,3
233,透明度,3
234,工费料,3
235,跨期,3
236,消费,3
237,国民经济,3
238,合资,3
239,高质量,3
240,并存,3
241,车型,3
242,兼并,3
243,技术改造,3
244,降价,3
245,资源,3
246,意向,3
247,杨力,3
248,利国,3
249,捐款,3
250,排污,3
251,防治,3
252,达标排放,3
253,少量,3
254,机械,3
255,立方米,3
256,空压机,3
257,修建,3
258,两种,3
259,污水处理,3
260,危废,3
261,面积,3
262,成祥禾,3
263,兰丞皆喜,3
264,张于,3
265,泰安,3
266,通讯,3
267,抽样,3
268,支持性,3
269,核对,3
270,可回收,3
271,保费,3
272,准备金,3
273,配件,3
274,机器设备,3
275,开票,3
276,余值,3
277,清理,3
278,教育费,3
279,税额,3
280,西部,3
281,江津,3
282,需提交,2
283,柳机,2
284,柳,2
285,机动力,2
286,前身,2
287,安徽,2
288,创捷,2
289,祥禾,2
290,外文,2
291,人二,2
292,电子信箱,2
293,网址,2
294,选定,2
295,网站,2
296,李元良,2
297,李青松,2
298,非金融,2
299,自然灾害,2
300,显失,2
301,一次性,2
302,变矩器,2
303,订单式,2
304,质量部,2
305,采购计划,2
306,评审,2
307,质保,2
308,工件,2
309,刀具,2
310,专用性,2
311,环节,2
312,工艺流程,2
313,制订,2
314,知名度,2
315,单价,2
316,精细,2
317,批量生产,2
318,惯例,2
319,仓库,2
320,仓储,2
321,附属,2
322,部件,2
323,之中,2
324,停产,2
325,备件,2
326,请见,2
327,经验丰富,2
328,匹配,2
329,铸铁,2
330,重力,2
331,粗加工,2
332,集成,2
333,浇注,2
334,意大利,2
335,多台,2
336,套,2
337,丰田,2
338,工机,2
339,泰勒,2
340,探伤仪,2
341,开发成本,2
342,制备,2
343,长,2
344,多层面,2
345,数据库,2
346,速度,2
347,稳定性,2
348,曾多次,2
349,等奖项,2
350,转版,2
351,资源管理,2
352,管理工具,2
353,控制能力,2
354,质量奖,2
355,成熟,2
356,单台,2
357,理解,2
358,针对性,2
359,生产成本,2
360,铸铝,2
361,共享,2
362,由盈,2
363,转亏,2
364,较强,2
365,极,2
366,登陆,2
367,国产,2
368,新车型,2
369,反应速度,2
370,重点项目,2
371,稳步增长,2
372,全面推行,2
373,助推,2
374,专业培训,2
375,外派,2
376,骨干,2
377,多种形式,2
378,资源配置,2
379,推行,2
380,挖潜,2
381,节点,2
382,验资,2
383,上证,2
384,再造,2
385,夯实,2
386,人才队伍,2
387,辖区,2
388,双,2
389,随机,2
390,进一步提高,2
391,开具,2
392,工厂,2
393,为件,2
394,回落,2
395,激烈,2
396,列为,2
397,战略性,2
398,新兴产业,2
399,政府部门,2
400,坚定,2
401,插电式,2
402,迎来,2
403,诸多,2
404,难关,2
405,有待,2
406,进程,2
407,燃油,2
408,呈,2
409,严峻,2
410,找准,2
411,增长点,2
412,传统,2
413,紧跟,2
414,前沿技术,2
415,力争,2
416,早日,2
417,一步,2
418,能源,2
419,前沿,2
420,逐项,2
421,商用车,2
422,创新能力,2
423,熟悉,2
424,熟练,2
425,工人,2
426,充分考虑,2
427,宏观,2
428,终端,2
429,随之,2
430,过度,2
431,加剧,2
432,产品价格,2
433,在内,2
434,差异化,2
435,成长期,2
436,不易,2
437,前项,2
438,正值,2
439,足以,2
440,收购人,2
441,将相,2
442,故意,2
443,刘静,2
444,顺序,2
445,内拟,2
446,社会公众,2
447,解聘,2
448,事业,2
449,基金会,2
450,教师,2
451,公益事业,2
452,深圳,2
453,旨在,2
454,体现,2
455,源头,2
456,含尘,2
457,熔炼,2
458,熔炼炉,2
459,除尘器,2
460,粉尘,2
461,清洗,2
462,设有,2
463,厂区,2
464,污水排放,2
465,口,2
466,大功率,2
467,气浮,2
468,压滤机,2
469,水质,2
470,随后,2
471,双福,2
472,废品,2
473,废油,2
474,废,2
475,污泥,2
476,危废房,2
477,贮存,2
478,容器,2
479,接收,2
480,联单,2
481,操作,2
482,外资股,2
483,丞,2
484,张庆蓉,2
485,苏钢,2
486,书,2
487,无无无,2
488,无年,2
489,兰丞,2
490,杨,2
491,力系,2
492,兄长,2
493,加拿大,2
494,摩托车,2
495,厂长,2
496,系主任,2
497,博士生,2
498,导师,2
499,工程师,2
500,教研室,2
501,新加坡,2
502,组长,2
503,微型汽车,2
504,陈宋,2
505,岗位职责,2
506,回避,2
507,态度,2
508,出席会议,2
509,自主经营,2
510,决定书,2
511,回复,2
512,异常,2
513,退换货,2
514,五一,2
515,复杂性,2
516,将要,2
517,监盘,2
518,疑虑,2
519,持续性,2
520,机械配件,2
521,道路,2
522,两类,2
523,结清,2
524,市场经济,2
525,回升,2
526,包装物,2
527,转售,2
528,组在,2
529,组时,2
530,建筑物,2
531,运输工具,2
532,办公设备,2
533,竣工,2
534,应予,2
535,立项,2
536,一类,2
537,该类,2
538,日有,2
539,装修费,2
540,日以,2
541,售出,2
542,通知单,2
543,无误,2
544,传递,2
545,财务部门,2
546,法将,2
547,款额,2
548,应缴,2
549,销项,2
550,预缴,2
551,票,2
552,承兑人,2
553,故本,2
554,票据法,2
555,持票人,2
556,江铃,2
557,标致,2
558,雪铁龙,2
559,定期存款,2
560,渝,2
561,桥,2
562,松泽,2
563,建材,2
564,住友,2
565,商社,2
566,消耗性,2
567,保险费,2
568,未决,2
569,担保物,2
570,小计续,2
571,上表,2
572,一浦,2
573,莱斯,2
574,原件,2
575,一本,1
576,三天,1
577,健,1
578,许峥及,1
579,主管人员,1
580,五经,1
581,否八,1
582,违反规定,1
583,否九,1
584,详细描述,1
585,查阅,1
586,文义,1
587,另有所指,1
588,含义,1
589,常用,1
590,创捷祥,1
591,浙江,1
592,广州,1
593,中文名称,1
594,中文,1
595,缩写,1
596,联系人,1
597,联系方式,1
598,联系地址,1
599,许锐,1
600,媒体,1
601,登载,1
602,无六,1
603,江干区,1
604,钱江路,1
605,华润,1
606,座,1
607,福田区,1
608,深南,1
