,分词排序,词频
0,共享,214
1,自行车,198
2,公共,130
3,出行,120
4,常州,105
5,科技,101
6,行低,70
7,碳,70
8,江苏,66
9,汽车,66
10,信息,51
11,单车,43
12,银行,39
13,孙继胜,38
14,比上,37
15,上海,35
16,助力,33
17,本方,32
18,建设,30
19,创业投资,26
20,工程,25
21,苏州,24
22,智能,24
23,交易方式,21
24,交通,20
25,常州市,19
26,充值,18
27,云鑫,16
28,传统,16
29,环保,15
30,数据,14
31,南通,14
32,安徽,14
33,意向,14
34,付费,13
35,小安,13
36,安平,13
37,福弘,12
38,销售业务,12
39,新一代,12
40,远为,11
41,联网,11
42,电动汽车,11
43,注注,11
44,青企,10
45,青年,10
46,公里,10
47,助力车,10
48,环境,10
49,六个月,10
50,陶,10
51,网站,9
52,公共服务,9
53,车辆,9
54,人工,9
55,泉州,9
56,桂林,9
57,黄得,9
58,社会公众,9
59,新北,9
60,财政拨款,9
61,创投,8
62,消费者,8
63,越来越,8
64,因未,8
65,资源,7
66,公共交通,7
67,站点,7
68,卡,7
69,电子锁,7
70,汉江,7
71,路,7
72,媒体,7
73,投放,7
74,投放量,7
75,浙江,7
76,河海大学,7
77,居家,7
78,制造,7
79,系统集成,7
80,淮南,7
81,载明,7
82,大宗,7
83,优先购买,7
84,生物,7
85,孙继胜年,7
86,红土,6
87,调试,6
88,新北区,6
89,致同,6
90,市民,6
91,端的,6
92,服务项目,6
93,维修,6
94,维修保养,6
95,布市,6
96,开曼,6
97,唐山胜安,6
98,润安,6
99,土地,6
100,云索军,6
101,科新,6
102,节能,6
103,教育费,6
104,创业,5
105,创尔立,5
106,手机,5
107,通讯,5
108,停车,5
109,意向书,5
110,北京,5
111,宁波,5
112,消费,5
113,互联网,5
114,线下,5
115,倒闭,5
116,复制,5
117,会员,5
118,印度,5
119,续期,5
120,投标,5
121,自由,5
122,运动,5
123,低碳,5
124,永科,5
125,南平市,5
126,爱,5
127,材料,5
128,配股,5
129,具体措施,5
130,触发,5
131,致使,5
132,证券交易,5
133,方可,5
134,若拟,5
135,报刊,5
136,道歉,5
137,商业银行,5
138,软件,5
139,住房,5
140,房地产,5
141,油气,5
142,分子,5
143,由本,5
144,市政,5
145,服务业,5
146,无桩,4
147,汽车网,4
148,约车,4
149,冠新,4
150,有桩,4
151,市县,4
152,电子,4
153,调度,4
154,通信,4
155,停放,4
156,深圳,4
157,这一,4
158,电动,4
159,原先,4
160,颠覆性,4
161,快速增长,4
162,泰州,4
163,昆山,4
164,超辆,4
165,一体化,4
166,落地,4
167,骑旅,4
168,系该,4
169,剥离,4
170,故年,4
171,网络科技,4
172,无锡市,4
173,派克,4
174,常熟,4
175,便民,4
176,阜安,4
177,永兴,4
178,孙,4
179,三十六个,4
180,小阳,4
181,索军,4
182,申购,4
183,派送,4
184,拆细,4
185,缩股,4
186,如未,4
187,扣留,4
188,等额,4
189,清理,4
190,专利权,4
191,中信银行,4
192,中国农业银行,4
193,排污,4
194,防治法,4
195,九洲,4
196,光源,4
197,普查,4
198,鞠明,4
199,陈鹏,4
200,李鹏,4
201,科新金卡,4
202,龄,4
203,稷,4
204,蚂蚁,4
205,小微,4
206,金融服务,4
207,武进区,4
208,宝,4
209,斯特,4
210,安博特,4
211,主办,4
212,教育,4
213,养老保险,4
214,保险,4
215,很小,4
216,差,4
217,俄罗斯,4
218,信用等级,4
219,出票,4
220,退还,4
221,卡办,4
222,成交,4
223,为元股,4
224,拟以,3
225,即股,3
226,年底,3
227,桩,3
228,设置,3
229,租车,3
230,身份,3
231,数据分析,3
232,米,3
233,优点,3
234,定点,3
235,车,3
236,小时,3
237,销售商,3
238,政府部门,3
239,行政区,3
240,广州,3
241,南京,3
242,国际金融,3
243,行向,3
244,专车,3
245,频次,3
246,无序,3
247,免费,3
248,呈现,3
249,扩张,3
250,推移,3
251,规模化,3
252,徐州,3
253,扬州,3
254,私家,3
255,照明,3
256,焦作,3
257,网约车,3
258,衔接,3
259,一体,3
260,导流,3
261,服务平台,3
262,区别,3
263,自动,3
264,属性,3
265,面向,3
266,郑东新,3
267,已有,3
268,华东,3
269,少,3
270,售后服务,3
271,系本,3
272,第九次,3
273,装备,3
274,宗地,3
275,地块,3
276,用地,3
277,交安,3
278,速风,3
279,随之,3
280,行在,3
281,积极性,3
282,取决于,3
283,表现,3
284,负面,3
285,股该,3
286,要约,3
287,票,3
288,云何,3
289,下述,3
290,无需,3
291,款后,3
292,招股,3
293,司法机关,3
294,改为,3
295,号文,3
296,权及,3
297,权暨,3
298,投资人,3
299,券商,3
300,上海浦东发展银行,3
301,江南,3
302,农村,3
303,金坛,3
304,金西,3
305,户,3
306,黄得云,3
307,客服,3
308,陈,3
309,委派代表,3
310,资深,3
311,校区,3
312,办,3
313,教师,3
314,云南,3
315,医疗保险,3
316,工伤保险,3
317,生育,3
318,选取,3
319,支持性,3
320,审阅,3
321,保费,3
322,准备金,3
323,中央银行,3
324,家孙,3
325,对以,3
326,该组,3
327,半成品,3
328,集成,3
329,竣工,3
330,建筑物,3
331,保险费,3
332,售后,3
333,信息技术,3
334,等家,3
335,布拉戈维申斯克,3
336,垫付,3
337,桂林市,3
338,热线服务,3
339,优惠券,3
340,异,3
341,卡费,3
342,软件产品,3
343,即征,3
344,退,3
345,奖补,3
346,无年,3
347,源于,3
348,湖塘,3
349,建斌,3
350,小吃店,3
351,领薪,3
352,主管人员,2
353,至股,2
354,尚需,2
355,查阅,2
356,不时,2
357,修正案,2
358,指南,2
359,又称,2
360,无线,2
361,后台,2
362,本身,2
363,带有,2
364,新能源,2
365,脚踏,2
366,扫码,2
367,租用,2
368,两轮,2
369,一线,2
370,企事业,2
371,移交,2
372,此对应,2
373,行政区划,2
374,本招股,2
375,直辖市,2
376,县,2
377,社会活动,2
378,带动,2
379,大都市,2
380,武汉,2
381,郑州,2
382,外文,2
383,电子信箱,2
384,董萍,2
385,网址,2
386,建国,2
387,门外,2
388,大街,2
389,涂振连,2
390,邓斌锋,2
391,符合国家,2
392,出租车,2
393,组件,2
394,健康,2
395,态势,2
396,上线,2
397,退坡,2
398,野蛮,2
399,变为,2
400,观望,2
401,大幅度,2
402,喜爱,2
403,造就,2
404,很多,2
405,诸如,2
406,便捷性,2
