,分词排序,词频
0,北京,386
1,乾景,335
2,园林,268
3,工程,157
4,外均,131
5,建设,105
6,旅游,101
7,生态,82
8,环保,79
9,全福,77
10,景观,75
11,施工,70
12,回,65
13,信息,65
14,杨静,55
15,苗木,49
16,绿化,47
17,规划设计,47
18,科技,46
19,汉尧,42
20,园林工程,42
21,南京,42
22,环境,41
23,工程施工,37
24,恒通,36
25,园林景观,36
26,生态环境,34
27,园林绿化,32
28,农村,31
29,建造,31
30,森林,30
31,四川,30
32,文化,29
33,生态建设,29
34,竣工,28
35,乡村,28
36,系本,28
37,生物,28
38,资源,27
39,河北,26
40,房地产,26
41,湿地,26
42,文明,26
43,公园,25
44,养护,25
45,生态旅游,25
46,民营企业,25
47,造价,25
48,标段,24
49,五八,24
50,安祥,24
51,农业,23
52,泊车,22
53,康养,22
54,兰州,20
55,福建,20
56,原田,20
57,海淀区,19
58,合肥,19
59,市政,19
60,修复,19
61,建设工程,19
62,佛山,19
63,银行,19
64,江苏,18
65,乔木,18
66,温室,17
67,森林公园,17
68,道路,17
69,工程项目,17
70,后付,17
71,环境保护,16
72,休闲,16
73,数据,16
74,瑞泽源,16
75,密云,16
76,东戴河,16
77,永胜,15
78,防治,15
79,地产,15
80,污染,15
81,乾景宝生,15
82,农产品,15
83,内付,15
84,永中,14
85,张,14
86,上海,14
87,种植,14
88,工期,14
89,机电设备,14
90,总价,14
91,乙方,14
92,供给,13
93,材料,13
94,人居,13
95,发包人,13
96,生态景观,13
97,度假区,13
98,框架,13
99,乾兴,13
100,香港,13
101,小额贷款,13
102,土地,12
103,落地,12
104,新城,12
105,营,12
106,投标,12
107,雅安,12
108,园林规划,12
109,甲方,12
110,清理,12
111,工程进度,12
112,人回,12
113,消耗性,12
114,各区,12
115,保修,12
116,绿色,11
117,网站,11
118,一体化,11
119,白河,11
120,移交,11
121,美丽,11
122,整治,11
123,林业大学,11
124,关键技术,11
125,刘,11
126,志学,11
127,张磊,11
128,管委会,11
129,河,11
130,注本,11
131,结构性,10
132,组建,10
133,中央,10
134,全域,10
135,万花筒,10
136,景观设计,10
137,赤峰,10
138,建筑,10
139,项目管理,10
140,张新朝,10
141,付,10
142,灌木,10
143,证监会,9
144,世园,9
145,多元化,9
146,承接,9
147,攻坚战,9
148,多巴,9
149,周,9
150,公山,9
151,智通,9
152,林苑,9
153,征集,9
154,论证,9
155,增发,9
156,还兰女,9
157,招股,9
158,后本,9
159,审定,9
160,注年,9
161,分区,9
162,承包人,9
163,暂定,9
164,小镇,8
165,开工,8
166,世界园艺博览会,8
167,公共,8
168,大会,8
169,基础设施,8
170,建筑设计,8
171,节能,8
172,质保,8
173,大熊猫,8
174,产值,8
175,乾景隆域,8
176,深圳,8
177,差异化,8
178,崔月,8
179,第一百七,8
180,当年度,8
181,前提条件,8
182,拟定,8
183,网络,8
184,投票,8
185,因派,8
186,蒋力,8
187,理事,8
188,质保金,8
189,余款,8
190,人为,8
191,张建,7
192,旅游部,7
193,李萍,7
194,较长,7
195,分包,7
196,东升,7
197,科技园,7
198,周边,7
199,绿地,7
200,泉水,7
201,湖,7
202,秦王,7
203,川,7
204,风景园林,7
205,园林设计,7
206,湟水,7
207,河扎,7
208,麻隆,7
209,信息化,7
210,充分考虑,7
211,顺利,7
212,教育,7
213,期年,7
214,拆出,7
215,凯丰,7
216,前海仁泰,7
217,若干,7
218,听取,7
219,复权,7
220,大连,7
221,啟平,7
222,吴志勇,7
223,学会,7
