,分词排序,词频
0,星光,240
1,农机,174
2,农业,103
3,湖州,81
4,湖州市,72
5,机械化,71
6,收割机,53
7,科技,46
8,南浔区,46
9,信息,43
10,沈强,41
11,收获机,40
12,工程,39
13,玉龙,38
14,新家园,36
15,机械,35
16,制造,35
17,章,32
18,浙江,31
19,作业,30
20,全程,30
21,自走式,29
22,装备,28
23,农业机械,27
24,正工,26
25,上海,23
26,玉米,23
27,环境,22
28,采棉机,22
29,孚,22
30,农作物,22
31,捆机,22
32,傅忠红,22
33,镇,21
34,银行,21
35,李万明,20
36,压,20
37,环保,20
38,钱,20
39,菊花,20
40,新兴,19
41,花生,19
42,秸秆,19
43,操作,18
44,生物,18
45,建设,18
46,跑道,17
47,绿色,17
48,江苏,16
49,拖拉机,16
50,稻麦,16
51,液压,16
52,捡拾,15
53,养殖,15
54,下滑,15
55,土地,15
56,北京,15
57,振兴,14
58,养鱼,14
59,清选,14
60,传统,14
61,智能,14
62,资源,14
63,鼎日,13
64,湖北,13
65,作物,13
66,零部件,13
67,获授,13
68,数据,12
69,可靠性,12
70,智能化,12
71,废弃物,12
72,一路,12
73,机关,12
74,裁判,12
75,公司公告,12
76,达晨,12
77,财政性,12
78,钣工,11
79,乡村,11
80,旋耕机,11
81,收获,11
82,烘干机,11
83,土壤,11
84,湖南,11
85,要约,11
86,河南,10
87,轮式,10
88,健康,10
89,适应性,10
90,触发,10
91,人章,10
92,自控,9
93,水稻,9
94,棉花,9
95,耕种,9
96,节能,9
97,自动,9
98,动力,9
99,长,9
100,装置,9
101,整机,9
102,谷物,9
103,粮食,9
104,材料,9
105,急需,9
106,湖北省,9
107,对名,9
108,电科,8
109,房地产,8
110,小麦,8
111,后处理,8
112,环节,8
113,打捆机,8
114,可调,8
115,发动机,8
116,籽粒,8
117,种植,8
118,压捆,8
119,畜禽,8
120,污染,8
121,激烈,8
122,方明,8
123,朱豫江,8
124,事业单位,8
125,第二批,8
126,银行贷款,8
127,人力资源,8
128,大街,7
129,延伸,7
130,履带式,7
131,履带,7
132,贡献,7
133,滚筒,7
134,脱粒,7
135,无级,7
136,三项,7
137,排放,7
138,青贮,7
139,较强,7
140,青贮饲料,7
141,机,7
142,谷子,7
143,饲料,7
144,经济作物,7
145,碧野,7
146,生物科技,7
147,资源化,7
148,肥机,7
149,现代农业,7
150,降幅,7
151,周国强,7
152,机器设备,7
153,补贴款,7
154,紧缺,7
155,新余,6
156,沃野,6
157,宿迁,6
158,王,6
159,现代化,6
160,水田,6
161,变速,6
162,喂入,6
163,割台,6
164,转向,6
165,农机具,6
166,面积,6
167,机器,6
168,烘干,6
169,基建,6
170,生态,6
171,种养,6
172,外协,6
173,农产品,6
174,丘陵,6
175,短板,6
176,信息化,6
177,中央,6
178,摘果机,6
179,品类,6
180,技术改造,6
181,文化,6
182,纵横,6
183,保有量,6
184,人工,6
185,致使,6
186,专用设备,6
187,农村,6
188,环境保护,6
189,社会公众,6
190,若因,6
191,司法机关,6
192,所获,6
193,业务范围,6
194,工程师,6
195,就职,6
196,送货,6
197,油气,6
198,当日,6
199,教育费,6
200,通山县,6
201,代扣代缴,6
202,粮油,6
203,就业,6
204,专项经费,6
205,电控,5
206,濮阳,5
207,农发,5
208,结构调整,5
209,成熟,5
210,售后服务,5
211,批量,5
212,长远,5
213,收割,5
214,远程,5
215,行走,5
216,不锈钢,5
217,效率高,5
218,配置,5
219,灵活,5
220,收集,5
221,干燥,5
222,联网,5
223,技术创新,5
224,摘果,5
225,适用性,5
226,肥料,5
227,基料,5
228,修复,5
229,南方,5
230,山区,5
231,农民,5
232,畜牧,5
233,机具,5
234,粮食作物,5
235,收棒,5
236,收籽,5
237,棉机,5
238,产品设计,5
239,感恩,5
240,越来越,5
241,补齐,5
242,金鼎,5
243,焚烧,5
244,产品品质,5
245,环境污染,5
246,制造业,5
247,人力,5
248,农业部,5
249,防治,5
250,工程项目,5
251,钱菊平,5
252,沈强章,5
253,测试报告,5
254,模型,5
255,浔,5
256,农业装备,5
257,换取,5
258,常州市,5
259,联合社,5
260,科技局,5
261,保障局,5
262,制权,5
263,期自,5
264,首个,5
265,科技开发,4
266,网站,4
267,天职,4
268,一次性,4
269,产品线,4
270,六大,4
271,供货,4
272,成套,4
273,独特,4
274,简便,4
275,安全可靠,4
