,分词排序,词频
0,北京,182
1,上海,141
2,华扬,138
3,联众,104
4,互联网,99
5,信息,91
6,科技,76
7,苏同,61
8,数据,49
9,传媒,42
10,广告投放,40
11,杭州,38
12,媒体,34
13,黄,34
14,旗帜,28
15,广告业,28
16,郭,27
17,建军,27
18,信息技术,27
19,浙江,23
20,网络科技,22
21,黄国强,22
22,皇氏,21
23,人苏同,21
24,富海,20
25,文化传媒,19
26,文化,19
27,网络,18
28,履行期,18
29,企管,16
30,策划,16
31,影视节目,16
32,姜香蕊,16
33,小兵,16
34,龙帆,16
35,网站,15
36,资源,15
37,银行,15
38,王昕,15
39,冯康洁,15
40,工程,14
41,陈,14
42,互联,13
43,骞,13
44,虹,13
45,霍尔果斯,13
46,传播,13
47,派择,12
48,口碑,12
49,从容,12
50,乐创,12
51,青稞,12
52,万维,12
53,买断式,12
54,投放,12
55,芜湖,11
56,天津,11
57,创想,11
58,福建,11
59,广州,11
60,香港,11
61,链塔,11
62,隐逸,11
63,生物,11
64,盛鼎,10
65,韩国,10
66,英国,10
67,奇禧,10
68,影视制作,10
69,房地产,10
70,创意,10
71,信托,10
72,郭海兰,10
73,乐视,10
74,杨翾,9
75,百度,9
76,成都,9
77,影视,9
78,电影,9
79,汽车,9
80,深圳,9
81,韩元,9
82,网讯,8
83,二号,8
84,网联,8
85,阿佩,8
86,用宏,8
87,数行,8
88,抢先,8
89,动漫,8
90,监测,8
91,赢得,8
92,建设,8
93,环境,8
94,海南,8
95,英镑,8
96,限售期,8
97,永中,7
98,北京华,7
99,扬创,7
100,想,7
101,捷报,7
102,指向,7
103,博大,7
104,喜悦,7
105,宽客,7
106,创业投资,7
107,网民,7
108,宣传,7
109,清华大学,7
110,流量,7
111,电视剧,7
112,互帮,7
113,孙学,7
114,为华扬,7
115,医疗,7
116,影业,7
117,注年,7
118,搜狐,6
119,南海,6
120,无穹,6
121,晶萃,6
122,中关村,6
123,东城区,6
124,座层,6
125,广告主,6
126,奖,6
127,智能,6
128,基金会,6
129,东风,6
130,鑫诺,6
131,科捷,6
132,传统,6
133,广告行业,6
134,软件,6
135,三十六个,6
136,送转,6
137,排期表,6
138,油气,6
139,乐视系,6
140,网大,6
141,房租,6
142,金卓恒邦,5
143,营销策划,5
144,重庆,5
145,同步,5
146,工程师,5
147,娱乐,5
148,服务网络,5
149,服务公司,5
150,媒介,5
151,视频,5
152,播出,5
153,摘要,5
154,定向,5
155,第一个,5
156,乙方,5
157,中信,5
158,赵轶俊,5
159,陈嵘,5
160,否不,5
161,郝涛,5
162,春播,5
163,珠海,5
164,无年,5
165,本节,5
166,日为,5
167,后本,5
168,高新技术,5
169,外汇,5
170,款年,5
171,登记日,4
172,凯旋,4
173,千,4
174,橡,4
175,网景,4
176,同钧,4
177,时尚,4
178,海纳,4
179,指系华扬,4
180,创投,4
181,善易,4
182,金卡,4
183,毁损,4
184,助力,4
185,合作伙伴,4
186,案例,4
187,自动化,4
188,知名,4
189,激烈,4
190,促使,4
191,营业额,4
192,本土,4
193,伦敦,4
194,电子商务,4
195,广告公司,4
196,单元,4
197,数字化,4
198,户外,4
199,教育,4
200,元为,4
201,商业模式,4
202,声誉,4
203,层面,4
204,广告业务,4
205,股票价格,4
206,招股,4
207,丙方,4
208,排污,4
209,股共,4
210,贾建萍,4
211,刘松,4
212,任华扬,4
213,智威汤逊,4
214,评估师,4
215,樊旭文,4
216,公益,4
217,材料,4
218,中央银行,4
219,日以,4
220,注注,4
221,出资额,4
222,易粉,4
223,交通,4
224,拨款,4
225,江西省,4
226,武汉,4
227,威朋,3
228,一动,3
229,联智,3
230,国址,3
231,贡院,3
232,西街,3
233,海淀区,3
234,东路,3
235,中信证券,3
236,自然灾害,3
237,专注,3
238,代理服务,3
239,协助,3
240,统计,3
241,商务,3
242,线下,3
243,快速增长,3
244,创新能力,3
245,信任,3
246,业内,3
247,出色,3
248,前沿技术,3
249,大多,3
250,始终保持,3
251,保持稳定,3
252,表现形式,3
253,外延,3
254,博士,3
255,科学,3
256,联盟,3
257,天下,3
258,稳步,3
259,华,3
260,明星,3
261,体育,3
262,转化,3
263,斩获,3
264,图,3
265,数据分析,3
266,腾讯,3
267,上汽,3
268,通用汽车,3
269,雅诗兰黛,3
270,标致,3
271,雪铁龙,3
272,日产,3
273,银行贷款,3
274,半年报,3
275,季报,3
276,下滑,3
277,售出,3
278,测算,3
279,大规模,3
280,本地,3
281,浏览,3
282,扩张,3
283,身份,3
284,理解,3
285,著作权,3
286,频次,3
287,拟以,3
288,任职期间,3
289,经济实体,3
290,名单,3
291,睿响,3
292,一码,3
293,付,3
294,轮,3
295,南京,3
