,分词排序,词频
0,白云,244
1,广州,171
2,桂林,136
3,电力,91
4,东芝,86
5,电气,85
6,电器,81
7,轨道交通,78
8,胡,73
9,工程,73
10,电容,67
11,特高压,67
12,建设,65
13,电容器,63
14,电器设备,60
15,信息,56
16,制造,56
17,智能,42
18,直流,41
19,电子,40
20,工业,39
21,电网,38
22,浙变,35
23,胡明,34
24,胡明森,32
25,成套,32
26,高胡,31
27,明光,31
28,合意,31
29,数据,31
30,明聪,29
31,开关设备,28
32,输电,27
33,配电,27
34,银行,26
35,自动化,25
36,能源,24
37,装置,24
38,王卫彬,23
39,浙江,23
40,互联网,22
41,数字化,22
42,电气设备,21
43,制造业,21
44,土地,21
45,胡德兆,20
46,变压器,20
47,菱机,19
48,地铁,19
49,白云区,18
50,材料,18
51,科技,17
52,房地产,17
53,高压,17
54,广西,17
55,交直流,16
56,开关,15
57,智能化,15
58,元器件,15
59,兄妹,14
60,锦州,14
61,高新技术,14
62,公里,14
63,韶关,13
64,电压,13
65,机械,13
66,建筑物,13
67,胡氏,12
68,智源,12
69,桂容,12
70,北京,12
71,供电系统,12
72,交流,12
73,条,12
74,荣获,12
75,广东,12
76,内蒙古,11
77,谐平,11
78,里程,11
79,配电网,11
80,促成,11
81,德宏,11
82,中国银行,11
83,泰达,10
84,创盈,10
85,徐州,10
86,小额贷款,10
87,等级,10
88,文化,10
89,节能,10
90,农村,10
91,商业银行,10
92,生物,10
93,立信,9
94,服务商,9
95,超高压,9
96,发电,9
97,一等奖,9
98,线路,9
99,投标,9
100,绝缘,9
101,供电,9
102,器材,9
103,立案侦查,9
104,随心,9
105,兴业银行,9
106,建造,9
107,协议书,9
108,中智德源,8
109,软件,8
110,上海,8
111,寿命,8
112,发明专利,8
113,装备,8
114,调试,8
115,座,8
116,集成,8
117,填补,8
118,赢家,8
119,黄埔,8
120,胡明聪,8
121,技术改造,8
122,真空开关,7
123,神,7
124,山镇,7
125,生命周期,7
126,科技进步,7
127,基础设施,7
128,电线电缆,7
129,粤港澳,7
130,柔性,7
131,滤波,7
132,评审,7
133,人工,7
134,南京,7
135,环保,7
136,路,7
137,工程项目,7
138,司法机关,7
139,天天,7
140,大道,7
141,添利,7
142,快线,7
143,副经理,7
144,谢晓尧,7
145,三旧,7
146,数园,7
147,信天,7
148,判决书,7
149,明德,6
150,特等奖,6
151,技术装备,6
152,首创,6
153,工厂,6
154,大规模,6
155,新一轮,6
156,大湾,6
157,第一条,6
158,核电,6
159,低压,6
160,绿色,6
161,获,6
162,辅件,6
163,零件,6
164,真空,6
165,牵引,6
166,气体,6
167,双轮,6
168,签订协议,6
169,最新,6
170,证监会,6
171,或本,6
172,解散,6
173,大德,6
174,傅元略,6
175,油气,6
176,第一名,6
177,第二名,6
178,第三名,6
179,第四名,6
180,第五名,6
181,粤,6
182,验资,6
183,海创园,6
184,止该,6
185,安徽,6
186,蓝翔,6
187,中信证券,5
188,大岭,5
189,环境,5
190,套,5
191,电力设备,5
192,国家电网,5
193,教育,5
194,十大,5
195,领军,5
196,二等奖,5
197,鉴定,5
198,功能齐全,5
199,新建,5
200,信息化,5
201,年底,5
202,万亿元,5
203,配网,5
204,若干,5
205,优良,5
206,技术创新,5
207,互感器,5
208,第一批,5
209,顺利,5
210,名牌产品,5
211,城市轨道,5
212,零售,5
213,机械设备,5
214,产业基地,5
215,开支,5
216,证券市场,5
217,因涉嫌,5
218,真实性,5
219,完整性,5
220,无条件,5
221,法定程序,5
222,非法,5
223,规章,5
224,权证,5
225,永中,5
226,建筑工程,5
227,民营,5
228,副会长,5
229,玻璃,5
230,业经,5
231,除净,5
232,年报,5
233,中国农业银行,5
234,用地,5
235,钣,5
236,扬新,5
237,湖南,5
238,黑金,5
239,季节性,4
240,南路,4
241,及运维,4
242,元件,4
243,贡献,4
244,荣誉,4
245,开通,4
246,覆盖率,4
247,技术水平,4
248,工作站,4
249,科研机构,4
250,定制,4
251,有轨电车,4
252,迎来,4
253,西部,4
254,输变电,4
255,万亿,4
256,亿千瓦,4
257,战略目标,4
258,纲要,4
259,专注,4
260,电能,4
261,管理系统,4
262,昌吉,4
263,优秀奖,4
264,首届,4
265,深耕,4
266,呼和浩特,4
267,军民,4
268,两化,4
269,电,4
270,深化,4
271,电容式,4
272,售后服务,4
273,产品设计,4
274,光伏,4
275,一带,4
276,一路,4
277,环保型,4
278,共有,4
279,金属,4
280,封闭,4
281,层面,4
282,能源管理,4
283,二次,4
284,施工,4
285,涉嫌,4
286,异常,4
287,采取任何,4
288,财务部门,4
289,身份,4
290,保全,4
291,清理,4
292,会师,4
293,报字,4
294,科技园,4
295,中银,4
296,智选,4
297,开放式,4
298,平安,4
299,采购部,4
300,李昕晖,4
301,李胜兰,4
302,黄楚秋,4
303,学会,4
304,中山大学,4
305,异议,4
306,中央银行,4
307,电缆,4
308,以换,4
309,养老保险,4
310,缴费,4
311,中长期,4
312,教育费,4
313,节五,4
314,卧龙,4
315,中国建设银行,4
316,审验,4
317,场所,4
318,容,4
319,三菱,4
320,电机,4
321,华威,4
322,金鑫,4
323,机电,4
324,长沙市,4
325,品高,3
326,卓越,3
327,显失,3
328,南方电网,3
329,深圳,3
330,整线,3
331,意义,3
332,领先水平,3
333,合作开发,3
334,科研,3
335,德国,3
336,交通,3
337,交货,3
338,响应,3
339,轻轨,3
340,同步,3
341,一批,3
342,带动,3
343,国务院办公厅,3
344,补短,3
345,板,3
346,农网,3
347,几年,3
348,联网,3
349,不断扩大,3
350,期货,3
351,宗旨,3
352,视,3
353,市场营销,3
354,世界领先,3
355,第一套,3
356,首台,3
357,第二十届,3
358,中国专利,3
359,杰出,3
360,争先,3
361,集体奖,3
362,终端用户,3
363,落地,3
364,贯标,3
365,改革开放,3
366,设置,3
367,最具,3
368,用电,3
369,专利技术,3
370,自动,3
371,研制,3
372,跟随,3
373,持平,3
374,充足,3
375,下发,3
376,工商行政管理局,3
377,准予,3
378,维修,3
379,批发业,3
380,仪器仪表,3
381,修理,3
382,器件,3
383,系统工程,3
384,真空设备,3
385,开关柜,3
386,商务部,3
387,模块化,3
388,杭州,3
389,远景规划,3
390,机电设备,3
391,智能型,3
392,分立,3
393,多种形式,3
394,组建,3
395,充分利用,3
396,延伸,3
397,保密,3
398,资源,3
399,结构性,3
400,拟以,3
401,涉嫌犯罪,3
402,刑事,3
403,纪律处分,3
404,暂行规定,3
405,约束力,3
406,侵占,3
407,中介机构,3
408,社会公众,3
409,尽力,3
410,现未,3
411,行为准则,3
412,尽量避免,3
413,回避,3
414,存续,3
415,股东会,3
416,信托,3
417,房产,3
418,住房,3
419,罚款,3
420,排污,3
421,户,3
422,架桥,3
423,富凯,3
424,周渝慧,3
425,男女,3
426,政治协商,3
427,理事会,3
428,厦门大学,3
429,河南省,3
430,年薪,3
431,通讯,3
432,保费,3
433,准备金,3
434,七七,3
435,改制,3
436,额外,3
437,乘以,3
438,政策性,3
439,票,3
440,本利,3
441,丰,3
442,步步高,3
443,权属,3
444,绕线机,3
445,收益权,3
446,续建,3
447,工程技术,3
448,知识产权局,3
449,发明,3
450,桂林市,3
451,第二批,3
452,到位,3
453,赊销,3
454,水电费,3
455,年经,3
456,不服,3
457,上诉,3
458,广州市中级人民法院,3
459,元及,3
460,文本,3
461,第二十三,2
462,派发,2
463,家族,2
464,期为,2
465,外文,2
