,分词排序,词频
0,鼎胜,103
1,杭州,83
2,铝业,80
3,交通银行,75
4,箔,73
5,周贤,71
6,海王,71
7,信息,65
8,杭,60
9,江苏,59
10,余非,57
11,小丽鼎胜,55
12,铝板带,45
13,材料,44
14,新能源,43
15,银行,39
16,浙江,32
17,铝箔,32
18,工程,32
19,镇江,31
20,普润,31
21,新材,29
22,香港,28
23,铝,28
24,中国银行,28
25,五星,27
26,环境,26
27,信兴,25
28,铝锭,25
29,卢春泉,25
30,郜翀,24
31,委派代表,24
32,空调,23
33,建设,23
34,周贤海,22
35,房地产,22
36,鼎成,20
37,内蒙古,20
38,联晟新材,20
39,鼎福,19
40,北京,19
41,余杭,19
42,平方,18
43,销售业务,18
44,环保,18
45,数据,17
46,小丽,16
47,双零箔,15
48,电池,15
49,泰铢,15
50,鼎立,14
51,很小,14
52,阳春,13
53,泰国,13
54,钟洁,13
55,制造业,13
56,宋,12
57,动力,12
58,压延,12
59,铝合金,12
60,期货,12
61,监测,12
62,土地,12
63,生物,12
64,泰,11
65,运输,11
66,科技,11
67,陆金,11
68,应急,11
69,南京,11
70,被套,11
71,单零箔,10
72,加工费,10
73,土壤,10
74,废气,10
75,排放,10
76,王瑛,9
77,后勤,9
78,荣丽达,9
79,合金,9
80,鼎瑞,9
81,壹号,9
82,机械,9
83,坯料,9
84,美的,9
85,可转债,9
86,开立,9
87,高新技术,9
88,创业投资,9
89,盛,9
90,商品流通,9
91,乔洛,8
92,沿海,8
93,网站,8
94,天健,8
95,远期,8
96,铝加工,8
97,汽车,8
98,排污,8
99,填补,8
100,丁贵宝,8
101,制冷,8
102,拆,8
103,银隆,7
104,澈,7
105,上海,7
106,现货,7
107,工序,7
108,人工,7
109,燃料,7
110,信用证,7
111,司晟新本,7
112,地下水,7
113,陈魏,7
114,教育,7
115,油气,7
116,建造,7
117,格力电器,7
118,中信,6
119,鼎亨,6
120,王诚,6
121,结售汇,6
122,锂电池,6
123,长江,6
124,国外,6
125,有色金属,6
126,消费量,6
127,龙头,6
128,消费,6
129,制造,6
130,技术改造,6
131,退税,6
132,因派,6
133,增发,6
134,中止,6
135,新材部,6
136,材鼎,6
137,公联胜,6
138,排放口,6
139,收集,6
140,建筑物,6
141,实业集团,5
142,华尔盛,5
143,鼎盛,5
144,轻,5
145,京口,5
146,非金融,5
147,冷轧,5
148,发货,5
149,直销,5
150,电力,5
151,节能,5
152,龙头企业,5
153,涂层,5
154,热交换器,5
155,动力电池,5
156,能源,5
157,格力,5
158,检测,5
159,高度,5
160,生产工艺,5
161,产品种类,5
162,普板,5
163,简化,5
164,资已,5
165,污染物,5
166,车间,5
167,有机物,5
168,因子,5
169,共青城,5
170,宗永进,5
171,男无否,5
172,杨一兵,5
173,苏州,5
174,抽样,5
175,商业银行,5
176,联晟新,5
177,售后,5
178,保险费,5
179,源于,5
180,俊帆,4
