,分词排序,词频
0,老百姓,355
1,药房,177
2,零售,150
3,连锁,144
4,药品,127
5,医药,117
6,湖南,58
7,信息,56
8,健康,52
9,药店,50
10,常州,40
11,长沙,36
12,上海,35
13,药,35
14,江苏,34
15,医药集团,33
16,莫昆庭,33
17,片区,32
18,百杏堂,30
19,兰州,28
20,谢子,27
21,杭州,27
22,西安,27
23,堂,27
24,医保,27
25,天津,26
26,圣堂,26
27,银行,25
28,北京,24
29,安徽,24
30,湖南省,24
31,陈秀兰,24
32,镇江,24
33,中医,24
34,张浩文,24
35,龙,23
36,丰沃达,23
37,扬州,23
38,谢子龙,23
39,建设,23
40,工程,23
41,泽星,22
42,物流,22
43,科技,22
44,顾客,22
45,中药,21
46,南通,20
47,店家,20
48,积分,20
49,惠仁堂,19
50,昆山,19
51,通辽,19
52,三品,19
53,换届选举,19
54,处方,18
55,数据,18
56,房地产,18
57,会员,18
58,市民,17
59,邻加医,17
60,浙江,16
61,海鹏,16
62,医疗,16
63,扶贫,16
64,普华永道,15
65,百佳,15
66,泽强,15
67,华康,15
68,金坛,15
69,千秋,15
70,馆,15
71,用药,15
72,长沙市,15
73,网站,15
74,签订协议,15
75,数万元,15
76,餐饮,15
77,陕西,14
78,广西,14
79,隆泰源,14
80,交割,14
81,普泽,13
82,简单,13
83,环保,13
84,河南,12
85,百姓,12
86,百信缘,12
87,夫妇,12
88,患者,12
89,药膳,12
90,外流,12
91,竞争性,12
92,慜,12
93,广东,11
94,网络,11
95,品类,11
96,门,11
97,消费,11
98,政通,11
99,华日,11
100,环境,11
101,排放,11
102,武滨,11
103,单喆,11
104,朱景炀,11
105,组和,11
106,社保,11
107,湖北,10
108,常德,10
109,门诊部,10
110,医院,10
111,制造,10
112,加盟,10
113,物流配送,10
114,扩张,10
115,居民,10
116,土地,10
117,棒,10
118,约翰,10
119,日元,10
120,夏文奇,9
121,河北,9
122,明园,9
123,蜂业,9
124,名裕龙行,9
125,橙,9
126,中西,9
127,中药饮片,9
128,食品,9
129,专业化,9
130,产业园,9
131,医疗机构,9
132,完成率,9
133,江西,8
134,新世纪,8
135,诊所,8
136,无锡,8
137,互联网,8
138,成药,8
139,配送,8
140,信息化,8
141,医药行业,8
142,堂大,8
143,上线,8
144,内本,8
145,承诺书,8
146,污染物,8
147,污水处理,8
148,混合型,8
149,黄,8
150,玕,8
151,杨海余,8
152,就职,8
153,电子,8
154,养老保险,8
155,商标权,8
156,一到,8
157,二年,8
158,二到,8
159,康家,8
160,药业,7
161,山东,7
162,万仁,7
163,郴州,7
164,龙盛,7
165,武汉,7
166,同济,7
167,仁德,7
168,新开,7
169,自动,7
170,常州市,7
171,店,7
172,华北,7
173,药师,7
174,新店,7
175,扣留,7
176,文化,7
177,锅炉,7
178,生物,7
179,殷拓,7
180,香港,7
181,借支,7
182,建筑物,7
183,电商,6
184,超市,6
185,南方,6
186,糖尿病,6
187,宁波,6
188,惠,6
189,达嘉维康,6
190,惠苏禾,6
191,微信,6
192,资源,6
193,新建,6
194,病种,6
195,处方药,6
196,教育,6
197,华中,6
198,华南,6
199,华东,6
200,西北,6
201,发售,6
202,许可证,6
203,交给,6
204,六个月,6
205,开门,6
206,国泰,6
207,中国建设银行,6
208,呈祥,6
209,欧阳,6
210,长恩,6
211,徐家,6
212,耀,6
213,余勇,6
214,亚洲,6
215,召集,6
216,缘,6
217,郑州,6
218,元后,5
219,制药,5
220,中银,5
221,商务部,5
222,强大,5
223,康复,5
224,宁夏,5
225,咨询服务,5
226,直,5
227,营门,5
228,直营,5
229,奕,5
230,君,5
231,占有率,5
232,药学,5
233,免费,5
234,商品销售,5
235,机器设备,5
236,医疗保健,5
237,购药,5
238,周,5
239,服务平台,5
240,另有,5
241,填补,5
242,废水,5
243,废气,5
244,工业,5
245,固废,5
246,行政许可,5
247,龙莫昆庭,5
248,黄伟德,5
249,谭坚,5
250,王黎,5
251,杨芳芳,5
252,王琴,5
253,刘星武,5
254,学士学位,5
255,百货,5
256,英国,5
257,就任,5
258,公司总裁,5
259,成都,5
260,顾问,5
261,材料,5
262,三届,5
263,保险,5
264,中天,5
265,审字,5
266,五页,5
267,稳定期,5
268,商,5
269,誉为,5
270,损失率,5
271,承租权,5
272,系本,5
273,生产工艺,5
274,医保卡,5
275,核定,5
276,纳税人,5
277,价为,5
278,堂家,5
279,合肥,5
280,万仁大,4
281,电子商务,4
282,缘大,4
283,民康,4
284,仁心,4
285,天宜,4
286,人为,4
287,武功,4
288,吉吉,4
289,秋涛,4
290,人民,4
291,和平,4
292,北桥,4
293,海曙,4
294,兴安盟,4
295,嘟好,4
296,内蒙古,4
297,邻加,4
298,发祥地,4
299,嘉兴市,4
300,名医,4
301,泽,4
302,华康大,4
303,临沂,4
304,医药产业,4
305,张钰,4
306,开福区,4
307,长,4
308,养生,4
309,软件,4
310,消费者,4
311,层面,4
312,力,4
313,芜湖,4
314,芙蓉区,4
315,等家,4
316,外延,4
317,终端,4
318,省市,4
319,分级,4
320,慢病,4
321,检测,4
322,医改,4
323,落地,4
324,体现,4
325,房租,4
326,赋能,4
327,店长,4
328,知识库,4
329,湖北省,4
330,河南省,4
331,天津市,4
332,内蒙古自治区,4
333,陕西省,4
334,甘肃省,4
335,工会,4
336,办公设备,4
337,平米,4
338,医疗保险,4
339,定点,4
340,数为,4
341,医疗器械,4
342,执业,4
343,疾病,4
344,生育,4
345,开具,4
346,龙头企业,4
347,分级管理,4
348,基层,4
349,同日,4
350,下同,4
351,原限售,4
352,如本,4
353,采取有效,4
354,补救措施,4
355,自本,4
356,租赁经营,4
357,代垫,4
358,董监,4
359,脱贫,4
360,捐助,4
361,排污,4
362,烟气,4
363,除尘,4
364,反馈,4
365,灵活,4
366,配置,4
367,协议书,4
368,饶浩,4
369,周正,4
370,晖,4
371,霞光,4
372,在读,4
373,南京,4
374,海航,4
375,张,4
376,深圳,4
377,辞职,4
378,员工福利,4
379,低值易耗品,4
380,并作,4
381,油气,4
382,专利权,4
383,教育费,4
384,折旧费,4
385,江阴,4
386,巢湖,4
387,此次,4
388,日为,4
389,总对,4
390,带息,4
391,登记日,3
392,加剧,3
393,常佳,3
394,创业投资,3
395,子,3
396,行天下,3
397,便利,3
398,芜湖市,3
399,缩写,3
400,送药,3
401,关心,3
402,过往,3
403,机关,3
404,商务,3
405,联系人,3
406,联系方式,3
407,技术开发区,3
408,星沙,3
409,开元,3
410,西路,3
411,一号,3
412,媒体,3
413,年本,3
414,中成药,3
415,致力于,3
416,寻找,3
417,仓库,3
418,操作,3
419,体验,3
420,旗舰店,3
421,多渠道,3
422,医药卫生,3
423,体制改革,3
424,规范化,3
425,态势,3
426,周期性,3
427,有望,3
428,环境影响,3
429,全国性,3
430,人口,3
431,内生,3
432,近,3
433,仓储,3
434,面积,3
435,逐步形成,3
436,多元化,3
437,举措,3
438,关闭,3
439,院边,3
440,县域,3
441,共享,3
442,多样化,3
443,设置,3
444,致力,3
445,督促,3
446,物业,3
447,用工,3
448,救助,3
449,搭建,3
450,比比,3
451,增,3
452,来看,3
453,快,3
454,释放,3
455,转租,3
456,宣传,3
457,对达,3
458,嘉维康,3
459,共有,3
460,大区,3
461,特药,3
462,人均,3
463,分开,3
464,深化,3
465,门诊患者,3
466,远,3
467,药事,3
468,承接,3
469,推行,3
470,付费,3
471,润,3
472,抵作,3
473,第一个,3
474,招股,3
475,一个月,3
476,基准日,3
477,若干,3
478,中瑞世联,3
479,无担保,3
480,中国银行,3
481,交易商,3
482,污水,3
483,标准表,3
484,环境保护,3
485,审查,3
486,清洁,3
487,高度,3
488,无年,3
489,主题,3
490,周京王,3
491,否否否,3
492,胡健辉,3
493,副会长,3
494,香港特别行政区,3
495,硕士学位,3
496,中国香港,3
497,人力资本,3
498,博士,3
499,副教授,3
500,福建,3
501,周京,3
502,王,3
503,职工代表,3
504,公司财务,3
505,广州,3
506,冯砚,3
507,辞去,3
508,工伤保险,3
509,住房,3
510,通讯,3
511,年终,3
512,足额,3
513,信用等级,3
514,倍数,3
515,协同效应,3
516,七一年,3
517,以本,3
518,钱包,3
519,提现,3
520,半成品,3
521,建造,3
522,自用,3
523,运输工具,3
524,改良,3
525,保险费,3
526,兑换,3
527,同类,3
528,税额,3
529,长青,3
530,敬,3
531,一堂,3
532,水电费,3
533,计息,3
534,企划,3
535,赔偿金,3
536,可控,3
537,拟以,2
538,阐述,2
539,监督管理,2
540,指丰沃,2
541,康药,2
542,武汉市,2
543,滨海新区,2
544,县龙盛,2
545,滨海,2
546,盛祥,2
547,张十五,2
548,罗城,2
549,内科,2
550,泰州市,2
551,同盛祥,2
552,获准,2
553,中银国际,2
554,中文,2
555,面向,2
556,线下,2
557,外文,2
558,电子信箱,2
559,网址,2
560,陈建翔,2
561,陈,2
562,莦,2
563,燕,2
564,财,2
565,老店,2
566,偶发性,2
567,非金融,2
568,自然灾害,2
569,显失,2
570,一次性,2
571,品,2
572,传统,2
573,管理模式,2
574,业态,2
575,动能,2
576,覆盖全国,2
577,细化,2
578,请货,2
579,自营,2
580,购销差价,2
581,加盟店,2
582,购物,2
583,商城,2
584,公众,2
585,稳定增长,2
586,统计数据,2
587,带动,2
588,呈现,2
589,兼并,2
590,城镇化,2
591,增长期,2
592,单体,2
593,华盛,2
594,参芝林,2
595,颐彩,2
596,商务信息,2
597,咨询中心,2
598,临沂市,2
599,兰山区,2
600,网络覆盖,2
601,现代化,2
602,省,2
603,评定,2
604,枢纽,2
605,领先水平,2
606,动力,2
607,多层次,2
608,签约,2
609,家庭,2
610,成效,2
611,正确,2
612,领导,2
613,秉承,2
614,方针,2
615,贯彻,2
616,乡镇,2
617,渗透,2
618,思路,2
619,角度,2
620,出发,2
621,推送,2
622,提醒,2
623,来客,2
624,数占,2
625,链条,2
626,响应,2
627,国家标准,2
628,全过程,2
629,点检,2
630,六必决,2
631,检核,2
632,温暖,2
633,模块,2
634,工作效率,2
635,智能,2
636,每日,2
637,人工,2
638,数据分析,2
639,组织变革,2
640,战略规划,2
641,稳步,2
642,转化,2
643,模型,2
644,因药,2
645,搬迁,2
646,过渡期,2
647,江西省,2
648,广西省,2
649,河北省,2
650,宁夏回族自治区,2
651,药制剂,2
652,建筑面积,2
653,成店,2
654,拆迁,2
655,续租,2
656,下表,2
657,持续增长,2
658,余万,2
659,资格证书,2
660,人口老龄化,2
661,加深,2
662,两孩,2
663,显现,2
664,推动力,2
665,通用,2
666,凭处方,2
667,呈,2
668,百强,2
669,年间,2
670,排名,2
671,前强,2
672,分离,2
673,展开,2
674,速度,2
675,表现,2
676,药监,2
677,打击,2
678,欺诈,2
679,金税,2
680,卫健委,2
681,慢性病,2
682,增量,2
683,医,2
684,流量,2
685,留量,2
686,最大化,2
687,挖掘,2
688,此基础,2
689,精细化,2
690,地域,2
691,区域性,2
692,病,2
693,统筹,2
694,进军,2
695,多维度,2
696,齐全,2
697,垂直,2
698,问诊,2
699,无风险,2
700,下发,2
701,积极参与,2
702,要约,2
703,收购人,2
704,如该,2
705,证监会,2
706,中国人民银行,2
707,基准利率,2
708,致使,2
709,证券交易,2
710,损失赔偿,2
711,股票投资,2
712,但本,2
713,过错,2
714,赔偿损失,2
715,举证,2
716,证实,2
717,除本,2
718,合资,2
719,介入,2
720,注入,2
721,优先购买,2
722,权如,2
723,抵作本,2
724,除经,2
725,含其,2
726,最新,2
727,对此,2
728,甘肃,2
729,合肥市,2
730,期是,2
731,数年,2
732,略低于,2
733,增长点,2
734,解读,2
735,解聘,2
736,用地,2
737,出让,2
738,贯彻落实,2
