,分词排序,词频
0,户外用品,101
1,牧高笛,89
2,衢州,61
3,浙江,55
4,信息,55
5,宁波,49
6,户外,46
7,天野,39
8,银行,37
9,笛,31
10,工程,27
11,大牧,26
12,中信银行,24
13,陆暾,23
14,华,21
15,杜素珍,21
16,暾,21
17,衢州市,21
18,帐篷,20
19,建设,17
20,消费,17
21,数据,16
22,孟加拉,16
23,上海浦东发展银行,16
24,牧高,15
25,杭州,15
26,来飞,14
27,旅游,14
28,中信,14
29,越南,13
30,峰,13
31,生物,13
32,红土,12
33,房地产,12
34,香港,12
35,人陆,12
36,六个月,12
37,结构性,12
38,之共赢,12
39,图文,12
40,运动,11
41,制造,11
42,消费者,11
43,嘉拓,10
44,创业投资,10
45,服装,10
46,材料,10
47,天天,10
48,牧歌,10
49,苏州,10
50,远期,9
51,装备,9
52,线下,9
53,外销,9
54,快车,9
55,陕西,9
56,锋芒,9
57,途,9
58,电子,9
59,太平,9
60,元为,9
61,上海,8
62,线上,8
63,零售,8
64,徐静,8
65,中原,8
66,鸟,8
67,换届,8
68,无锡市,8
69,加盟店,7
70,用品,7
71,场景,7
72,加盟,7
73,华陆,7
74,利多,7
75,对公,7
76,吉普,7
77,保险,7
78,土地,7
79,免税,7
80,和丰,6
81,创意,6
82,广场,6
83,大道,6
84,亚洲,6
85,网络,6
86,终端,6
87,直营,6
88,放缓,6
89,体育,6
90,环境,6
91,郑百英,6
92,大榭,6
93,大自然,6
94,一号,6
95,放晴,6
96,恒晟,6
97,恒晟日诚,6
98,广州,6
99,龙游,6
100,勤达,6
101,油气,6
102,鄱阳县,6
103,常山,6
104,名墅,6
105,建造,6
106,楼,5
107,网站,5
108,立信,5
109,大众,5
110,外协,5
111,环节,5
112,电商,5
113,休闲,5
114,纺织,5
115,店,5
116,电子商务,5
117,资源,5
118,扩建,5
119,自营,5
120,展览,5
121,运杂费,5
122,市场调研,5
123,其刚,5
124,清理,5
125,北仑区,5
126,被执行人,5
127,淼,5
128,办公设备,5
129,广东,5
130,导师,5
131,胡,5
132,江北,5
133,除净,5
134,退税,5
135,第年,5
136,外汇,5
137,龙游县,5
138,江东,4
139,北路,4
140,意庭楼,4
141,服饰,4
142,团购,4
143,诸多,4
144,最新,4
145,健身,4
146,健康,4
147,国外,4
