,分词排序,词频
0,铝材,91
1,丽岛,84
2,信息,68
3,新材,64
4,铝,56
5,材料,52
6,彩涂,39
7,常州市,31
8,红土,28
9,蔡征国,27
10,建筑,27
11,银行,27
12,江苏,25
13,常州,25
14,工程,21
15,涂料,20
16,涂层,20
17,彩色,19
18,凭证,19
19,数据,18
20,上海,17
21,武进,17
22,科技,17
23,海通,16
24,食品包装,16
25,轧制,16
26,保障型,15
27,男否,15
28,扶贫,14
29,肇庆,13
30,结构性,13
31,建设,12
32,张金,12
33,兴业银行,11
34,工业,11
35,切割,11
36,环节,11
37,装饰,11
38,蔡红,11
39,创业投资,10
40,精整,10
41,铝锭,10
42,土地,10
43,环保,10
44,环境,10
45,陈涛,9
46,天健,9
47,制造,9
48,意向,9
49,江阴,8
50,创投,8
51,陈波,8
52,房地产,8
53,节能,8
54,金属材料,8
55,招股,8
56,填补,8
57,与丽岛,8
58,丽华,8
59,生物,8
60,型号,7
61,规格,7
62,多样化,7
63,社会公众,7
64,道歉,7
65,人及,7
66,钟楼区,7
67,辊,6
68,安益,6
69,呈现,6
70,颜色,6
71,复合材料,6
72,车辆,6
73,食品,6
74,人工,6
75,汽车,6
76,集装箱,6
77,机械,6
78,陈,6
79,广明,6
80,赔偿损失,6
81,油气,6
82,祥禾泓安,5
83,功能型,5
84,运输,5
85,龙城,5
86,大道,5
87,媒体,5
88,网站,5
89,铝板带,5
90,定制,5
91,抽样,5
92,上游,5
93,来料加工,5
94,有色金属,5
95,投资规模,5
96,王大庆,5
97,深,5
98,报刊,5
99,所持丽岛,5
100,环境保护,5
101,行政部,5
102,黄华庆,5
103,郭魂,5
104,院长,5
105,教育,5
106,商业银行,5
107,无年,5
108,源于,5
109,第十二次,4
110,华夏银行,4
111,涂装,4
112,表面,4
113,电子电器,4
114,资源,4
115,大宗,4
116,腐蚀性,4
117,质检,4
118,内销,4
119,外销,4
120,提单,4
121,当日,4
122,加工费,4
123,高新技术,4
124,软件,4
125,配方,4
126,规模化,4
127,民航,4
128,铝制,4
129,消费,4
130,食品饮料,4
131,标牌,4
132,配件,4
133,外壳,4
134,追求,4
135,刘慧忠,4
136,三十六个,4
137,致使,4
138,证券交易,4
139,科技大楼,4
140,开支,4
141,失效,4
142,四会市,4
143,昆山,4
144,研发部,4
145,莫,4
146,朝阳,4
147,朱旗,4
148,签收,4
149,中央银行,4
150,税额,4
151,计息,4
