,分词排序,词频
0,哈森,141
1,上海,78
2,鞋业,65
3,信息,55
4,珍兴,53
5,西藏,53
6,深圳,52
7,山珍,43
8,昆,39
9,陈玉珍,31
10,台湾,29
11,外销,26
12,房地产,24
13,银行,23
14,兴,22
15,结构性,22
16,购物中心,21
17,昆山,21
18,香港,20
19,工程,20
20,皮鞋,19
21,消费者,19
22,商标,19
23,兴隆,19
24,材料,18
25,泰庆,18
26,涂酷,17
27,化妆品,16
28,皮革,16
29,野兽,15
30,抚州,14
31,王国,14
32,数据,14
33,内销,14
34,店铺,13
35,陈玉兴,13
36,零售,12
37,拖欠,12
38,年薪,12
39,钧,11
40,钛,11
41,环境,11
42,建设,11
43,土地,11
44,实,10
45,电子商务,10
46,哈森卡迪娜,10
47,直营店,10
48,北京,10
49,沈阳,10
50,调解,10
51,物业,10
52,伍晓华,10
53,杨楠,9
54,珍展,9
55,专柜,9
56,消费,9
57,商场,9
58,展,9
59,生物,9
60,建造,9
61,陈芳德,8
62,吴珍芳,8
63,陈玉芳,8
64,房产,8
65,大家庭,8
66,还本付息,8
67,陈志贤,7
68,大华,7
69,萱品,7
70,昆山市,7
71,网络,7
72,经销,7
73,男鞋,7
74,诺贝,7
75,陈玉荣,7
76,搬迁,7
77,给付,7
78,建筑物,7
79,福建,7
80,兴业,6
81,花桥,6
82,百货商场,6
83,线上,6
84,女鞋,6
85,外协,6
86,电商,6
87,传统,6
88,装修,6
89,宁波,6
90,物流,6
91,油气,6
92,第一名,6
93,第二名,6
94,第三名,6
95,第四名,6
96,第五名,6
97,亏损额,6
98,新设,6
99,华林,5
100,西华,5
101,镇,5
102,花安路,5
103,网站,5
104,终端,5
105,直营,5
106,知名,5
107,成人,5
108,流行,5
109,关闭,5
110,线下,5
111,东南亚,5
112,鞋,5
113,达成协议,5
114,物业管理,5
115,中信银行,5
116,欣荣,5
117,陈堃,5
118,软件,5
119,财务主管,5
120,哈森珍兴,5
121,徐,4
122,指哈森,4
123,生物科技,4
124,习惯,4
125,国外,4
126,知名品牌,4
127,百货,4
128,零售业,4
129,中美洲,4
130,风格,4
131,上线,4
132,最新,4
133,特有,4
134,加盟店,4
135,核发,4
136,专卖店,4
137,时尚,4
138,杨正,4
139,住房,4
140,克里斯,4
141,提鲁,4
142,布托,4
143,简易,4
144,第一分,4
145,沈阳市,4
146,元经,4
147,天地,4
148,元于,4
149,金融机构,4
150,商业银行,4
151,排污,4
152,陈昭文,4
153,吴义富,4
154,制业,4
155,精密,4
156,财务经理,4
157,召集,4
158,中央银行,4
159,订立,4
160,嵌入,4
161,混合,4
162,或重,4
163,物料,4
164,以换,4
165,系本,4
166,物业费,4
167,曹安,3
168,技术开发区,3
169,产品设计,3
170,鞋类,3
171,国际品牌,3
172,卡文,3
173,爱,3
174,旅儿,3
175,越来越,3
176,中高档,3
177,美誉度,3
178,定位,3
179,从业,3
180,唯品,3
181,天猫,3
182,门,3
183,卡迪娜,3
184,东北,3
185,华北,3
186,华东,3
187,华南,3
188,华中,3
189,西南,3
190,信息化,3
191,收集,3
192,舒适,3
193,资源,3
194,网点,3
195,促使,3
196,补缴,3
197,足额,3
198,兰步婷,3
199,应诉,3
200,装潢,3
201,一次性,3
202,平等,3
203,公正,3
204,环保,3
205,华夏,3
206,限售期,3
207,陈昭仁,3
208,崔玲莉,3
209,孝,3
210,廖荣文,3
211,龙宝,3
212,协理,3
213,财务部门,3
214,核定,3
215,通讯,3
216,请参阅,3
217,为哈森,3
218,选取,3
219,核实,3
220,劳动合同,3
221,保费,3
222,准备金,3
223,取决于,3
224,除净,3
225,单笔,3
226,机器设备,3
227,届满时,3
228,额年,3
229,带息,3
230,日以,3
231,交付给,3
232,政策性,3
233,中央,3
234,社保费,3
235,金国,3
236,消耗,3
237,交际费,3
238,无年,3
239,新台币,3
240,谨道,3
241,内部单位,3
242,委托人,2
243,第八次,2
244,指珍兴,2
245,指昆,2
246,外文,2
247,电子信箱,2
248,网址,2
249,边俊豪,2
250,王薇,2
251,致使,2
252,冲回,2
253,非金融,2
254,为辅,2
255,管理模式,2
256,购物,2
257,兼顾,2
258,力求,2
259,消费品,2
260,零售总额,2
261,零售额,2
262,扮演,2
263,角色,2
264,亿美元,2
265,鞋企,2
266,在线,2
267,日益,2
268,深化,2
269,多样化,2
270,制鞋业,2
271,分工,2
272,制鞋,2
273,消费市场,2
274,群体,2
275,网络平台,2
276,官方,2
277,一支,2
278,流行时尚,2
279,面料,2
280,文化,2
281,理解,2
282,京东,2
283,北美,2
284,低成本,2
285,品牌战略,2
286,认知度,2
287,西北,2
288,致,2
289,增,2
290,皮具,2
291,多渠道,2
292,之上,2
293,革新,2
294,中国台湾,2
295,零售商,2
296,自营,2
297,一体化,2
298,环节,2
299,缩短,2
300,周转率,2
301,反馈,2
302,促销,2
303,催款,2
304,恶化,2
305,收购人,2
306,大宗,2
307,交易系统,2
308,时须,2
309,二十个,2
310,股权结构,2
311,非限售,2
312,业务范围,2
313,比照,2
314,罚款,2
315,被迫,2
316,水电,2
317,补偿费,2
318,解聘,2
319,开庭审理,2
320,民事案件,2
321,擅自,2
322,朝阳,2
323,一百,2
324,阜新,2
325,诉讼费用,2
326,铁西区,2
327,辽宁,2
328,盘锦市,2
329,每月,2
330,盘锦,2
331,二百,2
332,摘要,2
333,滚动,2
334,农村,2
335,商务,2
336,城,2
337,商标局,2
338,澳门,2
339,证明文件,2
340,商标注册,2
341,尊重,2
342,对待,2
343,透明,2
344,环境保护部,2
345,环境保护,2
346,外资股,2
347,本节,2
348,陈克宁,2
349,赵玉敏,2
350,宝珠,2
351,钱,2
352,美林,2
353,一康,2
354,嘉德,2
355,坦伯顿,2
356,否否否,2
357,陆峰,2
358,人力资源,2
359,开发部,2
360,金龙,2
361,机电,2
362,香港中文大学,2
363,立信,2
364,联德,2
365,横河,2
366,模具,2
367,鼎捷,2
368,艾艾,2
369,工业,2
370,输送,2
371,沈尚,2
372,伍晓华钱,2
373,业务部,2
374,任哈森,2
375,公司财务,2
376,珍实,2
377,创业投资,2
378,补选,2
379,教育,2
380,年薪制,2
381,年效,2
382,两部,2
383,经营规模,2
384,难度,2
385,岗位职责,2
386,薪资,2
387,行情,2
388,到位,2
389,完整性,2
390,列席,2
391,人选,2
392,人员构成,2
393,各司其职,2
394,经理层,2
395,对哈森,2
396,核对,2
397,单据,2
398,单价,2
399,正确,2
400,月度,2
401,无误,2
402,对比,2
403,报关单,2
404,真实性,2
405,怀疑,2
406,选用,2
407,益,2
408,英属维尔京群岛,2
409,人为,2
410,陈氏,2
411,家族,2
412,皮革制品,2
413,拍卖,2
414,电子设备,2
415,食品,2
416,级次,2
417,此基础,2
418,系在,2
419,性交易,2
420,扣减,2
421,角度,2
422,表因,2
423,对非,2
424,按原,2
425,指从,2
426,易于,2
427,分拆,2
428,时如,2
429,参与者,2
430,相一致,2
431,该组,2
432,若该,2
433,诸如,2
434,原已,2
435,耗用,2
436,超出,2
437,繁多,2
438,低值易耗品,2
439,包装物,2
440,或换,2
441,下非,2
442,在内,2
443,顺序,2
444,额外,2
445,时该,2
446,赚取,2
447,其他支出,2
448,率年,2
449,自用,2
450,时自,2
451,毁损,2
452,运输设备,2
453,应予,2
454,工程项目,2
455,竣工,2
456,存入,2
457,每一,2
458,抵债,2
459,专利权,2
460,寿命,2
461,以使,2
462,养老保险,2
463,裁减,2
464,模型,2
465,权日,2
466,商品销售,2
467,清单,2
468,代销,2
469,免租,2
470,承租,2
471,加值,2
472,西部,2
473,设在,2
474,票,2
475,经营不善,2
476,无力,2
477,收货,2
478,费年,2
479,代付,2
480,税额,2
481,批发业,2
482,清理,2
483,商标权,2
484,抚,2
485,期等,2
486,保险费,2
487,教育费,2
488,服务业,2
489,签证,2
490,水电费,2
491,哈森系本,2
492,中国台湾地区,2
493,承受,2
494,升值,2
495,贬值,2
496,增加利润,2
497,使本,2
498,陈,2
499,志学,2
500,同受,2
501,并任,2
502,房屋出租,2
503,该案,2
504,金城,2
505,同达,2
506,原件,2
507,一本,1
508,二未,1
509,伍晓华及,1
510,主管人员,1
511,五经,1
512,否八,1
513,违反规定,1
514,否九,1
515,详细描述,1
516,查阅,1
517,文义,1
518,另有所指,1
519,含义,1
520,常用,1
521,实昆,1
522,指年,1
523,中文名称,1
524,中文,1
525,缩写,1
526,人二,1
527,联系人,1
528,联系方式,1
529,联系地址,1
530,钱龙宝,1
531,倪,1
532,风云,1
533,传真,1
534,幢,1
535,选定,1
536,媒体,1
537,登载,1
538,机构名称,1
539,海淀区,1
540,西四环,1
541,中路,1
542,号院,1
543,楼,1
544,长证,1
545,西城区,1
546,金融街,1
547,人寿,1
548,室,1
549,代表人,1
550,何君光,1
551,张海峰,1
552,第一季度,1
553,第二季度,1
554,第三季度,1
555,第四季度,1
556,十非,1
557,偶发性,1
558,符合国家,1
559,损,1
560,理益,1
561,财,1
562,定,1
563,各阶层,1
564,加盟,1
565,互联网,1
566,拓宽,1
567,多极,1
568,下同,1
569,数据分析,1
570,遴选,1
571,厂家,1
572,少量多次,1
573,严控,1
574,优质产品,1
575,国家统计局,1
576,限额,1
577,服装鞋帽,1
578,针纺织品,1
579,贡献,1
580,报道,1
581,亿多,1
582,双,1
583,亿双,1
584,出口额,1
585,持平,1
586,人民,1
587,群众,1
