,分词排序,词频
0,杭州,157
1,吉华,149
2,浙江,93
3,染料,80
4,江苏,74
5,解禁,73
6,化工,66
7,环保,65
8,信息,47
9,工程,41
10,银行,41
11,滨海,36
12,邵伯金,26
13,聚氨酯,26
14,中间体,26
15,环境,24
16,材料,22
17,房地产,22
18,年化,22
19,江东,21
20,科技,21
21,天数,21
22,萧山,20
23,高分子,19
24,金马,19
25,锦辉,18
26,润华,17
27,临江,16
28,询价,16
29,徐,15
30,上海,14
31,价格上涨,14
32,萧然,13
33,工贸,13
34,建初,13
35,工业,13
36,元吨,13
37,外汇,13
38,机电设备,12
39,涂料,12
40,张颖辉,11
41,沈,11
42,海燕,11
43,创丽,11
44,分散染料,11
45,印染,11
46,环境保护,11
47,苯胺,11
48,建设,11
49,热电,11
50,协和,11
51,生物,11
52,机电,10
53,海绵,10
54,医药,10
55,信托,10
56,远期,10
57,数据,9
58,活性染料,9
59,掉期,9
60,高新技术,9
61,邵辉,9
62,额元,9
63,元重,9
64,解聘,9
65,罚款,9
66,土地,9
67,酸,8
68,硫酸,8
69,胺,8
70,化学,8
71,排污,8
72,硝基苯,8
73,工艺流程,8
74,停产,8
75,集合,8
76,固废,8
77,焚烧,8
78,周火良,8
79,初,8
80,装置,8
81,大兴安岭,8
82,结汇,8
83,殷健,7
84,化工产品,7
85,仓库,7
86,制造,7
87,信用证,7
88,废水,7
89,杨泉明,7
90,车间,7
91,华运,7
92,阳力,7
93,宏博,7
94,整治,6
95,人工工资,6
96,危险废物,6
97,资源,6
98,陈小勇,6
99,陈柳瑛,6
100,庞明良,6
101,关,6
102,排放,6
103,应急,6
104,染化通,6
105,工程师,6
106,新选,6
107,油气,6
108,建造,6
109,萧山区,5
110,工业园,5
111,大道,5
112,对位,5
113,酯,5
114,硝基,5
115,生产工艺,5
116,化学原料,5
117,技术改造,5
118,发售,5
119,污水处理,5
120,辉,5
121,宁波,5
122,目,5
123,吉化,5
124,染料厂,5
125,饭店,5
126,漠河,5
127,北华,5
128,化学工业,5
129,除净,5
130,建筑物,5
131,拟以,4
132,孙,4
133,吴学书,4
134,新世纪,4
135,立信,4
136,常规,4
137,能源,4
138,盐城市,4
139,纺织品,4
140,物流,4
141,价,4
142,包装物,4
143,充足,4
144,基,4
145,水,4
146,制品,4
147,废气,4
148,邵佰万,4
149,三十六个,4
150,陈美芬,4
151,陆荣宝,4
152,海军,4
153,滨海县,4
154,力,4
155,飞机,4
156,电,4
157,旅行社,4
158,豊,4
159,中融,4
160,户,4
161,辉丰,4
162,黑龙江,4
163,化工设备,4
164,中央银行,4
165,以换,4
166,工程项目,4
167,养老保险,4
168,缴费,4
169,保险费,4
170,保,3
171,比上,3
172,一次性,3
173,供应部,3
174,销售部,3
175,山东,3
176,经济运行,3
177,三废,3
178,稳定性,3
179,强大,3
180,常年,3
181,最新,3
182,名牌产品,3
183,两省,3
184,底线,3
185,内销,3
186,外销,3
187,入,3
188,化工行业,3
189,沿海,3
190,氨基,3
191,广东,3
192,上游,3
193,染,3
194,溴,3
195,图,3
196,接到,3
197,孙敏华,3
198,清洁,3
199,污染,3
200,较长,3
201,其所,3
202,萧工,3
203,戴洪刚,3
204,周奕晓,3
205,徐江勇,3
206,陈才良,3
207,再生,3
208,六个月,3
209,列,3
210,环境保护局,3
211,决定书,3
212,盐,3
213,责令,3
214,废水处理,3
215,预处理,3
216,蒸汽,3
217,假日,3
218,城厢,3
219,财通,3
220,中信银行,3
221,绿色,3
222,污染物,3
223,污水,3
224,一套,3
225,分散,3
226,湿式,3
227,氧化,3
228,辽通鼎能,3
229,邵佰金,3
230,来兴扬,3
231,朱雄,3
232,张叶青,3
233,泡沫,3
234,高新区,3
235,滨江,3
236,小额贷款,3
237,高能,3
238,加速器,3
239,工业协会,3
240,副会长,3
241,钢结构,3
242,项目经理,3
243,科长,3
244,秘书长,3
245,软件,3
246,通讯,3
247,选取,3
248,样本,3
249,财务部门,3
250,盘点,3
251,保费,3
252,准备金,3
253,金属材料,3
254,低值易耗品,3
255,乘以,3
256,政策性,3
257,厅,3
258,财政厅,3
259,国家税务局,3
260,地方税务局,3
261,月经,3
262,定期存款,3
263,无年,3
264,托球,3
265,农化,3
266,鼎,3
267,龙科技,3
268,开立,3
269,现行,2
270,共和国,2
271,集吉华,2
272,外文,2
273,电子信箱,2
274,网址,2
275,网站,2
276,东,2
277,末年,2
278,非金融,2
279,自然灾害,2
280,显失,2
281,比价,2
282,原辅料,2
283,质检中心,2
284,适质,2
285,适量,2
286,适时,2
287,适价,2
288,以销定产,2
289,备货,2
290,市场推广,2
291,网点,2
292,面向,2
293,近距离,2
294,快捷,2
295,纺织工业,2
296,印度,2
297,有价证券,2
298,粘,2
299,工作站,2
300,陆续,2
301,印染布,2
302,效应,2
303,复苏,2
304,守住,2
305,快,2
306,化学品,2
307,工,2
308,数元,2
309,停工,2
310,二非,2
311,条例,2
312,试行,2
313,稿,2
314,硫磺,2
315,液碱,2
316,乙酰,2
317,氯,2
