,分词排序,词频
0,北京,147
1,集成电路,127
2,科技,104
3,兆易,73
4,芯片,72
5,信息,58
6,合肥,54
7,上海,47
8,闪存,46
9,朱一明,44
10,微电子,43
11,工程,40
12,香港,39
13,电子,28
14,银行,28
15,联网,27
16,王志伟,27
17,制造,25
18,试产,25
19,评审,25
20,封装,24
21,存储器,24
22,外滩,24
23,深圳,23
24,下线,23
25,报新,23
26,格易,22
27,数据,22
28,晶圆,20
29,微控制器,20
30,耀辉,18
31,半导体,18
32,中关村,18
33,限售期,18
34,葛亮,18
35,办公楼,17
36,西安,17
37,智能,16
38,芯技佳易,16
39,科技开发,16
40,清明,16
41,刘洋,16
42,兴华,15
43,友容,15
44,恒通,15
45,终端,15
46,工业,15
47,容量,15
48,生物,15
49,舒,15
50,赢富,14
51,芯,14
52,产投,14
53,芯思锐,14
54,环节,14
55,李红,14
56,软件,14
57,汽车,14
58,高性能,14
59,建设,14
60,创业投资,14
61,本节,14
62,永丰,13
63,产业基地,13
64,节点,13
65,房地产,13
66,王林,13
67,三级,13
68,天津,12
69,低功耗,12
70,换届选举,12
71,信托,11
72,万顺,11
73,通合,11
74,厂商,11
75,网站,11
76,产品线,11
77,第一个,11
78,周宁,11
79,换届,11
80,人何卫,10
81,通用,10
82,首个,10
83,启迪,10
84,富泰,10
85,结构性,10
86,赵烨,10
87,克东,10
88,陈武朝,10
89,当日,10
90,孙桂静,9
91,存储,9
92,亿美元,9
93,环境,9
94,克,9
95,青岛,9
96,归类,9
97,房租,9
98,中芯,8
99,海淀区,8
100,科大,8
101,天工,8
102,发货,8
103,应用领域,8
104,装修,8
105,委,8
106,集成,8
107,第二十七次,8
108,江苏,8
109,回已,8
110,解禁,8
111,张谦,8
112,朱碧青,8
113,苏州,8
114,田雨田雨,8
115,武汉,8
116,土地,8
117,经开区,8
118,登记日,7
119,财富,7
120,何卫,7
121,七七,7
122,信息技术,7
123,进口,7
124,高可靠性,7
125,存储芯片,7
126,关系密切,7
127,家庭成员,7
128,审查,7
129,陈永波,7
130,郑涛,7
131,华芯,7
132,石溪,7
133,清流,7
134,通讯,7
135,建筑物,7
136,注本,7
137,陕,6
138,国投,6
139,代工,6
140,学院路,6
141,座层,6
142,大容量,6
143,嵌入式,6
144,新兴,6
145,系列产品,6
146,主流,6
147,比年,6
148,产品开发,6
149,睿科,6
150,资源,6
151,购房款,6
152,房产,6
153,格易安创,6
154,株式会社,6
155,盈,6
156,获授,6
157,达标,6
158,出资额,6
159,清华大学,6
160,李华,6
161,张,6
162,代销,6
163,油气,6
164,嵌入,6
165,建造,6
166,补贴款,6
167,外汇,6
168,止自,6
169,拟以,5
170,合肥市,5
171,服务业,5
172,广泛应用,5
173,统计,5
174,串行,5
175,旺宏,5
176,电压,5
177,业界,5
178,面向,5
179,无线,5
180,港交所,5
181,英镑,5
182,芯存,5
183,致力于,5
184,商业秘密,5
185,文化,5
186,下同,5
187,填补,5
188,成就,5
189,万份,5
190,招商银行,5
191,问询,5
192,回复,5
193,梁上,5
194,胡静,5
195,徐文娟,5
196,田雨,5
197,河南,5
198,国新,5
199,权责,5
200,清单,5
201,验资,5
202,四级,5
203,英国,5
204,日元,5
205,保险,5
206,维修,5
207,商委,5
208,经贸局,5
209,讯安,4
210,思立微,4
211,晶圆厂,4
212,消费类,4
213,穿戴,4
214,两种,4
215,经销,4
216,行业协会,4
217,扩展,4
218,大陆,4
219,和物,4
220,排名,4
221,市场占有率,4
222,年底,4
223,工艺技术,4
224,可靠性,4
225,最小,4
226,越来越,4
227,高速,4
228,国际化,4
229,优秀人才,4
230,全系列,4
231,指纹识别,4
232,长鑫,4
233,人才队伍,4
234,队伍,4
235,一名,4
236,抵押物,4
237,屹唐华创,4
238,原名,4
239,交通,4
240,电脑,4
241,周期性,4
242,为此,4
