,分词排序,词频
0,科技,295
1,电子,58
2,信息,54
3,消费,51
4,智能,47
5,陈德松,46
6,电视,42
7,台州市,39
8,制造,38
9,商用,35
10,工程,35
11,新世纪,32
12,智慧,32
13,陈德,32
14,松江,32
15,浙江,31
16,材料,30
17,环境,26
18,浙商,26
19,银行,25
20,房地产,25
21,建设,24
22,显示器,23
23,珍慧,23
24,平板,21
25,笔记本电脑,20
26,香港,18
27,土地,17
28,国贸,15
29,物流,15
30,电子产品,15
31,网视,14
32,制造商,14
33,椒江区,14
34,超高,13
35,数据,13
36,珍慧江,13
37,天健,12
38,许俊飞,12
39,视讯,12
40,清,12
41,电子行业,12
42,电脑,12
43,教育,12
44,台州,12
45,制造业,12
46,建造,12
47,指中,11
48,中新家视,11
49,网络,11
50,延伸,11
51,资源,11
52,健康,11
53,拆,11
54,江珍慧,11
55,回租,11
56,互联网,10
57,附加值,10
58,清欠,10
59,天长市,10
60,生物,10
61,李娜,9
62,工程技术,9
63,商,9
64,网站,9
65,软件,9
66,上游,9
67,绿色,9
68,行动计划,8
69,视频,8
70,工人,8
71,创新奖,8
72,信息技术,8
73,工业,8
74,家电,8
75,信用证,8
76,计算机,8
77,电子设备,8
78,中新通,8
79,万台,8
80,环保,8
81,安徽,8
82,正奇,8
83,售后,8
84,季节性,7
85,上线,7
86,场景,7
87,高新技术,7
88,金融机构,7
89,新一轮,7
90,退税,7
91,通信,7
92,建筑物,7
93,振华,7
94,大酒店,7
95,西路,6
96,财通,6
97,非金融,6
98,多维,6
99,趋向,6
100,零售,6
101,交互,6
102,极,6
103,把握,6
104,商务,6
105,配置,6
106,连锁,6
107,消费者,6
108,终端,6
109,节日,6
110,供给,6
111,物料,6
112,有望,6
113,以旧换新,6
114,经营项目,6
115,器材,6
116,填补,6
117,彬彬,6
118,起任,6
119,油气,6
120,平板电视,6
121,扩产,6
122,注该,6
123,用工,5
124,显示终端,5
125,国外,5
126,紧密,5
127,迭代,5
128,应用领域,5
129,自营,5
130,工贸,5
131,零售商,5
132,稳步,5
133,半小时,5
134,多家,5
135,零部件,5
136,响应速度,5
137,智能化,5
138,顺利,5
139,仓储,5
140,全力,5
141,内审,5
142,宏观,5
143,征求意见,5
144,激烈,5
145,电视机,5
146,人工,5
147,仪器仪表,5
148,集成,5
149,杭州,5
150,不应,5
151,招股,5
152,监督管理,5
153,尽快,5
154,女年,5
155,月否,5
156,增辉,5
157,刊载,5
158,商业银行,5
159,流水线,5
160,源于,5
161,每期,5
162,尚有,5
163,链,4
164,余款,4
165,拟定,4
166,劳动力,4
167,产品设计,4
168,新格局,4
169,视像,4
170,行业协会,4
171,不断扩大,4
172,强大,4
173,信息化,4
174,商显,4
175,迎来,4
176,大力支持,4
