,分词排序,词频
0,制药,160
1,药品,148
2,方盛,138
3,湖南,107
4,医药,101
5,长沙,86
6,臵,84
7,医疗,79
8,胶囊,71
9,中药,69
10,信息,62
11,药业,60
12,药,60
13,分散片,58
14,颗粒,56
15,新药,56
16,湖南省,55
17,药物,50
18,用药,49
19,长沙市,49
20,临床,47
21,湘雅,46
22,建设,46
23,数据,45
24,博大,43
25,工程,43
26,科技,42
27,健康,42
28,环保,41
29,工业,35
30,万片,35
31,临床试验,34
32,复方,33
33,头孢,32
34,心脑血管,31
35,工伤保险,31
36,生育,31
37,医疗保险,30
38,保险,30
39,治疗,29
40,疾病,29
41,医保,29
42,张庆华,28
43,血塞通,28
44,排放,28
45,同系,27
46,儿童,27
47,银行,27
48,妇科,26
49,散,26
50,年版,26
51,监测,26
52,珠海,24
53,制剂,24
54,入选,24
55,制造,24
56,三花,23
57,仿制,23
58,高新区,23
59,小儿,23
60,基因,22
61,北京,22
62,佰骏,22
63,万袋,22
64,暨大,21
65,中成药,21
66,化药,21
67,万粒,21
68,骨伤科,20
69,医药行业,20
70,环境,20
71,废水,20
72,生物,19
73,类否,19
74,环境保护,19
75,养老,18
76,珂,18
77,金英,18
78,蒙脱石,18
79,三期,18
80,污染物,18
81,夕乐苑,17
82,赖氨酸,17
83,维,17
84,克肟片,17
85,终端,17
86,注年,17
87,药类,17
88,抗感染,16
89,葆,15
90,华,15
91,藤黄,15
92,健骨片,15
93,活血,15
94,盒,15
95,实缴,15
96,高新技术,14
97,医药工业,14
98,华美,13
99,星辰,13
100,材料,13
101,医院,13
102,制造业,13
103,批件,13
104,化学,13
105,学术,13
106,深化,13
107,注射用,13
108,华润,13
109,土地,13
110,获授,13
111,广发,13
112,排污,13
113,创投,12
114,疗效,12
115,儿科,12
116,创制,12
117,吲哚,12
118,美辛,12
119,迪安,12
120,环境影响,12
121,房地产,12
122,生物科技,11
123,天健,11
124,经销,11
125,资源,11
126,药店,11
127,阿德福,11
128,韦酯,11
129,云南省,11
130,独家,11
131,环评,11
132,竣工,11
133,检测,11
134,分局,11
135,广东,10
136,零售,10
137,阴道,10
138,银杏叶,10
139,陈波,10
140,文化,10
141,原料药,10
142,广州,10
143,片片,10
144,李智恒,10
145,氨氮,10
146,浓度,10
147,高新,10
148,陈爱春,10
149,杨峰,9
150,方盛育臣,9
151,患者,9
152,肖汉卿,9
153,分子,9
154,奥美拉唑,9
155,肠溶片,9
156,栓,9
157,硝唑,9
158,元七骨痛,9
159,酊,9
160,四维,9
161,亚铁,9
162,亿美元,9
163,长,9
164,污水处理,9
165,环保局,9
166,恒兴,8
167,嘉,8
168,卫生,8
169,网站,8
170,跌打,8
171,发明专利,8
172,丙烯,8
173,黄藤素,8
174,共有,8
175,医疗器械,8
176,安全性,8
177,人工,8
178,审评,8
179,化药类,8
180,盒片,8
181,污水,8
182,城管,8
183,周伟恩,8
184,刘新合,8
185,开舜,7
186,营口,7
187,中诚,7
188,新能源,7
189,医疗机构,7
190,结构性,7
191,居民,7
192,甲硝唑,7
193,关节炎,7
194,直肠癌,7
195,清毒,7
196,紫杉醇,7
197,方盛利普,7
198,肿瘤,7
199,国药,7
200,开支,7
201,抗癌药,7
202,厂家,7
203,慢性,7
204,口服,7
205,妇科疾病,7
206,女性,7
207,磺胺,7
208,适应症,7
209,驰名,7
210,技术转让,7
211,厅,7
212,环验,7
213,应急,7
214,方盛康元,6
215,共生,6
216,方盛康华,6
217,医药产业,6
218,高科,6
219,中润凯,6
220,维邦,6
221,食品,6
222,蒲地,6
223,蓝,6
224,消炎片,6
225,组建,6
226,衍生物,6
227,制备,6
228,仓库,6
229,总代理,6
230,连锁,6
231,教育,6
232,态势,6
233,快速增长,6
234,国家统计局,6
235,化学药品,6
236,盛,6
237,龙,6
238,川芎,6
239,独活,6
240,骨科,6
241,替康,6
242,抗结,6
243,益肝,6
244,初步,6
245,药学,6
246,落地,6
247,基药,6
248,中药饮片,6
249,速度,6
250,公立医院,6
251,谈判,6
252,诸多,6
253,剂型,6
254,人口,6
255,妇女,6
256,时限,6
257,头孢氨苄,6
258,那敏,6
259,牛黄,6
260,甲氧苄,6
261,著名商标,6
262,著名,6
263,来源于,6
264,向名,6
265,生产废水,6
266,车间,6
267,营边,6
268,周晓莉,6
269,张克坚,6
270,油气,6
271,机器设备,6
272,专项经费,6
273,新兴产业,6
274,条,6
275,卫,5
276,资源优势,5
277,喜树碱,5
278,科研,5
279,规范化,5
280,工程技术,5
281,体制改革,5
282,产业政策,5
283,出台,5
284,消费,5
285,两翼,5
286,意识,5
287,除尘,5
288,舒尔经,5
289,血竭,5
290,骨性,5
291,三花接骨散,5
292,抗癌,5
293,清理,5
294,干部,5
295,奥,5
296,云南,5
297,统计,5
298,所示,5
299,市值,5
300,湖北,5
301,百强,5
302,年报,5
303,上表,5
304,监管部门,5
305,种,5
306,入,5
307,新版,5
308,疫苗,5
309,许可证,5
310,高血压,5
311,患病率,5
312,心血管病,5
313,抗肿瘤,5
314,抑制,5
315,头孢菌素,5
316,成人,5
317,妇科炎症,5
318,骨关节炎,5
319,氨酚,5
320,啶,5
321,祛瘀,5
322,慈航,5
323,类化,5
324,期后,5
325,第三十二,5
326,台,5
327,新建,5
328,环节,5
329,方富,5
330,邵阳,5
331,污染,5
