,分词排序,词频
0,信息,81
1,北京,76
2,泓,74
3,钧,72
4,宁波,62
5,佳杉,51
6,深圳,44
7,房地产,38
8,上海,36
9,汉富,33
10,物业管理,33
11,宽,28
12,中浩,28
13,梅山,26
14,保税,26
15,港区,25
16,工程,21
17,吴海萌,21
18,中兴,19
19,财,19
20,光华,19
21,练卫飞,19
22,出资额,19
23,恒丰,19
24,广州,18
25,丰泽,18
26,房产,18
27,港澳,17
28,厚元,17
29,博融,16
30,实缴,16
31,朴,16
32,金控,15
33,数据,15
34,未决,15
35,物业,14
36,吴日松,14
37,陈卓婷,14
38,经济损失,14
39,谴责,14
40,信息技术,13
41,裁决,13
42,明亚,12
43,福田区,12
44,商业机会,12
45,谢楚安,12
46,律师费,12
47,保险经纪,11
48,卫飞,11
49,拍卖,11
50,优先级,11
51,审,11
52,之窗,11
53,带,10
54,韩学渊,10
55,赛格,10
56,中间级,10
57,四起,10
58,环境,9
59,德福,9
60,海南,9
61,答复,9
62,日日,9
63,深,9
64,豪力,9
65,一向,9
66,扶贫,9
67,诚意金,9
68,信托,9
69,杨莎娜,8
70,乐铮,8
71,网站,8
72,专营,8
73,专控,8
74,专卖,8
75,矿业,8
76,粤,8
77,补足,8
78,土地,8
79,辞职,8
80,生物,8
81,嵌入,8
82,混合,8
83,智德宇,7
84,资源,7
85,夫妇,7
86,科技,7
87,广博,7
88,银行,7
89,声,7
90,西藏,7
91,次级,7
92,实践,6
93,遗留问题,6
94,发展前景,6
95,梅林,6
96,街道,6
97,梅,6
98,康路,6
99,理想,6
100,陈伟彬,6
101,汽车,6
102,给汉富,6
103,租赁业,6
104,配合,6
105,地税局,6
106,入股,6
107,方对,6
108,王坚,6
109,尾款,6
110,代偿,6
111,吴勇明,6
112,芦金,6
113,南开区,6
114,日网,6
115,连带保证,6
116,资讯网,6
117,金融机构,6
118,袁坚,6
119,徐栋,6
120,法律文书,5
121,电子手表,5
122,电脑,5
123,电话机,5
124,收录机,5
125,通讯设备,5
126,家用电器,5
127,仪器仪表,5
128,供销业,5
129,兴办,5
130,另行,5
131,代为,5
132,国债,5
133,逆,5
134,停车场,5
135,劣后级,5
136,中航,5
137,案,5
138,一村,5
139,东兴,5
140,名下,5
141,十次,5
142,唐小宏,5
143,第二笔,5
144,送达,5
145,审结,5
146,深圳市中级人民法院,5
147,福法民,5
148,二初,5
149,内向,5
150,扬声器,5
151,成交价,5
152,天津市,5
153,暂计,5
154,资讯月,5
155,四对,5
156,保全,5
157,拖欠,5
158,装修,5
159,免租,5
160,发起,5
161,卢剑波,5
162,胡开梁,5
163,生,5
164,日年,5
165,油气,5
166,材料,5
167,建筑物,5
168,建造,5
169,业主,5
170,大陆,5
171,魏翔,4
172,产业政策,4
173,相符,4
174,证监会,4
175,圆融,4
176,通达,4
177,电子元件,4
178,电子乐器,4
179,文,4
180,环保,4
181,前海,4
182,增长点,4
183,为此,4
184,全力,4
185,停车费,4
186,通讯,4
187,轮侯,4
188,注本,4
189,大连,4
190,北大,4
191,解押,4
192,博恒,4
193,玤,4
194,泽,4
195,尽快,4
196,担保物,4
197,应诉,4
198,融券,4
199,王昕,4
200,练卫,4
201,担保责任,4
202,中年,4
203,远期,4
204,投资人,4
205,一致同意,4
206,获,4
207,述,4
208,第六次,4
209,元含,4
210,审会,4
211,三起,4
212,十三所,4
213,十日,4
214,该厂,4
215,运来,4
216,日内,4
217,以练,4
218,院,4
219,其所,4
220,诉讼费,4
221,同上,4
222,俱乐部,4
223,方正,4
224,教育,4
225,合作意向,4
226,十大,4
227,荣获,4
228,贾鹏,4
229,刘原,4
230,周原,4
231,陈佳,4
232,赵鹏,4
233,海航,4
234,项目经理,4
235,建设,4
236,审阅,4
237,投资决策,4
238,分拆,4
239,届满时,4
240,解封,4
241,暂未,4
242,办证,4
243,缴付,4
244,天津,4
245,获悉,4
246,四宗,4
247,商铺,4
248,意见书,3
249,承担责任,3
250,为准,3
251,楼,3
252,媒体,3
253,深贸管,3
254,审证,3
255,矿产品,3
256,控制协议,3
257,肖,3
258,志军,3
259,胡,3
260,芬芳,3
261,年本,3
262,比上,3
263,开放式,3
264,服务业,3
265,华强北,3
266,盈亏,3
267,职能,3
268,负,3
269,体现,3
270,证监局,3
271,诉讼案,3
272,会计核算,3
273,肯定,3
274,否定,3
275,公正,3
276,经本,3
277,论证,3
278,筹划,3
279,承继,3
280,签订协议,3
281,无条件,3
282,足额,3
283,半年,3
284,借贷,3
285,平仓,3
286,被动,3
287,合顺,3
288,友好,3
289,我司,3
290,乙方,3
291,甲方,3
292,四件,3
293,第一笔,3
294,款元,3
295,拟定,3
296,提醒,3
297,日王,3
298,坚案,3
299,因涉嫌,3
300,公告日,3
301,结论性,3
302,可比,3
303,会计报表,3
304,工程项目,3
305,追偿,3
306,否已,3
307,加倍,3
308,延迟,3
309,轮候,3
310,诉讼费用,3
311,时任,3
312,月息,3
313,金钱,3
314,出借,3
315,仲裁费,3
316,窗座,3
317,预交,3
318,未付,3
319,元整,3
320,停车,3
321,楼层,3
322,递增,3
323,订立,3
324,消防安全,3
325,脱贫,3
326,王坚宏,3
327,人为,3
328,当选,3
329,论坛,3
330,人物,3
331,吴向勇,3
332,吴广,3
333,孙华,3
334,李代宏,3
335,马斌,3
336,党委政府,3
337,职工代表,3
338,起任,3
339,电子,3
340,实控,3
341,三名,3
342,初步,3
343,一名,3
344,负面影响,3
345,保险,3
346,保费,3
347,准备金,3
348,中央银行,3
349,人智德宇,3
350,等于,3
351,付出,3
352,中介,3
353,承担义务,3
354,项可供,3
355,近期,3
356,低值易耗品,3
357,指为,3
358,自用,3
359,软件,3
360,后本,3
361,朱晓岚,3
362,发,3
363,教育费,3
364,赔,3
365,入,3
366,附随,3
367,小计以,3
368,空置,3
369,山南,3
370,弘扬,3
371,双鹰,3
372,马达加斯加,3
373,证券市场,2
374,回暖,2
375,不可避免,2
376,充分考虑,2
377,宏观政策,2
378,合理配置,2
379,新兴,2
380,健康,2
381,不派,2
382,网址,2
383,电子信箱,2
384,国务院,2
385,博,2
386,融和,2
387,人练,2
388,三方,2
389,第一季度,2
390,非金融,2
391,施工,2
392,业态,2
393,该块,2
394,有益,2
395,积极探索,2
396,长远,2
397,负担,2
398,全面解决,2
399,有准备地,2
400,迎接,2
401,挑战,2
402,克服,2
403,恶化,2
404,利用率,2
405,力求,2
406,最小,2
407,购入,2
408,下滑,2
409,金融信息,2
410,创业投资,2
411,多元化,2
412,服务平台,2
413,甩掉,2
414,包袱,2
415,实物,2
416,龙腾,2
417,因王坚,2
418,协助,2
419,成本会计,2
420,股东会,2
421,衍生品,2
422,理,2
423,义务人,2
424,易,2
425,统称,2
426,谋求,2
427,杜绝,2
428,非法,2
429,不必要,2
430,督促,2
431,回避,2
432,报批,2
433,并未,2
434,时所作,2
435,披,2
436,豁免,2
437,由汉富,2
438,因谢,2
439,楚安,2
440,露,2
441,年份,2
442,若因,2
443,给付,2
444,务,2
445,深仲受,2
446,该次,2
447,两倍,2
448,引发,2
449,争议,2
450,异常,2
451,朱勇胜,2
452,证券公司,2
453,强制,2
454,胡忠兵,2
455,杨臣,2
456,卢洁,2
457,股占,2
458,申,2
459,第五十八,2
460,四项,2
461,而应,2
462,赔偿款,2
463,偿,2
464,原子,2
465,第二十六次,2
466,开发进度,2
467,告知,2
468,至此,2
469,追究,2
470,计师,2
471,现阶段,2
472,反复,2
473,必要性,2
474,应以,2
475,对此,2
476,意识,2
477,下发,2
478,号本,2
479,需对,2
480,无需,2
481,清理,2
482,应于,2
483,法律效力,2
484,判决书,2
485,评估费,2
486,公章,2
487,致使,2
488,民事判决,2
489,日止,2
490,调解书,2
491,前向本,2
492,诉至,2
493,扣押,2
494,飞夏琴,2
495,人及,2
496,身份,2
497,吴海,2
498,萌称,2
499,其于,2
500,同日,2
501,二练,2
502,三夏琴,2
503,担保书,2
504,年利率,2
505,计至,2
506,执号,2
507,谢楚安向,2
508,强制执行,2
509,招商银行,2
510,工业,2
511,第三第四,2
512,担保费,2
513,交,2
514,引,2
515,扩股,2
516,杨建红,2
517,对量,2
518,座楼,2
519,陈娜华,2
520,退还,2
521,机构名称,2
522,零,2
523,更换,2
524,宣传,2
525,安全事故,2
526,反馈,2
527,节能,2
528,减排,2
529,环境保护,2
530,框架,2
531,投资额,2
532,负有,2
533,项下,2
534,数据中心,2
535,电子城,2
536,阳,2
537,德惠,2
538,欣平,2
539,王晓峰,2
540,好该,2
541,第大,2
542,除此外,2
543,询证,2
544,受邀,2
545,入选,2
546,领袖,2
547,评选,2
548,性别,2
549,任劲,2
550,黄立海,2
551,获授,2
552,法学,2
553,学士,2
554,法学硕士,2
555,中融,2
556,挂职,2
557,上海大学,2
558,大成,2
559,资格证书,2
560,失信,2
561,被执行人,2
562,女年,2
563,执业,2
564,厦门,2
565,电子商务,2
566,公司法人,2
567,规章制度,2
568,职能部门,2
569,财务会计,2
570,第五次,2
571,主任委员,2
572,财务制度,2
573,充分反映,2
574,实施细则,2
575,未有,2
576,政府部门,2
577,财产损失,2
578,何种,2
579,所作,2
580,收益分配,2
581,退出,2
582,怀疑,2
583,拆出,2
584,股债,2
585,公减库,2
586,综,2
587,储,2
588,积存,2
589,股合,2
590,备积,2
591,管理局,2
592,更名,2
593,楼本,2
594,合称,2
595,八家,2
596,周期短,2
597,应予以,2
598,母子公司,2
599,区别,2
600,日为,2
601,下以,2
602,超额,2
603,内因,2
604,表因,2
605,投出,2
606,因该,2
607,集中管理,2
608,获利,2
609,载明,2
610,对以,2
611,一组,2
612,该组,2
613,跌幅,2
614,包装物,2
615,超出,2
616,组是,2
617,两种,2
618,方以,2
619,性交易,2
620,或应,2
621,机器设备,2
622,电子设备,2
623,原先,2
624,相一致,2
625,尚可,2
626,竣工,2
627,指除,2
628,售出,2
629,服务收入,2
630,使用费,2
631,毁损,2
632,政策性,2
633,款额,2
634,余值,2
635,元注,2
636,票,2
637,分类单位,2
638,长,2
639,社保,2
640,吴勇,2
641,日尚,2
642,为元本,2
643,资资,2
644,权放,2
645,减益,2
646,或值,2
647,外墙,2
648,广告牌,2
649,元称,2
650,元以,2
651,互抵,2
652,保险费,2
653,地产,2
654,滞纳金,2
655,被套,2
656,湖南投资,2
657,哲,2
658,被购,2
659,至合,2
660,反向,2
661,通知单,2
662,信誉,2
663,外汇,2
664,无因,2
665,委托方,2
666,包方,2
667,承包方,2
668,包费,2
669,签约,2
670,哲富,2
671,谨慎,2
672,商场,2
673,王素萍,2
674,警示,2
675,夏琴,2
676,原件,2
