,分词排序,词频
0,宝安,618
1,材料,348
2,贝特,242
3,瑞,220
4,房地产,188
5,科技,184
6,深圳,180
7,新能源,162
8,马应龙,117
9,湖北,112
10,电池,90
11,石墨,83
12,信息,81
13,武汉,77
14,北京,77
15,董事局,74
16,精密,67
17,工程,65
18,土地,63
19,建设,62
20,海南,61
21,锂离子,61
22,纳米,58
23,制造,56
24,负极,56
25,医院,55
26,广东,49
27,高新技术,48
28,香港,44
29,天津,43
30,药业,42
31,沃特玛,40
32,废水,40
33,山东,39
34,江苏,39
35,江西,36
36,新疆,36
37,产业园,36
38,大地,34
39,威海,34
40,动力电池,34
41,生物科技,34
42,广州,33
43,中宝,32
44,汽车,32
45,数据,31
46,肛肠,31
47,环保,31
48,绿金,29
49,生物,29
50,宁波,28
51,电气,28
52,排放,28
53,废气,28
54,儋州,27
55,成都,26
56,恒安,26
57,否本,26
58,环境,26
59,关键技术,26
60,矿业,25
61,生物医药,25
62,银行,25
63,罗湖区,25
64,万鑫,24
65,通讯,24
66,鸡西,23
67,马岭,23
68,药品,23
69,四川,23
70,陈政立,22
71,哈尔滨,22
72,资讯网,22
73,扶贫,22
74,鸡西市,22
75,永力,21
76,古,21
77,江南,21
78,德华,20
79,友诚,20
80,宝安区,20
81,金矿,20
82,工业,20
83,医疗,20
84,深圳市中级人民法院,20
85,物业管理,20
86,复合,20
87,贺,19
88,富安,19
89,拜特,19
90,恒运,19
91,运通,19
92,物流,19
93,上海,19
94,烯,19
95,华浩源,19
96,应急,19
97,长源,18
98,恒丰,18
99,儋州市,18
100,城市更新,18
101,远,18
102,国,18
103,第十三届,18
104,监测,18
105,茂竹,17
106,医药,17
107,资源,17
108,鹏,17
109,河南,17
110,鑫磊,17
111,免征,17
112,城,17
113,惠州,17
114,高容量,17
115,山西,16
116,谷,16
117,健康,16
118,地块,16
119,会计报表,16
120,政府部门,16
121,集安市,15
122,正极,15
123,惠州市,15
124,盈富恒,15
125,黑龙江,15
126,潘多军,15
127,赣州,15
128,金石,15
129,游仕旭,14
130,地产,14
131,宝顺,14
132,三家,14
133,网站,14
134,零件,14
135,网络科技,14
136,锅炉,14
137,信用等级,14
138,建筑物,14
139,高性能,14
140,自动,14
141,展期,14
142,华博,13
143,宝航,13
144,大佛,13
145,武汉市,13
146,房地产业,13
147,不服,13
148,云海,13
149,拖欠,13
150,系年,13
151,中农,13
152,纳米材料,13
153,智能,13
154,硅,13
155,电动汽车,12
156,海南省,12
157,诉请,12
158,胡志强,12
159,王新锋,12
160,稀土,12
161,湾,12
162,新豪,12
163,长青,12
164,红莲,12
165,湖,12
166,九园,12
167,补助金,12
168,低成本,12
169,制备,12
170,股权结构,12
171,张家港,11
172,丹晟,11
173,置,11
174,风险投资,11
175,储能,11
176,金属,11
177,片区,11
178,华富,11
179,房产,11
180,详情,11
181,污水,11
182,奖励金,11
183,新世纪,11
184,后本,11
185,测控,10
186,万宁,10
187,威海港,10
188,宝,10
189,军工,10
190,农业,10
191,启未,10
192,上诉,10
193,吉兆,10
194,脱贫,10
195,污染物,10
196,氨氮,10
197,五金制品,10
198,尾矿库,10
199,层面,10
200,南京,10
201,机电,10
202,服务平台,10
203,常熟,10
204,泰格尔,9
205,航天航空,9
206,恒通,9
207,港宝,9
208,最新,9
209,旗下,9
210,三板,9
211,电机,9
212,龙城,9
213,物业,9
214,协议书,9
215,旅游,9
216,烟尘,9
217,矿山,9
218,宜宾,9
219,日为,9
220,参与者,9
221,动力,9
222,综合利用,9
223,西安,9
224,天津市,9
225,网络,9
226,日信,9
227,电动,9
228,高新,8
229,桦盈,8
230,证监局,8
231,文化,8
232,审众,8
233,环,8
234,龙岗区,8
235,街道,8
236,拆迁,8
237,大陆,8
238,住房,8
239,清理,8
240,该院,8
241,机器设备,8
242,磷酸,8
243,粉尘,8
244,地下水,8
245,面向,8
246,嵌入,8
247,混合,8
248,软件,8
249,临床试验,8
250,国科,8
251,大同,8
252,注本,8
253,石磊,8
254,氟,8
255,办证,8
256,工贸,8
257,电极,8
258,技术改造,8
259,青岛,7
260,广场,7
261,电子,7
262,控制器,7
263,资金回笼,7
264,信息技术,7
265,荆州市,7
266,否否否,7
267,瑞新,7
268,扬尘,7
269,厂界,7
270,防治,7
271,厂区,7
272,宜宾市,7
273,土地出让,7
274,三方,7
275,审,7
276,超出,7
277,债项,7
278,农林,7
279,南溪,7
280,沈阳,7
281,管委会,7
282,款年,7
283,富华,7
284,洪山区,7
285,控制系统,7
286,深加工,7
287,密度,7
288,纯,7
289,祥兴,7
290,郭朝辉,6
291,华信,6
292,笋岗,6
293,东路,6
294,座层,6
295,兴办,6
296,运输,6
297,高科技,6
298,诊疗,6
299,零售,6
300,生物农药,6
301,布吉,6
302,实物,6
303,共家,6
304,合作方,6
305,思达,6
306,新设,6
307,技术创新,6
308,派元,6
309,分拆,6
310,涉案,6
311,高级人民法院,6
312,回,6
313,购,6
314,李金林,6
315,开庭审理,6
316,坪,6
317,山区,6
318,西部,6
319,能源,6
320,排放口,6
321,物排放,6
322,达标,6
323,废水处理,6
324,氮氧化物,6
325,水,6
326,医疗机构,6
327,颗粒物,6
328,噪声,6
329,接收,6
330,总价,6
331,第十二届,6
332,唐人,6
333,项目经理,6
334,恒基,6
335,倍数,6
336,消耗性,6
337,预缴,6
338,蒸压,6
339,加气,6
340,混凝土,6
341,砌块,6
342,区国科,6
343,太华,6
344,德威,6
345,模具,6
346,自动化,6
347,电力,6
348,高龙,6
349,厦门,6
350,陆续,6
351,组建,6
352,配套工程,6
353,经营权,6
354,胶囊,6
355,药物,6
356,连锁,6
357,硅碳,6
358,碳,6
359,铁锂,6
360,黑龙江省,6
361,红柱石,6
362,载体,6
363,高比能,6
364,港元,6
365,泰铢,6
366,贵州,6
367,石墨制品,6
368,英属,6
369,群岛,6
370,增城,6
371,新德宝,6
372,郭山清,5
373,供销业,5
374,文,5
375,湖北省,5
376,正负极,5
377,主板,5
378,乘用车,5
379,锂电池,5
380,精益,5
381,战略性,5
382,新兴产业,5
383,定向,5
384,把握,5
385,传统,5
386,维持原判,5
387,遂,5
388,判定,5
389,送达,5
390,担保责任,5
391,长沙市,5
392,暂未,5
393,诉讼费用,5
394,新材,5
395,陕西,5
396,郭伟,5
397,扩股,5
398,钟小伟,5
399,双,5
400,随机,5
401,责令,5
402,场所,5
403,建造,5
404,基础设施,5
405,教育,5
406,环境保护,5
407,二氧化硫,5
408,悬浮物,5
409,一体化,5
410,公共,5
411,环评,5
412,罚款,5
413,芳源,5
414,并用,5
415,买,5
416,退休,5
417,第十一届,5
418,营运,5
419,投资部,5
420,部副,5
421,评定,5
422,分开,5
423,中年,5
424,中是,5
425,物料,5
426,开发成本,5
427,原子,5
428,维修,5
429,模型,5
430,教育费,5
431,进项税额,5
432,表面,5
433,中基,5
434,地质,5
435,建设工程,5
436,长春,5
437,高祥,5
438,特种,5
439,管道,5
440,结余,5
441,节能,5
442,光远,5
443,续表,5
444,补偿款,5
445,人造,5
446,工作站,5
447,钛酸,5
448,软碳,5
449,长,5
450,集成系统,5
451,碳纳米管,5
452,粉体,5
453,博士后,5
454,联大,5
455,恒业,5
456,国能,5
457,探矿权,5
458,年报,4
459,李瑶,4
460,中信,4
461,十堰,4
462,仓储,4
463,许可证,4
464,宝玉,4
465,符合国家,4
466,其所,4
467,充电,4
468,汽车尾气,4
469,治,4
470,痔,4
471,硅基,4
472,白石,4
473,龙,4
474,横岗,4
475,兴隆,4
476,椰林湾,4
477,其他费用,4
478,创新能力,4
479,补偿金,4
480,贡献,4
481,市值,4
482,两大,4
483,思路,4
484,促,4
485,缩短,4
486,工程进度,4
487,车辆,4
488,药妆,4
489,工程项目,4
490,六宗,4
491,石化工业,4
492,高法,4
493,民一终,4
494,判决书,4
495,名下,4
496,胡志群,4
497,依约,4
498,年利率,4
499,星力,4
500,通讯设备,4
501,集成,4
502,不适,4
503,宝安县,4
504,租期,4
505,第一项,4
506,否在,4
507,专利权,4
508,佳沃,4
509,小伟,4
510,决定书,4
511,下发,4
512,中央,4
513,协作,4
514,时段,4
515,大气污染,4
516,污水处理,4
517,石油,4
518,采区,4
519,监测点,4
520,污染,4
521,检测,4
522,环境保护局,4
523,无需,4
524,前限售,4
525,除限售,4
526,因年,4
527,陈匡国,4
528,梁发贤,4
529,文明,4
530,女年,4
531,经济师,4
532,公正,4
533,年终,4
534,负面影响,4
535,增信,4
536,银行贷款,4
537,对手,4
538,三本,4
539,四本,4
540,垫付,4
541,日止,4
542,耗用,4
543,方对,4
544,包装物,4
545,低值易耗品,4
546,电子设备,4
547,届满时,4
548,竣工,4
549,换取,4
550,日以,4
551,修正,4
552,堤防,4
553,纳税人,4
554,税务机关,4
555,国家税务局,4
556,资源税,4
557,有机肥,4
558,高科,4
559,医疗器械,4
560,美亚,4
561,四期,4
562,天门,4
563,荣域,4
564,安徽,4
565,电子科技,4
566,转至,4
567,机器人,4
568,博智,4
569,保利,4
570,百链,4
571,百乐,4
572,润,4
573,亿起融,4
574,宣城,4
575,出资额,4
576,地上,4
577,工业园,4
578,颗粒,4
579,临床,4
580,药房,4
581,投鑫龙,4
582,上表,4
583,保险费,4
584,款系,4
585,场地,4
586,泰国,4
587,消耗,4
588,车用,4
589,长寿命,4
590,超级,4
591,电容器,4
592,规模化,4
593,常州市,4
594,汽车产业,4
595,天然,4
596,两化,4
597,大巴,4
598,永磁,4
599,万套,4
600,矿渣,4
601,净化,4
602,催化剂,4
603,哈长,4
604,城市群,4
605,烯微片,4
606,高比,4
607,印楝素,4
608,分散,4
609,高新区,4
610,硚龙,4
611,资助款,4
612,往来款项,4
613,绿洲,4
614,辽宁,4
615,浙江,4
616,英,4
617,处女群岛,4
618,东莞,4
619,贬值,4
620,升值,4
621,工作日内,4
622,承包经营,4
623,股股,3
624,宝投,3
625,瑞长源,3
626,园,3
627,联系人,3
628,媒体,3
629,酒店,3
630,罗明,3
631,国余,3
632,以新,3
633,连接器,3
634,复合材料,3
635,安全性,3
636,初步,3
637,借助,3
638,锂电,3
639,痔疮,3
640,扩张,3
641,证券化,3
642,态势,3
643,产线,3
644,上调,3
645,获批,3
646,工业区,3
647,地恒运,3
648,山水,3
649,第一笔,3
650,第二笔,3
651,移交,3
652,选矿,3
653,人工,3
654,解读,3
655,增发,3
656,信用证,3
657,开具,3
658,会计核算,3
659,宝通,3
660,苏州,3
661,连接,3
662,迈迪,3
663,药,3
664,博园,3
665,致力于,3
666,医药行业,3
667,调控,3
668,商品房,3
669,高效率,3
670,提,3
671,交货期,3
672,推行,3
673,实践,3
674,回笼,3
675,分级,3
676,环节,3
677,拟以,3
678,镇,3
679,块,3
680,二审,3
681,驳回上诉,3
682,用地,3
683,行政诉讼,3
684,诉讼费,3
685,代偿,3
686,商铺,3
