,分词排序,词频
0,神州,843
1,工程,498
2,陈略,121
3,医疗,89
4,银行,87
5,北京,87
6,建设,82
7,深圳,69
8,建筑,64
9,信息,56
10,施工,54
11,信托,54
12,装饰,52
13,医院,51
14,房地产,51
15,工程施工,48
16,回复,47
17,中冠,43
18,柬埔寨,40
19,起诉状,38
20,武汉,37
21,健康,36
22,华联,34
23,上海,34
24,分包,32
25,飞燕,32
26,陈略何,31
27,科技,30
28,审结,29
29,西南,28
30,罚息,28
31,裁决,28
32,资讯网,27
33,资金紧张,27
34,香港,25
35,材料,24
36,老挝,24
37,国美,24
38,石材,24
39,马来西亚,23
40,安达,22
41,建设工程,22
42,工程项目,21
43,土地,21
44,基础设施,19
45,供货,19
46,江,17
47,杨春玲,17
48,土木工程,17
49,建筑施工,17
50,城,17
51,半年报,17
52,九江,17
53,建筑业,16
54,一带,16
55,一路,16
56,工程设计,16
57,停工,16
58,重庆,16
59,兴业,16
60,西安,16
61,商职,15
62,科威特,15
63,湖南,15
64,列入,15
65,该案,15
66,文化,15
67,建造,15
68,广东,14
69,结清,14
70,广州,14
71,失信,14
72,被执行人,14
73,暂计,14
74,万科,14
75,恺洲,14
76,家具,14
77,崇光,13
78,数据,13
79,项目管理,13
80,阿尔及利亚,13
81,智慧,13
82,湛江,13
83,卡塔尔,13
84,索赔,13
85,医养,13
86,诉讼费用,13
87,复利,13
88,名单,13
89,扶沟,13
90,贰级,12
91,银行贷款,12
92,建筑工程,12
93,诉讼费,12
94,保全费,12
95,开庭审理,12
96,木业,12
97,装修,11
98,壹级,11
99,河南,11
100,母子公司,11
101,问询,11
102,案否,11
103,律师费,11
104,集合,11
105,满后,11
106,红军,10
107,工程建设,10
108,机电,10
109,湖北,10
110,斯里兰卡,10
111,新港,10
112,北京分行,10
113,建业,10
114,湛江市,10
115,雄安,10
116,宿州,10
117,绿邦,10
118,调解,10
119,浙江,10
120,吴川市,10
121,长沙,10
122,久泰,10
123,伟业,10
124,钢铁,10
125,牛,9
126,竣工,9
127,成都,9
128,环境,9
129,宁波,9
130,建筑物,9
131,或本,9
132,付清,9
133,渤海,9
134,申请书,9
135,包商,9
136,决定书,9
137,连带保证,9
138,河北,9
139,工投,9
140,电梯,9
141,宜兴,9
142,中国人民银行,9
143,给付,9
144,版块,9
145,证监局,8
146,监管局,8
147,巴登,8
148,资源,8
149,承包工程,8
150,幕墙,8
151,东坡,8
152,缅甸,8
153,保全,8
154,无不,8
155,致使,8
156,权限,8
157,房产,8
158,先行,8
159,担保责任,8
160,厦门,8
161,珠海,8
162,列支,8
163,方献忠,8
164,潍坊,8
165,保险,8
166,南昌,8
167,万达,8
168,以元,8
169,赤坎,8
170,雅盛,8
171,美乐,8
172,于海纯,7
173,失效,7
174,岳阳,7
175,金融机构,7
176,禧,7
177,豪利,7
178,饰面,7
179,纺织印染,7
180,稳,7
181,中医院,7
182,钢材,7
183,宿州市,7
184,金元,7
185,深圳市中级人民法院,7
186,强制执行,7
187,追索权,7
188,方圆,7
189,火电,7
190,恒丰,7
191,甲方,7
192,李尔龙,7
193,吴晓明,7
194,生物,7
195,人民,7
196,会昌县,7
197,旅行社,7
198,款元,7
199,常州,7
200,格润特,7
201,床具,7
202,亿美元,6
203,沿线,6
204,投标,6
205,农村,6
206,迎,6
207,龙湖,6
208,信息化,6
209,中介,6
210,责令,6
211,改正,6
212,催讨,6
213,为准,6
214,国鼎晟,6
215,上诉,6
216,案,6
217,平安,6
218,田威,6
219,工商登记,6
220,合一,6
221,常务,6
222,工商管理,6
223,工程师,6
224,建筑材料,6
225,澳门,6
226,昆明,6
227,绩效评价,6
228,重要性,6
229,协议书,6
230,备忘录,6
231,失控,6
232,发票,6
233,分支机构,6
234,未决,6
235,款年,6
236,浦发银行,6
237,民生银行,6
238,菲律宾,6
239,马来西亚林吉特,6
240,该笔,6
241,简,6
242,立方,6
243,木,6
244,务盛,6
245,遂,6
246,何艳君,5
247,葵涌,5
248,街道,5
249,北京经济技术开发区,5
250,锦绣,5
251,街号,5
252,养老,5
253,国外,5
254,迎来,5
255,公路,5
256,市政,5
257,公用,5
258,恒达,5
259,智谷,5
260,成武县,5
261,土建,5
262,承接,5
263,别墅,5
264,俄罗斯,5
265,治疗,5
266,国防部,5
267,军事学院,5
268,炼油厂,5
269,马尔代夫,5
270,房建,5
271,住宅,5
272,白杨,5
273,乡村,5
274,经济特区,5
275,外汇,5
276,人工,5
277,第二阶段,5
278,扣划,5
279,执号,5
280,分级,5
281,控制措施,5
282,县,5
283,科学,5
284,设置,5
285,督促,5
286,荔波,5
287,主管机关,5
288,追索,5
289,许可证,5
290,争议,5
291,务,5
292,承,5
293,第条,5
294,审字,5
295,陕西省,5
296,还清,5
297,负担,5
298,路桥,5
299,理,5
300,中关村,5
301,揭阳,5
302,承揽,5
303,百瑞,5
304,中建,5
305,撤诉,5
306,徐志贵,5
307,海珠,5
308,涉嫌,5
309,机关,5
310,唐先勇,5
311,健全,5
312,反担保,5
313,何飞燕,5
314,彭,5
315,立志,5
316,山东,5
317,往来款项,5
318,油气,5
319,除净,5
320,发电,5
321,高铁,5
322,片区,5
323,全民,5
324,健身,5
325,物业管理,5
326,授信额度,5
327,元自,5
328,此后,5
329,精装修,5
330,保修,5
331,余款,5
332,金可儿,5
333,玉和博睿,5
334,东莞市,5
335,科玛,5
336,樊泽燕,5
337,荣华,5
338,钢管,5
339,营山县,5
340,茶盘,5
341,富冠,4
342,大鹏,4
343,岗,4
344,媒体,4
345,东南亚,4
346,承包商,4
347,第名,4
348,商务部,4
349,电子,4
350,机电工程,4
351,神广,4
352,投融资,4
353,尊重,4
354,加剧,4
355,环境影响,4
356,湄公河,4
357,钻石,4
358,困境,4
359,梳理,4
360,省床,4
361,埃塞俄比亚,4
362,塞班,4
363,实物,4
364,竞标,4
365,金边,4
366,城陵矶,4
367,湖,4
368,港,4
369,振兴,4
370,万象,4
371,政治,4
372,网络,4
373,现状,4
374,元因,4
375,账号,4
376,追究,4
377,机械设备,4
378,雅田,4
379,信心,4
380,黄金,4
381,力争,4
382,公司财务,4
383,工业,4
384,能源,4
385,筹措,4
386,康养,4
387,工程进度,4
388,证监会,4
389,经济损失,4
390,住房,4
391,工作日内,4
392,分开,4
393,地块,4
394,所涉,4
395,二审,4
396,粤,4
397,裁定书,4
398,建银,4
399,借贷,4
400,受偿权,4
401,龚丽红,4
402,益,4
403,安保,4
404,中铁,4
405,上海浦东,4
406,绿美艺,4
407,李少雄,4
408,华铁,4
409,建筑设备,4
410,福州,4
411,崔红丽,4
412,成本核算,4
413,中因,4
414,通州区,4
415,扶贫,4
416,梁荣,4
417,青海,4
418,王镭,4
419,唐,4
420,建新,4
421,横琴,4
422,项目经理,4
423,商学院,4
424,院长,4
425,对外经济贸易大学,4
426,法学院,4
427,审查,4
428,东,4
429,大会,4
430,跨期,4
431,纠正,4
432,多笔,4
433,催收,4
434,普通发票,4
435,日止,4
436,以换,4
437,软件,4
438,病人,4
439,同类,4
440,少计,4
441,教育费,4
442,西华,4
443,独资,4
444,预缴,4
445,产业园,4
446,星展,4
447,商业银行,4
448,农商,4
449,计息,4
450,里亚尔,4
451,比索,4
452,重庆市,4
453,农业,4
454,印尼,4
455,高级人民法院,4
456,开立,4
457,元及,4
458,所欠,4
459,雷洪祥,4
460,豪美新材,4
461,两份,4
462,裁判,4
463,先锋,4
464,北京华,4
465,业星,4
466,实业公司,4
467,补足,4
468,出席会议,3
469,委托人,3
470,已有,3
471,白石,3
472,葵鹏路,3
473,网站,3
474,朝阳区,3
475,座层,3
476,王新宇,3
477,周忠华,3
478,比上,3
479,元非,3
480,业务范围,3
481,发展前景,3
482,营业额,3
483,广阔,3
484,甲级,3
485,水利水电,3
486,钢结构,3
487,铁路,3
488,深耕,3
489,一家,3
490,一体化,3
491,项目前期,3
492,可控,3
493,国际贸易,3
494,杠杆,3
495,抽贷,3
496,传统,3
497,装配式,3
498,年收入,3
499,综合体,3
500,综合楼,3
501,公寓,3
502,强电,3
503,机场,3
504,酒店,3
505,洪森,3
506,路,3
507,村庄,3
508,国民议会,3
509,大街,3
510,商,3
511,示范园区,3
512,承包合同,3
513,刚果,3
514,布套,3
515,适用房,3
516,交割日,3
517,配合,3
518,营地,3
519,设计阶段,3
520,超募,3
521,置入,3
522,置出,3
523,限度,3
524,第三十五,3
525,上海银行,3
526,勘察,3
527,技术咨询,3
528,最新,3
529,建筑行业,3
530,发展期,3
531,基建,3
532,走,3
533,三级,3
534,商务,3
535,完备,3
536,康复,3
537,地产,3
538,投资决策,3
539,内外部,3
540,精细化,3
541,会计核算,3
542,借用,3
543,交流,3
544,专业化,3
545,开设,3
546,进程,3
547,造价,3
548,绿色,3
549,多份,3
550,滞纳金,3
551,退市,3
552,警示,3
553,诉求,3
554,所获,3
555,招投标,3
556,权属,3
557,场所,3
558,足额,3
559,埇,3
560,桥区,3
561,面积,3
562,用地,3
563,因该,3
564,置,3
565,因置,3
566,了结,3
567,财务部门,3
568,财务会计,3
569,兼职,3
570,尽可能,3
571,该类,3
572,龙岗区,3
573,发,3
574,补偿款,3
575,欠付,3
576,由本,3
577,非标,3
578,改聘,3
579,更换,3
580,兴业银行,3
581,西安市,3
582,尚欠,3
583,北京市第二中级人民法院,3
584,公证,3
585,文书,3
586,受偿,3
587,大同,3
588,民间,3
589,支护,3
590,安徽,3
591,福田,3
592,金聚德,3
593,结论性,3
594,核查,3
595,期后,3
596,双子,3
597,贵州省,3
598,签发,3
599,公共,3
600,融资券,3
601,第六次,3
602,四个,3
603,资金短缺,3
604,外资股,3
605,何森,3
606,交通银行,3
607,九泰慧,3
608,通定,3
609,增号,3
610,梁勇,3
611,庞蔼生,3
612,秦远,3
613,张健,3
614,白斌,3
615,董炳根,3
616,学士,3
617,珠海市,3
618,森工,3
619,林业,3
620,光霞,3
621,江苏,3
622,中信,3
623,顾问,3
624,教育,3
625,工作量,3
626,素质,3
627,知情权,3
628,附属,3
629,责任制,3
630,筹划,3
631,合称,3
632,自查,3
633,虚开,3
634,外省,3
635,情报,3
636,缺乏,3
637,函证,3
638,访谈,3
639,满意,3
640,保费,3
641,准备金,3
642,中央银行,3
643,以本,3
644,订立,3
645,投出,3
646,时如,3
647,低值易耗品,3
648,额外,3
649,机器设备,3
650,门诊,3
651,住院,3
652,长治市,3
653,老顶山,3
654,襄汾县,3
655,陶山,3
656,光伏,3
657,安顺市,3
658,达产,3
659,融聚,3
660,博达,3
661,跨地区,3
662,盈润,3
663,高新技术,3
664,港湾,3
665,六盘水,3
666,鹿邑,3
667,曙光,3
668,安阳,3
669,贾鲁河,3
670,综合治理,3
671,陕西,3
672,富,3
673,阎,3
674,新加坡,3
675,梅林,3
676,缅元,3
677,俄罗斯卢布,3
678,拆除,3
679,维修,3
680,太阳能,3
681,湖南投资,3
682,赊销,3
683,充足,3
684,昆吾,3
685,九鼎,3
686,否陈略,3
687,汇票,3
688,月利率,3
689,项下,3
690,携程,3
691,宏睿,3
692,华程,3
693,担保费,3
694,年利率,3
695,保利,3
696,室内,3
697,杭州,3
698,赢,3
699,天下,3
700,木制品,3
701,一张,3
702,出票,3
703,拖欠,3
704,墙地砖,3
705,京盛,3
706,泰华,3
707,金属结构,3
708,陶瓷,3
709,木门,3
710,衣柜,3
711,成品,3
712,乡,3
713,账套,3
714,真实性,2
715,第七次,2
716,摘要,2
717,不派,2
718,库尔,2
719,长城公司,2
720,外文,2
721,网址,2
722,电子信箱,2
723,商报,2
724,证券部,2
725,机构名称,2
726,华泰,2
727,西城区,2
728,丰盛,2
729,胡同,2
730,丰铭,2
731,吴雯敏,2
732,方宇晖,2
733,统一标准,2
734,非洲,2
735,全过程,2
736,若干,2
737,宏观,2
738,位列,2
739,前家,2
740,统计,2
741,对接,2
742,冶金,2
743,制造,2
744,道路,2
745,照明,2
746,环保,2
747,机电设备,2
748,消防设施,2
749,防水,2
750,防腐,2
751,保温,2
752,智能化,2
753,叁级,2
754,石油化工,2
755,证件,2
756,资质证书,2
757,资质等级,2
758,建筑装修,2
759,续期,2
760,途径,2
761,车辆,2
762,定位,2
763,国际性,2
764,服务提供商,2
765,先发,2
766,人才队伍,2
767,四川,2
768,多家,2
769,在内,2
770,日益,2
771,日趋,2
772,激烈,2
773,形象,2
774,用工,2
775,认同,2
776,异常,2
777,资管,2
778,断贷,2
779,引发,2
780,诉前保全,2
781,扎根,2
782,内外交困,2
783,局面,2
784,迎难而上,2
785,存量,2
786,娱乐,2
787,广场,2
788,希尔顿酒店,2
789,知名,2
790,质子,2
791,投产,2
792,管理模式,2
793,诸多,2
794,所在地,2
795,赌场,2
796,香格里拉,2
797,槟城,2
798,山脚,2
799,滨海,2
800,度假,2
801,航站楼,2
802,扩建,2
803,玻璃幕墙,2
804,资金周转,2
805,非正常,2
806,重大项目,2
807,工期,2
808,当地政府,2
809,扩张,2
810,稳定性,2
811,尽量减少,2
812,塔,2
813,一层,2
814,二层,2
815,外运,2
816,混凝土,2
817,目,2
818,尾款,2
819,到位,2
820,负数,2
821,冻结资金,2
822,投资额,2
823,变,2
824,衍生品,2
825,股股,2
826,投向,2
827,投资总额,2
828,地方税务局,2
829,特殊性,2
830,元不含,2
831,因皖,2
832,募,2
833,赫尔,2
834,贝纳,2
835,室内设计,2
836,外资,2
837,开放,2
838,国民经济,2
839,驱动力,2
840,决定性,2
841,城镇化,2
842,中长期,2
843,十九,2
844,万亿美元,2
845,增长点,2
846,把握,2
847,卫生,2
848,县级,2
849,指出,2
850,中医医院,2
851,强强联合,2
852,资源优势,2
853,除以,2
854,整改措施,2
855,追债,2
856,领导小组,2
857,尽快,2
858,排除,2
859,继续加强,2
860,政策性,2
861,不断扩大,2
862,技术创新,2
863,拆迁,2
864,价格上涨,2
865,大宗,2
866,工程预算,2
867,过程中将,2
868,防范,2
869,应诉,2
870,因涉嫌,2
871,停牌,2
872,神,2
873,州长,2
874,清晰,2
875,应有,2
876,表达意见,2
877,透明,2
878,送,2
879,拟以,2
880,度,2
881,占合,2
882,无无无无无,2
883,自动,2
884,代垫,2
885,其他支出,2
886,若因,2
887,损,2
888,失,2
889,无条件,2
890,房租,2
891,罚款,2
892,社会保险,2
893,补缴,2
894,翻新,2
895,改建,2
896,城乡,2
897,交割,2
898,继受,2
899,注入,2
900,专职,2
901,劳动人事,2
902,行使职权,2
903,人事,2
904,独立自主,2
905,产权证,2
906,葵新,2
907,社区,2
908,工厂,2
909,学校,2
910,中未,2
911,建筑面积,2
912,无证,2
913,下同,2
914,接到,2
915,展,2
916,离退休,2
917,生育,2
918,涉案,2
919,已提,2
920,告,2
921,日内,2
922,陈,2
923,陈江,2
924,第二项,2
925,碧辉,2
926,诉前,2
927,迪生,2
928,送达,2
929,上海浦东发展银行,2
930,中国银行,2
931,京,2
932,海淀区,2
933,退出,2
934,起个,2
935,即本,2
936,前个,2
937,再次,2
938,环境保护部,2
939,门,2
940,排污,2
941,协助,2
942,业主,2
943,公共资源,2
944,交易中心,2
945,金沙县,2
946,二次,2
947,垫资,2
948,大部分,2
949,颁发,2
950,股可,2
951,单次,2
952,丙方,2
953,本部,2
954,职能,2
955,九泰,2
956,黄怀岸,2
957,张序宝,2
958,陈立,2
959,人未,2
960,性别,2
961,日日,2
962,胡永锋,2
963,张宇锋,2
964,黄胜得,2
965,汪哨,2
966,骏,2
967,辞去,2
968,博士,2
969,北京大学光华管理学院,2
970,清华大学,2
971,工程学院,2
972,研究员,2
973,家俱,2
974,旅游,2
975,益兴,2
976,法学专业,2
977,法务部,2
978,公路工程,2
979,工程局,2
980,任中交,2
981,鞍钢,2
982,沿海,2
983,家园,2
984,学士学位,2
985,博士学位,2
986,起任,2
987,北京工商大学,2
988,硕士生,2
989,导师,2
990,经纬,2
991,经济学,2
992,常务副,2
993,秘书长,2
994,中国社科院,2
995,亚洲,2
996,学会,2
997,德展,2
998,常青藤,2
999,经济学家,2
1000,事务所律师,2
1001,产业政策,2
1002,现名,2
1003,就职,2
1004,质量技术监督局,2
1005,海珠区,2
1006,职工代表,2
1007,师范学院,2
1008,四星,2
1009,建筑安装,2
1010,领导,2
1011,职员,2
1012,海维信,2
1013,青岛,2
1014,否于,2
1015,海纯,2
1016,远,2
1017,否田威,2
1018,公司员工,2
1019,科学决策,2
1020,人员构成,2
1021,态度,2
1022,权利义务,2
1023,利益者,2
1024,缺席,2
1025,汇报,2
1026,审,2
1027,审阅,2
1028,知悉,2
1029,第六条,2
1030,第十条,2
1031,超额,2
1032,第二十三,2
1033,划扣,2
1034,万余元,2
1035,海石,2
1036,泓,2
1037,滞后,2
1038,安鲁,2
1039,莱森,2
1040,宏大,2
1041,广发,2
1042,普亚,2
1043,三家,2
1044,查验,2
1045,流水,2
1046,账单,2
1047,不佳,2
1048,税务局,2
1049,税务所,2
1050,京通二税,2
1051,通号,2
1052,专用发票,2
1053,下未,2
1054,财,2
1055,系统性,2
1056,负面影响,2
1057,中利,2
1058,抽样,2
1059,存贷款,2
1060,回函,2
1061,更名,2
1062,编报,2
1063,可变,2
1064,表因,2
1065,对非,2
1066,近似,2
1067,包装物,2
1068,共有,2
1069,或换,2
1070,下非,2
1071,运输设备,2
1072,电子设备,2
1073,时该,2
1074,承租,2
1075,存入,2
1076,使用费,2
1077,抵债,2
1078,工会,2
1079,教育经费,2
1080,养老保险,2
1081,合同规定,2
1082,节点,2
1083,当天,2
1084,住院病人,2
1085,开具,2
1086,免租,2
1087,内在,2
1088,数在,2
1089,鉴定,2
1090,原先,2
1091,普票,2
1092,进项税额,2
1093,经开区,2
1094,六盘水市,2
1095,福建,2
1096,佲,2
1097,医汇,2
1098,原药通,2
1099,新能源,2
1100,武安市,2
1101,凌睿,2
1102,宏图,2
1103,略,2
1104,标典,2
1105,鑫,2
1106,国家税务局,2
1107,核定,2
1108,改征,2
1109,放在,2
1110,票,2
1111,电建,2
1112,龙岩市,2
1113,项无因,2
1114,算,2
1115,合资,2
1116,远东,2
1117,元以,2
1118,负,2
1119,互抵,2
1120,贵州,2
1121,红桥,2
1122,珙县,2
1123,房款,2
1124,长安,2
1125,中心区,2
1126,药品,2
1127,保险费,2
1128,还本,2
1129,梧桐,2
1130,私募,2
1131,债号,2
1132,被套,2
1133,折旧费,2
1134,稳岗,2
1135,无需,2
1136,现金余额,2
1137,澳门元,2
1138,安,2
1139,顺市,2
1140,保定,2
1141,技术推广,2
1142,技术转让,2
1143,咨询服务,2
1144,服务电梯,2
1145,成武,2
1146,生态农业,2
1147,科技开发,2
1148,亳州市,2
1149,龙岩,2
1150,医疗器械,2
1151,长治,2
1152,襄汾,2
1153,会昌,2
1154,泰国,2
1155,英国,2
1156,自营,2
1157,医药,2
1158,武安,2
1159,阿曼,2
1160,中医药大学,2
1161,连锁,2
1162,安顺,2
1163,月度,2
1164,履行义务,2
1165,限额,2
1166,来源于,2
1167,任该,2
1168,费元及,2
1169,标准计,2
1170,中城,2
1171,按日,2
1172,万分之,2
1173,机票,2
1174,仲裁费,2
1175,应计,2
1176,计收,2
1177,保贴,2
1178,票款,2
1179,质物,2
1180,以尚,2
1181,上浮,2
1182,欠,2
1183,未付,2
1184,曲江,2
1185,标段,2
1186,号楼,2
1187,雁塔区,2
1188,一至,2
1189,五年期,2
1190,基准,2
1191,代理费,2
1192,承兑人,2
1193,款及,2
1194,催促,2
1195,周文,2
1196,唯客,2
1197,瑶海区,2
1198,转包,2
1199,周文发,2
1200,钢件,2
1201,螺栓,2
1202,挂件,2
1203,干,2
1204,挂,2
1205,胶,2
1206,元尚,2
1207,欠元,2
1208,发货,2
1209,明珠,2
1210,琶,2
1211,洲,2
1212,供货量,2
1213,顺利,2
1214,违约责任,2
1215,南安市,2
1216,飞旺,2
1217,工艺品,2
1218,金属,2
1219,为个,2
1220,杂费,2
1221,坪,2
1222,村小,2
1223,微,2
1224,水利工程,2
1225,未果,2
1226,称,2
1227,海口,2
1228,同日,2
1229,笔,2
1230,江涌,2
1231,交易成本,2
1232,中文版,2
1233,主管人员,1
1234,完整性,1
1235,弃权票,1
1236,年报,1
1237,项指,1
1238,指利,1
1239,指富冠,1
1240,有无,1
1241,中文名称,1
1242,中文,1
1243,缩写,1
1244,联系人,1
