,分词排序,词频
0,华发,244
1,深圳,224
2,中恒,218
3,武汉,115
4,科技,49
5,香港,39
6,信息,39
7,万科,35
8,银行,35
9,电子,32
10,深,30
11,房地产,30
12,显示器,29
13,物业,27
14,誉天,25
15,李,24
16,华南,23
17,恒生,21
18,工程,21
19,光明,20
20,注塑件,19
21,光电,18
22,恒发,16
23,裁决,16
24,中秋,15
25,武汉市,15
26,液晶,14
27,土地,14
28,公明,14
29,国仲,13
30,物业管理,12
31,仲裁员,12
32,定安,11
33,街道,11
34,积方,11
35,深圳市中级人民法院,11
36,地方性,11
37,城市更新,10
38,胜诉,10
39,外资股,10
40,张兆国,10
41,杨斌,9
42,律师费,9
43,罚款,9
44,扶贫,9
45,裁决书,9
46,湖北省,9
47,招商引资,9
48,中恒新,8
49,材料,8
50,赛格,8
51,去年同期,8
52,旧改,8
53,仲裁费,8
54,建筑物,8
55,蔡甸区,8
56,科技产业,7
57,数据,7
58,单元,7
59,水电费,7
60,华,7
61,永兴,7
62,强制执行,7
63,天勤,7
64,警告,7
65,处以,7
66,建造,7
67,资讯网,7
68,长江,7
69,深裁,7
70,低值易耗品,7
71,我司,7
72,反,7
73,大信,6
74,清理,6
75,创维,6
76,人工工资,6
77,能源,6
78,合作经营,6
79,搬迁,6
80,二审,6
81,万商,6
82,仲裁庭,6
83,起任,6
84,处分,6
85,徐锦文,5
86,恒天,5
87,恒泰,5
88,大冲,5
89,视讯,5
90,片区,5
91,发函,5
92,显示屏,5
93,教育,5
94,招商,5
95,高建柏,5
96,女年,5
97,华中科技大学,5
98,当事人,5
99,粤,5
100,教育费,5
101,高新技术,5
102,惠州,5
103,波特曼,5
104,下称,5
105,网站,4
106,轻型,4
107,工业,4
108,注塑,4
109,工业区,4
110,撤裁,4
111,拖欠,4
112,达信,4
113,电汇,4
114,液晶显示,4
115,保,4
116,地块,4
117,张光,4
118,劵,4
119,经纪,4
120,敢于,4
121,天健,4
122,会计学,4
123,副会长,4
124,中央,4
125,决定书,4
126,谴责,4
127,财产损失,4
128,签收,4
129,报关单,4
130,核实,4
131,生物,4
132,油气,4
133,机器设备,4
134,结果表明,4
135,工会,4
136,借支,4
137,商务局,4
138,外经贸,4
139,保全,4
140,宝安区,4
141,拆迁,4
142,首席,4
143,文本,4
144,吴爱洁,3
145,委托人,3
146,福田区,3
147,南山区,3
148,商务中心,3
