,分词排序,词频
0,大通,325
1,深圳,261
2,传媒,106
3,信息,83
4,科技,80
5,杭州,67
6,青岛,67
7,媒体,62
8,北京,62
9,视科,59
10,链,50
11,催收,49
12,文化,48
13,房地产,47
14,深,42
15,亚星,38
16,冉十,36
17,浙江,32
18,互联网,32
19,资讯网,31
20,传播,30
21,区块,28
22,数据,27
23,户外媒体,27
24,资源,25
25,网络,24
26,赚,21
27,视,20
28,生态,20
29,致远,20
30,流量,20
31,银行,19
32,服务业,19
33,商务,18
34,炫酷,18
35,工程,18
36,策划,17
37,联屏,16
38,民间,15
39,土地,15
40,许可证,14
41,绵阳,13
42,亿嘉合,13
43,联播网,12
44,姜剑,12
45,建筑物,12
46,袁娜,11
47,赛鸽,11
48,环境,11
49,户外,11
50,主流,11
51,昊祥,11
52,东明,11
53,宁波,11
54,扶贫,11
55,青岛市,11
56,天地,10
57,永久性,10
58,此次,10
59,霍尔果斯,10
60,南山区,9
61,建设,9
62,幻视,9
63,艳红,9
64,夏,9
65,生物,9
66,显示屏,8
67,今日,8
68,头条,8
69,汇鑫,8
70,投放,8
71,开展业务,8
72,曹林芳,8
73,黄,8
74,男年生,8
75,中将,8
76,聚交,8
77,实缴,8
78,中汇,7
79,上海,7
80,李雪燕,7
81,电子商务,7
82,广告行业,7
83,工业,7
84,场景,7
85,户外广告,7
86,桐庐,7
87,华夏,7
88,嘉源,7
89,蒋纪平,7
90,龚莉蓉,7
91,朱兰,7
92,可比,7
93,教育,7
94,置,7
95,兑换,7
96,建造,7
97,海滨,6
98,基础设施,6
99,视听,6
100,广播,6
101,资源整合,6
102,煤炭,6
103,可信,6
104,媒体广告,6
105,游戏,6
106,宣传,6
107,软件,6
108,阵地,6
109,至美,6
110,服务平台,6
111,压缩,6
112,集合,6
113,更为,6
114,股改,6
115,莫,6
116,清雅,6
117,信托,6
118,股年,6
119,朱兰英,6
120,郝亮,6
121,油气,6
122,益,6
123,嵌入,6
124,以换,6
125,遗留,6
126,设立登记,6
127,故自该,6
128,三级,6
129,新设,6
130,补足,6
131,业经,6
132,刘,5
133,线下,5
134,形象,5
135,信息网络,5
136,电视节目,5
137,太平洋,5
138,创意,5
139,屏,5
140,联盟,5
141,视频,5
142,广告主,5
143,第一名,5
144,第二名,5
145,第三名,5
146,第四名,5
147,第五名,5
148,投资额,5
149,布点,5
150,武林,5
151,广场,5
152,收紧,5
153,工联,5
154,提案,5
155,通旅,5
156,李勇,5
157,苏州,5
158,方正,5
159,皇甫,5
160,晓涛,5
161,博士生,5
162,导师,5
163,尚可,5
164,服务收入,5
165,注年,5
166,稳定期,5
167,超额,5
168,元宝,5
169,华龙,5
170,为准,4
171,三吉嘉喜,4
172,传统,4
173,网站,4
174,展示,4
175,多方,4
176,公共,4
177,节目,4
178,科学,4
179,有无,4
180,见本,4
181,整合营销,4
182,上线,4
183,易,4
184,金融服务,4
185,搭建,4
186,智能,4
187,开放,4
188,概况,4
189,第年,4
190,下滑,4
191,食品,4
192,协同效应,4
193,受众,4
194,欺诈,4
195,峰会,4
196,对视,4
197,商品销售,4
198,广东,4
199,灯光,4
200,秀,4
201,宴会厅,4
202,软硬件,4
203,拟将,4
204,环节,4
205,洗牌,4
206,建,4
207,名片,4
208,出台,4
209,数为,4
210,英罗,4
211,承修,4
212,解聘,4
213,延,4
214,亲属,4
215,赵息,4
216,樊培银,4
217,董国平,4
218,黄卫华,4
219,住房,4
220,期后,4
221,准备金,4
222,另行,4
223,文,4
224,香港,4
225,投出,4
226,下同,4
227,当日,4
228,移除,4
229,装修,4
230,竣工,4
231,换取,4
232,解读,4
233,以元,4
234,便于,4
235,出资额,4
236,框架,4
237,杨海廷,3
238,选定,3
239,不派,3
240,线上,3
241,缩写,3
242,科苑,3
243,中路,3
244,科兴,3
245,王甫,3
246,荣章,3
247,鸿,3
248,冲销,3
249,跨界,3
250,游戏网,3
251,微博,3
252,联网,3
253,西湖,3
254,天幕,3
255,自行车,3
256,亭,3
257,灯箱,3
258,有色金属,3
259,电子,3
260,业界,3
261,物流,3
262,广告业务,3
263,广告投放,3
264,花费,3
265,邮电通讯,3
266,药品,3
267,上涨,3
268,伴随,3
269,上下游,3
270,扩展,3
271,腾讯,3
272,江苏,3
273,竞技,3
274,各大,3
275,煤,3
276,著作权,3
277,高新技术,3
278,一步,3
279,健全,3
280,交易量,3
281,随之,3
282,铁精粉,3
283,共家,3
284,存储,3
285,超募,3
286,投向,3
287,谨慎,3
288,后台,3
289,率先,3
290,安全可靠,3
291,易用,3
292,激烈,3
293,熟悉,3
294,起步,3
295,同质化,3
296,未公开,3
297,公司业绩,3
298,罗承,3
299,涞,3
300,日日,3
301,对手,3
302,第四十四,3
303,摘要,3
304,优先级,3
305,箐,3
306,鹰,3
307,健康,3
308,脱贫,3
309,修涞贵,3
310,华安,3
311,资管,3
312,曹建发,3
313,缪鹏,3
314,监事长,3
315,牛超,3
316,陶源,3
317,女年生,3
318,办,3
319,海情,3
320,吉林,3
321,鑫,3
322,网络科技,3
323,第十四次,3
324,月度,3
325,度,3
326,事,3
327,监管部门,3
328,负面影响,3
329,函证,3
330,真实性,3
331,往来款项,3
332,保费,3
333,中央银行,3
334,深圳市人民政府,3
335,通电子,3
336,改组,3
337,配股,3
338,起个,3
339,并非,3
340,中介,3
341,性交易,3
342,当本,3
343,须用,3
344,可用,3
345,混合,3
346,参与者,3
347,意义,3
348,该组,3
349,结果表明,3
350,抵债,3
351,以该,3
352,或换,3
353,下非,3
354,材料,3
355,组时,3
356,除净,3
357,毁损,3
358,届满时,3
359,款额,3
360,信息技术,3
361,保险费,3
362,退休,3
363,本身,3
364,承接,3
365,上刊,3
366,补助款,3
367,表述,3
368,重要性,3
369,余值,3
370,应纳,3
371,事业,3
372,建设费,3
373,教育费,3
374,小型,3
375,微利,3
376,陷入,3
377,大连,3
378,汽车,3
379,体育,3
380,注个,3
381,款个,3
382,可回收,3
383,组为,3
384,组与,3
385,依次,3
386,持平,3
387,差旅,3
388,交通费,3
389,水电费,3
390,广顺,3
391,外汇,3
392,注本,3
393,以转,3
394,出时,3
395,已有,2
396,屏指,2
397,裸眼,2
398,即可,2
399,三维,2
400,码,2
401,通信,2
402,无线,2
403,条,2
404,安全性,2
405,电信业务,2
406,终端,2
407,外文,2
408,沙河,2
409,街道,2
410,恩平,2
411,街,2
412,华侨城,2
413,东部,2
414,工业区,2
415,东栋,2
416,网址,2
417,电子信箱,2
418,事务部,2
419,历次,2
420,元非,2
421,统一标准,2
422,下新,2
423,四大,2
424,多家,2
425,在内,2
426,汽车行业,2
427,社交,2
428,清屏,2
429,一站式,2
430,能源,2
431,化工,2
432,大宗,2
433,深耕,2
434,大部分,2
435,链条,2
436,资金流,2
437,共赢,2
438,北京邮电大学,2
439,合作开发,2
440,底层,2
441,人工智能,2
442,点击,2
443,涨幅,2
444,呈现,2
445,电视,2
446,报纸,2
447,电梯,2
448,饮料,2
449,服务性,2
450,呈,2
451,服务行业,2
452,网,2
453,万亿,2
454,国务院,2
455,信息化,2
456,前沿技术,2
457,走向,2
458,内生,2
459,外延,2
460,产融,2
461,双轮,2
462,客户资源,2
463,河南,2
464,专区,2
465,报道,2
466,玩家,2
467,交流,2
468,超大,2
469,高清,2
470,巨屏,2
471,赢,2
472,煤炭资源,2
473,三项,2
474,接到,2
475,媒介,2
476,动力,2
477,焦煤,2
478,选用,2
479,一大,2
480,增长幅度,2
481,系年,2
482,山东,2
483,分类单位,2
484,一八,2
485,净流量,2
486,可持续性,2
487,衍生品,2
488,年份,2
489,去向,2
490,投资总额,2
491,出于,2
492,市场调研,2
493,认可度,2
494,程序化,2
495,双重,2
496,加持,2
497,快,2
498,而来,2
499,作弊,2
500,凸显,2
501,制约,2
502,自建,2
503,陌陌,2
504,官方,2
505,直投,2
506,只能,2
507,面向,2
508,全网,2
509,生存空间,2
510,广点通,2
511,代理商,2
512,小冉十,2
513,仅为,2
514,提,2
515,落地,2
516,增添,2
517,一张,2
518,靓丽,2
519,城市形象,2
520,品位,2
521,陆续,2
522,举措,2
523,难度,2
524,多地,2
525,广告牌,2
526,整治,2
527,此举,2
528,无疑,2
529,扩张,2
530,不得不,2
531,充分考虑,2
532,本募,2
533,美誉度,2
534,巨额,2
535,巨幕,2
536,正以,2
537,亚洲,2
538,美誉,2
539,深受,2
540,主,2
541,青睐,2
542,品牌价值,2
543,增长点,2
544,巨头,2
545,独角兽,2
546,阿里巴巴,2
547,百度,2
548,瞄准,2
549,一线,2
550,入口,2
551,纷纷,2
552,抢滩,2
553,入局,2
554,焦点,2
555,实践,2
556,审视,2
557,逻辑,2
558,紧跟,2
559,科学合理,2
560,限度,2
561,结,2
562,九届,2
563,三十,2
564,政府部门,2
565,管理模式,2
566,创新能力,2
567,消费者,2
568,骨干,2
569,流失,2
570,问询,2
571,并未,2
572,回复,2
573,询问,2
574,元含,2
575,税共派,2
576,时所作,2
577,李,2
578,还应,2
579,四年,2
580,完,2
581,拟定,2
582,再融资,2
583,业主,2
584,低价,2
585,抢占市场,2
586,表现,2
587,变革,2
588,重构,2
589,日趋,2
590,多元,2
591,叠加,2
592,致使,2
593,受此,2
594,创始人,2
595,经营层,2
596,刑事,2
597,强制措施,2
598,客户关系,2
599,涞贵,2
600,劣,2
601,后级,2
602,公司员工,2
603,交易方式,2
604,成交,2
605,经济效益,2
606,排污,2
607,筹划,2
608,邓,2
609,建宇,2
610,孝昌,2
611,泰兴,2
612,份股,2
613,股股,2
614,华侨,2
615,信托投资公司,2
616,新通阳,2
617,电子元件,2
618,人前,2
619,郭守,2
620,性别,2
621,王大永,2
622,于秀庆,2
623,马炬,2
624,张世兴,2
625,辞职,2
626,西安交通大学,2
627,人力,2
628,济宁,2
629,文化产业,2
630,交通,2
631,天津大学,2
632,资格证书,2
633,本科,2
634,海洋大学,2
635,会计学,2
636,计算机,2
637,一套,2
638,第十五次,2
639,工作细则,2
640,审查,2
641,如期,2
642,按实,2
643,上级,2
644,多层次,2
645,分开,2
646,最新,2
647,主观,2
648,复杂程度,2
649,相互作用,2
650,介于,2
651,等于,2
652,访谈,2
653,明细表,2
654,排期表,2
655,疑虑,2
656,公众,2
657,拆出,2
658,兴办,2
659,营销策划,2
660,深府,2
661,外复,2
662,办复,2
663,送红股,2
664,定向,2
665,元经,2
666,合称,2
667,若干,2
668,日止,2
669,以个,2
670,付出,2
671,日算,2
672,订立,2
673,可变,2
674,自同,2
675,或本,2
676,由本,2
677,表时,2
678,很小,2
679,近期,2
680,一组,2
681,短期贷款,2
682,长期贷款,2
683,次级,2
684,可疑,2
685,此类,2
686,额后,2
687,分拆,2
688,间隔,2
689,市场经济,2
690,下该,2
691,单笔,2
692,时原,2
693,回升,2
694,低值易耗品,2
695,包装物,2
696,将要,2
697,异常,2
698,或应,2
699,之差,2
700,中除,2
701,赚取,2
702,自用,2
703,时自,2
704,运输工具,2
705,电子设备,2
706,相当于,2
707,时该,2
708,应予,2
709,每一,2
710,列表,2
711,改良,2
712,医疗保险,2
713,工伤保险,2
714,生育,2
715,指除,2
716,养老保险,2
717,修正,2
718,权日,2
719,日以,2
720,见诸,2
721,应计,2
722,表外,2
723,天后,2
724,财政资金,2
725,免租,2
726,长期负债,2
727,此项,2
728,调整法,2
729,扣缴,2
730,增值额,2
731,租,2
732,计征,2
733,减除,2
734,价,2
735,国家税务局,2
736,免征,2
737,聚交于,2
738,霍特管,2
739,办发,2
740,上限,2
741,票,2
742,九天,2
743,文化传媒,2
744,危机,2
745,酒业,2
746,真,2
747,计数,2
748,注注,2
749,元个,2
750,优嘉,2
751,垫,2
752,珠宝,2
753,元否,2
754,种业,2
755,种植,2
756,清理,2
757,项冉十,2
758,利润率,2
759,期等,2
760,超额完成,2
761,完成率,2
762,互抵,2
763,水利建设,2
764,计溢,2
765,摊提,2
766,销,2
767,被套,2
768,物业,2
769,江西,2
770,滞纳金,2
771,原子,2
772,抚州,2
773,金巢,2
774,元系,2
775,完年,2
776,毕本,2
777,实日际,2
778,莘荣,2
779,派出,2
780,日自,2
781,珠海,2
782,日升,2
783,德宁,2
784,佳合,2
785,期期,2
