,分词排序,词频
0,新能源,689
1,科技,451
2,东旭,439
3,光伏,399
4,建设,286
5,电站,271
6,蓝天,226
7,房地产,208
8,能源,174
9,旭,164
10,环保,126
11,生态,114
12,发电,112
13,鸿基,100
14,宝安,98
15,蓝,86
16,信托,82
17,工程,78
18,张北,59
19,北京,55
20,信息,49
21,交接,48
22,分布式,47
23,地产,44
24,太阳能,44
25,上海,42
26,深圳,42
27,金寨县,41
28,付款条件,41
29,风电,39
30,两洋,39
31,前表,39
32,阳新,39
33,新设,39
34,宁波,36
35,生物,36
36,惠州市,35
37,电力,34
38,弘吉,34
39,扶贫,32
40,大庆市,32
41,天津,32
42,安达市,28
43,绿色,27
44,湖南,27
45,晟,27
46,广东,27
47,土地,26
48,智慧,26
49,屋顶,26
50,中环,25
51,农业,24
52,制造,23
53,剥离,23
54,环境,23
55,大连,23
56,惠东县,23
57,河北,22
58,光电,22
59,宁夏,22
60,西藏,22
61,清洁,21
62,西安,21
63,林州,21
64,转固,21
65,汪清,20
66,熠彩,20
67,苏州,20
68,旭能,20
69,陕西,20
70,否年,20
71,电力工程,19
72,再生能源,19
73,会理,19
74,吉林,19
75,星景,19
76,浙江,18
77,旭弘,18
78,建造,18
79,园林,17
80,衡东县,17
81,成都,17
82,张北县,17
83,物业,16
84,环境治理,16
85,数据,16
86,承德,16
87,烨,16
88,盛唐,16
89,陇商,16
90,旺禾,16
91,粮油,16
92,旭日,16
93,金寨,16
94,奖补,16
95,广州,15
96,智能,15
97,四川,15
98,镇,15
99,李兆廷,15
100,鑫融,15
101,物业管理,14
102,修复,14
103,运维,14
104,资源,14
105,内蒙古,14
106,华众昊晟,14
107,香港,14
108,旭通,14
109,凯方,14
110,广水,14
111,物流,14
112,嘉麟杰,14
113,评报,14
114,装机,13
115,自动化,13
116,乌兰察布,13
117,三级,13
118,龙岗,13
119,东莞市,13
120,宜久,13
121,泰泉,13
122,东营市,13
123,集合,13
124,自建,13
125,酒店,13
126,银行,13
127,材料,13
128,资讯网,12
129,财,12
130,邢台,12
131,深,12
132,网络科技,12
133,赤峰,12
134,汪清县,12
135,国投,12
136,泰康,12
137,否东旭,12
138,消耗性,12
139,注本,12
140,夏志勇,11
141,国务院,11
142,工程施工,11
143,中兴,11
144,光华,11
145,施工,11
146,互补,11
147,文明,11
148,环境保护,11
149,张家口,11
150,安轩,11
151,立,11
152,信通,11
153,河南,11
154,卫辉,11
155,南粤,11
156,脱贫,11
157,期外,11
158,物业费,11
159,水,10
160,电网,10
161,长沙,10
162,工程项目,10
163,旭达,10
164,营口,10
165,萨尔图区,10
166,红岗区,10
167,大庆,10
168,高新区,10
169,旭木,10
170,旭红,10
171,日照,10
172,太原,10
173,旭农,10
174,台州,10
175,新泰,10
176,娄底,10
177,鄂尔多斯市,10
178,李磊,9
179,人卢,9
180,召义,9
181,能源管理,9
182,燃气,9
183,上网,9
184,平价,9
185,消纳,9
186,人力,9
187,储能,9
188,建筑工程,9
189,旭晨,9
190,旭光,9
191,江苏,9
192,金岸,9
193,中商,9
194,徐州,9
195,东莞,9
196,东旭建,9
197,善居,9
198,山东,9
199,沧州,9
200,澧县,9
201,优先级,9
202,东信,9
203,杭,9
204,中海,9
205,向东,9
206,会计报表,9
207,建筑物,9
208,文昌市,9
209,李兆廷否,9
210,茶油,9
211,股股,8
212,技术咨询,8
213,建筑,8
214,服务商,8
215,并网,8
216,华融,8
217,湖北,8
218,融链,8
219,驻马店市,8
220,梅园,8
221,启明,8
222,福建,8
223,量子,8
224,仙桃,8
225,人类,8
226,出资人,8
227,鼎,8
228,互联网,8
229,填补,8
230,公共,8
231,孚阳,8
232,油茶,8
233,种植,8
234,辞去,8
235,换届,8
236,新任,8
237,经济学,8
238,评估师,8
239,兴华,8
240,东旭鸿,8
241,中山市,8
242,发电设备,7
243,土壤,7
244,落地,7
245,产业园,7
246,农村,7
247,发改委,7
248,青铜峡,7
249,郑州,7
250,巩义市,7
251,丹东市,7
252,莱芜市,7
253,肇东市,7
254,中方县,7
255,巴州,7
256,正旭,7
257,旭峰,7
258,旭源,7
259,旭辉,7
260,鑫,7
261,福州,7
262,东旭泰泉,7
263,营口市,7
264,舟山,7
265,第九次,7
266,第六次,7
267,信达,7
268,足额,7
269,杭州,7
270,组件,7
271,信息化,7
272,安徽,7
273,山西,7
274,教育,7
275,江西,7
276,卢召义,6
277,零售,6
278,项目管理,6
279,装修,6
280,顺利,6
281,美丽,6
282,小时,6
283,主管部门,6
284,文化,6
285,天宏,6
286,开工,6
287,工业,6
288,旭景,6
289,旭宁,6
290,旭东,6
291,旭宏,6
292,光热,6
293,旭瑞,6
294,东营,6
295,辽宁,6
296,华凯,6
297,德新,6
298,昆明,6
299,淮阳县,6
300,锡林郭勒盟,6
301,实业集团,6
302,投资额,6
303,胶州,6
304,仙居,6
305,攸县,6
306,中阳,6
307,金控,6
308,梅山,6
309,保税,6
310,港区,6
311,劣后级,6
312,新盛,6
313,中信,6
314,消费,6
315,西部,6
316,阳海辉,6
317,陈巍,6
318,民生,6
319,股票名称,6
320,投票权,6
321,陈爱珍,6
322,院长,6
323,开发成本,6
324,旅店,6
325,联融,6
326,天兴,6
327,经国融,6
328,徐州市,6
329,高新,6
330,街道办,6
331,奖励金,6
332,稳岗,6
333,大名县,6
334,外汇,6
335,深中,6
336,兴办,5
337,仓储,5
338,鸿,5
339,城市绿化,5
340,湿地,5
341,养护,5
342,风景园林,5
343,规划设计,5
344,城乡规划,5
345,湖底,5
346,淤泥,5
347,土木工程,5
348,独特,5
349,旗下,5
350,安平,5
