,分词排序,词频
0,赛格,1461
1,深圳,540
2,深赛格,211
3,物业,163
4,房地产,121
5,南通,105
6,信息,94
7,电子,93
8,科技,90
9,资讯网,89
10,地产,87
11,电子市场,87
12,小额贷款,64
13,龙焱,63
14,广场,57
15,装修,57
16,小贷,52
17,物业管理,49
18,建设,47
19,西安,46
20,光伏,45
21,土地,41
22,苏州,40
23,能源,40
24,工程,39
25,福田区,38
26,银行,35
27,创业,34
28,长沙,33
29,时代广场,32
30,凭证,32
31,杭州,31
32,康乐,31
33,华控,31
34,招诚,31
35,面积,31
36,上海,30
37,群星,29
38,房产,29
39,南宁,28
40,惠州,28
41,新能源,27
42,碲化镉,27
43,孙,27
44,交易中心,27
45,询问,27
46,汇,25
47,创客,25
48,消费,22
49,南通市,22
50,购房,22
51,展示,22
52,国资委,21
53,扶贫,21
54,数据,20
55,建筑,20
56,港闸区,20
57,沃德沃,19
58,业主,18
59,补贴款,18
60,宋萍萍,17
61,酒店,17
62,商业地产,17
63,薄膜,17
64,商铺,17
65,年报,16
66,上诉,16
67,华强北,15
68,建筑物,15
69,北京,15
70,工业,15
71,清,15
72,会议室,15
73,南京,14
74,宝华,14
75,注入,14
76,文化,14
77,国有资产,14
78,楼,14
79,标记,14
80,粤,14
81,亿信,14
82,中天,14
83,贰,14
84,范值,13
85,惠州市,13
86,中信银行,13
87,十年,13
88,律师费,13
89,米泉,13
90,智能,12
91,众创,12
92,假日,12
93,户,12
94,深汕,12
95,青山,12
96,拖欠,12
97,太阳能,12
98,月度,12
99,零伍,12
100,零,12
101,商管,12
102,陈惠劼,11
103,媒体,11
104,瑞华,11
105,新兴产业,11
106,装饰,11
107,大华,11
108,国资,11
109,再审,11
110,退还,11
111,李罗力,11
112,下午,11
113,互联网,10
114,网站,10
115,资源,10
116,业态,10
117,新兴,10
118,通讯,10
119,通信,10
120,承租,10
121,公司财务,10
122,定向,10
123,基准日,10
124,计息,10
125,维修,10
126,开发成本,10
127,中院,10
128,吴江,9
129,商务酒店,9
130,战略性,9
131,电子产品,9
132,解除合同,9
133,教育,9
134,更新改造,9
135,足额,9
136,滞纳金,9
137,二审,9
138,康网,9
139,润能,9
140,电池组,9
141,辞职,9
142,年月否,9
143,快报,9
144,编报,9
145,实业公司,9
146,判决书,9
147,维火,9
148,张豫旺,8
149,数码,8
150,海荣,8
151,顺德,8
152,联众,8
153,深圳市人民政府,8
154,路,8
155,座,8
156,孵化,8
157,周,8
158,联,8
159,关,8
160,后本,8
161,深,8
162,当日,8
163,测试报告,8
164,自用,8
165,第五次,8
166,肖,8
167,节能,8
168,面向,8
169,建造,8
170,依迪,8
171,苏,8
172,民事判决,8
173,海奇,8
174,南宁市,8
175,张良,7
176,通科技,7
177,壹城,7
178,三十一,7
179,楼层,7
180,招商,7
181,传统,7
182,体验,7
183,环境,7
184,成交,7
185,用地,7
186,分布式,7
187,同类,7
188,竣工,7
189,主合同,7
190,担保责任,7
191,龙岗区,7
192,民事裁定,7
193,东,7
194,权属,7
195,推荐,7
196,不足以,7
197,三栋,7
198,刘宇,7
199,荣华,7
200,安化县,7
201,梅山,7
202,数码科技,7
203,外资股,7
204,每月,7
205,管理信息系统,7
206,国务院,7
207,厅,7
208,企业财务,7
209,栋,7
210,名下,7
211,九酷,7
212,徐腊平,6
213,导航,6
214,智美,6
215,彭爱云,6
216,店,6
217,现状,6
218,商品房,6
219,智慧,6
220,停车场,6
221,按揭,6
222,书,6
223,餐饮,6
224,按计划,6
225,新城,6
226,烟台,6
227,银行贷款,6
228,红土,6
229,未公开,6
230,配合,6
231,行使职权,6
232,财务部门,6
233,届满时,6
234,场所,6
235,商标,6
236,强制执行,6
237,拆除,6
238,工作日内,6
239,刘志军,6
240,更换,6
241,审查,6
242,日为,6
243,新疆,6
244,百,6
245,易得,6
246,和解,6
247,调解,6
248,审结,6
249,高技术,6
250,追认,6
251,展期,6
252,由本,6
253,其所,6
254,本科,6
255,汇总表,6
256,每季度,6
257,口头,6
258,中证鹏元,6
259,顺延,6
260,金融机构,6
261,倍数,6
262,制造,6
263,投出,6
264,嵌入,6
265,海南,6
266,半数,6
267,退赔,6
268,兴宁区,6
269,高建柏,5
270,龙岗,5
271,数码广场,5
272,证监局,5
273,体育,5
274,有无,5
275,联系人,5
276,香港,5
277,交楼,5
278,复合式,5
279,电子商务,5
280,商办,5
281,新建,5
282,发电,5
283,电站,5
284,领先地位,5
285,办证,5
286,开工,5
287,威尼斯,5
288,送达,5
289,沣,5
290,苏宁,5
291,南,5
292,可持续性,5
293,抵押物,5
294,合作方,5
295,儿童乐园,5
296,可控,5
297,职能,5
298,清晰,5
299,基准,5
300,另行,5
301,配置,5
302,于本,5
303,从业,5
304,审,5
305,保险费,5
306,单价,5
307,测算,5
308,回,5
309,失效,5
310,违约责任,5
311,自动,5
312,联营公司,5
313,中层,5
314,保全,5
315,撤回,5
316,不服,5
317,深圳市中级人民法院,5
318,韶军,5
319,赵笑,5
320,来源于,5
321,批文,5
322,年面,5
323,问询,5
324,期后,5
325,朱龙清,5
326,股高管,5
327,信托,5
328,刘福松,5
329,服务中心,5
330,主任科员,5
331,部副,5
332,办事处,5
333,南开大学,5
334,建立健全,5
335,制表,5
336,下同,5
337,增信,5
338,件产品,5
339,低值易耗品,5
340,四川,5
341,元本,5
342,数本,5
343,东莞,5
344,德宝,5
345,派出,5
346,湖广,5
347,扣押,5
348,腾空,5
349,严冬,4
350,众通,4
351,电竞,4
352,天津,4
353,监督管理,4
354,袁龙平,4
355,周学春,4
356,主办人,4
357,最新,4
358,软件,4
359,出租率,4
360,价,4
361,调控,4
362,贡献,4
363,组件,4
364,内居,4
365,政府部门,4
366,较强,4
367,试生产,4
368,提质,4
369,增效,4
370,第一条,4
371,售出,4
372,据此,4
373,光纤,4
374,科技园,4
375,土地储备,4
376,村,4
377,再融资,4
378,农,4
379,商行,4
380,连带保证,4
381,房产证,4
382,休闲,4
383,创,4
384,一体化,4
385,交通,4
386,售房,4
387,会计核算,4
388,科学,4
389,上半年,4
390,混合,4
391,当年度,4
392,商业机会,4
393,划拨,4
394,出让,4
395,投标人,4
396,受让人,4
397,先行,4
398,财务会计,4
399,兼职,4
400,前含,4
401,公式,4
402,下因,4
403,以该,4
404,取值,4
405,不冲,4
406,住房,4
407,续期,4
408,协助,4
409,许可证,4
410,反,4
411,郑丹,4
412,无需,4
413,奇,4
414,广西壮族自治区,4
415,负担,4
416,刘桂云,4
417,合同书,4
418,暂计,4
419,雁,4
420,维持原判,4
421,以元,4
422,万分之三,4
423,主持,4
424,场地,4
425,白鲸,4
426,大连,4
427,水电费,4
428,第十三次,4
429,第二十三,4
430,国债,4
431,私募,4
432,场外,4
433,第三十次,4
434,办,4
435,亚超,4
436,机构名称,4
437,驻村,4
438,差距,4
439,董监,4
440,张宇杰,4
441,王宝,4
442,天健,4
443,远致,4
444,会长,4
445,金融信息,4
446,副经理,4
447,职位,4
448,上午,4
449,审阅,4
450,经营收入,4
451,深南,4
452,大道,4
453,中证鹏,4
454,受评,4
455,其后,4
456,应急,4
457,迟于,4
458,财务预算,4
459,如期,4
460,小组,4
461,入伙,4
462,服务业,4
463,建筑工程,4
464,八在,4
465,视,4
466,使用费,4
467,补助款,4
468,教育费,4
