,分词排序,词频
0,藏格,448
1,钾肥,205
2,信息,93
3,西藏,86
4,碳酸锂,83
5,格尔木,76
6,书面报告,72
7,创业投资,64
8,氯化钾,62
9,源,58
10,青海,57
11,永明,56
12,金谷,55
13,肖,50
14,资源,44
15,银行贷款,40
16,计息,40
17,资讯网,39
18,工程,38
19,房地产,34
20,镁,33
21,化工,29
22,格尔木市,29
23,环保,29
24,中浩,28
25,上海,27
26,建设,26
27,锂,26
28,盐湖,26
29,任藏格,26
30,铜业,25
31,元藏格,25
32,林吉芳,23
33,联达,22
34,天然气,22
35,钾盐,22
36,材料,22
37,巨龙,21
38,永鸿,20
39,青海省,19
40,数据,19
41,路源,19
42,北京,18
43,盐田,17
44,锂业,16
45,察尔汗盐湖,16
46,藏祥,15
47,厂商,15
48,矿业,14
49,昆仑,13
50,科技,13
51,铁路,12
52,格,12
53,四川,12
54,土地,12
55,银行,12
56,建筑物,12
57,扶贫,12
58,完整性,11
59,成都,11
60,新能源,11
61,粮食,11
62,停牌,11
63,瑞华,10
64,陶瓷,10
65,邯郸,10
66,电池,10
67,工业,10
68,农业,10
69,钾,10
70,操作,10
71,光卤石,10
72,配偶,10
73,仓储,10
74,车间,10
75,督促,10
76,义务人,10
77,夫人,10
78,邵萍,10
79,世龙,10
80,否肖瑶,10
81,北京路,9
82,矿区,9
83,环境保护,9
84,环境,9
85,足额,9
86,代为,9
87,村,9
88,收益权,8
89,控股公司,8
90,中胜,8
91,剥离,8
92,顺利,8
93,面积,8
94,寡头,8
95,市场价,8
96,大浪,8
97,滩,8
98,投产,8
99,节能,8
100,复牌,8
101,中介机构,8
102,集体经济,8
103,排污,8
104,销售业务,8
105,中锋,8
106,曹邦俊,7
107,泰和,7
108,盐,7
109,卤,7
110,卤水,7
111,尽快,7
112,注入,7
113,配股,7
114,追偿,7
115,告知,7
116,路联及,7
117,中汇,7
118,刘俊英,7
119,黄娜,7
120,河北省,7
121,高级人民法院,7
122,领用,7
123,海西州,7
124,社保,7
125,维修,7
126,生物,7
127,按应,7
128,孙,6
129,进军,6
130,复合肥,6
131,种植,6
132,运输,6
133,综合利用,6
134,减排,6
135,基超,6
136,分子结构,6
137,层状,6
138,装置,6
139,公司公告,6
140,名下,6
141,蓝晓,6
142,规章,6
143,或藏格,6
144,协助,6
145,深圳,6
146,铜,6
147,真实性,6
148,人为,6
149,同类,6
150,通汇,6
151,管业,6
152,教育,6
153,王卫国,6
154,焕然,6
155,富达,6
156,发票,6
157,邯郸市,6
158,嵌入,6
159,归类,6
160,资源税,6
161,刘威,5
162,核查,5
163,年报,5
164,定向,5
165,失效,5
166,防范,5
167,为藏格,5
168,网站,5
169,张冲良,5
170,潘,5
171,守卫,5
172,采矿权,5
173,分会,5
174,肥料,5
175,经济作物,5
176,垄断,5
177,一步,5
178,老,5
179,排放,5
180,提锂,5
181,层面,5
182,产业结构,5
183,信息化,5
184,之孙,5
185,健全,5
186,实时,5
187,易,5
188,人及,5
189,中藏,5
190,置,5
191,交割,5
192,路联,5
193,肖瑶,5
194,后本,5
195,原件,5
196,追究,5
197,网,5
198,判决书,5
199,永玮,5
200,酒店,5
201,柴油,5
202,机器设备,5
203,郑钜夫,5
204,工会,5
205,工程师,5
206,永旺,5
207,四海,5
208,圳,5
209,兴业,5
210,瑶博,5
211,油气,5
212,办公楼,5
213,反向,5
214,款年,5
215,西宁,5
216,运杂费,5
217,精粉,5
218,金瑞,4
219,华安,4
220,对账,4
221,媒体,4
222,化肥,4
223,比上,4
224,以东,4
225,平方公里,4
226,建成投产,4
227,首批,4
228,权威部门,4
229,检验,4
230,无机盐,4
231,工业协会,4
232,肥,4
233,施用量,4
234,生产能力,4
235,经销,4
236,农村,4
237,呈现,4
238,很大,4
239,钠,4
240,能源,4
241,增多,4
242,含量,4
243,极,4
244,技术储备,4
245,技术创新,4
246,科学,4
247,运费,4
248,中介,4
249,滞纳金,4
250,募,4
251,陆续,4
252,预先,4
253,之内,4
254,道路,4
255,货物运输,4
256,开发成本,4
257,瀚海,4
258,健康,4
259,产销,4
260,西安,4
261,增发,4
262,确有,4
263,住房,4
264,源拟,4
265,先行,4
266,方有权,4
267,向路源,4
268,该笔,4
269,由路源,4
270,权属,4
271,清晰,4
272,负担,4
273,如本,4
274,印章,4
275,复印件,4
276,清理,4
277,宝通,4
278,邢福立,4
279,性别,4
280,希尔顿,4
281,逸林,4
282,补助金,4
283,文化,4
284,行政村,4
285,结对,4
286,污染物,4
287,应急,4
288,回复,4
289,中国建设银行,4
290,吴卫东,4
291,聚宝,4
292,姚,4
293,蒋秀恒,4
294,法律顾问,4
295,年薪,4
296,否藏格,4
297,举办,4
298,视通科,4
299,尹颖,4
300,鸿福,4
301,朗信,4
302,天下,4
303,对比,4
304,准备金,4
305,文,4
306,军,4
307,神,4
308,化学品,4
309,化工产品,4
310,贵金属,4
311,投出,4
312,自用,4
313,建造,4
314,中本,4
315,地方税务局,4
316,代扣代缴,4
317,由本,4
318,夫妇,4
319,民事判决,4
320,给付,4
321,李凯,3
322,五矿,3
323,腾势,3
324,选定,3
325,指藏格,3
326,四方,3
327,柞水,3
328,中信,3
329,兴恒,3
330,国信,3
331,南路,3
332,电子信箱,3
333,高新区,3
334,天府,3
335,大道,3
336,中段,3
337,原辅材料,3
338,金属,3
339,主要用途,3
340,农用,3
341,制取,3
342,石油,3
343,光电,3
344,大宗,3
345,分散,3
346,直销,3
347,三大,3
348,逐步提高,3
349,粮食作物,3
350,意愿,3
351,不利因素,3
352,铁路运输,3
353,消费,3
