,分词排序,词频
0,山东,710
1,地矿,562
2,矿业,192
3,鲁地,148
4,信息,83
5,轮胎,75
6,慧通,66
7,生物科技,61
8,特种,57
9,工程,55
10,房地产,35
11,徐楼,35
12,银行,34
13,资讯网,32
14,力之源,32
15,宝利,32
16,甾体,32
17,土地,30
18,制造,27
19,新能源,27
20,济南,26
21,建设,26
22,划转,26
23,上海,25
24,医药,25
25,盛鑫,25
26,泰德,24
27,陈,24
28,漳浦县,23
29,娄烦县,23
30,产权交易,22
31,滨州市,22
32,淮北,21
33,志军,21
34,采选,20
35,安徽,19
36,院,19
37,北京,18
38,环保,17
39,黄龙,17
40,同日,17
41,丽枫,16
42,污水,16
43,矿产资源,16
44,中药,16
45,兖矿,16
46,创业投资,16
47,环境,16
48,济南市,15
49,固体,15
50,铁矿,15
51,健康,15
52,辞去,15
53,蓬莱市,15
54,会计报表,15
55,生物,14
56,广饶,14
57,娄烦,14
58,黄金,14
59,车间,14
60,张宪依,13
61,张虹,13
62,材料,13
63,华立,13
64,丰原,13
65,勘查,13
66,矿山,13
67,王爱,13
68,广东,12
69,裁定书,12
70,第六次,12
71,万泰,12
72,福建,12
73,万新,12
74,赠与,12
75,排放,12
76,氨氮,12
77,事故,12
78,王乐锦,12
79,董华,12
80,矿石,11
81,拍卖,11
82,剥离,11
83,建联盛,11
84,嘉,11
85,引入,11
86,扩股,11
87,交割,11
88,瑞鑫,11
89,地利,11
90,国有资产,11
91,谴责,11
92,时任,11
93,被执行人,10
94,地质矿产,10
95,数据,10
96,参照,10
97,铁矿石,10
98,污水处理,10
99,测绘,10
100,华源,10
101,薛希凤,10
102,建材,10
103,食品,10
104,芜湖,10
105,投票表决,10
106,章节,10
107,收货,10
108,莱商,10
109,物产,9
110,矿产品,9
111,蚌埠市,9
112,科技,9
113,太平,9
114,宝德瑞,9
115,鲁执,9
116,郭长洲,9
117,检测,9
118,何宏满,9
119,主任委员,9
120,请见,9
121,查阅,9
122,改制,9
123,茂名市,9
124,浙江,8
125,马立东,8
126,开采,8
127,零售,8
128,高级人民法院,8
129,省高院,8
130,胡,8
131,向东,8
132,中杰,8
133,李天章,8
134,分管,8
135,工业,7
136,深圳,7
137,油品,7
138,贵金属,7
139,汇,7
140,金矿业,7
141,资源,7
142,年报,7
143,褚志邦,7
144,协助,7
145,林少,7
146,李玉峰,7
147,应急,7
148,莱城,7
149,李培进,7
150,张,7
151,立新,7
152,导师,7
153,建筑物,7
154,出库,7
155,教育费,7
156,滨州,7
157,高新,6
158,高新技术,6
159,四通集团,6
160,多元化,6
161,中药材,6
162,淀粉,6
