,分词排序,词频
0,华映,643
1,科技,542
2,映管,294
3,福建,187
4,百慕大,180
5,闽,174
6,光电,157
7,闽东,144
8,模组,143
9,大同,111
10,福州,91
11,华佳彩,87
12,玻璃,86
13,映,84
14,科立视,80
15,视讯,77
16,信息,76
17,材料,74
18,纳,70
19,电机,65
20,电子,62
21,面板,60
22,大陆,57
23,工程,52
24,尺寸,51
25,对华,49
26,制造,49
27,盖板,49
28,莆田市,42
29,显示屏,42
30,电子信息,40
31,液晶,40
32,映管华映,39
33,房地产,37
34,液晶显示,37
35,建设,32
36,华冠,30
37,银行,30
38,吴江,29
39,福华,29
40,智能手机,24
41,手机,24
42,工业,24
43,平板,23
44,土地,23
45,车载,22
46,母板,22
47,华显,21
48,福州市,21
49,深圳,20
50,代工,20
51,白金,20
52,华兴,19
53,信息产业,19
54,创业投资,19
55,制造业,19
56,映管纳,19
57,莆田,18
58,厦门,18
59,上海,17
60,合力,17
61,零部件,17
62,屏,17
63,人大,17
64,国有资产,16
65,泰,16
66,电脑,16
67,厂商,16
68,资源,16
69,佳彩,16
70,社团,16
71,法人股,16
72,技术改造,16
73,母子公司,15
74,为华映,15
75,通道,15
76,涉案,15
77,江西,14
78,元华,14
79,器件,14
80,补偿款,14
81,年华,14
82,列入,14
83,台湾,14
84,林伟杰,13
85,控制力,13
86,模拟,13
87,佳园,13
88,数据,13
89,本部,13
90,触控,13
91,紧急处分,13
92,高新技术,13
93,定向,13
94,民生银行,13
95,收年,13
96,同类,12
97,纳闽,12
98,香港,12
99,映元,12
100,华,12
101,苏州,12
102,海丝,12
103,陈伟,12
104,进料加工,12
105,尽快,12
106,人未,12
107,郑新芝,12
108,向华映,11
109,第一条,11
110,良率,11
111,陆续,11
112,郑学军,11
113,汉族,11
114,资讯网,10
115,映管于,10
116,诉讼案,10
117,华乐,10
118,平板显示器,10
119,溢流,10
120,来料加工,10
121,出货,10
122,机器设备,10
123,控,10
124,福,10
125,奖励金,10
126,月华,9
127,媒体,9
128,林盛昌,9
129,高级人民法院,9
130,马尾区,9
131,保全,9
132,导入,9
133,铝,9
134,列明,9
135,协议书,9
136,信托,9
137,随即,9
138,建筑物,9
139,股改,9
140,罗妙成,9
141,厦门大学,9
142,外汇,9
143,农业银行,9
144,马尾,9
145,民事诉讼,8
146,显示器,8
147,光学玻璃,8
148,光机电,8
149,金士顿,8
150,售后服务,8
151,笔记本电脑,8
152,工控,8
153,立视,8
154,上表,8
155,中截,8
156,置,8
157,解禁,8
158,汽车,8
159,吴俊钦,8
160,吴家山,8
161,杨立新,8
162,否林丽群,8
163,同仁,8
