,分词排序,词频
0,海航,506
1,湖南,165
2,海南,164
3,上海,146
4,房地产,146
5,外均,142
6,连锁,138
7,民生,123
8,超市,120
9,西安,110
10,天津,83
11,实业集团,67
12,信息,67
13,家润,63
14,扶贫,62
15,物流,61
16,百货,60
17,零售,55
18,湘中,54
19,北京,46
20,西安市,45
21,物业,43
22,工程,42
23,江苏,42
24,建设,41
25,陕西,40
26,家乐,40
27,电子商务,39
28,哈尔滨,39
29,资讯网,39
30,顺客,37
31,隆,37
32,加盟,37
33,望海,37
34,酷铺,36
35,物流园,36
36,注入,35
37,停牌,35
38,土地,33
39,海口市,33
40,银行,32
41,科技,31
42,房产,31
43,金服,30
44,宝鸡,29
45,起个,29
46,宁河,29
47,引入,28
48,地产,27
49,旅游,27
50,湘乐,27
51,该笔,27
52,娄底,26
53,得利,26
54,宁夏,25
55,网点,25
56,广场,25
57,易生,25
58,购物中心,24
59,娄底市,24
60,资源,24
61,香港,24
62,链,23
63,海口,23
64,商场,23
65,广东,23
66,数据,23
67,修订稿,23
68,阳光,22
69,重庆,22
70,航空,21
71,山东,21
72,天津市,21
73,杜小平,20
74,王卉,20
75,掌合,20
76,消费,20
77,万家,20
78,长春,20
79,贫困,20
80,辞去,20
81,陕西省,19
82,核查,19
83,集,19
84,网络,19
85,购宝乐,19
86,悦达,19
87,铺,18
88,海通,18
89,基础设施,18
90,线下,18
91,配送,18
92,乐,18
93,青岛,18
94,海岛,18
95,天下,17
96,信航,17
97,黑龙江省,17
98,日月,17
99,农产品,17
100,延边,17
101,兴正元,16
102,鼎发,16
103,顺德区,16
104,受本,16
105,小额贷款,15
106,黑龙江,15
107,城乡,15
108,业态,15
109,物流配送,15
110,兖州,15
111,李仲煦,15
112,可回收,15
113,多否,15
114,互联网,14
115,电商,14
116,终端,14
117,教育,14
118,农业,14
119,山东泰山,14
120,六六六,14
121,尚建飞,13
122,信息技术,13
123,直营,13
124,建筑物,13
125,赤峰,13
126,问询,13
127,回复,13
128,常熟市,13
129,人力资源,13
130,南海,13
131,集注,13
132,网络科技,12
133,金融服务,12
134,环境,12
135,海南省,12
136,曲江,12
137,华城,12
138,脱贫,12
139,济宁市,12
140,生态,11
141,会员,11
142,店,11
143,社区,11
144,绿色,11
145,分支机构,11
146,信一,11
147,深圳,11
148,志愿者,11
149,实施细则,11
150,十堰市,11
151,常客,11
152,创投,11
153,泰安,11
154,怀安,11
155,开发成本,11
156,借款人,11
157,建,11
158,综合体,11
159,商务酒店,11
160,鼎盛,10
161,典当,10
162,汉中,10
163,临空,10
164,酒店,10
165,张家口,10
166,救助,10
167,霍尔果斯,10
168,区新,10
169,韩玮,10
170,风控,10
171,宝鸡市,10
172,物业管理,10
173,肇庆市,10
174,无风险,10
175,装修,10
176,信航小贷,9
177,消费者,9
178,超越,9
179,仓储,9
180,面积,9
181,豁免,9
182,公益,9
183,海庭,9
184,岛,9
185,第五次,9
186,元丰,9
187,百意,9
188,机场,9
189,购物广场,9
190,涿鹿,9
191,加盟费,9
192,新生,9
193,金色,9
194,城邦,9
195,预交,9
196,商厦,8
197,物流园区,8
198,商品流通,8
199,上线,8
200,加盟店,8
201,购物,8
202,体验,8
203,商业模式,8
204,农副产品,8
205,高新技术,8
206,商品销售,8
207,积极开展,8
208,事由,8
209,华平,8
210,工程建设,8
211,美丽,8
212,泾阳,8
213,茯茶,8
214,农户,8
215,梅州市,8
216,远成,8
217,货运,8
218,第十二次,8
219,被动,8
220,何家福,8
