,分词排序,词频
0,机器人,781
1,智能,530
2,哈工,484
3,江苏,344
4,工业,184
5,浙江,125
6,汽车,113
7,天津,109
8,科技,107
9,制造,103
10,上海,101
11,装备,101
12,福臻,89
13,瑞弗,83
14,自动化,81
15,蜀都,80
16,机电,69
17,资讯网,63
18,房地产,62
19,无锡,59
20,双良,59
21,哈工大,58
22,苏州,57
23,友利,55
24,信息,53
25,联创,48
26,焊接,46
27,成都,46
28,江阴,46
29,奥特,43
30,博格,43
31,氨纶,43
32,人工智能,43
33,直,43
34,艾迪,42
35,北京,42
36,车身,39
37,哈尔滨,38
38,工大,36
39,我耀,35
40,工程,34
41,海宁市,33
42,银行,33
43,嘉兴,32
44,李昊,32
45,特种,30
46,合肥,27
47,哲方哈工,26
48,建造,26
49,焊装,25
50,优先级,25
51,哈工易科,24
52,四川,23
53,柔性,22
54,资源,22
55,众力,22
56,软件,21
57,零部件,21
58,哈工海渡,21
59,易科,21
60,一站式,20
61,白,20
62,当选,20
63,按揭,19
64,银泰,18
65,本体,18
66,土地,18
67,乔徽,17
68,技术转让,17
69,数据,17
70,夹具,17
71,译联,17
72,自动,16
73,建设,16
74,药机,16
75,装置,15
76,技术咨询,15
77,湖州,15
78,哲方,15
79,集成,14
80,高新技术,14
81,制造业,14
82,重工,14
83,赌期,14
84,汉族,14
85,智能化,13
86,陈佩,13
87,我方,13
88,为准,13
89,商品销售,13
90,技术创新,12
91,纤维,12
92,广州,12
93,安阳,12
94,柯灵,12
95,缪文彬,12
96,商品房,12
97,证,12
98,工厂,11
99,旅游,11
100,咨询服务,11
101,保养,11
102,焊,11
103,马鞍山,11
104,焊机,11
105,义乌,11
106,王飞,11
107,天健,11
108,兴业,11
109,天兴,11
110,苏评,11
111,报字,11
112,海淀区,11
113,苏州市,11
114,节能,11
115,哈尔滨工业大学,11
116,维修,10
117,技术改造,10
118,法国,10
119,扩股,10
120,调试,10
121,永宣,10
122,信息化,10
123,李,10
124,平均价格,10
125,第名,10
126,嘉兴市,10
127,控制系统,9
128,重庆,9
129,知名,9
130,航空航天,9
131,新能源,9
132,万洲,9
133,宁波,9
134,私募,9
135,合资,9
136,创业投资,9
137,竞标,9
138,德国,9
139,广东,9
140,嘉泰,9
141,可回收,9
142,判决书,9
143,参投,9
144,外汇,9
145,天津市,9
146,机器,8
147,江阴市,8
148,宾馆,8
149,餐饮,8
150,娱乐,8
151,信息系统,8
152,开发技术,8
153,周边,8
154,系统集成,8
155,机气林,8
156,共哲,8
157,周边设备,8
158,顺利,8
159,岳阳,8
160,中央研究院,8
161,外延,8
162,材料,8
163,东台,8
164,技术装备,8
165,常州,8
166,日日,8
167,尚工,8
168,经于,8
169,房屋产权,8
170,委派代表,8
171,半导体,8
172,通用机械,8
173,基准日,8
174,地方性,8
175,众志,8
176,天衡,7
177,车型,7
178,更名,7
179,物业管理,7
180,长安,7
181,安徽,7
182,厂商,7
183,工作站,7
184,计算机软件,7
185,机械,7
186,教育,7
187,智慧,7
188,哈工智,7
189,南宁,7
190,补足,7
191,投资决策,7
192,交割日,7
193,蔡少河,7
194,姜延滨,7
195,司法机关,7
196,孙,7
197,直系亲属,7
198,环境保护,7
199,信利,7
200,汇,7
201,数码,7
202,通讯,7
203,常务,7
204,工程师,7
205,生,7
206,佛山,7
207,招商引资,7
208,计算机,6
209,人乔徽,6
210,临港,6
211,汽车集团,6
212,定位,6
213,致力于,6
214,医疗,6
215,核心技术,6
216,套装,6
217,连接,6
218,劣后级,6
219,三大,6
220,内生,6
221,小型,6
222,弗,6
223,宏,6
224,哈工卓耀,6
225,哈工福臻,6
226,磅策,6
227,环境,6
228,项下,6
229,何杰,6
230,立案侦查,6
231,参照,6
232,至该,6
233,详情,6
234,拓兴,6
235,潘素明,6
236,信托,6
237,灵川县,6
238,泛,6
239,全称,6
240,模具,6
241,信息技术,5
242,总成,5
243,纺织,5
244,包装材料,5
245,商业贸易,5
246,出租汽车,5
247,定制,5
248,切换,5
249,激光,5
250,长安汽车,5
251,专注,5
252,装配,5
253,湖南,5
254,二手,5
255,客户资源,5
256,互联网,5
257,哈工雷神,5
258,理,5
259,第一笔,5
260,领先地位,5
261,关键技术,5
262,积极响应,5
263,条,5
264,协同效应,5
265,对哈工,5
266,合资经营,5
267,落地,5
268,出资额,5
269,裁定书,5
270,热电,5
271,张家港,5
272,副会长,5
273,企业家,5
274,分开,5
275,开发成本,5
276,房产,5
277,被套,5
278,增值额,5
279,服务业,5
280,中创,5
281,夏玮,4
282,加剧,4
283,面向,4
284,动力,4
285,总拼,4
286,闵行区,4
287,吴中路,4
288,号栋楼,4
289,王妍,4
290,网站,4
291,营,4
292,限定,4
293,非金融,4
294,技术储备,4
295,战略规划,4
296,电子,4
297,华晨,4
298,整车,4
299,场合,4
300,广泛应用,4
301,打磨,4
302,实时,4
303,维修保养,4
304,搅拌,4
305,摩擦,4
306,监测,4
307,挖掘,4
308,资源整合,4
309,助力,4
310,盘活,4
311,寻求,4
312,城陵矶,4
313,尊鸿,4
314,作价,4
315,哈工以,4
316,引入,4
317,首期,4
318,基金业,4
319,技术水平,4
320,高技术,4
321,网络,4
322,宝控,4
323,日报,4
324,华泽,4
325,价,4
326,足额,4
327,工作日内,4
328,文化,4
329,机,4
330,派发,4
331,清晰,4
332,最新,4
333,永源,4
334,吴博,4
335,奚海艇,4
336,涉嫌犯罪,4
337,指经,4
338,从业,4
339,洪金祥,4
340,被执行人,4
341,冠日瑞通,4
342,单价,4
343,中国银行,4
344,担保费,4
345,环保,4
346,杨骏,4
347,南京,4
348,实施细则,4
349,积极开展,4
350,会计报表,4
351,抵消,4
352,公共,4
353,国外,4
354,终,4
355,子项目,4
356,微利,4
357,无因,4
358,排涝,4
359,振兴,4
360,单利,4
361,国库,4
362,控,4
363,证券期货,4
364,香港,4
365,下述,4
366,小节,3
367,一体,3
368,有无,3
369,中文,3
370,电子产品,3
371,主导,3
372,国内贸易,3
373,自营,3
374,阳阳,3
375,子,3
376,高速,3
377,奇瑞,3
378,路,3
379,福特,3
380,宝马,3
381,江淮,3
382,制造厂商,3
383,控股公司,3
384,工程技术,3
385,输送,3
386,成熟,3
387,雷诺,3
388,标致,3
389,车辆,3
