,分词排序,词频
0,天首,349
1,科技,233
2,内蒙古,230
3,天池,122
4,北京,101
5,钼业,77
6,矿业,67
7,伟业,63
8,吉林,62
9,四海,55
10,邱士杰,52
11,氨纶,51
12,共青城,49
13,日信,39
14,合慧,38
15,信息,38
16,天成,37
17,凯信,34
18,浙江,32
19,纺织,27
20,钼矿,27
21,土地,27
22,五洲,26
23,印染,26
24,腾龙,24
25,包头市,24
26,储量,24
27,敕勒川,22
28,建设,21
29,纺织品,20
30,采矿权,20
31,季德,19
32,填补,18
33,纤维,15
34,数据,15
35,胡国栋,15
36,赵,15
37,长寿,15
38,矿山,13
39,泰衡,12
40,测绘,12
41,工程,12
42,海威,12
43,吉林省,12
44,包头,11
45,石家庄市,11
46,李波,11
47,权属,11
48,存储,11
49,金房,10
50,绍兴市,10
51,绍兴,10
52,延边,10
53,数据中心,10
54,舒兰市,10
55,吉林市,9
56,信托,9
57,第二十三,9
58,保全,9
59,扶贫,9
60,柯桥区,8
61,大街,8
62,姜琴,8
63,上海,8
64,大华,8
65,天治,8
66,德图,8
67,等值,8
68,吕连根,8
69,中国农业银行,8
70,国土,8
71,资讯网,8
72,李晓斌,8
73,银行,8
74,权证,8
75,生于,8
76,河北省,7
77,第十五次,7
78,国土资源部,7
79,协助,7
80,建军,7
81,人及,7
82,协议书,7
83,就职,7
84,复垦,7
85,赵伟,7
86,涤纶布,6
87,第十八次,6
88,担保责任,6
89,信息技术,6
90,开采,6
91,房产,6
92,替换,6
93,石,6
94,估算,6
95,公顷,6
96,补偿费,6
97,马雅,6
98,森工,5
99,金润,5
100,广源,5
101,温州,5
102,建峰,5
103,新工,5
104,新源,5
105,光热,5
106,森林工业,5
107,工业,5
108,电子,5
109,仍为,5
110,拟以,5
111,施工,5
112,道路,5
113,管理局,5
114,证号,5
115,我行,5
116,退伙,5
117,足额,5
118,真实性,5
119,完整性,5
120,司法机关,5
121,袁琳,5
122,锋利,5
123,促使,5
124,提示性,5
125,黄苏华,5
126,国有土地,5
127,因未,5
128,违约责任,5
129,土默特右旗,5
130,吉林长春,5
131,产权交易,5
132,建造,5
133,水土流失,5
134,深圳,4
135,财富,4
136,中冶,4
137,天工,4
138,创业,4
139,董秘,4
140,众禾,4
141,逐年,4
142,中介机构,4
143,渤海,4
144,致使,4
145,尽快,4
146,采矿,4
147,投产,4
148,机器设备,4
149,金元,4
150,裁决,4
151,律师费,4
152,自本,4
153,日该,4
154,开展业务,4
155,因涉嫌,4
156,陈,4
157,摊薄,4
158,如该,4
159,终审判决,4
160,交割,4
161,工作日内,4
162,矿体,4
163,复印件,4
164,原件,4
165,吉,4
166,证券市场,4
167,刑事,4
168,经济纠纷,4
169,民事诉讼,4
170,纪律处分,4
171,受让方,4
172,尽早,4
173,因天首,4
174,最新,4
175,基准日,4
176,公司法人,4
177,章勇坚,4
178,刘苑生,4
179,东,4
180,大会,4
181,或重,4
182,时该,4
183,舒兰,4
184,地质,4
185,主管部门,4
186,水土保持,4
187,九江市,4
188,滨河,4
189,衡平,4
190,款年,4
191,证监局,3
192,河北,3
193,顾问,3
194,号楼,3
195,人寿,3
196,媒体,3
197,仪器,3
198,元器件,3
199,制造,3
200,股东会,3
201,人均,3
202,受制于,3
203,老化,3
204,落后,3
205,上涨,3
206,很大,3
207,冲击,3
208,采矿业,3
209,筹措,3
210,警示,3
211,锰,3
212,材料,3
213,签订合同,3
214,京,3
215,主,3
216,资矿,3
217,抵备,3
218,自成,3
219,立时,3
220,起未,3
221,第十四次,3
222,之二,3
223,近年,3
224,易,3
225,实缴,3
226,补足,3
227,存续,3
228,天数,3
229,失效,3
230,内本,3
231,正阳,3
232,消费行为,3
233,规章,3
234,自律,3
235,担,3
236,勇坚,3
237,北,3
238,二审,3
239,终审,3
240,中本,3
241,于本,3
242,资源,3
243,财务部门,3
244,经济往来,3
245,条,3
246,交易过程,3
247,舒国用,3
248,定,3
249,承,3
250,编码,3
251,级别,3
252,知悉,3
253,系其,3
254,立案侦查,3
255,依法追究,3
256,刑事责任,3
257,异常,3
258,暂行规定,3
259,第十三条,3
260,金融机构,3
261,乔铸,3
262,民事判决,3
263,无需,3
264,退还,3
265,为关,3
266,联方,3
267,款元,3
268,书面通知,3
269,停牌,3
270,王光,3
271,第二十六次,3
272,摘要,3
273,日为,3
274,此次,3
275,回复,3
276,前限售,3
