,分词排序,词频
0,新华联,746
1,旅游,309
2,文化,289
3,房地产,158
4,北京,135
5,长沙,85
6,文旅,77
7,信息,70
8,湖南,67
9,银行,60
10,芜湖,56
11,住宅,53
12,工程,52
13,西宁,49
14,上海,46
15,官窑,45
16,置,43
17,华联,40
18,铜,37
19,新丝路,36
20,物业,36
21,土地,36
22,建设,35
23,科技,33
24,景区,30
25,儿童乐园,28
26,酒店,27
27,古镇,27
28,广场,27
29,生物,26
30,醴陵,26
31,数据,25
32,圣方,24
33,竣工,24
34,资讯网,24
35,询问,23
36,小镇,20
37,天津,19
38,银川,19
39,唐山,17
40,商品房,16
41,马来西亚,16
42,株洲,16
43,韩国,15
44,教育,15
45,武汉,15
46,长春,15
47,海南,15
48,鸠,14
49,兹,14
50,湾,14
51,回售,14
52,石油,12
53,澳大利亚,12
54,面积,12
55,黄山,12
56,银清龙,12
57,济南市,12
58,华建,12
59,媒体,11
60,开业,11
61,阆中,11
62,乐园,11
63,调控,11
64,惠州,11
65,香水,11
66,内蒙古,11
67,恒业,11
68,西藏,11
69,牡,11
70,梦想,10
71,资源,10
72,地产,10
73,环境,10
74,建筑,10
75,房产,10
76,瓷业,10
77,赵仲杰,10
78,燃气,10
79,派生,10
80,苏波,9
81,黑龙江,9
82,物业管理,9
83,展示,9
84,房地产业,9
85,健康,9
86,湖南省,9
87,度假区,9
88,西南,9
89,新崇基,9
90,不动产,9
91,红,8
92,石化,8
93,业态,8
94,中海,8
95,醴陵市,8
96,大庆,8
97,国,8
98,购物中心,8
99,伟业,8
100,傅军,8
101,二审,8
102,长石,8
103,矿业,8
104,开发成本,8
105,增值率,8
106,建设工程,7
107,施工,7
108,落地,7
109,童梦,7
110,三亚,7
111,内涵,7
112,科学,7
113,海洋公园,7
114,土地储备,7
115,花山,7
116,稳,7
117,金融机构,7
118,土地增值,7
119,最高人民法院,7
120,金龙,7
121,材料,7
122,吴一平,7
123,杨云峰,7
124,香港,7
125,汉族,7
126,准备金,7
127,非流通股,7
128,长基,7
129,酒业,7
130,华明,6
131,古城,6
132,较强,6
133,预缴,6
134,锦绣,6
135,山庄,6
136,株式会社,6
137,城,6
138,旅行社,6
139,海洋,6
140,万平方米,6
141,旅游城,6
142,加拿大,6
143,普鲁斯,6
144,花园,6
145,海湾,6
146,太仓,6
147,白鲸,6
148,广东,6
149,宁夏,6
150,云南,6
151,生态,6
152,预提,6
153,违背,6
154,为准,6
155,山东,6
156,初字,6
157,高级人民法院,6
158,转账,6
159,奥,6
160,特莱斯,6
161,盛世,6
162,公共,6
163,董监,6
164,金国,6
165,合力,6
166,同创,6
167,石化集团,6
168,倍数,6
169,泛海,6
170,至本,6
171,悦豪,6
172,权证,6
173,刘,5
174,金六福,5
175,首钢,5
176,天健,5
177,李灵辉,5
178,自持,5
179,领导,5
180,委派,5
181,新天地,5
182,奥莱悦府,5
183,稳步,5
184,思路,5
185,传统,5
186,黑石,5
187,节假日,5
188,中学,5
189,商业地产,5
190,工匠,5
191,践行,5
192,针对性,5
193,贡献,5
194,建筑面积,5
195,西宁市,5
196,阿斯兰,5
197,北欧,5
198,呼和浩特,5
199,阅,5
200,青年城,5
201,湖北,5
202,餐饮,5
203,玫红,5
204,怀化,5
205,发,5
206,健全,5
207,解聘,5
208,同类,5
209,市场价,5
210,金融服务,5
211,授信额度,5
212,宏石,5
213,东岳,5
214,全国政协,5
215,杨,5
216,药业,5
217,长沙市,5
218,还本,5
219,计息,5
220,金诚,5
221,法人股,5
222,科瑞,5
223,巨人,5
224,股向,5
225,华夏,5
226,低值易耗品,5
227,建筑物,5
228,自用,5
229,建造,5
230,换取,5
231,城年,5
232,年期,5
233,推断,5
234,生产成本,5
235,并未,5
236,旅游局,5
237,马来西亚林吉特,5
238,澳币,5
239,源于,5
240,通州区,4
241,大街,4
242,建筑材料,4
243,五金交电,4
244,用房,4
245,技术转让,4
246,技术培训,4
247,牡丹江,4
248,张云鹤,4
249,着力,4
250,精做,4
251,产业布局,4
252,四川,4
253,所在地,4
254,自负盈亏,4
255,悦澜湾,4
256,奥林匹克,4
257,清晰,4
258,各大,4
259,素质,4
260,游客,4
261,高质量,4
262,凸显,4
263,演艺,4
264,如期,4
265,获,4
266,组建,4
267,联动,4
268,宏观调控,4
269,促使,4
270,高速,4
271,专业技能,4
272,精英,4
273,锻造,4
274,统筹,4
275,就业,4
276,公益活动,4
277,芜湖市,4
278,娱乐,4
279,黑龙江省,4
280,新开工,4
281,雅园,4
282,旅,4
283,纳尼亚,4
284,度假,4
285,预售,4
286,安徽,4
287,青海,4
288,金凤,4
289,银行贷款,4
290,信托,4
291,装修业,4
292,财鼎,4
293,活力,4
294,动力,4
295,手段,4
296,控,4
297,双,4
298,环保,4
