,分词排序,词频
0,恒立,179
1,汽车,79
2,零部件,65
3,恒安,64
4,上海,53
5,深圳,51
6,信息,51
7,傲盛霞,41
8,岳阳市,41
9,空调设备,40
10,岳阳,37
11,房地产,36
12,汽车空调,32
13,岳阳恒立,29
14,制造,28
15,银行,28
16,天津,25
17,空调,25
18,国际贸易,24
19,恒胜,22
20,工程,22
21,湖南,21
22,股改,21
23,大宗,20
24,恒通,19
25,惩戒,18
26,湖南省,17
27,制冷,17
28,解散,17
29,新安江,16
30,房产,16
31,中萃,15
32,长沙,15
33,元恒立,15
34,整车,15
35,结构性,15
36,华阳,14
37,受过,14
38,资源,13
39,煤炭,13
40,广东,13
41,制造业,13
42,数据,12
43,传统,12
44,材料,12
45,零配件,12
46,土地,12
47,清华,11
48,新能源,10
49,搬迁,10
50,错漏,10
51,有色金属,9
52,岳阳恒旺,9
53,建设,9
54,置,8
55,乙二醇,8
56,售后,8
57,汽车行业,8
58,文化,8
59,华融,8
60,湘江,8
61,开立,8
62,文,7
63,北京,7
64,尝试,7
65,国债,7
66,逆,7
67,挖掘,7
68,我司,7
69,放缓,7
70,倍,7
71,金属材料,7
72,光大银行,7
73,鑫泓,7
74,马伟进,6
75,卢剑波,6
76,国有资产管理局,6
77,工业,6
78,机械设备,6
79,维修,6
80,物业管理,6
81,电池,6
82,多元化,6
83,环保,6
84,钢铁,6
85,配件,6
86,万辆,6
87,防控,6
88,揭阳市,6
89,张华,6
90,禁入,6
91,吕友,5
92,帮,5
93,大道,5
94,东号,5
95,四化,5
96,冷气设备,5
97,此次,5
98,国有资产,5
99,李日晶,5
100,中联重科,5
101,商品价格,5
102,化工品,5
103,无此,5
104,钴,5
105,零件,5
106,教育,5
107,天数,5
108,利随,5
109,本清,5
110,中介,5
111,王孝春,5
112,林清源,5
113,办事处,5
114,失信,5
115,会计核算,5
116,参阅,5
117,单据,5
118,年报,4
119,蒋哲虎,4
120,冷水,4
121,李滔,4
122,信托投资公司,4
123,法人股,4
124,国资,4
125,华诚,4
126,历次,4
127,长城公司,4
128,兴业,4
129,监督管理,4
130,告知,4
131,许春龙,4
132,小轿车,4
133,运输,4
134,资质证书,4
135,一汽,4
136,一批,4
137,下半年,4
138,化学品,4
139,往年,4
140,小组,4
141,销售方,4
142,很大,4
143,消费者,4
144,节能,4
145,度,4
146,能源,4
147,奇瑞,4
148,车型,4
149,近年,4
150,清理,4
151,监管部门,4
152,开发新,4
153,揭商,4
154,科学,4
155,体,4
156,金属,4
157,天津市,4
158,保,4
159,通达,4
160,恒生,4
161,化工产品,4
162,产销,4
163,原先,4
164,健康,4
165,现象,4
166,异动,4
167,自查,4
168,无限期,4
169,丰泽,4
170,中将,4
171,预估,4
172,无效,4
173,青年,4
174,中路,4
175,扶贫,4
176,门,4
177,管黎华,4
178,曹金辉,4
179,公安局,4
180,湘潭市,4
181,营业部,4
182,生物,4
183,下该,4
184,建筑物,4
185,届满时,4
186,湖,4
187,南岳,4
188,程建,3
189,人马,3
190,伟进,3
191,幢,3
192,第楼,3
193,总厂,3
194,定向,3
195,发,3
196,国家股,3
197,国务院,3
198,朱镇辉,3
199,隽,3
200,永拓,3
201,吕润波,3
202,黄冠伟,3
203,第三季度,3
204,第四季度,3
205,其年,3
206,本部,3
207,新兴,3
208,康迪,3
209,增长点,3
210,筛选,3
211,承接,3
212,工商部门,3
213,取决于,3
214,成本核算,3
215,铜,3
216,混合,3
217,周期性,3
218,巨头,3
219,激烈,3
220,过剩,3
221,呈现,3
222,足额,3
223,同步,3
224,经营层,3
225,遗留问题,3
226,全力,3
227,开源节流,3
228,相继,3
229,多种产品,3
230,拖欠,3
231,西,3
232,健全,3
233,规范化,3
234,法定程序,3
235,积极性,3
236,思路,3
237,恒旺,3
238,氯化,3
239,三元,3
240,前驱,3
241,镍,3
242,华东地区,3
243,华中地区,3
244,友合,3
245,分类单位,3
246,折旧费,3
247,科技,3
248,湘,3
249,讼争,3
250,自营,3
251,车,3
252,空调机,3
253,展示,3
254,操作,3
255,浙江,3
256,客车,3
257,建立健全,3
258,预告,3
259,近期,3
260,保全,3
261,分拆,3
262,第十一次,3
263,借贷,3
264,揭阳,3
265,期后,3
266,款否,3
267,化学工程,3
268,机构名称,3
269,中国光大银行,3
270,地块,3
271,相关者,3
272,思思,3
273,周,3
274,电子,3
275,施梁,3
276,仓储,3
277,鲁小平,3
278,张艳,3
279,黎晓淮,3
280,陈洪,3
281,王庆杰,3
282,湘潭县,3
283,处长,3
284,被执行人,3
285,部门规章,3
286,主板,3
287,第条,3
288,所列,3
289,西安交通大学,3
290,岳阳鑫河,3
291,股长,3
292,重要性,3
293,发票,3
294,移交,3
295,核实,3
296,真实性,3
297,保费,3
298,准备金,3
299,油气,3
300,中央银行,3
301,益,3
302,月经,3
303,工商行政管理局,3
304,增至,3
305,罗湖区,3
306,拍卖,3
307,等于,3
308,机器设备,3
309,运输工具,3
310,流量,3
311,余值,3
312,教育费,3
313,应纳,3
314,三包,3
315,发货,3
316,兴盛,3
317,福田,3
318,工程项目,3
319,费及,3
320,阳,3
321,所欠,3
322,主管人员,2
323,委托人,2
324,阐述,2
325,不派,2
326,有无,2
327,外文,2
328,岳阳楼区,2
329,铺路,2
330,铺,2
331,居委会,2
332,梅溪,2
333,中学,2
334,网址,2
335,电子信箱,2
336,改组,2
337,人民,2
338,建设银行,2
339,发起,2
340,发起人,2
341,折,2
342,国家有关,2
343,余下,2
344,国资委,2
345,后傲,2
346,盛霞,2
347,改革方案,2
348,竞得,2
349,债务纠纷,2
350,框架,2
351,协议书,2
352,否本,2
353,知名度,2
354,固有,2
355,凌源,2
356,商品销售,2
357,项目分析,2
358,可信,2
359,顺利完成,2
360,评定,2
361,此基础,2
362,谈判,2
363,生产能力,2
364,上游,2
365,生产成本,2
366,经销,2
367,汽车产业,2
368,国民经济,2
369,技术创新,2
370,商品经济,2
371,规律,2
372,制约,2
373,季节性,2
374,同质化,2
375,交易量,2
376,黑色金属,2
377,石油,2
378,稀缺性,2
379,减弱,2
380,高度,2
381,垄断,2
382,缓解,2
383,景气,2
384,下行,2
385,价格指数,2
386,供给,2
387,侧,2
388,建材,2
389,成效显著,2
390,供需,2
391,错配,2
392,到达,2
393,低位,2
394,触底,2
395,反弹,2
396,升温,2
397,摩擦,2
398,基建投资,2
399,疲软,2
400,转弱,2
401,新军,2
402,从无到有,2
403,国产化,2
404,进程,2
405,发展壮大,2
406,先发,2
407,评审,2
408,技术含量,2
409,恒天,2
410,永康,2
411,部署,2
412,全方位,2
413,局面,2
414,潜力,2
415,已有,2
416,安亭,2
417,管理效率,2
418,充分调动,2
419,场所,2
420,公司业绩,2
421,逐年,2
422,更大,2
423,项对,2
424,车用,2
425,华北地区,2
426,华南地区,2
427,东北地区,2
428,统计,2
429,实物,2
430,吉林,2
431,亚融,2
432,青岛,2
433,启明,2
434,石,2
435,否无,2
436,水电费,2
437,起重机,2
438,荣沛,2
439,东西,2
440,法务,2
441,向鑫泓,2
442,送达,2
443,一份,2
444,一致意见,2
445,上午,2
446,南湖,2
447,该行,2
448,投资额,2
449,盈亏,2
450,工,2
451,资年,2
452,衍生品,2
453,工程机械,2
454,轻型客车,2
455,未有,2
456,冷,2
457,危险,2
458,易制毒,2
459,建筑材料,2
460,燃料油,2
461,危险品,2
462,品,2
463,零售,2
464,艺术交流,2
465,承办,2
466,展览,2
467,乘用车,2
468,主管部门,2
469,准,2
470,人力资源,2
471,简单,2
472,新车型,2
473,新动力,2
474,环境,2
475,挑战,2
476,特性,2
477,频繁,2
478,潜能,2
479,卡车,2
480,宇通,2
481,电机,2
482,规章制度,2
483,意识,2
484,交流,2
485,高质量,2
486,统筹,2
487,效能,2
488,监察,2
489,强力,2
490,进一步提高,2
491,文化氛围,2
492,消费市场,2
493,下滑,2
494,依赖,2
495,进口,2
496,一季度,2
497,回复,2
498,泄露,2
499,人恒立,2
500,时所作,2
501,李日,2
502,易,2
503,信托,2
504,争议,2
505,摘要,2
506,代收,2
507,代缴,2
508,个税,2
509,解聘,2
510,续聘,2
511,揭商及,2
512,昭,2
513,纠纷案件,2
514,嘉定区,2
