,分词排序,词频
0,顺发,211
1,恒业,207
2,杭州,116
3,房地产,89
4,万向,71
5,信息,51
6,浙江,47
7,物业,44
8,土地,31
9,旭发,29
10,住宅,28
11,房产,27
12,成交,26
13,万向集团,25
14,南通,23
15,建设,23
16,桐庐,22
17,淮南,21
18,数据,20
19,御园,19
20,中汇,18
21,面积,17
22,资源,17
23,增至,15
24,元顺发,14
25,长春,14
26,大源,13
27,德宏,13
28,资讯网,13
29,工程,13
30,发债,13
31,钱潮,12
32,三期,12
33,沈,12
34,志军,12
35,陈劲,12
36,亚力,12
37,党员,12
38,保修,12
39,万兴恒,11
40,万科,11
41,北京,11
42,美哉,11
43,不动产,11
44,地块,11
45,城,11
46,泽润园,11
47,物业管理,11
48,定期存款,11
49,国华,11
50,审阅,11
51,建筑物,11
52,同受,11
53,王,10
54,揽拓,10
55,辰旭,10
56,去化,10
57,美城,10
58,按揭,10
59,周,10
60,公司总裁,9
61,发,9
62,北辰,9
63,璟,9
64,悦府,9
65,建筑面积,9
66,调控,9
67,环境,9
68,预售,9
69,旺角,9
70,唐,9
71,公共,9
72,祝青,8
73,龙卓,8
74,上海,8
75,万平方米,8
76,富春峰景,8
77,商品房,8
78,均价,8
79,萧山,8
80,银行,8
81,解读,8
82,开发成本,8
83,旭杰,7
84,信托,7
85,长春市,7
86,银行贷款,7
87,康庄,7
88,套,7
89,万方,7
90,竣工,7
91,业主,7
92,材料,7
93,教育,7
94,萧山区,7
95,顺和,6
96,旭登,6
97,钱嘉清,6
98,网站,6
99,水利建设,6
100,房地产业,6
101,吉祥,6
102,半岛,6
103,上涨,6
104,国土,6
105,开工,6
106,预先,6
107,住房,6
108,孙坚,6
109,孙建荣,6
110,年月生,6
111,杭州人,6
112,管委会,6
113,高新,6
114,教育部,6
115,配股,6
116,嵌入,6
117,自用,6
118,维修,6
119,期未到,6
120,对策,5
121,股股,5
122,大洋,5
123,世家,5
124,室,5
125,严海锋,5
126,何斯雯,5
127,江苏,5
128,顺应,5
129,定位,5
130,公寓,5
131,商品住宅,5
132,江南,5
133,淮南市,5
134,总价,5
135,别墅,5
136,淮,5
137,挂,5
138,一品,5
139,江山,5
140,退出,5
141,面向,5
142,金融机构,5
143,中央,5
144,近期,5
145,环节,5
146,派元,5
147,合资,5
148,置,5
149,金融服务,5
150,来冰,5
151,换届选举,5
152,职工代表,5
153,中国银行,5
154,号文,5
155,航民,5
156,实业集团,5
157,简历,5
158,光电,5
159,人力资源部,5
160,倍数,5
161,故未,5
162,积分,5
163,月数,5
164,或本,4
165,通顺,4
166,吉顺,4
167,旭佰,4
168,通联,4
169,原名,4
170,纳德,4
171,之光,4
172,国悦府,4
173,限价,4
174,所在地,4
175,入市,4
176,临安,4
177,来看,4
178,装修,4
179,全市,4
180,宗,4
181,丽锦,4
182,业态,4
183,恒园,4
184,上调,4
185,回售,4
186,投向,4
187,此次,4
188,租,4
