,分词排序,词频
0,智慧,581
1,天夏,343
2,科技,157
3,杭州,134
4,建设,122
5,信息,109
6,数据,83
7,信托,60
8,北京,56
9,广西,54
10,软件,45
11,信息技术,39
12,夏建统,37
13,房地产,36
14,系统集成,35
15,工程,32
16,索芙特,31
17,元天夏,31
18,银行,31
19,梁国,30
20,锦州,27
21,共享,26
22,恒越,25
23,模块,23
24,商圈,22
25,睿康,21
26,西藏,19
27,上海,19
28,地理信息,19
29,坚,19
30,网络,18
31,嘉禾,17
32,盛德,17
33,地理,16
34,重庆,15
35,软件产品,15
36,环境,15
37,信息化,15
38,国厚,15
39,集成,14
40,浙江,14
41,采集,13
42,交通,13
43,天夏睿兴,13
44,注册商标,13
45,安徽,12
46,资源,12
47,管理系统,12
48,建造,12
49,联网,12
50,教育,12
51,颁发,12
52,排名,12
53,建筑,12
54,天夏聚盈,11
55,通信,11
56,夏,11
57,健康,11
58,未决,11
59,扶贫,11
60,艾斯弧,11
61,王军,10
62,朝阳,10
63,梧州市,10
64,服务业,10
65,落地,10
66,农业,10
67,宽带,10
68,苏州,10
69,杭州市中级人民法院,10
70,国海,10
71,规划设计,10
72,工商行政管理局,10
73,中准,9
74,资源整合,9
75,智天夏,9
76,数据交换,9
77,公共,9
78,复合,9
79,集合,9
80,广西壮族自治区,9
81,土地,9
82,互联网,8
83,浩泽嘉业,8
84,京马,8
85,信息系统,8
86,数字化,8
87,平安,8
88,智能,8
89,广东,8
90,承接,8
91,紧密,8
92,三十六个,8
93,合肥,8
94,梧州,8
95,广州,8
96,江苏,8
97,商业模式,7
98,芙特,7
99,燃料,7
100,谷欣,7
101,浩然,7
102,明达,7
103,指挥,7
104,数据共享,7
105,社会公众,7
106,建部,7
107,运营商,7
108,深圳,7
109,化妆品,7
110,影视,7
111,德,7
112,中信银行,7
113,华润,7
114,深国投,7
115,类限售,7
116,辞去,7
117,否夏建统,7
118,滞纳金,7
119,可回收,7
120,生物,7
121,建筑物,7
122,中军,7
123,中科,7
124,委托人,7
125,霍尔果斯,7
126,华熙,7
127,核心技术,6
128,川宏,6
129,江阴,6
130,地理信息系统,6
131,面向,6
132,城市规划,6
133,应急,6
134,子系统,6
135,视频,6
136,交通系统,6
137,服务中心,6
138,带动,6
139,城镇化,6
140,注入,6
141,增长点,6
142,年底,6
143,地方性,6
144,年均,6
145,万亿元,6
146,接入,6
147,智能化,6
148,统一化,6
149,科睿,6
150,交易方式,6
151,受托人,6
152,兼年,6
153,审阅,6
154,审,6
155,金融资本,6
156,海科,6
157,并未,6
158,投出,6
159,嵌入,6
160,教育费,6
161,陕,6
162,国投,6
163,担保人,6
164,出质人,6
165,软件平台,5
166,框架,5
167,海量,5
168,远程,5
169,理,5
170,指即,5
171,谭旭明,5
172,数据中心,5
173,借助,5
174,总包,5
175,硬件,5
176,住,5
177,国家级,5
178,释放,5
179,国务院,5
180,成效,5
181,出台,5
182,投资额,5
183,几年,5
184,抽取,5
185,传统,5
186,强大,5
187,文化,5
188,分拆,5
189,高级人民法院,5
190,体育,5
191,陆家嘴,5
192,股非,5
193,工业,5
194,外汇,5
195,汇源,5
196,汉族,5
197,公司总裁,5
198,哈工大,5
199,导师,5
200,莲花,5
201,海淀,5
202,油气,5
203,止本,5
204,印度卢比,5
205,流量,5
206,归类,5
207,转账,5
208,公示,5
209,浙,5
210,一案,5
211,尊同,5
212,增盈,5
213,邢台,5
214,智联,5
215,产投,5
216,稳定期,5
217,保利,5
218,滨江,5
219,出质,5
220,政策性,4
221,运行状况,4
222,越来越,4
223,加剧,4
224,资讯网,4
225,模型,4
226,三维,4
227,城管,4
228,空间信息,4
229,数据管理,4
230,编码,4
231,控制中心,4
232,诱导,4
233,滨江区,4
234,可扩展性,4
235,系列产品,4
236,跨行业,4
237,应用软件,4
238,消防,4
239,电子,4
240,公共服务,4
241,盈利模式,4
242,扩展,4
243,辐射,4
244,和谐,4
245,以个,4
246,统计,4
247,制造,4
248,复制,4
249,涉密,4
250,匹配,4
251,全方位,4
252,复用,4
253,即将来临,4
254,动力,4
255,奠定,4
256,高水平,4
257,能源,4
258,著作权,4
259,模版,4
260,印度,4
261,日用,4
262,药品,4
263,工程施工,4
264,大邑,4
265,城区,4
266,否天夏,4
267,承资,4
268,再融资,4
269,高友志,4
270,成交价,4
271,为元股,4
272,清理,4
273,上诉,4
274,现代农业,4
275,汽车配件,4
276,金太阳,4
277,再生资源,4
278,国,4
279,香港,4
280,宝钢,4
281,丁海芳,4
282,审查,4
283,由名,4
284,及名,4
285,主任委员,4
286,会计报表,4
287,一组,4
288,户,4
289,缴税,4
290,更名,4
291,三十四,4
292,自用,4
293,退休,4
294,成分,4
295,应纳,4
296,孙,4
297,出资额,4
298,存续,4
299,一拖,4
300,睿民,4
301,中国民生银行,4
302,合同书,4
303,该笔,4
304,招商,4
305,引,4
306,资等,4
307,付,4
308,源于,4
309,使本,4
310,商标,4
311,判决书,4
312,质权,4
313,保全,4
314,带,3
315,扩张,3
316,后备力量,3
317,创新能力,3
318,成熟,3
319,把握,3
320,营运,3
321,市民,3
322,较长,3
323,指天夏,3
324,表现,3
325,空间数据,3
326,接口,3
327,充分利用,3
328,电子政务,3
329,一体,3
330,计算机,3
331,软硬件,3
332,流,3
333,在线,3
334,人夏建统,3
335,六和路,3
336,幢,3
337,北,3
338,四楼,3
339,何燕秋,3
340,第一季度,3
341,第二季度,3
342,第三季度,3
343,第四季度,3
344,极大,3
345,旅游,3
346,为个,3
347,综合性,3
348,政务,3
349,民生,3
350,数据处理,3
351,网络化,3
352,力量,3
353,消费,3
354,现状,3
355,试行,3
356,战略规划,3
357,发改委,3
358,新一代,3
359,融入,3
360,服务水平,3
361,必然选择,3
362,陆续,3
363,广阔,3
364,发展前景,3
365,光明,3
366,迎来,3
367,快速增长,3
368,来看,3
369,居于,3
370,首位,3
371,概念,3
372,期自年,3
373,前瞻,3
374,稳步,3
375,联盟,3
376,化以,3
377,营收,3
378,出发点,3
379,解析,3
380,信息源,3
381,内聚,3
382,耦合,3
383,软件设计,3
384,更好,3
385,可维护性,3
386,连接,3
387,由下,3
388,至上,3
389,良好基础,3
390,全面完成,3
391,带宽,3
392,呈现出,3
393,爆炸式,3
394,突破性,3
395,场景,3
396,大陆,3
397,技术标准,3
398,利润率,3
399,思路,3
400,抓住,3
401,生态,3
402,分类单位,3
403,筹划,3
404,坚张,3
405,或本,3
406,涉案,3
407,考量,3
408,日日,3
409,社会保险,3
410,脱贫,3
411,分配权,3
412,聂宗道,3
413,张桂珍,3
