,分词排序,词频
0,林业,495
1,森源,309
2,福建,294
3,家具,197
4,工程,78
5,苏加旭,69
6,永安市,62
7,生物,58
8,信息,50
9,木材,48
10,人造板,44
11,家居,43
12,资讯网,35
13,酒店,33
14,纤维板,32
15,定制,31
16,装饰,31
17,建设,31
18,房地产,30
19,广东,28
20,洪涛,27
21,建筑工程,26
22,浙江,25
23,雄创,24
24,蒙玛,24
25,北京,23
26,中艺,23
27,银行,22
28,固鑫,22
29,木业,22
30,永林,20
31,绿欧,20
32,万立方米,20
33,深圳,20
34,生态,19
35,南安,19
36,林木,18
37,艾玛,18
38,大岭,18
39,东莞市,18
40,数据,17
41,三亚,17
42,森林,16
43,制造,16
44,树种,16
45,土地,16
46,加旭,15
47,汇洋,15
48,万亩,15
49,林,15
50,木作,15
51,中注,15
52,资源,14
53,森林资源,14
54,南安市,14
55,造林,13
56,精装,13
57,作业,13
58,李建强,13
59,数为,13
60,上海,13
61,漳平市,13
62,元及,13
63,珍稀,12
64,绿化,12
65,郑新芝,12
66,连城县,12
67,森威,12
68,消耗性,12
69,三亚市,12
70,致同,11
71,材料,11
72,环境,11
73,竹,11
74,山,11
75,燕菁,11
76,公益性,11
77,吴景贤,10
78,建筑,10
79,酒店家具,10
80,管护,10
81,仲裁员,10
82,否苏,10
83,海南,10
84,法冲减,10
85,房产,9
86,调控,9
87,木地板,9
88,搬迁,9
89,住房,9
90,清白,9
91,满个,9
92,厦门,9
93,电子商务,9
94,陈振宗,9
95,永明,9
96,否陈,9
97,城,9
98,天广,9
99,永,8
100,胶粘剂,8
101,制造业,8
102,健全,8
103,板,8
104,信息化,8
105,制订,8
106,充分考虑,8
107,责任人,8
108,款年,8
109,永平,8
110,丰汇伟瀚,8
111,雅源,8
112,配饰,8
113,泉州,8
114,优,8
115,高雅,8
116,门业,8
117,上诉,8
118,明,7
119,采伐,7
120,面积,7
121,珍贵,7
122,轻质,7
123,工业,7
124,公益林,7
125,苗木,7
126,种苗,7
127,亩,7
128,除草,7
129,机器设备,7
130,技术改造,7
131,或本,7
132,李建,7
133,强固,7
134,鑫,7
135,罗元清,7
136,潘越,7
137,竹制品,7
138,城建,7
139,天鹅,7
140,栋,7
141,海南省,7
142,城郊,7
143,海景,7
144,不服,7
145,燕,6
146,江东,6
147,路,6
148,网站,6
149,常规,6
150,主导,6
151,养殖,6
152,桉树,6
153,抚育,6
154,林地,6
155,纤维,6
156,连城,6
157,建筑物,6
158,住宅,6
159,竹木,6
160,银行贷款,6
161,论证,6
162,中所,6
163,审阅,6
164,青文,6
165,陈,6
166,松柏,6
167,刘翔,6
168,晖,6
169,工程师,6
170,嵌入,6
171,金茂,6
172,建设工程,6
173,哈曼,6
174,刘永彬,6
175,常平镇,6
176,司马,6
177,村绿,6
178,湖山庄,6
179,山森源,6
180,一体化,6
181,泉州市,6
182,鉴定,6
183,二审,6
184,洪福,5
185,林金树,5
186,生物科技,5
187,天然林,5
188,综合利用,5
189,地板,5
190,家具行业,5
191,工厂,5
192,装修,5
193,环保,5
194,健康,5
195,下滑,5
196,种植,5
197,伐,5
198,营林,5
199,甲醛,5
200,二次,5
201,国外,5
202,人工,5
203,化学,5
204,施肥,5
205,干燥,5
206,科技,5
207,伐区,5
208,负数,5
209,二者,5
210,较晚,5
211,为准,5
212,自森源,5
213,如未,5
214,公式,5
215,社会保险,5
216,商品销售,5
217,董,5
218,黄,5
219,国有资产,5
220,建康,5
221,建新,5
222,黄忠,5
223,电子,5
224,经济师,5
225,燕林,5
226,财险,5
227,油气,5
