,分词排序,词频
0,水泥,567
1,甘肃,203
2,浙江,126
3,铜陵,88
4,信息,74
5,财政拨款,74
6,环保,66
7,房地产,60
8,建材,59
9,工程,58
10,诸暨市,48
11,诸暨,43
12,建设,42
13,怀宁,41
14,扶贫,34
15,俞锋,32
16,熟料,32
17,铜陵市,31
18,银行,28
19,南方,24
20,安徽,24
21,颗粒物,24
22,有色金属,22
23,环境,22
24,土地,22
25,九江,22
26,节能,21
27,制造,21
28,配股,21
29,富润,20
30,北京,20
31,工业,20
32,物流,20
33,资讯网,20
34,安庆市,20
35,混凝土,19
36,氮氧化物,19
37,颍,18
38,博乐市,18
39,俞小峰,18
40,二氧化硫,18
41,排放,16
42,瞿辉,15
43,科技,15
44,杭州,15
45,公安局,15
46,石门,15
47,湖,15
48,物业管理,15
49,江苏,14
50,台州,14
51,矿业,14
52,信托,14
53,怀宁县,14
54,吉尔吉斯斯坦,13
55,砂浆,13
56,数据,12
57,资源,12
58,干粉,12
59,贵州,12
60,金兴,12
61,航运,12
62,镇,12
63,吉尔吉斯,11
64,上融,11
65,房产,11
66,教育,11
67,应急,11
68,排污,11
69,收尘,11
70,水泥制品,11
71,拆,11
72,粉磨,10
73,大地,10
74,花园酒店,10
75,条,10
76,填补,10
77,决定书,10
78,罚款,10
79,俞,10
80,光明,10
81,环保局,10
82,知悉,10
83,贫困,10
84,退,9
85,宁波,9
86,义安,9
87,林中,9
88,处以,9
89,第一款,9
90,环境保护,9
91,奖补,9
92,即征,8
93,综合利用,8
94,矿山,8
95,杰夏,8
96,建筑物,8
97,陈明勇,8
98,审查,8
99,事故,8
100,村,8
101,脱贫,8
102,污染物,8
103,华润,8
104,山东泰山,8
105,索姆,8
106,致同,7
107,白银市,7
108,农村,7
109,材料,7
110,文化,7
111,信息化,7
112,绿色,7
113,九江市,7
114,管理局,7
115,台州市,7
116,易上,7
117,记录表,7
118,行政许可,7
119,警告,7
120,监管局,7
121,结对,7
122,颍上县,7
123,窑头,7
124,监测,7
125,次坞,7
126,怀远县,7
127,扣缴,7
128,奖励金,7
129,张亦峰,6
130,有色,6
131,甘肃省,6
132,白银区,6
133,兴业,6
134,玉海,6
135,供给,6
136,码头,6
137,新疆,6
138,航民,6
139,涉嫌,6
140,移交,6
141,刑事,6
142,违法行为,6
143,危害,6
144,一百九十三,6
145,告知,6
146,健康,6
147,大气污染,6
148,物排放,6
149,机械,6
150,刘国健,6
151,赵旭飞,6
152,陈黎伟,6
153,宝盛,6
154,教育费,6
155,中尚,6
156,质量奖,6
157,奖,6
158,补贴款,6
159,亚东,6
160,工厂,5
161,表中,5
162,基础设施,5
163,电子,5
164,侧,5
165,稳步,5
166,施工,5
167,保持稳定,5
168,采矿权,5
169,装卸,5
170,工程项目,5
171,保险,5
172,竣工,5
173,长江,5
174,石灰石,5
175,一带,5
176,一路,5
177,合资,5
178,净流入,5
179,材,5
180,一人,5
181,梳理,5
182,规章制度,5
183,林国荣,5
184,余俊仙,5
185,张本,5
186,赵,5
187,最新,5
188,安监,5
189,监督管理,5
190,会同,5
191,污染环境,5
192,犯罪,5
193,该案,5
194,当日,5
195,俞云灿,5
196,四人,5
197,立案侦查,5
198,未以,5
199,当事人,5
200,情节,5
201,我局,5
202,事先,5
203,下发,5
204,公年司,5
205,道路,5
206,残疾人,5
207,职业技能,5
208,贫困学生,5
209,集体,5
