,分词排序,词频
0,方舟,491
1,华讯,423
2,科技,262
3,南京,129
4,通信,121
5,信息,89
6,恒天,72
7,南京市,60
8,天鹅,57
9,装备,51
10,国蓉,45
11,军事,45
12,军民,44
13,成都,38
14,吴光胜,36
15,军工,36
16,北京,35
17,信息化,29
18,建设,29
19,元华,28
20,智慧,26
21,工程,26
22,银行,25
23,开发技术,25
24,国防,23
25,雷达,22
26,数据,21
27,鼓楼区,21
28,新能源,20
29,河北,19
30,无人机,18
31,教育,18
32,扶贫,18
33,高新技术,17
34,卫星,17
35,网络,15
36,业绩考核,15
37,房地产,15
38,组网,14
39,深圳,14
40,天盾,14
41,拨款,14
42,智能,13
43,工业,13
44,民用,13
45,电子产品,12
46,资讯网,12
47,军用,12
48,通讯,12
49,仿真,11
50,软件,11
51,九度,11
52,鼓国,11
53,认字,11
54,软号,11
55,纤维,10
56,军方,10
57,制造,10
58,系本,10
59,香港,10
60,北京华,9
61,技术装备,9
62,李湘平,9
63,资源,9
64,无线通信,9
65,无人化,9
66,环境,9
67,经济运行,9
68,监测,9
69,无线电,9
70,武汉,9
71,提供商,9
72,防务,9
73,河南,9
74,玉川,9
75,赵术开,9
76,受本,9
77,天谷,9
78,普天,9
79,华讯方德,9
80,土地,9
81,高新区,9
82,软件产品,8
83,军队,8
84,部队,8
85,生物,8
86,航空,8
87,电磁,8
88,电子设备,8
89,赫兹,8
90,产业基地,8
91,国防科技,8
92,军品,8
93,参军,8
94,填补,8
95,技,8
96,张峥,8
97,建筑物,8
98,融资券,8
99,三期,8
100,成就,8
101,分批,8
102,袁东,8
103,汽车,8
104,款年,8
105,鑫,7
106,近距,7
107,宽带,7
108,三维,7
109,作战,7
110,信息安全,7
111,天稻,7
112,科研,7
113,特种,7
114,文化,7
115,海口,7
116,蓉,7
117,驰,7
118,否华讯,7
119,收购人,7
120,油气,7
121,黄立锋,7
122,企友,7
123,军融,7
124,盛,7
125,建国,7
126,张,7
127,监管局,7
128,媒体,6
129,大信,6
130,情报,6
131,公共安全,6
132,净空,6
133,防御,6
134,车辆,6
135,人防,6
136,计算机,6
137,深化,6
138,奠定,6
139,电子科技,6
140,折旧费,6
141,孵化器,6
142,曹健,6
143,诸志超,6
144,市场价,6
145,转账,6
146,湖北,6
147,华讯国蓉,6
148,材料,6
149,谢维信,6
150,否张峥,6
151,流失,6
152,负面新闻,6
153,建造,6
154,一路,5
155,上海,5
156,光电,5
157,信息系统,5
158,集成,5
159,即征,5
160,初步,5
161,车,5
162,武器装备,5
163,联合作战,5
164,军费,5
165,建设工程,5
166,核心技术,5
167,技术创新,5
168,资源共享,5
169,资源配置,5
170,军工企业,5
171,公众,5
172,化学纤维,5
173,优翔,5
174,宜控,5
175,智行博,5
176,玻利维亚,5
177,中央,5
178,名单,5
179,产业政策,5
180,刘琳,5
181,潘忠祥,5
182,汤琪,5
183,第十六次,5
184,核查,5
185,脱贫,5
186,事前,5
187,常务,5
188,深圳大学,5
189,欧文,5
190,人力资源,5
191,否赵术,5
192,国盛,5
193,实施细则,5
194,发展局,5
195,对此,4
196,保定市,4
197,路,4
198,机械设备,4
199,卫星通信,4
200,统一标准,4
201,四大,4
202,体系化,4
203,节点,4
204,终端,4
205,灵活,4
206,无线,4
207,预警,4
208,精确,4
209,定位,4
210,头载,4
211,视景,4
212,指挥,4
213,融入,4
214,共享,4
215,航天航空,4
216,科研院所,4
217,体制,4
218,十九,4
219,无人,4
220,首要,4
221,更好,4
222,公司总部,4
223,职能部门,4
224,原子,4
225,辆,4
226,交割,4
227,科技领域,4
228,技术咨询,4
229,贡献,4
230,产业结构,4
231,第一批,4
232,民,4
233,适时,4
234,第十四次,4
235,知悉,4
236,正当,4
237,李晓丛,4
238,路威,4
239,第二十次,4
240,失效,4
241,保定,4
242,物业管理,4
243,内向,4
244,限售期,4
245,陆,4
246,广发,4
247,两名,4
248,软硬件,4
249,港股,4
250,纺织,4
251,简历,4
252,博士,4
253,创业,4
254,西安电子科技大学,4
255,财务经理,4
256,否黄立锋,4
257,失误,4
258,规章,4
259,低值易耗品,4
260,结果表明,4
261,保险费,4
262,委托方,4
263,顾客,4
264,定期存款,4
265,票,4
266,第二批,4
267,国家级,4
268,郑州市,4
269,指华讯,3
270,河北省,3
271,宝安区,3
272,西乡,3
273,宝田,3
274,臣田,3
275,工业区,3
276,网站,3
277,专注,3
278,第三十二,3
279,电气设备,3
280,气象,3
281,仪器,3
282,历次,3
283,王进,3
284,崔会强,3
285,税负,3
286,应用领域,3
287,典型,3
288,整机,3
289,模块化,3
290,场景,3
291,公安,3
292,监视,3
293,探测,3
294,导航,3
295,存储,3
296,定制,3
297,人民,3
298,垂直,3
299,起降,3
300,快,3
301,稳定性,3
302,全方位,3
303,电子,3
304,保密,3
305,打击,3
306,现状,3
307,制造业,3
308,我军,3
309,机械化,3
310,战术,3
311,坚实基础,3
312,运输,3
313,信用证,3
314,备货,3
315,鼓楼,3
316,产业布局,3
317,致力于,3
318,要素,3
319,战争,3
320,人才培养,3
321,内外,3
322,显示器,3
323,飞行器,3
324,博览会,3
325,紧密,3
326,秉承,3
327,报国,3
328,定点,3
329,家庭,3
330,党支部,3
331,带领,3
332,下滑,3
333,大部分,3
334,套,3
335,高科,3
336,设级,3
337,及孙,3
338,科技产业,3
339,长远,3
340,由华讯,3
341,落地,3
342,示范区,3
343,构筑,3
344,拓宽,3
345,经大信,3
346,为元经,3
347,于本,3
348,人及,3
349,对华,3
350,毫无保留,3
351,书面通知,3
352,尽力,3
353,促使,3
354,优先权,3
355,受损,3
356,善意,3
357,尽量减少,3
358,抵触,3
359,回避,3
360,公平交易,3
361,第三者,3
362,谋取,3
363,土地证,3
364,对恒天,3
365,定向,3
366,华讯民,3
367,合资经营,3
368,证监会,3
369,最新,3
370,摘要,3
371,意见书,3
372,公示,3
373,第二十九次,3
374,获批,3
375,物业,3
376,褚毅宏,3
377,经济效益,3
378,环境保护,3
379,第二十六次,3
380,第三十次,3
381,第十五次,3
382,第三十四,3
383,第十八次,3
384,授信额度,3
385,后限售,3
386,解禁,3
387,沈卫,3
388,纺织机械,3
389,宋晏,3
390,工程师,3
391,景弘,3
392,中兴,3
393,农产品,3
394,方阵,3
395,网络科技,3
396,开,3
397,事,3
398,具体方法,3
399,期后,3
400,模型,3
401,稳定期,3
402,保费,3
403,准备金,3
404,中央银行,3
405,量化,3
406,计算方法,3
407,包装物,3
408,在内,3
409,机器设备,3
410,运输设备,3
411,代理人,3
412,教育费,3
413,术,3
414,江苏,3
415,代垫,3
416,装修,3
417,中联,3
418,四川,3
419,地方性,3
420,科学技术委员会,3
421,知识产权局,3
422,层面,3
423,华研,3
424,古平岗,3
425,程贵平,2
426,表述,2
427,不派,2
428,指恒天,2
429,数华讯,2
430,安新县,2
431,旅游,2
432,北侧,2
433,别墅,2
434,网址,2
435,电子信箱,2
436,恒,2
437,股占,2
438,年华,2
439,元非,2
440,积极响应,2
441,聚合,2
442,中继,2
443,视频,2
444,远距离,2
445,传输,2
446,强大,2
447,广泛应用,2
448,海事,2
449,应急,2
450,周界,2
451,安防,2
452,一体,2
453,防护,2
454,实时,2
455,船舶,2
456,态势,2
457,基础设施,2
458,采集,2
459,模块,2
460,侦查,2
461,对抗,2
462,物联,2
463,光,2
464,真,2
465,军事训练,2
466,传统,2
467,军营,2
468,五项,2
469,陆军,2
470,旅,2
471,团级,2
472,军,2
473,数据分析,2
474,复合,2
475,固定翼,2
476,设置,2
477,航线,2
478,飞行,2
479,信号,2
480,位置,2
481,专网,2
482,现代化,2
483,国防工业,2
484,开支,2
485,现代战争,2
486,广阔,2
487,贯穿,2
488,战,2
489,军委,2
490,战区,2
491,军种,2
492,数字化,2
493,时期,2
494,装备费,2
495,维修,2
496,很大,2
497,取决于,2
498,较长,2
499,密集型,2
500,聚集,2
501,西安,2
502,原辅材料,2
503,万及,2
504,交货,2
505,结息,2
506,三大,2
507,优势产业,2
508,一家,2
509,扩张,2
510,跨越,2
511,近期,2
512,哈尔滨工业大学,2
513,输送,2
514,高水平,2
515,高素质,2
516,紧密结合,2
517,动能,2
518,业内,2
519,较强,2
520,打印机,2
521,及文印,2
522,技术升级,2
523,评选,2
524,金智奖,2
525,杰出,2
526,先锋,2
527,奖,2
528,带动,2
529,内生,2
530,动力,2
531,更为,2
532,面向,2
533,协同效应,2
534,规范化,2
535,一贯,2
536,严峻,2
537,下行,2
538,诸多,2
539,正确,2
540,制导,2
541,天线,2
542,定向天线,2
543,批产,2
544,可靠性,2
545,试验室,2
546,深耕,2
547,两用,2
548,清晰,2
549,展览会,2
550,展示,2
551,交流,2
552,健康,2
553,践行,2
554,民营,2
555,兴业,2
556,使命,2
557,特教,2
558,学校,2
559,针对性,2
560,残疾,2
561,领导,2
562,国家补贴,2
563,有所增加,2
564,建,2
565,预转固,2
566,骨干,2
567,去年同期,2
568,国外,2
569,吉研,2
570,经营规模,2
571,已有,2
572,定型,2
573,净流量,2
574,定期存单,2
575,投资额,2
576,盈亏,2
577,航天技术,2
578,否不,2
579,技术转让,2
580,衍生品,2
581,按计划,2
582,电力,2
583,储能,2
584,三次,2
585,科技部,2
586,部署,2
587,举措,2
588,开放,2
589,转化,2
590,民营企业,2
591,是民,2
592,寻求,2
593,抓手,2
594,积极开展,2
595,产品线,2
596,关键技术,2
597,一步,2
598,跟进,2
599,亿占,2
600,催收,2
601,量产,2
602,一号,2
603,第三十七,2
604,日个,2
605,内华讯,2
606,中开,2
607,敦促,2
608,中及,2
609,时所作,2
610,易,2
611,后本,2
612,注入,2
613,区别,2
614,民品,2
615,范畴,2
616,抢险救灾,2
617,矿山,2
618,开采,2
619,勘探,2
620,特殊性,2
621,加密,2
622,组装,2
623,云舱,2
624,督促,2
625,一华讯,2
626,自本,2
627,动用,2
628,第三十五,2
629,第十九次,2
630,为元股,2
631,广东,2
632,第七次,2
633,第十次,2
634,同类,2
635,委外,2
636,加工费,2
637,华,2
638,控,2
639,详细情况,2
640,代建,2
641,孙,2
642,承租,2
643,租期,2
644,积极参与,2
645,尊重,2
646,追求,2
647,公益事业,2
648,业余生活,2
649,消费者,2
650,环保,2
651,所在地,2
652,贫困户,2
653,总会,2
654,贫困,2
655,残疾人,2
656,环境保护部,2
657,门,2
658,排污,2
659,告知,2
660,股占本,2
661,需对,2
662,第二十七次,2
663,第十二次,2
664,第三十一次,2
665,提示性,2
666,灵活性,2
667,股该,2
668,股华讯,2
669,高雅,2
670,爱琴,2
671,蒋仕波,2
672,金宏,2
673,覃睿琪,2
674,期货,2
675,期慧期,2
676,徐洪燕,2
677,人前,2
678,安检,2
679,电话机,2
680,金属材料,2
681,半导体,2
682,零配件,2
683,甘肃,2
684,江西,2
685,服装,2
686,开华讯,2
687,性别,2
688,张沈卫,2
689,全国工商联,2
690,国家科技部,2
691,联盟,2
692,理事长,2
693,领军,2
694,任华讯,2
695,副处长,2
696,协作,2
697,嘉信,2
698,扬州,2
699,会计学,2
700,信息技术,2
701,副教授,2
702,财务主管,2
703,美国宾夕法尼亚大学,2
704,酷派,2
705,所长,2
706,卡森,2
707,电子商务,2
708,物流,2
709,飞马,2
710,账务,2
711,公司财务,2
712,否李晓丛,2
713,否诸志超,2
714,否张,2
715,差异化,2
716,十分重视,2
717,履行义务,2
718,监管部门,2
719,起到,2
720,偏离,2
721,控制目标,2
722,中高级,2
723,频现,2
724,涉及面,2
725,声誉,2
726,缺乏,2
727,陷,2
728,警告,2
729,后果,2
730,波及,2
731,局部,2
732,不高,2
733,选取,2
734,样本,2
735,重要性,2
736,两者之间,2
737,利润率,2
738,疑虑,2
739,拆出,2
740,益,2
741,见本,2
742,方以,2
743,母子公司,2
744,下以,2
745,参照,2
746,表时,2
747,当有,2
748,反弹,2
749,物料,2
750,其余部分,2
751,原先,2
752,否本,2
753,试运行,2
754,每一,2
755,来源于,2
756,医疗保险,2
757,工伤保险,2
758,生育,2
759,住房,2
760,工会,2
761,教育经费,2
762,长度,2
763,清单,2
764,委托人,2
765,义务人,2
766,自由权,2
767,额外,2
768,明确规定,2
769,及应,2
770,应缴,2
771,税额,2
772,计征,2
773,租,2
774,证书编号,2
775,退,2
776,苏州,2
777,第五十五,2
778,华脉,2
779,信息产业,2
780,合力,2
781,工程项目,2
782,评报,2
783,元以,2
784,互抵,2
785,福建,2
786,猛狮,2
787,未到,2
788,期未到,2
789,中国共产党,2
790,组织部,2
791,被套,2
792,宣传费,2
793,及否,2
794,服务业,2
795,众创,2
796,招商引资,2
797,高层次,2
798,国防科工办,2
799,年市,2
800,科普,2
801,补贴款,2
802,管式,2
803,发射,2
804,灭火,2
805,第三批,2
806,省级重点,2
807,碳纤维,2
808,吉林市,2
809,期期,2
810,反向,2
811,武汉市,2
812,国际贸易,2
813,迅驰,2
814,营运,2
815,空天,2
816,海口市,2
817,赊销,2
818,限额,2
819,充足,2
820,外汇,2
821,万传彬陆,2
822,包方名,2
823,承包方,2
824,类称,2
825,称型,2
826,费出,2
827,未说明,2
828,需在,2
829,主营,2
830,文华,1
831,月华,1
832,张峥及,1
833,主管人员,1
834,人士,1
835,保持足够,1
836,理解,1
837,查阅,1
838,项指,1
839,更名,1
840,为华讯,1
841,指南,1
842,京华,1
843,指国蓉,1
844,鑫华鑫,1
845,等于,1
846,含本,1
847,中文名称,1
848,中文,1
849,外文,1
850,栋,1
851,联系人,1
852,联系方式,1
853,刘天,1
854,睿,1
855,栋栋,1
856,联系地址,1
857,电话传真,1
858,选定,1
859,登载,1
860,粘胶,1
861,长丝,1
862,化纤,1
863,综合性,1
864,企业法人,1
865,如及,1
866,第二十三,1
867,确认书,1
868,天将,1
869,股恒天,1
870,给华讯,1
871,此次,1
872,后华讯,1
873,海淀区,1
874,知春路,1
875,比上,1
876,八分,1
877,第一季度,1
878,第二季度,1
879,第三季度,1
880,第四季度,1
881,其加,1
882,九非,1
883,冲销,1
884,退华讯,1
885,否一,1
886,空间频率,1
887,通道,1
888,维度,1
889,自愈,1
890,双向,1
891,均等,1
892,以太网,1
893,口,1
894,接入,1
895,话音,1
896,拓扑,1
897,多变,1
898,链路,1
899,意义,1
900,视距,1
901,接力,1
902,扩展,1
903,很强,1
904,适应力,1
905,救援,1
906,集,1
907,相控阵,1
908,红外,1
909,预警系统,1
910,全天候,1
911,可疑,1
912,感知,1
913,多方,1
914,机场,1
915,电站,1
916,油田,1
917,保卫,1
918,阶段性,1
919,回放,1
920,信号处理,1
921,嵌入式,1
922,控制器,1
923,通信接口,1
924,遥测,1
925,遥控,1
926,十大,1
927,波导,1
928,类产品,1
929,模拟训练,1
930,所见即,1
931,海底,1
932,外太空,1
933,无缝,1
934,漫游,1
935,标准协议,1
936,互联,1
937,海陆空,1
938,天多,1
939,兵种,1
940,联产品,1
941,综合信息,1
942,牵引,1
943,主导,1
944,思路,1
945,联网,1
946,营区,1
947,战备,1
948,政治,1
949,后装,1
950,着手,1
951,以人,1
952,车物,1
953,装密,1
954,身份,1
955,标识,1
956,传感,1
957,物联为,1
958,空军,1
959,海军,1
960,战支,1
961,改后,1
962,陆续,1
963,承接,1
964,陆军部,1
965,全息,1
966,正军级,1
967,机关,1
968,感传,1
969,知用,1
970,应战,1
971,支援,1
972,新质,1
973,战斗力,1
974,限度,1
975,生命财产,1
976,数据库,1
977,挖掘,1
978,展现,1
979,数据交换,1
980,被执行人,1
981,数据分析系统,1
982,数据系统,1
983,合成,1
984,弹载,1
985,电动,1
986,舵机,1
987,导弹,1
988,飞机,1
989,自动,1
990,火情,1
991,紧急,1
992,兼有,1
993,旋翼,1
994,长时,1
995,续航,1
996,纯电纯,1
997,电油电,1
998,混合,1
999,拆,1
1000,气动,1
1001,便携性,1
1002,操作,1
1003,简单,1
1004,高效率,1
1005,巡航,1
1006,公安消防,1
1007,测绘,1
1008,巡线,1
1009,巡检,1
1010,巡逻,1
1011,搜索,1
1012,截获,1
1013,地域,1
1014,技术参数,1
1015,辐射,1
1016,便携式,1
1017,固定式,1
1018,车载式,1
1019,频谱,1
1020,数据传输,1
1021,泄漏,1
1022,输出,1
1023,杜绝,1
1024,泄密,1
1025,隐患,1
1026,国产化,1
1027,可控,1
1028,兵器工业,1
1029,核工业,1
1030,船舶工业,1
1031,交通,1
1032,能源,1
1033,多功能,1
1034,一体机,1
1035,指挥所,1
1036,批量,1
1037,文印,1
1038,军部,1
1039,威胁,1
1040,目标侦察,1
1041,干扰,1
1042,毁伤,1
1043,低空,1
1044,低慢,1
1045,迫切,1
1046,防区,1
1047,航模,1
1048,空飘,1
1049,气球,1
1050,孔明灯,1
1051,风筝,1
1052,飞行物,1
1053,侦察,1
1054,精密,1
1055,电子干扰,1
1056,激光,1
1057,民航机场,1
1058,军事设施,1
1059,高危,1
1060,边境,1
1061,防卫,1
1062,安保,1
1063,白皮书,1
1064,人民解放军,1
1065,年代,1
1066,自动化,1
1067,现已,1
1068,从分,1
1069,跨,1
1070,一体化,1
1071,武器化,1
1072,快速增长,1
1073,军事装备,1
1074,工科,1
1075,迈入,1
1076,神经中枢,1
1077,命令,1
1078,交接,1
1079,伴随,1
1080,演化,1
1081,地形,1
1082,恶劣,1
1083,愈发,1
1084,演变,1
1085,制胜,1
1086,基本规律,1
1087,新一轮,1
1088,主战,1
1089,主建,1
1090,延伸,1
1091,高峰期,1
1092,单兵,1
1093,换装,1
1094,重大进展,1
1095,全域,1
1096,意味着,1
1097,实战,1
1098,倾斜,1
1099,稳中有升,1
1100,生活费,1
1101,训练,1
1102,维持费,1
1103,储存,1
1104,太平洋,1
1105,研报,1
1106,测算,1
1107,高速,1
1108,对标,1
1109,保守,1
1110,供给,1
1111,采购计划,1
1112,自然,1
1113,淘汰,1
1114,大规模,1
1115,升级换代,1
1116,高等教育,1
1117,不均,1
1118,城乡,1
1119,差距,1
1120,长三角,1
1121,环渤海,1
1122,珠三角,1
1123,通信产业,1
1124,不可避免,1
1125,带有,1
1126,区域性,1
1127,产品型号,1
1128,研制,1
1129,周期长,1
1130,比较稳定,1
1131,安全性,1
1132,先进性,1
1133,测试环境,1
1134,托收,1
1135,华讯以,1
1136,广场,1
1137,目幢,1
1138,办公用房,1
1139,场所,1
1140,否年,1
1141,契合,1
1142,融,1
1143,服务商,1
1144,倡导,1
1145,机遇期,1
1146,过渡,1
1147,关键期,1
1148,市场调研,1
1149,多家,1
1150,顺应,1
1151,集合,1
1152,制衡,1
1153,四个,1
1154,战机,1
1155,战车,1
1156,近华讯,1
1157,距离,1
1158,近距离,1
1159,远期,1
1160,跟随,1
1161,形态,1
1162,国防科技大学,1
1163,解放军理工大学,1
1164,四川大学,1
1165,数十家,1
1166,著名,1
1167,高等院校,1
1168,科研机构,1
1169,长效,1
1170,起较,1
1171,人才队伍,1
1172,日新月异,1
1173,放在,1
1174,持续保持,1
1175,展望未来,1
1176,技术标准,1
1177,源,1
1178,凸显,1
1179,搭建,1
1180,组建,1
1181,中央研究院,1
1182,两大,1
1183,数十个,1
1184,办事处,1
1185,分支,1
1186,京津冀,1
1187,雄安,1
1188,及雄安,1
1189,北方,1
1190,中亚,1
1191,东欧,1
1192,服务体系,1
1193,响应,1
1194,此基础,1
1195,日益完善,1
1196,科学化,1
1197,集结,1
1198,资深,1
1199,专业人才,1
1200,梯队,1
1201,坚固,1
1202,基石,1
1203,放缓,1
1204,保护主义,1
1205,抬头,1
1206,稳中有,1
1207,变变,1
1208,中有,1
1209,忧,1
1210,外部环境,1
1211,挑战,1
1212,全员,1
1213,齐心协力,1
1214,克服,1
1215,多方面,1
1216,兼修,1
1217,全局,1
1218,化发展,1
1219,内功,1
