,分词排序,词频
0,西藏,365
1,科技,213
2,天易,91
3,隆兴,81
4,四川,64
5,啤酒,59
6,苏州,53
7,仕远置,46
8,成都,43
9,华信,40
10,信息,38
11,资讯网,38
12,拉萨啤酒,38
13,国投,35
14,泰康,34
15,王承波,33
16,开具,33
17,吴刚,32
18,工程,32
19,西藏自治区,28
20,阿拉丁,28
21,创,27
22,三洲,27
23,中诚善,26
24,善达力,24
25,恒生,24
26,吴小蓉,24
27,信托,22
28,涉诉,21
29,浙江,21
30,涉嫌,20
31,拉萨市,19
32,永成,19
33,大信,18
34,私自,18
35,特管,18
36,扶贫,18
37,电子,17
38,北京,17
39,汶锦,17
40,银行,16
41,海尔,15
42,前任,14
43,李敏,14
44,国有资产,14
45,北京市高级人民法院,14
46,暂无,14
47,数据,13
48,裁决,13
49,询问,13
50,冠中,13
51,深圳,13
52,详细情况,13
53,该案,13
54,印章,12
55,审,12
56,支配,12
57,京,12
58,注本,12
59,谭昌彬,11
60,金融机构,11
61,脱贫,11
62,凡,11
63,杭州,10
64,公安机关,10
65,隆徽,10
66,星恒动影,10
67,国,10
68,川,10
69,建造,10
70,房地产,10
71,所涉,9
72,重庆,9
73,借款人,9
74,收款人,9
75,新能源,9
76,文化,9
77,等值,9
78,欠付,9
79,浙,9
80,教育,9
81,生物,9
82,武侯区,8
83,小贷,8
84,报案,8
85,挂账,8
86,书,8
87,民事裁定,8
88,年利率,8
89,昊天,8
90,通达,8
91,上海,8
92,吴坚,7
93,否定,7
94,越过,7
95,藏红花,7
96,制造,7
97,健康,7
98,从未,7
99,应诉,7
100,借入,7
101,江西,7
102,传播,7
103,城区,7
104,堆龙德庆,7
105,建档立卡,7
106,瑞,7
107,油气,7
108,旺堆,6
109,刘海,6
110,群,6
111,利用职权,6
112,特种,6
113,钢管,6
114,网站,6
115,日益,6
116,危机,6
117,瑞晟,6
118,出资额,6
119,实缴,6
120,用章,6
121,刑事拘留,6
122,刑事,6
123,侦查,6
124,小额贷款,6
125,喜成,6
126,负面影响,6
127,送达,6
128,成仲案,6
129,排放,6
130,昊世,6
131,尼玛,6
132,基准日,6
133,结果表明,6
134,关,6
135,注年,6
136,殷占武,5
137,上表,5
138,人民,5
139,诉状,5
140,核查,5
141,消费市场,5
142,三是,5
143,核实,5
144,轮候,5
145,维稳,5
146,准许,5
147,督促,5
148,国融,5
149,兴华,5
150,善达,5
151,力创,5
152,采取有效,5
153,涉嫌犯罪,5
154,人及,5
155,涉案人员,5
156,刑拘,5
157,自查,5
158,永登县,5
159,农村信用,5
160,联社,5
161,上诉,5
162,限度,5
163,孳息,5
164,拍卖,5
165,开庭审理,5
166,藏,5
167,借贷,5
168,未受,5
169,瞬赐,5
170,诉讼费,5
171,人工智能,5
172,渝,5
173,就业,5
174,贫困,5
175,日喀则市,5
176,氨氮,5
177,中铁,5
178,马淑芬,5
179,创业投资,5
180,张泽华,5
181,一案,5
182,土地,5
183,都江堰市,5
184,职位,4
185,人事,4
186,不相容,4
187,分离,4
188,分工,4
189,三会,4
190,一层,4
191,生物科技,4
192,南路,4
193,希望,4
194,牟岚,4
195,人马,4
196,比上,4
197,麦芽,4
198,拓宽,4
199,生存空间,4
200,缩小,4
201,四是,4
202,西藏地区,4
203,消费者,4
204,地域,4
205,绿色,4
206,王承,4
207,波及,4
208,强制执行,4
209,撤诉,4
210,追回,4
211,折旧费,4
212,由名,4
213,派出,4
214,限期,4
215,权限,4
216,划转,4
217,未予,4
218,系年,4
219,性及,4
220,用款,4
221,司法机关,4
222,尊重,4
223,账务,4
224,材料,4
225,变卖,4
226,撤回,4
227,宣判,4
228,保全费,4
229,隆兴及,4
230,律师费,4
231,保险费,4
232,财产损失,4
233,合光,4
234,机器人,4
235,永登,4
236,信用社,4
237,重庆市,4
238,渝中区,4
239,贫困人口,4
240,继后,4
241,环境保护,4
242,污染物,4
243,悬浮物,4
244,建设,4
245,污水,4
246,环境,4
247,扩股,4
248,拉萨,4
249,沈柯,4
250,林兰,4
251,对贵,4
252,中央银行,4
253,信息产业,4
254,试运行,4
255,液化气,4
256,路,4
257,芜湖,4
258,月利率,4
259,暂按,4
260,据此,4
261,出票,4
262,承兑人,4
263,陈静,3
264,江苏,3
265,天业,3
266,分所,3
267,弃权,3
268,已有,3
269,致使,3
270,警示,3
271,大信备,3
272,不派,3
273,林卡,3
274,淑芬,3
275,对照,3
276,半数以上,3
277,选任,3
278,依其,3
279,足以,3
280,提示性,3
281,龚,3
282,荣华,3
283,王文春,3
284,两种,3
285,最大化,3
286,严峻,3
287,消费结构,3
288,日益加剧,3
289,越来越,3
290,小型,3
291,新兴,3
292,崛起,3
293,利润率,3
294,要素,3
295,价格上涨,3
296,人力,3
297,上涨,3
298,成本增加,3
299,深刻,3
300,把握,3
301,谋求,3
302,多元化,3
303,产品品种,3
304,进一步提高,3
305,抗,3
306,陆续,3
307,信任危机,3
308,化解,3
309,促成,3
310,主营,3
311,玻璃,3
312,甘肃,3
313,投资额,3
314,中广核,3
315,投资决策,3
316,对力,3
317,并未,3
318,非法,3
319,待定,3
320,审字,3
321,非标,3
322,手段,3
323,方以,3
324,无异议,3
325,整改措施,3
326,入,3
327,该笔,3
328,恒动影,3
329,和解,3
330,请求权,3
331,青白江区,3
332,中院,3
333,中国人民银行,3
334,计息,3
335,杭州市中级人民法院,3
336,追索权,3
337,诉讼费用,3
338,刘琪,3
339,移送,3
340,期后,3
341,应急,3
342,努村,3
343,卡热村,3
344,驻村,3
345,青稞,3
346,废水,3
347,污染,3
348,检测,3
349,环保,3
350,阶段性,3
351,蔡鉴灿,3
352,陈金建,3
353,谢碧祥,3
354,负,3
355,陈勇,3
356,蒋敏毅,3
357,王平,3
358,郭鹏,3
359,次登,3
360,李春明,3
361,次仁,3
362,徐帆,3
363,杨岚岚,3
364,日日,3
365,川威,3
366,泰益,3
367,德维,3
368,副处长,3
369,处处长,3
370,辞去,3
371,至本,3
372,日新,3
373,控制目标,3
374,向贵,3
375,保费,3
376,准备金,3
377,量化,3
378,计算方法,3
379,包装物,3
380,教育费,3
381,圣源,3
382,无风险,3
383,大观,3
384,渝展,3
385,不动产,3
386,出借,3
387,限额,3
388,人为,3
389,项下,3
390,名下,3
391,异议,2
392,公正,2
393,真实性,2
394,仓促,2
395,辞职,2
396,高息,2
397,新任,2
398,网,2
399,外文,2
400,金珠,2
401,西路,2
402,格桑,2
403,网址,2
404,电子信箱,2
405,元非,2
406,统一标准,2
407,非金融,2
408,建立健全,2
409,质检,2
410,明细表,2
411,采购计划,2
412,分批,2
413,接到,2
414,直销,2
415,挑战,2
416,得天独厚,2
417,资源优势,2
418,爆发,2
419,联营公司,2
420,一个月,2
421,依旧,2
422,班子,2
423,全力,2
424,人工费,2
425,动力,2
426,能耗,2
427,天地,2
428,饮品,2
429,盈亏,2
430,衍生品,2
431,一带,2
432,一路,2
433,经营风险,2
434,送,2
435,红,2
436,股股,2
437,收购人,2
438,时所作,2
439,商业机会,2
440,监管局,2
441,交,2
442,兴,2
443,因本,2
444,增,2
445,追究,2
446,拟定,2
447,采取措施,2
448,函藏,2
449,函号,2
450,刑事案件,2
451,编报,2
452,账内,2
453,系于,2
454,担保人,2
455,尚有,2
456,证实,2
457,凌驾于,2
458,之上,2
459,失效,2
460,完整性,2
461,公证,2
462,广泛性,2
463,领导班子,2
464,维权,2
465,挽回,2
466,一大,2
467,理,2
468,投泰康,2
469,受偿,2
470,网络科技,2
471,补仓,2
472,对星,2
473,储小晗,2
474,川化,2
475,舜,2
476,赐,2
477,青白江,2
478,法律文书,2
479,付清,2
480,申请书,2
481,日该,2
482,敦促,2
483,否本,2
484,号川,2
485,诈骗罪,2
486,纪检,2
487,强制措施,2
488,隆兴为,2
489,民间,2
490,证监局,2
491,其他费用,2
492,四次,2
493,积极开展,2
494,号召,2
495,配合,2
496,强基,2
497,惠民,2
498,农牧民,2
499,藏区,2
500,结对,2
501,江孜县,2
502,紫金,2
503,资源,2
504,个数,2
505,职业技能,2
506,就业人数,2
507,贫困学生,2
508,贫困地区,2
509,生态,2
510,留守人员,2
511,残疾人,2
512,排放口,2
513,核定,2
514,污水处理,2
515,环境影响,2
516,现状,2
517,监测,2
518,废气,2
519,陷入,2
520,清查,2
521,尽全力,2
522,清除,2
523,第二十四,2
524,外资股,2
525,简智,2
526,唐宏冬,2
527,性别,2
528,魏晓刚,2
529,马晓忠,2
530,于宏卫,2
531,武汉,2
532,旭诺,2
533,副总,2
534,编辑,2
535,博纳,2
536,学校,2
537,总督,2
538,饲料,2
539,项目经理,2
540,石油,2
541,人力资源,2
542,稽查,2
543,农村,2
544,贡献,2
545,倾斜,2
546,骨干,2
547,获取信息,2
548,监管部门,2
549,公安局,2
550,伪造,2
551,日年,2
552,无效,2
553,政府部门,2
554,缺,2
555,陷,2
556,固有,2
557,局限性,2
558,偏离,2
559,以贵,2
560,这一,2
561,中大信,2
562,拆出,2
563,号本,2
564,经本,2
565,追偿,2
566,母子公司,2
567,下以,2
568,表时,2
569,当有,2
570,反弹,2
571,准,2
572,若干,2
573,发,2
574,低值易耗品,2
575,在内,2
576,建筑物,2
577,机器设备,2
578,运输设备,2
579,电子设备,2
580,自营,2
581,试生产,2
582,运转,2
583,很少,2
584,相符,2
585,医疗保险,2
586,工伤保险,2
587,生育,2
588,住房,2
589,工会,2
590,教育经费,2
591,毁损,2
592,进项税额,2
593,西藏自治区人民政府,2
594,政发,2
595,远征,2
596,款年,2
597,大川,2
598,高新,2
599,咨报,2
600,清理,2
601,锅炉,2
602,互抵,2
603,财政厅,2
604,促销,2
605,运费,2
606,广告宣传,2
607,维修费,2
608,车辆,2
609,使用费,2
610,中介费,2
611,工作队,2
612,时尚,2
613,天使,2
614,色拉,2
615,委派,2
616,瑞昊世,2
617,苏州市,2
618,苏州工业园区,2
619,旺墩,2
620,星座,2
621,商务,2
622,广场,2
623,幢,2
624,室,2
625,带息,2
626,公司财务,2
627,华融,2
628,镇瓦窑村,2
629,石佛村,2
630,权证,2
631,中国农业银行,2
632,注与,2
633,主持,2
634,裁决书,2
635,十日,2
636,核能,2
637,吴小蓉于,2
638,收付,2
639,被告人,2
640,为仕远置,2
641,招商银行,2
642,如约,2
643,一次性,2
644,连带保证,2
645,方对,2
646,受偿经,2
647,原件,2
648,林兰及,1
649,主管人员,1
650,反对,1
651,前两天,1
652,身体,1
653,两日,1
654,申明,1
655,年报,1
656,改组,1
657,阐述,1
658,查阅,1
659,因大信,1
660,第条,1
661,第四项,1
662,退市,1
663,项指,1
664,指大信,1
665,西发,1
666,中文名称,1
667,中文,1
668,缩写,1
669,联系人,1
670,联系方式,1
671,联系地址,1
672,电话传真,1
673,赵琳,1
674,新希,1
675,选定,1
676,媒体,1
677,登载,1
678,有无,1
679,历次,1
680,高新区,1
681,锦晖西,1
682,一街,1
683,号栋,1
684,单元,1
685,年本,1
686,股用,1
687,最新,1
688,摊薄,1
689,公司债,1
690,八分,1
691,第一季度,1
692,第二季度,1
693,第三季度,1
694,第四季度,1
695,其加,1
696,九非,1
697,冲销,1
698,传统,1
699,专人,1
700,先期,1
701,考察,1
702,试样,1
703,总装,1
704,行业标准,1
705,达标者,1
706,名录,1
707,两家,1
708,评定,1
709,供货商,1
710,年底,1
711,采购部,1
712,计划编制,1
713,定购,1
714,进口,1
715,澳麦,1
716,国产,1
717,框架,1
718,月度,1
719,评审,1
720,销售部,1
721,融汇贯通,1
722,效应,1
723,分销,1
724,激烈,1
725,口感,1
726,美誉度,1
727,无污染,1
728,认知度,1
729,成熟,1
730,开立,1
731,中若,1
732,纷至沓来,1
733,不畏,1
734,时艰,1
735,方已,1
736,梳理,1
737,查实,1
738,上门,1
739,退票,1
740,举措,1
741,力求,1
742,五是,1
743,拿出,1
744,实物,1
745,前大,1
746,客户资料,1
747,米玛,1
748,扎西,1
749,拉巴,1
750,达瓦格桑,1
751,兰州,1
752,压延,1
753,烟台,1
754,醴泉,1
755,石岛,1
756,首创,1
757,义,1
758,净流量,1
759,三非,1
760,可持续性,1
761,罚款,1
762,否四,1
763,见本,1
764,合作方,1
765,咨,1
766,询,1
767,高尔夫,1
768,价格竞争,1
769,结构调整,1
770,如火如荼,1
771,低端,1
772,日渐,1
773,建,1
774,联盟,1
775,抢占市场,1
776,严重威胁,1
777,国民经济,1
778,产业结构,1
779,消费,1
780,个性化,1
781,差异化,1
782,青睐,1
783,商机,1
784,双重,1
785,半径,1
786,狭小,1
787,契机,1
788,稳中,1
789,赋予,1
790,战略地位,1
791,交通运输,1
792,复苏,1
793,品牌优势,1
794,竞争能力,1
795,赢得,1
796,场,1
797,深耕,1
798,紧跟,1
799,产业政策,1
800,抓住,1
801,产品组合,1
802,行业龙头,1
803,稳中求进,1
804,登记表,1
805,换届,1
806,问询,1
807,透露,1
808,泄露,1
809,未公开,1
810,近年,1
811,第九次,1
812,表现,1
813,占合,1
814,金表,1
815,上额,1
816,普,1
817,通股,1
818,事由,1
819,股改,1
820,中所作,1
821,再融资,1
822,企月,1
823,日业,1
824,实未,1
825,竞,1
826,隆争,1
827,易,1
828,质性,1
829,工艺流程,1
830,商业秘密,1
831,东,1
832,尽可能,1
833,抵触,1
834,签订协议,1
835,报批,1
836,回避,1
837,杜绝,1
838,于本,1
839,己经,1
840,人未,1
841,所作,1
842,后果,1
843,承,1
844,年诺,1
845,年均,1
846,百分之三十,1
847,尽可能减少,1
848,确有,1
849,规避,1
850,价,1
851,及易,1
852,同其,1
853,保,1
854,淑,1
855,芬持,1
856,格,1
857,操作,1
858,超期,1
859,及下,1
860,一步,1
861,新额,1
862,借月款,1
863,万系,1
864,附属,1
865,责任人,1
866,继任,1
867,按计划,1
868,立案侦查,1
869,嫌疑,1
870,审大信,1
871,专审字,1
872,核,1
873,第四章,1
874,第十条,1
875,如前所述,1
876,揭示,1
877,理解,1
878,高度重视,1
879,不良影响,1
880,尽力,1
881,集聚,1
882,克服,1
883,以资抵债,1
884,公司债务,1
885,免除,1
886,皆,1
887,引发,1
888,尽早,1
889,元元元,1
890,故年,1
891,未曾,1
892,知晓,1
893,知悉,1
894,前元,1
895,后元,1
896,解聘,1
897,改聘,1
898,涉案,1
899,预,1
900,仲,1
901,判,1
902,裁,1
903,决,1
904,国否,1
905,西否,1
906,天易隆,1
907,兴隆,1
908,徽,1
909,金及,1
910,广东,1
911,群兴,1
912,玩具,1
913,受偿告,1
914,机核,1
915,对三洲,1
916,否年,1
917,批月,1
918,日准,1
919,宣级,1
920,法判,1
921,开,1
922,庭审,1
923,一年期,1
924,基准利率,1
925,仲裁费,1
926,清,1
927,偿,1
928,承受,1
929,汇票,1
930,请见,1
931,藏民,1
932,初号,1
933,保全,1
934,案开庭,1
935,延后,1
936,或行,1
937,政,1
938,号京,1
939,吴小蓉诉,1
940,为川,1
941,本章,1
942,下发,1
943,影,1
944,陷响,1
945,本果,1
946,便利,1
947,岗,1
948,业余,1
949,积极响应,1
950,改良,1
951,节能,1
952,减排,1
953,走低,1
954,碳,1
955,道路,1
956,领导,1
957,干部,1
958,演练,1
959,自治区,1
960,党委政府,1
961,创先争优,1
962,部署,1
963,贯彻,1
964,响应,1
965,积极参与,1
966,脱贫致富,1
967,喀,1
968,乡孜庆,1
969,充分利用,1
970,孜庆,1
971,产植地,1
972,农业产业,1
973,双向,1
974,户,1
975,成效,1
976,计量单位,1
977,折款,1
978,二分,1
979,贫困户,1
980,易地,1
981,搬迁,1
982,搬迁户,1
983,教育资源,1
984,医疗卫生,1
985,人个,1
986,人次,1
987,人人,1
988,兜底,1
989,东西部,1
990,协作,1
991,定点,1
992,公益,1
993,数人,1
994,获奖,1
995,级别,1
996,对口,1
997,乡,1
998,紫,1
999,入户,1
1000,评议,1
1001,公示,1
1002,环境保护部,1
1003,门,1
1004,排污,1
1005,浓度,1
1006,超标,1
1007,化学,1
1008,需氧,1
1009,间断,1
1010,区内,1
1011,防治,1
1012,废水处理,1
1013,在线,1
1014,检测仪,1
1015,人工,1
1016,手册,1
1017,装置,1
1018,污水泵,1
1019,格糊,1
1020,池,1
1021,爆气,1
1022,池厌,1
1023,氧,1
1024,反应器,1
1025,沉淀池,1
1026,完好,1
1027,保存,1
1028,率达,1
1029,行政许可,1
1030,城关区,1
1031,酿成,1
1032,突发事件,1
1033,每季度,1
1034,巡查,1
1035,十九,1
1036,传票,1
1037,多笔,1
1038,纠纷案件,1
1039,追债,1
1040,均系,1
1041,法律顾问,1
1042,刑民,1
1043,交叉,1
1044,表面,1
1045,背后,1
1046,违法犯罪,1
1047,慎重对待,1
1048,中止,1
1049,再行,1
1050,逐笔,1
1051,债务纠纷,1
1052,最新进展,1
1053,被诉,1
1054,下表,1
1055,日因,1
1056,另因,1
1057,二十,1
1058,技术开发区,1
1059,工商行政管理局,1
1060,换发,1
1061,私募,1
1062,第二十五次,1
1063,第二十八,1
1064,协议书,1
1065,集合,1
1066,月华,1
1067,信善,1
1068,郭林,1
1069,冯瑞,1
1070,股一,1
