,分词排序,词频
0,生物,432
1,北海,377
2,天成,167
3,信息,89
4,变压器,85
5,四川,74
6,生物医药,72
7,电子,70
8,广西,58
9,工程,56
10,药物,49
11,永星,48
12,科技,44
13,上海,41
14,北京,40
15,成都,39
16,柳州,37
17,生物科技,35
18,信托,33
19,南京,32
20,担保责任,32
21,资讯网,32
22,房地产,31
23,元器件,30
24,苏州,29
25,江苏,29
26,输配电,29
27,医药,28
28,潘琦,28
29,远程,27
30,江西,26
31,银行,26
32,制造业,25
33,科技产业,24
34,制造,24
35,建设,24
36,软件,23
37,新药,23
38,法律文书,23
39,创业园,22
40,自查,21
41,尽快,21
42,长征,20
43,临床试验,20
44,需经,20
45,贵州,18
46,治疗,18
47,环境,18
48,电气,18
49,排放,18
50,新房,18
51,总字,18
52,特种,17
53,高新技术,17
54,创业,17
55,马力,16
56,视界,16
57,深圳,16
58,溶瘤,16
59,病毒,16
60,临床,16
61,系统集成,16
62,北国,16
63,徐宏军,15
64,第十六次,15
65,软件开发,15
66,电气设备,15
67,交通,15
68,姚国平,15
69,江变,14
70,电子信息,14
71,抗体,14
72,整流,14
73,监测,14
74,建安,14
75,材料,13
76,医疗,13
77,干细胞,13
78,国,13
79,督促,13
80,扶贫,13
81,废水,13
82,电镀,13
83,土地,13
84,国投,12
85,数据,12
86,传统,12
87,四川大学,12
88,星汉,12
89,中国农业银行,12
90,心界,11
91,南宁,11
92,核对,11
93,药,11
94,资源,11
95,电位器,11
96,上诉,11
97,潘勇,11
98,废气,11
99,证书编号,11
100,审华,10
101,电阻器,10
102,变电器,10
103,广西壮族自治区,10
104,款年,10
105,权证,10
106,连带保证,10
107,诉讼费,10
108,般若,9
109,南宁市,9
110,汉素,9
111,第三代,9
112,抑制剂,9
113,工业,9
114,孵化,9
115,电解铝,9
116,服务业,9
117,人工,9
118,抵押物,9
119,订金,9
120,诉讼费用,9
121,得康,9
122,北房,9
123,保全费,9
124,南方,8
125,北海市,8
126,电力,8
127,批件,8
128,全称,8
129,反担保,8
130,原被告,8
131,应急,8
132,陈丽花,8
133,青云,8
134,开关设备,8
135,科泉,8
136,高新,8
137,创业投资,8
138,城,7
139,无锡,7
140,双良,7
141,卓舶,7
142,云南,7
143,有色金属,7
144,靶向,7
145,药理,7
146,分子,7
147,健康,7
148,西部,7
149,华瑞,7
150,再审,7
151,核查,7
152,整改措施,7
153,被执行人,7
154,新都区,7
155,退还,7
156,蒋,7
157,海峰,7
158,房产,7
159,开发技术,7
160,江西省,7
161,招商引资,7
162,地方性,7
163,外汇,7
164,柳国用,7
165,银砖,7
166,赵树坚,6
167,对此,6
168,变,6
169,盈时,6
170,在绪,6
171,汉富,6
172,美邦,6
173,医院,6
174,顾问,6
175,诺永,6
176,铁,6
177,投吉鸿,6
178,细胞,6
179,科技园,6
180,成熟,6
181,药企,6
182,队伍,6
183,肿瘤,6
184,单克隆,6
185,单抗,6
186,定,6
187,免疫治疗,6
188,默示,6
189,智能,6
190,博士,6
191,生物医学,6
192,信息化,6
193,开具,6
194,长短期,6
195,技术咨询,6
196,应诉,6
197,谈及,6
198,收集,6
199,防范,6
200,田克洲,6
201,就业,6
202,教育,6
203,污染,6
204,宋,6
205,会计报表,6
206,审,6
207,自动化,6
208,工程项目,6
209,建造,6
