,分词排序,词频
0,欢瑞,311
1,电视剧,100
2,影视剧,95
3,影视,83
4,艺人,71
5,北京,64
6,信息,61
7,经纪,51
8,传媒,40
9,东阳,38
10,摄制,32
11,钟君艳,30
12,浙江,30
13,霍尔果斯,29
14,电影,29
15,银行,28
16,天津,27
17,文化,26
18,陈援,26
19,版权,23
20,弘道,22
21,剧本,22
22,网络,19
23,拍摄,19
24,长安,19
25,播出,18
26,盗墓,16
27,笔记,16
28,天下,16
29,许可证,16
30,天健,15
31,游戏,15
32,改编权,15
33,衍生品,15
34,指欢瑞,14
35,制片,14
36,李文武,13
37,网络科技,13
38,开机,13
39,品格,12
40,君艳,12
41,深圳,11
42,文化传媒,11
43,数据,11
44,卫视,11
45,剧,11
46,详情请,11
47,听雪楼,10
48,宣传,10
49,童知秋,9
50,影业,9
51,艺术,9
52,上海,9
53,人钟,9
54,重庆市,9
55,年报,9
56,赵,9
57,工程,9
58,青宥仟,8
59,青宥瑞禾,8
60,天华,8
61,建设,8
62,青云,8
63,编剧,8
64,江山,8
65,永乐,8
66,电视台,8
67,楼,8
68,创作,8
69,配合,8
70,渝,8
71,结论性,8
72,开阳,8
73,夫妇,8
74,陈宋生,8
75,房地产,8
76,七娱,7
77,导演,7
78,题材,7
79,封神,7
80,科技,7
81,小说,7
82,楼兰,7
83,开发权,7
84,配比,7
85,见本,7
86,播放,7
87,审计师,7
88,证,7
89,钟金章,7
90,股占,7
91,教育,7
92,生物,7
93,因涉嫌,6
94,晋商,6
95,广州,6
96,五光十色,6
97,音乐,6
98,徐虹,6
99,催收,6
100,视频,6
101,作品,6
102,蜀山,6
103,昆仑,6
104,之天启,6
105,琉璃,6
106,美人,6
107,沉香,6
108,如屑,6
109,资源,6
110,分账,6
111,注入,6
112,档期,6
113,核查,6
114,摘要,6
115,陈平钟,6
116,睿,6
117,重庆,6
118,带,6
119,播映,6
120,朝阳区,6
121,月数,6
122,魔力,5
123,萌,5
124,贝尔,5
125,营销策划,5
126,陈亚兰,5
127,黄巧梅,5
128,李小燕,5
129,号院,5
130,楼层,5
131,文化产业,5
132,奇谭,5
133,志,5
134,大唐,5
135,荣耀,5
136,南风,5
137,知,5
138,我意,5
139,永不,5
140,瞑目,5
141,吉祥,5
142,纹,5
143,莲花,5
144,成毅,5
145,喜欢,5
146,十年,5
147,一品,5
148,改编,5
149,难度,5
150,投向,5
151,盗版,5
152,事由,5
153,审号,5
154,退市,5
155,枳程,5
156,丹丹,5
157,偏离,5
158,油气,5
159,更名,5
160,东阳市,5
161,横店,5
162,源于,5
163,外汇,5
164,芒果,4
165,影视文化,4
166,收益权,4
167,分成,4
168,社会主义,4
169,健康,4
170,麻雀,4
171,剧集,4
172,年份,4
173,蝮蛇,4
174,爱,4
175,白蛇传,4
176,煞,4
177,秋蝉,4
178,天目,4
179,危机,4
180,腾讯,4
181,袁冰妍,4
182,赵樱子,4
183,张睿,4
184,签约,4
185,著作权,4
186,天子,4
187,传说,4
188,血色,4
189,温如言,4
190,未亡,4
191,鬼吹灯,4
192,精品,4
193,成片,4
194,锦衣,4
195,之下,4
196,商务,4
197,合作方,4
198,电视,4
199,超募,4
200,盗情,4
201,蚀,4
202,心者,4
203,注否,4
204,要素,4
205,观众,4
206,侵权,4
207,资讯网,4
208,欢瑞钟,4
209,商业机会,4
210,分开,4
211,该剧,4
212,担保责任,4
213,珠宝,4
214,列入,4
215,名册,4
216,不知,4
217,张俊平,4
218,召集人,4
219,枳,4
220,中国政法大学,4
221,嘉,4
222,系主任,4
223,软件,4
224,审查,4
225,三名,4
226,两名,4
227,主任委员,4
228,环境,4
229,主管部门,4
230,金融机构,4
231,电影片,4
232,公映,4
233,法将,4
234,金华市,4
235,实验区,4
236,星美,3
237,文娱,3
238,雷禾,3
239,西藏,3
240,欢欢,3
241,艺能,3
242,葫芦兄弟,3
243,宏,3
244,文泰,3
245,顾问,3
246,天瑞,3
247,演艺,3
248,媒体,3
249,网站,3
250,通信,3
251,参投,3
252,隐秘,3
253,一次性,3
254,价值观,3
255,转约费,3
256,古剑,3
257,盛夏,3
258,晚,3
259,晴天,3
260,知名,3
261,策划,3
262,演员,3
263,操作,3
264,剧目,3
265,跨过,3
266,千年,3
267,东成西就,3
268,画地为牢,3
269,宝石,3
270,周瑜,3
271,画皮,3
272,之真爱,3
273,无悔,3
274,投拍,3
275,尹涛,3
