,分词排序,词频
0,东凌,702
1,广州,622
2,中农,343
3,上海,153
4,钾肥,133
5,额年,125
6,信息,118
7,粮油,117
8,三季度,117
9,资讯网,92
10,一季度,80
11,赖宁昌,76
12,钾盐,74
13,刊载,74
14,农业,63
15,北京,60
16,谷物,59
17,生产资料,59
18,老挝,56
19,工程,53
20,香港,50
21,衍生品,49
22,采矿权,44
23,汇华,40
24,农产品,40
25,建设,35
26,植之元,33
27,江苏,32
28,南沙,32
29,冷机,32
30,刘国常,31
31,物流,30
32,矿产,28
33,十家,28
34,高院,28
35,海珠区,27
36,矿产资源,26
37,进口,23
38,广州市中级人民法院,23
39,开采,22
40,广东,21
41,李朝波,21
42,万信,20
43,数据,20
44,准予,20
45,新疆,20
46,江之源,20
47,凯利,20
48,壬,20
49,中勤,19
50,油脂,19
51,凌,18
52,材料,18
53,期货,18
54,房地产,18
55,调解,18
56,郭家华,18
57,开曼,18
58,万宝,17
59,固体,17
60,回复,17
61,玉米,16
62,智联,15
63,陈雪平,15
64,化工,15
65,商务,15
66,粤,15
67,无效,15
68,股占,14
69,诉讼费,14
70,天津,14
71,赛富,14
72,智伟,14
73,至信,14
74,提案,14
75,沙振权,14
76,季平,14
77,郭学进,14
78,海运,13
79,联创,13
80,广东省高级人民法院,13
81,徐,13
82,劲邦,13
83,劲德,13
84,未有,13
85,十次,13
86,港务,12
87,饲料,12
88,东凌新,12
89,对手,12
90,十方,12
91,开庭审理,12
92,创业投资,12
93,摘要,12
94,第三十四,12
95,管辖权,12
96,异议,12
97,徐悦,12
98,被套,12
99,船运,11
100,饲料原料,11
101,退市,11
102,去年同期,11
103,成交,11
104,身份,11
105,永津,11
106,庆丰,11
107,上诉,11
108,弃权票,11
109,任东凌,11
110,汇来,10
111,勘探,10
112,运输,10
113,井下,10
114,警示,10
115,改扩建,10
116,管理局,10
117,建筑物,10
118,向东,10
119,张志钢,10
120,重庆,10
121,建峰,10
122,支配,10
123,一案,10
124,效力,10
125,换届选举,10
126,外汇,10
127,元通,9
128,扣缴,9
129,制造,9
130,资源,9
131,扩建,9
132,芝加哥,9
133,规避,9
134,北京市高级人民法院,9
135,后本,9
136,因本,9
137,海珠,9
138,告知,9
139,发来,9
140,生物,9
141,矿,8
142,第三季度,8
143,采矿,8
144,矿区,8
145,环境,8
146,操作,8
147,第年,8
148,保全,8
149,深圳,8
150,期后,8
151,对此,8
152,谋求,8
153,违约责任,8
154,中院,8
155,三井,8
156,再审,8
157,意见书,8
158,银行,8
159,候选人,8
160,与会,8
161,投出,8
162,凌硕,8
163,柳金宏,7
164,法人股,7
165,层面,7
166,充填,7
167,粕,7
168,巷道,7
169,工业,7
170,涉诉,7
171,远期,7
172,随后,7
173,三案,7
174,提议,7
175,程晓娜,7
176,法律义务,7
177,每次,7
178,清理,7
179,第项,7
180,第三十九,7
181,判决书,7
182,公司员工,7
183,复函,7
184,核查,7
185,周华萍,7
186,上诉状,7
187,年薪,7
188,利得税,7
189,苏学军,6
190,武轶,6
191,真实性,6
192,完整性,6
193,云南,6
194,网站,6
195,国债,6
196,亿吨,6
197,选矿,6
198,项目管理,6
199,购入,6
200,可持续性,6
201,透明度,6
202,第三十二,6
203,第五十八,6
204,配合,6
205,如本,6
206,嘉西,6
207,采取有效,6
208,月度,6
209,建造,6
210,归母,6
211,民事裁定,6
212,诉讼费用,6
213,二审,6
214,定向,6
215,下发,6
216,年报,6
217,物业管理,6
218,健康,6
219,起任,6
220,铸件,6
221,嵌入,6
222,土地,6
223,出库,6
224,第至,6
225,不派,5
226,友联,5
227,人赖宁昌,5
228,东晟,5
229,第一季度,5
230,非金融,5
231,逆,5
232,越南,5
233,高粱,5
234,网络,5
235,权限,5
236,充足,5
237,大豆,5
238,国产,5
239,效应,5
240,加拿大,5
241,保障型,5
242,盈亏,5
243,稽查,5
244,自由贸易,5
245,试验区,5
246,交流,5
247,司法机关,5
248,立案侦查,5
249,中介机构,5
250,编报,5
251,下称,5
252,国购,5
253,广发,5
254,原驰,5
255,反对票,5
256,平天成,5
257,递交,5
258,两案,5
259,移送,5
260,薛跃冬,5
261,食品,5
262,博士,5
263,机械,5
264,本科,5
265,反对,5
266,油气,5
267,教育费,5
268,同日,4
269,证监会,4
270,新港,4
271,东路,4
272,环汇,4
273,商业广场,4
274,南塔,4
275,媒体,4
