,分词排序,词频
0,南宁糖业,395
1,南宁,299
2,广西,194
3,甘蔗,117
4,制糖,88
5,食糖,78
6,糖业,78
7,南宁市,75
8,环江,75
9,信息,72
10,远丰,65
11,南糖,56
12,种植,55
13,糖厂,48
14,土地,46
15,建设,44
16,富方,42
17,房地产,40
18,双高,38
19,物流,37
20,糖,37
21,振宁,36
22,工程,33
23,环保,33
24,云鸥,31
25,烟尘,31
26,锅炉,30
27,氨氮,29
28,材料,28
29,纸业,27
30,南糖债,27
31,香山,26
32,白砂糖,26
33,糖料,24
34,广顺,23
35,隆,23
36,蔗,22
37,扶贫,22
38,排放,22
39,侨虹,21
40,大桥,21
41,工业,20
42,食品,20
43,银行,20
44,节能,19
45,广州,19
46,东江,17
47,宾阳,17
48,面积,17
49,广西壮族自治区,16
50,国有资产,16
51,明阳,15
52,蔗渣,15
53,纸制品,15
54,配送,15
55,资讯网,15
56,广西南宁,15
57,榨季,13
58,宾阳县,13
59,农民,13
60,清洁,13
61,模制品,12
62,南,12
63,市场占有率,12
64,衍生品,12
65,物排放,12
66,划转,12
67,自治区,11
68,伶俐,11
69,舒雅,11
70,侨旺纸,11
71,制糖业,11
72,脱贫,11
73,质权,11
74,年报,10
75,监督管理,10
76,鲤,10
77,建材,10
78,天然,10
79,护理,10
80,糖纸,10
81,数据,10
82,期货,10
83,制订,10
84,万亩,10
85,环境,10
86,仓储,10
87,仓库,10
88,补偿款,10
89,废水,10
90,行政许可,10
91,回复,10
92,问询,10
93,建筑物,10
94,结清,10
95,顺位,10
96,出质,10
97,农投,9
98,用品,9
99,武鸣,9
100,县,9
101,白糖,9
102,消费,9
103,农业,9
104,电子商务,9
105,智能,9
106,金浪,9
107,浆业,9
108,物业,9
109,每手,9
110,派发,9
111,梁戈夫,8
112,恒安,8
113,兴,8
114,南蒲,8
115,糖蜜,8
116,生物,8
117,蔗区,8
118,户,8
119,蔗农,8
120,信息化,8
121,三板,8
122,工程项目,8
123,违规行为,8
124,废气,8
125,面向,8
126,永凯,8
127,技术改造,8
128,外汇,8
129,谢电,7
130,国资委,7
131,路,7
132,上海,7
133,二次,7
134,销售价格,7
135,资源,7
136,糖价,7
137,牌,7
138,造纸,7
139,流转,7
140,纸,7
141,造纸业,7
142,自动,7
143,六个月,7
144,健康,7
145,该案,7
146,赊销,7
147,绿华,7
148,贫困户,7
149,教育,7
150,环境保护,7
151,污染物,7
152,水污染,7
153,审查,7
154,华西,7
155,金诚,7
156,水务,7
157,绿城,7
158,壮宁,7
159,环江毛南族自治县,7
160,工商局,7
161,许春明,6
162,永利,6
163,农村,6
164,浆,6
165,瑞华,6
166,鼎华,6
167,产糖,6
168,增产,6
169,统计,6
170,区内,6
171,提标,6
172,燃烧,6
173,滞纳金,6
174,榨吨,6
175,技术升级,6
176,卫生巾,6
177,炒地,6
178,捂盘,6
179,惜售,6
180,哄抬,6
181,房价,6
182,协议书,6
183,大气污染,6
184,提示性,6
185,不定期,6
186,民事诉讼,6
187,工程师,6
188,计息,6
189,扣税,6
190,倍数,6
191,投出,6
192,嵌入,6
193,保险费,6
194,补助款,6
195,所得税率,6
196,压榨,6
197,生化,6
198,广发,6
199,卫东,5
200,陈,5
201,广西壮族自治区人民政府,5
202,直属,5
203,厂指,5
204,青秀区,5
205,古城,5
206,蔗糖,5
207,国富,5
208,收购价格,5
209,云鸥牌,5
210,明阳牌,5
211,食品安全,5
212,做优,5
213,存量,5
214,做大,5
215,增量,5
216,现代化,5
217,侨旺,5
218,运输业,5
219,能源,5
220,罚款,5
221,操作,5
222,用纸,5
223,拟向,5
224,浦玺,5
225,鼎,5
226,保久,5
227,富,5
228,海云,5
229,管线,5
230,绿庆,5
231,贫困村,5
232,污水,5
233,排口,5
234,在线,5
235,烟气,5
236,污染源,5
237,反馈,5
238,起任,5
239,参照,5
240,保费,5
241,维修,5
242,拆迁,5
243,改气,5
244,重工,5
245,农业发展银行,5
246,肖凌,4
247,孙,4
248,造纸厂,4
249,道路,4
250,药用,4
251,原糖,4
252,刘毅,4
253,刘业,4
254,食品工业,4
255,联动,4
256,周期性,4
257,稳步,4
258,全力,4
259,农作物,4
260,遍布全国,4
261,古府,4
262,大明山,4
263,称号,4
264,第一名,4
265,百亿,4
266,部署,4
267,带动,4
268,物流业,4
269,两翼,4
270,甜菜糖,4
271,小块,4
272,大块,4
273,机械化,4
274,一体化,4
275,大会,4
276,上涨,4
277,拓宽,4
278,产供销,4
279,翻板,4
280,机,4
281,卸蔗,4
282,江南,4
283,赔偿款,4
284,平价,4
285,年利率,4
286,起息,4
287,机收,4
288,建,4
289,护垫,4
290,文化,4
291,生产成本,4
292,农资,4
293,增收,4
294,第六次,4
295,自查报告,4
296,旧城,4
297,退出,4
298,内本,4
299,方镇河,4
300,电子科技,4
301,同达盛,4
302,混凝土,4
303,香糖,4
304,慰问,4
305,贫困,4
306,第个,4
307,烟囱,4
308,监测,4
309,一至,4
310,滕正朋,4
311,顺延,4
312,信用等级,4
313,债年,4
314,金融机构,4
315,出资额,4
316,交割,4
317,华夏,4
318,混合型,4
319,丁润声,4
320,周日,4
321,总会计师,4
322,雷桂明,4
323,广西大学,4
324,公司财务,4
325,混合,4
326,日日,4
327,还本付息,4
328,其后,4
329,工作日,4
330,债南糖,4
331,问答,4
332,五及,4
333,财务结构,4
334,油气,4
335,八在,4
336,装卸,4
337,包装物,4
338,机器设备,4
339,建造,4
340,归类,4
341,售后,4
342,各组,4
343,砍,4
344,侨旺待,4
345,台,4
346,亿只,4
347,非国控,4
348,科技,4
349,装备,4
350,补助金,4
351,市煤,4
352,无本,4
353,凤凰,4
354,设立登记,4
355,农发行,4
356,资助款,4
357,黄新,3
358,产投,3
359,指南,3
360,人肖凌,3
361,派遣,3
362,货物运输,3
363,西,3
364,化学,3
365,海天,3
366,现货,3
367,近年,3
368,大国,3
369,饮料,3
370,减产,3
371,回升,3
372,绿色食品,3
373,质量评比,3
374,综合利用,3
375,污染,3
376,技术装备,3
377,高地,3
378,市长,3
379,质量奖,3
380,奖,3
381,北部湾,3
382,创业,3
383,生活用品,3
384,一轴,3
385,战略目标,3
386,积极性,3
387,种,3
388,合作社,3
389,再次,3
390,冲击,3
391,甘蔗渣,3
392,缓解,3
393,市场行情,3
394,走势,3
395,进口,3
396,模塑,3
397,纸模,3
398,联网,3
399,智能化,3
400,广西区,3
401,购入,3
402,分类单位,3
403,主营,3
404,自卸,3
405,套,3
406,减排,3
407,汽,3
408,对比,3
409,降幅,3
410,孖,3
411,纺,3
412,自建,3
413,销户,3
414,无异议,3
415,深证,3
416,实施方案,3
417,结余,3
418,运输,3
419,绿色,3
420,扩张,3
421,配置,3
422,自然灾害,3
423,下功夫,3
424,宣传,3
425,自主经营,3
426,基准,3
427,记录表,3
428,下同,3
429,国资,3
430,因该,3
431,监管部门,3
432,基准日,3
433,镇河,3
434,其所,3
435,开庭审理,3
436,项下,3
437,资金周转,3
438,同类,3
439,获批,3
440,顾问,3
441,转账,3
442,巨潮网,3
443,办公楼,3
444,东糖,3
445,电商,3
446,就业,3
447,结对,3
448,村,3
449,养殖,3
450,农产品,3
451,排污,3
452,排放口,3
453,核定,3
454,应急,3
455,环保局,3
456,生产废水,3
457,申请材料,3
458,中天,3
459,王国,3
460,庆,3
461,退休,3
462,下发,3
463,务,3
464,转来,3
465,铝箔,3
466,接到,3
467,筹划,3
468,李建华,3
469,交,3
470,黄丽燕,3
471,姚宏宇,3
472,谭宝枝,3
473,简历,3
474,厂长,3
475,绿洲,3
476,化工,3
477,工会,3
478,车间,3
479,相关者,3
480,商品销售,3
481,工作效率,3
482,果,3
483,偏离,3
484,自起息,3
485,日遇,3
486,节假日,3
487,休息日,3
488,后非,3
489,居民,3
490,登记日,3
491,除息日,3
492,网,3
493,文,3
494,公司债,3
495,银行贷款,3
496,搞好,3
497,模型,3
498,准备金,3
499,中央银行,3
500,指为,3
501,中介,3
502,数在,3
503,公平交易,3
504,近期,3
505,消耗性,3
506,除净,3
507,中除,3
508,毁损,3
509,下述,3
510,养老保险,3
511,教育费,3
512,水利建设,3
513,西部,3
514,鼓励类,3
515,进厂,3
516,款中,3
517,扣回,3
518,运费,3
519,款年,3
520,回租,3
521,运输工具,3
522,蒲庙,3
523,制品,3
524,良种,3
525,良法,3
526,深犁深,3
527,耙,3
528,社会化,3
529,炉,3
530,管理系统,3
531,稳岗,3
532,蔗场,3
533,双辊,3
534,料器,3
535,燃气,3
536,管道工程,3
537,能效,3
538,基层建设,3
539,外贸,3
540,经开区,3
541,华侨,3
542,投资区,3
543,制药,3
544,博宣,3
545,博华,3
546,博庆,3
547,工商登记,3
548,录入,3
549,主管人员,2
550,委托人,2
551,公务,2
552,请假,2
553,理解,2
554,不派,2
555,次年,2
556,振宁工,2
557,宁南,2
558,网址,2
559,电子信箱,2
560,联系人,2
561,滕正,2
562,咏梅,2
563,证券部,2
564,饲料,2
565,辅料,2
566,生,2
567,机构名称,2
568,代表人,2
569,城区,2
570,时未,2
571,北京,2
572,少计,2
573,统一标准,2
574,财政补贴,2
575,医药,2
576,味业,2
577,加多宝,2
578,娃哈哈,2
579,需求量,2
580,信誉,2
581,食品饮料,2
582,顺价,2
583,郑州,2
584,交易市场,2
585,人民,2
586,增长速度,2
587,潜力,2
588,人口,2
589,充分利用,2
590,紧紧抓住,2
591,支柱,2
592,体现,2
593,兴企,2
594,名牌,2
595,荣誉,2
596,著名商标,2
597,第一家,2
598,知名,2
599,思路,2
600,酒精,2
601,共有,2
602,同行,2
603,创新能力,2
604,首家,2
605,人才培养,2
606,内外部,2
607,客户群,2
608,客户关系,2
609,诸多困难,2
610,挑战,2
611,一带,2
612,一路,2
613,契机,2
614,秉承,2
615,规模化,2
616,水利化,2
617,良种化,2
618,四化,2
619,种蔗,2
620,全区,2
621,长足,2
622,奠定,2
623,成效,2
624,小组,2
625,第届,2
626,会上,2
627,亚法类,2
628,六连冠,2
629,三连冠,2
630,尽量,2
631,行情,2
632,非主业,2
633,品牌价值,2
634,增长点,2
635,互联网,2
636,引擎,2
637,一条龙,2
638,节能降耗,2
639,实物,2
640,人工工资,2
641,动力,2
642,无绳,2
643,车,2
644,用工,2
645,各厂,2
646,自动化,2
647,熟化,2
648,此类,2
649,属性,2
650,投资额,2
651,搬迁,2
652,控制措施,2
653,适时,2
654,处理程序,2
655,套保,2
656,管理机构,2
657,把握,2
658,配合,2
659,会计核算,2
660,防范措施,2
661,年份,2
662,去向,2
663,完,2
664,函号,2
665,缴款,2
666,划入,2
667,超募,2
668,投向,2
669,投资总额,2
670,榨,2
671,不到,2
672,更改,2
673,前次,2
674,总投资额,2
675,度,2
676,第十一次,2
677,结,2
678,超级,2
679,吸水,2
680,卫生,2
681,纸尿片,2
682,裤,2
683,机制纸,2
684,一次性,2
685,物业管理,2
686,民生,2
687,宏观调控,2
688,现实,2
689,产业结构,2
690,多元化,2
691,延伸,2
692,跨,2
693,节水,2
694,灌溉,2
695,高产,2
696,高糖,2
697,资源整合,2
698,低迷,2
699,供求,2
700,数次,2
701,下行,2
702,机械,2
703,尝试,2
704,经营风险,2
705,底价,2
706,元吨,2
707,素质,2
708,内在,2
709,清晰,2
710,时所作,2
711,再融资,2
712,得以,2
713,所涉,2
714,自查,2
715,按规定,2
716,收尾,2
717,亭,2
718,洪,2
719,片区,2
720,后本,2
721,第十二次,2
722,二方,2
723,附件,2
724,开,2
725,庭审,2
726,连带保证,2
727,扣非,2
728,当年度,2
729,触发,2
730,两份,2
731,事,2
732,房产,2
733,依约,2
734,绝大部分,2
735,一尚,2
736,欠,2
737,依然,2
738,如约,2
739,拖欠,2
740,付给,2
741,详细情况,2
742,房室,2
743,多元,2
744,富民,2
745,贫困地区,2
746,几个,2
747,第一书记,2
748,定点,2
749,手段,2
750,农户,2
751,攻坚,2
752,建档立卡,2
753,贫困人口,2
754,贫困学生,2
755,残疾人,2
756,生产区,2
757,和谐,2
758,达标排放,2
759,新建,2
760,环境影响,2
761,批文,2
762,提案,2
763,第九次,2
764,更换,2
765,本届,2
766,届满时,2
767,候选人,2
768,换届,2
769,函中,2
770,列入,2
771,名单,2
772,股份有限,2
773,第八次,2
774,节余,2
775,告知,2
776,将振宁,2
777,停牌,2
778,公司公告,2
779,获,2
780,郑州商品交易所,2
781,郑商所,2
782,安兴,2
783,外资股,2
784,蒋理,2
785,刘俊,2
786,龚细生,2
787,中国建设银行,2
788,金丕川,2
789,招商银行,2
790,经典,2
791,英大,2
792,泰和,2
793,人寿保险,2
794,传统,2
795,保险产品,2
796,赵海林,2
797,李文国,2
798,出资人,2
799,权利义务,2
800,性别,2
801,谢谨平,2
802,陶创,2
803,本科,2
804,政工师,2
805,公司党委,2
806,纪委书记,2
807,工会主席,2
808,经济师,2
809,诊断,2
810,策划,2
811,学会,2
812,高校,2
813,常务理事,2
814,所长,2
815,同瑞,2
816,第一副,2
817,年薪制,2
818,兑现,2
819,来访,2
820,人员构成,2
821,透明度,2
822,分开,2
823,兼职,2
824,非专利,2
825,公众股,2
826,客观性,2
827,撤回,2
828,初步,2
829,如该,2
830,金元,2
831,回售,2
832,公众,2
833,桂林,2
834,及南糖,2
835,息税,2
836,流动比率,2
837,无十,2
838,百分之六十,2
839,瑞华审,2
840,如后,2
841,所示,2
842,若干年,2
843,协助,2
844,取决于,2
845,将要,2
846,明细表,2
847,拆出,2
848,吊装,2
849,搬运,2
850,编报,2
851,权责,2
852,多方,2
853,付出,2
854,各段,2
855,可变,2
856,表中,2
857,按原,2
858,视,2
859,当本,2
860,易于,2
861,兑换,2
862,一组,2
863,额后,2
864,除此以外,2
865,消失,2
866,低值易耗品,2
867,组是,2
868,组内,2
869,其他费用,2
870,之差,2
871,时才,2
872,结果表明,2
873,买方,2
874,改蔗,2
875,经营权,2
876,医疗保险,2
877,生育,2
878,工伤保险,2
879,住房,2
880,教育经费,2
881,裁减,2
882,单方面,2
883,财政资金,2
884,例外情况,2
885,每一,2
886,长期负债,2
887,款额,2
888,余值,2
889,需对,2
890,鉴定,2
891,原先,2
892,相关性,2
893,很大,2
894,依赖于,2
895,中本,2
896,下本,2
897,地方税务局,2
898,海关总署,2
899,税收政策,2
900,减免税,2
901,国家税务局,2
902,南武,2
903,国税,2
904,税通,2
905,票,2
906,蔗种,2
907,代收,2
908,未付,2
909,往来款项,2
910,业务员,2
911,代扣,2
912,保障金,2
913,湖北,2
914,侨丰,2
915,无未,2
916,小型,2
917,自动机,2
918,半自动,2
919,新滤,2
920,泥,2
921,填埋场,2
922,机改,2
923,尿,2
924,裤机,2
925,负,2
926,互抵,2
927,预提,2
928,交银,2
929,未决,2
930,运维,2
931,区级,2
932,引技,2
933,运,2
934,装包,2
935,码垛,2
936,脱硝,2
937,海智,2
938,之旅,2
939,七批,2
940,特聘,2
941,热电站,2
942,煮,2
943,强制,2
944,首台,2
945,纸尿裤,2
946,双核,2
947,超薄,2
948,尿裤,2
949,纸杯,2
950,国际化,2
951,基建,2
952,贡献奖,2
953,平仓,2
954,无现金,2
955,流量表,2
956,付现,2
957,付,2
958,民间,2
959,邕宁,2
960,镇,2
961,制造,2
962,限定,2
963,之内,2
964,承受,2
965,总厂,2
966,发电设备,2
967,气体,2
968,重型,2
969,康诺,2
970,南机,2
971,机械厂,2
972,统称,2
973,律师费,2
974,账物,2
975,不符,2
976,清点,2
977,拍卖,2
978,扣留,2
979,施行,2
980,股占,2
981,为准,2
982,工商行政,2
983,出质人,2
984,我局,2
985,亏损额,2
986,出席会议,1
987,人士,1
988,对此,1
989,保持足够,1
990,项指,1
991,区指,1
992,期指,1
993,纸业公司,1
994,新材,1
995,模云鸥,1
996,中文名称,1
997,中文,1
998,外文,1
999,联系方式,1
1000,朋李,1
1001,联系地址,1
1002,电话传真,1
