,分词排序,词频
0,河池,291
1,广西,277
2,化工,262
3,宁波,98
4,尿素,64
5,信息,50
6,装置,31
7,监测,30
8,河化,26
9,工程,26
10,东阳市,23
11,生物,22
12,停产,22
13,金仓,22
14,化学工业,21
15,化肥,21
16,贾满根,21
17,房地产,21
18,运输,20
19,河池市,18
20,燃料,17
21,江西,16
22,煤业,16
23,反诉,16
24,生,16
25,杜宇,15
26,资讯网,15
27,生物科技,14
28,材料,14
29,负担,13
30,建设,13
31,贾满,12
32,根诉,12
33,二审,12
34,数据,11
35,农资,11
36,排放,11
37,在线,11
38,维修,10
39,液氨,10
40,复合肥,10
41,工业,10
42,医药,10
43,熊续,10
44,污染物,10
45,该案,10
46,化工行业,9
47,南宁市,9
48,电子,9
49,中兴,8
50,财,8
51,光华,8
52,甲醇,8
53,环境,8
54,频率,8
55,警示,8
56,一案,8
57,农业,7
58,停车,7
59,合成氨,7
60,终结,7
61,履行义务,7
62,上诉,7
63,环境影响,7
64,银行,7
65,热电厂,7
66,金华市,7
67,浙民终,7
68,上诉人,7
69,浙,7
70,施伟光,6
71,莫理,6
72,网站,6
73,二氧化碳,6
74,销售业务,6
75,环保,6
76,强制,6
77,买卖合同,6
78,银亿新,6
79,自动,6
80,任银,6
81,安楚玉,6
82,马云星,6
83,工程师,6
84,拆除,6
85,投出,6
86,嵌入,6
87,撤回,6
88,款年,6
89,制造,5
90,煤炭,5
91,化学,5
92,重庆,5
93,南松,5
94,自治区,5
95,废水,5
96,环境保护,5
97,建有,5
98,为次,5
99,第二十九次,5
100,退市,5
101,筹划,5
102,张,5
103,福华,5
104,杜惟毅,5
105,潘勤,5
106,土地权属,5
107,自本,5
108,裁定书,5
109,送达,5
110,法律效力,5
111,举证,5
112,运费,5
113,带,4
114,人施,4
115,伟光,4
116,覃丽芳,4
117,李秀华,4
118,张宝岩,4
119,财政补贴,4
120,液体,4
121,肥,4
122,肥料,4
123,甲烷,4
124,长,4
125,进程,4
126,过剩,4
127,群山,4
128,现象,4
129,桂,4
130,停工,4
131,控股权,4
132,中介机构,4
133,仓储,4
134,金融机构,4
135,结构调整,4
136,东,4
137,环保局,4
138,罚款,4
139,管理局,4
140,中科,4
141,节能,4
142,排污,4
143,脱硫,4
144,锅炉,4
145,物排放,4
146,排口,4
147,运维,4
148,许可证,4
149,应急,4
150,装卸,4
151,康强,4
152,兵,4
153,电气,4
154,建造,4
155,教育费,4
156,柳州市,4
157,原审,4
158,戴栗峰,3
159,远,3
160,有机,3
161,煤,3
162,终端,3
163,缓慢,3
164,消耗,3
165,去年同期,3
166,回升,3
167,牌,3
168,有机肥,3
169,铁路,3
170,价格上涨,3
171,劳动合同,3
172,置入,3
173,氨水,3
174,化工产品,3
175,零售,3
176,中间体,3
177,表中,3
178,运输费,3
179,审,3
180,金元,3
181,技术改造,3
182,按规定,3
183,获批,3
184,资源,3
185,减排,3
186,废气,3
187,扶贫,3
188,股份有限,3
189,烟气,3
190,烟囱,3
191,手动,3
192,提示性,3
193,文化,3
194,法人股,3
195,汽车,3
196,普利,3
197,赛思,3
198,邹朝辉,3
199,杨承锋,3
200,李建平,3
201,蔡育明,3
202,总会计师,3
203,灵石,3
204,国泰,3
205,能源,3
206,期货,3
207,正源,3
208,三星,3
209,精炼厂,3
210,公司财务,3
211,证券部,3
212,公司员工,3
213,教育,3
214,召集,3
215,平等,3
216,审阅,3
217,绩效评价,3
218,纠正,3
219,缺,3
220,指除,3
221,视,3
222,保费,3
223,准备金,3
224,油气,3
225,中央银行,3
226,后本,3
227,指为,3
228,当本,3
229,其摊,3
230,混合,3
231,组和,3
232,除净,3
233,建筑物,3
234,专用设备,3
235,届满时,3
236,大修理,3
237,工程项目,3
238,保险费,3
239,生产费,3
240,应纳,3
241,元以,3
242,金鸿,3
243,建筑工程,3
244,江苏,3
245,贵州,3
246,土建,3
247,广西壮族自治区,3
248,受现,3
249,金城江区,3
250,主管人员,2
251,阐述,2
252,取决于,2
253,年报,2
254,不派,2
255,鑫,2
256,网址,2
257,电子信箱,2
258,秘书处,2
259,有无,2
260,统一标准,2
261,少利得,2
262,仍为,2
263,农药,2
264,整理,2
265,生产能力,2
266,订货,2
267,订购,2
268,生产成本,2
269,较长,2
270,致使,2
271,度,2
272,居高不下,2
273,生产资料,2
274,高度,2
275,产品成本,2
276,倒挂,2
277,万华,2
278,品牌优势,2
279,主导产品,2
280,低成本,2
281,物料,2
282,附加值,2
283,偏弱,2
284,能耗,2
285,销售价格,2
286,扩能,2
287,工艺性能,2
288,大部分,2
289,谋求,2
