,分词排序,词频
0,环境,565
1,科技,343
2,盈峰,305
3,环卫,195
4,环保,174
5,中联,173
6,广东,137
7,中联重科,109
8,制造,95
9,绿色,93
10,美的,89
11,装备,74
12,信息,67
13,新能源,63
14,工程,62
15,顺德区,59
16,宇星,50
17,直系亲属,44
18,深圳,43
19,电器,41
20,建设,39
21,监测,38
22,水务,36
23,垃圾,32
24,制冷,31
25,湖南,31
26,废气,30
27,亮科,29
28,中峰,29
29,威奇,29
30,水,28
31,宁波,28
32,一体化,27
33,廉江市,27
34,公告日,27
35,农村,26
36,上风,25
37,长沙,25
38,数据,25
39,烟囱,25
40,环境治理,24
41,通风,24
42,污水,24
43,安徽,24
44,元盈峰,23
45,车辆,23
46,银行,23
47,剑锋,23
48,江阴,23
49,资讯网,22
50,电机,22
51,发电,22
52,仙桃,22
53,寿县,22
54,天健,21
55,智慧,21
56,阜南,21
57,控股公司,21
58,芜湖,21
59,综合治理,20
60,电工,20
61,器械,20
62,环境监测,20
63,环境保护,20
64,材料,20
65,浙江,19
66,电磁线,19
67,佛山,19
68,威灵,19
69,城乡,18
70,机械,18
71,东港,18
72,锅炉房,18
73,土地,18
74,建造,18
75,上海,17
76,电工材料,17
77,垃圾焚烧,16
78,北京,16
79,排放,16
80,西侧,16
81,风机,15
82,连平,15
83,美芝,15
84,固废,14
85,产业园,14
86,能源,14
87,星舟,14
88,房地产,14
89,权策,14
90,移交,14
91,醴陵,14
92,上虞,13
93,机械制造,13
94,机器人,13
95,污水处理,13
96,资源,13
97,在线,13
98,被套,13
99,高新技术,13
100,北,12
101,智能,12
102,顺控,12
103,环境卫生,12
104,联网,12
105,广州,12
106,纳都勒,12
107,专风,12
108,海联,12
109,国际贸易,12
110,非公,12
111,华,12
112,清源,12
113,华盈,12
114,拆,12
115,滘,11
116,垃圾处理,11
117,重庆,11
118,辽宁,11
119,福,11
120,奥特,11
121,述,11
122,平安,11
123,天枢,11
124,高科,10
125,空调设备,10
126,工业,10
127,机械化,10
128,工程项目,10
129,源润,10
130,信托,10
131,汕头市,10
132,瑞康,10
133,顺德,10
134,生态,9
135,广发,9
136,垃圾站,9
137,清扫,9
138,作业,9
139,湖北省,9
140,仪表,9
141,台,9
