,分词排序,词频
0,汽车,591
1,众泰,309
2,永康,149
3,铁牛,118
4,银行,109
5,新能源,83
6,黄山,69
7,信息,63
8,制造,61
9,浙江,59
10,泰,56
11,金马,54
12,土地,41
13,零部件,38
14,上海,37
15,权证,35
16,杭州,32
17,整车,30
18,工业,30
19,建设,30
20,潭,30
21,数据,27
22,房,27
23,限售期,26
24,科技,24
25,永康市,24
26,工程,24
27,湘潭市,24
28,车身,23
29,智能,23
30,材料,23
31,飞众,22
32,安徽,22
33,电子,20
34,鸿宇,19
35,合肥,19
36,汽车产业,18
37,义务人,18
38,应建仁,18
39,元众,17
40,建筑物,17
41,汽车行业,15
42,车型,15
43,资讯网,14
44,车辆,14
45,歙县,14
46,深圳,14
47,万辆,14
48,徐美儿,14
49,平安,14
50,江南,13
51,网络,13
52,动力,13
53,亿恒,13
54,泰之路,13
55,签订合同,13
56,汽车配件,12
57,环境,12
58,长沙,12
59,郑州,12
60,大门,11
61,售后服务,11
62,天职,11
63,产销,11
64,补偿款,11
65,铜峰,11
66,浙商,11
67,黄山市,10
68,电机,10
69,造型,10
70,资源,10
71,深化,10
72,信息化,10
73,机器设备,10
74,湖南,10
75,项下,10
76,宁波,10
77,开立,10
78,池中,10
79,激烈,9
80,智能化,9
81,制造业,9
82,存入,9
83,易辰孚特,9
84,房地产,9
85,三级,9
86,总成,9
87,不动产,9
88,授信额度,9
89,兴业银行,9
90,金融服务,9
91,消费者,8
92,教育,8
93,万套,8
94,中原,8
95,基本面,8
96,书面资料,8
97,福特,8
98,运输工具,8
99,青岛,8
100,长安汽车,8
101,高新技术,8
102,光大银行,8
103,开出,8
104,宝网,7
105,海峰,7
106,摩托车,7
107,配件,7
108,危险,7
109,电动,7
110,稳,7
111,挑战,7
112,试验室,7
113,智能网,7
114,联,7
115,人工成本,7
116,第七次,7
117,和谐,7
118,足额,7
119,技术改造,7
120,公司员工,7
121,日经,7
122,退休,7
123,被套,7
124,长房,7
125,泉字,7
126,权第号,7
127,铜陵市,7
128,方茂军,6
129,指众,6
130,杨,6
131,发动机,6
132,模具,6
133,仪器仪表,6
134,化学品,6
135,非金融,6
136,补贴款,6
137,周期性,6
138,节能,6
139,着力,6
140,重塑,6
141,交通运输,6
142,第五次,6
143,以元,6
144,国补,6
145,健康,6
146,体检,6
147,工厂,6
148,池,6
149,非公,6
150,刘慧军,6
151,卓敏,6
152,工程师,6
153,装备,6
154,推荐,6
155,第六次,6
156,年报,6
157,日有,6
158,元以,6
159,全程,6
160,广州,6
161,基点,6
162,信贷政策,6
163,六个月,6
164,广发,6
165,无条件,6
166,珠海,6
167,华润,6
168,金浙勇,5
169,媒体,5
170,浙勇,5
171,仪表,5
172,电器,5
173,装饰门,5
174,防盗窗,5
175,门窗,5
176,系列产品,5
177,北京,5
178,文化,5
179,符合国家,5
180,四个,5
181,乘用车,5
182,消费,5
183,近年,5
184,核心技术,5
185,冲压,5
186,合资,5
187,辆,5
188,工商登记,5
189,软件,5
190,普天,5
191,健,5
192,验资,5
193,国信,5
194,投向,5
195,招聘,5
196,辛乙堂,5
197,木业,5
198,款额,5
199,公益事业,5
200,公司业绩,5
201,武汉,5
202,天风智信,5
203,开,5
204,重庆,5
205,博士,5
206,建立健全,5
207,公司财务,5
208,会计报表,5
209,现行,5
210,稳定期,5
211,换取,5
212,款年,5
213,线束,5
214,金坛,5
215,注注,5
216,绿色,5
217,金华,5
218,存有,5
219,入池,5
220,国用,5
221,众达,5
222,票款,5
223,信贷,5
224,九江,5
225,特,5
226,来电,5
227,证监会,4
228,网站,4
229,防撬门,4
230,车用,4
231,五金工具,4
232,家用电器,4
233,不含,4
234,木竹,4
235,王传邦,4
236,郑斐,4
237,华泰,4
238,为份,4
239,证券市场,4
240,君马,4
241,物料,4
242,下发,4
243,保有量,4
244,共享,4
245,电池,4
246,控制系统,4
247,扎实,4
248,环保,4
249,混合,4
250,日益,4
251,专有,4
252,全方位,4
253,早,4
254,试制,4
255,原创,4
256,向上,4
257,一套,4
258,套,4
259,战略规划,4
260,等否,4
261,滞纳金,4
262,门,4
263,产品开发,4
264,模型,4
265,意识,4
266,工商行政管理局,4
267,原价,4
268,公司法人,4
269,人员构成,4
270,医疗保险,4
271,贡献,4
272,扶贫,4
273,否众,4
274,污水,4
275,总价,4
276,定向,4
277,由股,4
278,至股,4
279,清偿债务,4
280,俞斌,4
281,张炳力,4
282,孔伟平,4
283,徐子杰,4
284,陈静,4
285,杨健,4
286,辞去,4
287,益维,4
288,院长,4
289,房产,4
290,定为,4
291,基准,4
292,金融机构,4
293,增发,4
294,内退,4
295,高度,4
296,使本,4
297,教育费,4
298,系年,4
299,基准日,4
300,利润率,4
301,息,4
302,江苏,4
303,为个,4
304,抵字,4
305,中国银行,4
306,嘉定,4
307,皖,4
308,肥西县,4
309,接上,4
310,天元,4
311,汽车空调,4
312,估价,4
313,日内,4
314,交存,4
315,借款人,4
316,程勇,3
317,外文,3
318,人金,3
319,电子电器,3
320,建筑材料,3
321,装饰,3
322,金属材料,3
323,危险物品,3
324,零配件,3
325,旅游,3
326,创意,3
327,楼,3
328,任一,3
329,应视,3
330,轿车,3
331,三大,3
332,适时,3
333,店,3
334,致力于,3
335,差异化,3
336,纯,3
337,电动汽车,3
338,高质量,3
339,结构性,3
340,态势,3
341,经济效益,3
342,购置税,3
343,退出,3
344,延续,3
345,互联网,3
346,造车,3
347,自然,3
348,国际化,3
349,脸谱,3
350,非专利,3
351,经营权,3
352,造,3
353,老百姓,3
354,好车,3
355,美誉度,3
356,核心部件,3
357,提,3
358,精品,3
359,德国,3
360,制订,3
361,集成,3
362,正向,3
363,节约,3
364,秉承,3
365,高度重视,3
366,网联,3
367,传统,3
368,开启,3
369,家族化,3
370,荣获,3
371,传播,3
372,卫视,3
373,技术创新,3
374,排放,3
375,福特汽车公司,3
376,体验,3
377,评审,3
378,实施细则,3
379,门业,3
380,樘,3
381,分类单位,3
382,面积,3
383,车载,3
384,更名,3
385,业经,3
386,核查,3
387,第九次,3
388,超募,3
389,千人,3
390,汽车销量,3
391,对标,3
392,力,3
