,分词排序,词频
0,宁波,1060
1,房产,439
2,房地产,267
3,上海,216
4,邦奇,132
5,南京,114
6,信息,108
7,舟山,88
8,汽车,80
9,安吉,77
10,昊,76
11,亿银,73
12,土地,72
13,询问,72
14,熊续,71
15,沈阳,70
16,建设,67
17,圣,67
18,亿圣,66
19,比利时,62
20,该笔,61
21,房地产业,59
22,工程,51
23,浙江,49
24,香港,47
25,物业,46
26,新城,45
27,德国,42
28,象山,42
29,科技,41
30,西藏,41
31,制造业,41
32,银行,41
33,圣洲,41
34,南昌,40
35,余姚,40
36,住宅,39
37,南郡,38
38,杭州,32
39,信托,32
40,服务业,32
41,回售,32
42,零部件,31
43,变速器,31
44,中诚信,31
45,复牌,30
46,信用等级,30
47,马其顿,28
48,面向,28
49,强注,28
50,面积,25
51,元银,25
52,制造,24
53,大庆,24
54,物业管理,24
55,深圳,24
56,否银,24
57,投票,24
58,法国,23
59,欧阳,23
60,黎明,23
61,总张数,23
62,变速箱,22
63,发生器,22
64,保税区,21
65,鲁家峙,21
66,气体,21
67,荷兰,20
68,西安,20
69,万里,20
70,教育,20
71,金融机构,20
72,百胜,19
73,兰光科技,19
74,碧桂园,19
75,数据,19
76,合作开发,19
77,地块,19
78,熊基凯,19
79,凯启,18
80,银兴,18
81,无级,18
82,安全气囊,18
83,卓越,18
84,竣工,18
85,展期,18
86,反担保,18
87,下调,18
88,增信,18
89,北京,17
90,盛建,17
91,银亿银,17
92,债项,17
93,票,17
94,张,17
95,自动,16
96,墨西哥,16
97,海尚,16
98,动力,16
99,尚之味,16
100,秀茂,16
101,波威,16
102,新设,16
103,环境,16
104,平仓,16
105,商业机会,16
106,填补,16
107,圣龙,16
108,工业,16
109,证评,16
110,列入,16
111,名单,16
112,反对票,16
113,注银,16
114,旅游,16
115,智能,15
116,资讯网,15
117,电子,15
118,天健,14
119,酒店,14
120,润,14
121,悦海堂,14
122,工厂,14
123,万平方米,14
124,共享,14
125,很小,14
126,一本,14
127,同受,14
128,瑞欣,13
129,人熊续,13
130,上表,13
131,强制,13
132,盈日,13
133,余明桂,12
134,荣耀,12
135,大酒店,12
136,新疆,12
137,富田,12
138,昇,12
139,添泰,12
140,银凯,12
141,伊顿,12
142,新能源,12
143,所在地,12
144,合作项目,12
145,三本,12
146,慈茂,12
147,拆,12
148,巨鹰,12
149,舟山市,12
150,普陀区,12
151,招商引资,12
152,地方性,12
153,矮柳,11
154,亿万,11
155,万城,11
156,银乾,11
157,莲彩,11
158,芃,11
159,翎,11
160,万套,11
161,协议书,11
162,如期,11
163,街道,11
164,华融,11
165,结清,11
166,文化,11
167,海峰,11
168,日月,11
169,春儿,10
170,出席会议,10
171,西部,10
172,同景,10
173,呼伦贝尔,10
174,济州,10
175,广场,10
176,银盛,10
177,荣安,10
178,建筑面积,10
179,商品房,10
180,整车,10
181,一品,10
182,辽宁,10
183,停牌,10
184,宁波港,10
185,通凯邦,10
186,村,10
187,材料,10
188,亿年,10
189,招商,10
190,评委,10
191,人于,10
192,本节,10
193,原为,10
194,李,9
195,恒晖,9
196,江北,9
197,销代,9
198,银辰,9
199,骏瑞,9
200,临玥,9
201,驿辰,9
202,车型,9
203,维尔,9
204,资源,9
205,丹府,9
206,合作方,9
207,传动,9
208,总装,9
209,车辆,9
210,相符,9
211,四本,9
212,人及,9
213,金属制品,9
214,供方,9
215,亿和银,9
216,外国,9
217,海通,9
218,恒信,9
219,中国银行,9
220,麒麟,8
221,银洲星,8
222,银亿永茂,8
223,港湾,8
224,慈溪,8
225,恒瑞,8
226,迎碧,8
227,地产,8
228,高安市,8
229,天鑫,8
230,银恒,8
231,川山甲,8
232,甬圣,8
233,瑞利,8
234,楼,8
235,网站,8
236,郡,8
237,中长期,8
238,买方,8
239,移交,8
240,公司债,8
241,蔚邦,8
242,合法利益,8
243,鄞州,8
244,建筑物,8
245,蔚城,8
246,股占,8
247,银凯注,8
248,大会,8
249,被动,8
250,奇螺,8
251,银团,8
252,年报,7
253,诚佳,7
254,银隆,7
255,银策,7
256,南昌市,7
257,银瑞,7
258,银睿,7
259,安生,7
260,银亿永盛,7
261,欣,7
262,恒弘,7
263,路,7
264,整车厂,7
265,诺克斯,7
266,万辆,7
267,新开工,7
268,项目前期,7
269,放缓,7
270,三是,7
271,五期,7
272,万万,7
273,预售,7
274,东,7
275,瑞安,7
276,吉银凯,7
277,康月,7
278,奥誉,7
279,身份,7
280,侵占,7
281,最新,7
282,国际贸易,7
283,城区,7
284,拍卖,7
285,中国香港,7
286,经济师,7
287,足额,7
288,第三期,7
289,摘牌,7
290,亿债项,7
291,降级,7
292,张占,7
293,体现,7
294,担保物,7
295,韩元,7
296,开发成本,7
297,预缴,7
298,壳体,7
299,中建,7
300,可回收,6
301,精密,6
