,分词排序,词频
0,皇台,380
1,甘肃,351
2,酒业,294
3,信息,80
4,上海,66
5,资讯网,57
6,葡萄酒业,47
7,葡萄酒,45
8,厚丰,44
9,甘肃省,40
10,北京,37
11,武威,37
12,酒,35
13,凉州,35
14,甘,35
15,新疆,34
16,兰州,34
17,唐之彩,32
18,武威市,32
19,凉州区,29
20,工程,29
21,白酒,26
22,盛达,25
23,银行,24
24,土地,23
25,酿造,22
26,消费,22
27,房地产,22
28,发起,20
29,日新,17
30,文化,17
31,希格玛,16
32,建设,16
33,胡振平,15
34,查阅,15
35,葡萄,15
36,裁定书,15
37,二审,14
38,辞职,14
39,详情请,13
40,我司,13
41,汉族,13
42,厚,12
43,数据,12
44,兰州市,12
45,媒体,11
46,润,11
47,环境保护,11
48,生于,11
49,何维角,10
50,浙江,10
51,信通,10
52,实物,10
53,去年同期,10
54,农村,10
55,商业银行,10
56,酒类,10
57,判决书,10
58,执号,10
59,和解,10
60,已出,10
61,诉讼费,10
62,赔偿金,10
63,陇盛,9
64,路,9
65,成品,9
66,食品饮料,9
67,轮候,9
68,新建,8
69,谢维宏,8
70,机器设备,8
71,清理,8
72,退市,8
73,公安局,8
74,涉嫌,8
75,一案,8
76,被执行人,8
77,失信,8
78,材料,8
79,简式,7
80,车间,7
81,丰拟,7
82,营运,7
83,极度,7
84,短缺,7
85,种植,7
86,是因为,7
87,建筑物,7
88,本省,7
89,组建,7
90,未决,7
91,赔偿损失,7
92,环境,7
93,亏空,7
94,称,7
95,日日,7
96,扶贫,7
97,环保,7
98,会议室,7
99,生物,7
100,损失赔偿,7
101,赵,6
102,吉文,6
103,娟,6
104,安格瑞,6
105,负,6
106,警示,6
107,萎缩,6
108,盘亏,6
109,相较,6
110,粮食,6
111,第六次,6
112,全称,6
113,无锡市,6
114,零售,6
115,宣传,6
116,现状,6
117,销售价格,6
118,公安机关,6
119,提醒,6
120,梅林,6
121,彩印包装,6
122,高级人民法院,6
123,该名,6
124,名单,6
125,内培,6
126,综合楼,6
127,三楼,6
128,名年,6
129,教育费,6
130,杭州,6
131,一事,6
132,满堂,5
133,详式,5
134,提示性,5
135,远远,5
136,食品,5
137,负值,5
138,番茄,5
139,金融机构,5
140,房产,5
141,清源,5
142,资源,5
143,四川,5
144,尽可能,5
145,寻求,5
146,亏,5
147,刑事,5
148,监督管理,5
149,上诉,5
150,法律文书,5
151,污水,5
152,红军,5
153,申日,5
154,油气,5
155,包装物,5
156,低值易耗品,5
157,工程项目,5
158,玻璃制品,5
159,未办理,5
160,欠付,5
161,元该,5
162,销货款,5
163,西关,4
164,街,4
165,打开,4
166,第八次,4
167,为亩,4
168,资金额,4
169,荣获,4
170,酿酒,4
171,负数,4
172,资不抵债,4
173,欠缴,4
174,公安,4
175,股民,4
176,疑虑,4
177,抽查,4
178,制品,4
179,第五次,4
180,保全,4
181,面积,4
182,亩,4
183,雁滩,4
184,新任,4
185,门,4
186,公众,4
187,薄弱,4
188,探讨,4
189,停牌,4
190,公司库,4
191,公正,4
192,之二,4
193,该案,4
194,犯罪,4
195,嫌疑人,4
196,提请逮捕,4
197,入,4
198,教育,4
199,调解书,4
200,盛世,4
201,济民,4
202,买卖合同,4
203,诉皇台,4
204,农业,4
205,排污,4
206,排放,4
207,应急,4
208,防治,4
209,西部,4
210,闫立强,4
211,卫兵,4
212,王森,4
213,张晓非,4
214,哈密,4
215,新天,4
216,上班,4
217,工会,4
218,日次,4
219,除净,4
220,或重,4
221,现行,4
222,争议,4
223,半成品,4
224,四十九,4
225,建造,4
226,折扣,4
227,网站,3
228,证券部,3
229,实业集团,3
230,卢鸿毅,3
231,陕西省,3
232,邱程,3
233,红,3
234,张小娟,3
235,律师费,3
236,制造业,3
237,西北地区,3
238,知名度,3
239,美誉度,3
240,美酒,3
241,合格率,3
242,西北,3
243,度,3
244,重建,3
245,近,3
246,重复,3
247,尊驾,3
248,新品,3
249,分类单位,3
250,拟以,3
251,第十次,3
252,象征性,3
253,摘要,3
254,拟将,3
255,对手,3
256,方均,3
257,丰且,3
258,互为,3
259,止付,3
260,院内,3
261,狠抓,3
262,健康,3
263,产业政策,3
264,投放,3
265,营销策划,3
266,网络营销,3
267,陆续,3
268,开通,3
269,新浪,3
270,微博,3
271,腾讯,3
272,微博微信,3
273,线上,3
274,产品线,3
275,价位,3
276,口感,3
277,本地,3
278,管理手段,3
279,积极性,3
280,负担,3
281,化解,3
282,期待,3
283,决定书,3
284,义务人,3
285,或拟,3
286,平等,3
287,希,3
288,会审,3
289,对贵,3
290,四成,3
291,品酒,3
292,监守自盗,3
293,经济犯罪,3
294,线索,3
295,公安厅,3
296,立案侦查,3
297,管辖权,3
298,侦查,3
299,配合,3
300,审,3
301,再审,3
302,之三,3
303,诉本,3
304,期后,3
305,宜宾,3
306,圆明园,3
307,再次,3
308,书,3
309,鑫脉,3
310,镇新,3
311,科技,3
312,闫立,3
313,维角,3
314,令称,3
315,沪,3
316,深圳,3
317,获悉,3
318,订立,3
319,环保局,3
320,环保部门,3
321,污染,3
322,刘兴明,3
323,刘兴,3
324,董秘,3
325,石峰,3
326,叶玉,3
327,璀,3
328,柴娟,3
329,补选,3
330,科技开发,3
331,执业,3
