,分词排序,词频
0,信息,58
1,汽车,40
2,国际期货,17
3,扶贫,16
4,姜荣,15
5,北京,15
6,工程,14
7,捷利,13
8,通信,13
9,物流,13
10,姜新,12
11,房地产,12
12,数据,11
13,深圳,10
14,建设,10
15,银行,9
16,期货,9
17,财富,8
18,贫困学生,8
19,开具,7
20,贫困地区,7
21,生物,7
22,永濠,6
23,东莞市,6
24,中兴,6
25,财,6
26,光华,6
27,万辆,6
28,环境,6
29,教育,6
30,学校,6
31,审阅,6
32,会计报表,6
33,投出,6
34,嵌入,6
35,东莞,5
36,朝阳区,5
37,建国,5
38,门外,5
39,光华路,5
40,幢,5
41,维修,5
42,健康,5
43,三台县,5
44,学生,5
45,美捷,5
46,初步,5
47,油气,5
48,建筑物,5
49,元非,4
50,东风,4
51,悦达起亚,4
52,现金管理,4
53,公司员工,4
54,联营公司,4
55,汽车贸易,4
56,期货市场,4
57,监管部门,4
58,审,4
59,模型,4
60,资源,4
61,节约,4
62,规程,4
63,小学,4
64,电脑,4
65,额外,4
66,进场,4
67,混合,4
68,车辆,4
69,入,4
70,土地,4
71,保险,4
72,教育费,4
73,金融信息,4
74,上海,3
75,网站,3
76,张学福,3
77,冯连青,3
78,比上,3
79,下滑,3
80,产销,3
81,销售业务,3
82,薪金,3
83,存入,3
84,衍生品,3
85,期货经纪,3
86,现代化,3
87,医疗,3
88,淘汰,3
89,旧,3
90,运营商,3
91,信息化,3
92,近年,3
93,增,3
94,计算机,3
95,建立健全,3
96,村,3
97,贫困,3
98,捐助,3
99,脱贫,3
100,邓兰,3
101,李爱儿,3
102,亚华,3
103,周俊虎,3
104,郝俊,3
105,张宗敏,3
106,刘润红,3
107,信息技术,3
108,田轩,3
109,韩玲亚,3
110,刘琳,3
111,女年,3
112,设置,3
113,独立核算,3
114,承担责任,3
115,日年,3
116,保费,3
117,准备金,3
118,中央银行,3
119,净增,3
120,表中,3
121,当本,3
122,其摊,3
123,低值易耗品,3
124,组和,3
125,除净,3
126,中除,3
127,届满时,3
128,发票,3
129,交纳,3
130,发,3
131,不派,2
132,网址,2
133,电子信箱,2
134,选定,2
135,第一季度,2
136,第三季度,2
137,配件,2
138,咨询服务,2
139,金融服务,2
140,服务行业,2
141,效应,2
142,严峻,2
143,局面,2
144,弱化,2
145,汽车精品,2
146,保险业务,2
147,华南地区,2
148,整车,2
149,江苏,2
150,悦,2
151,达摩,2
152,比斯,2
153,中有,2
154,无条件,2
155,合格证,2
156,赎,2
157,证款,2
158,期末存货,2
159,投资额,2
160,发展前景,2
161,增长点,2
162,高水平,2
163,广阔,2
164,此次,2
165,虚拟,2
166,转售,2
167,资本运作,2
168,再融资,2
169,失败,2
170,来源于,2
171,收购人,2
172,被动,2
173,附属,2
174,追究,2
175,拟定,2
176,金融业务,2
177,软件开发,2
178,搭建,2
179,度,2
180,倡导,2
181,办公设备,2
182,积极参与,2
183,上学,2
