,分词排序,词频
0,福建,124
1,商户,101
2,信息,96
3,科技,93
4,银行,79
5,电子,62
6,信托,57
7,数据,50
8,浮息,44
9,北京,43
10,财政拨款,41
11,建设,40
12,扶贫,38
13,工程,36
14,智能,35
15,联网,34
16,房地产,34
17,金融服务,29
18,通信,27
19,软件,26
20,江苏,24
21,网商,24
22,福州,22
23,信息化,22
24,服务平台,22
25,系本,22
26,香港,21
27,上海,21
28,厦门,21
29,地产,20
30,高速公路,20
31,场景,19
32,西安,19
33,驿,18
34,村,18
35,集群,17
36,环境,17
37,电脑,16
38,台湾,16
39,国通星,16
40,深圳,16
41,科脉,16
42,软件开发,16
43,服务业,16
44,教育,15
45,欧洲,15
46,运营商,15
47,识读,15
48,文化,15
49,智联,14
50,信息技术,14
51,广州,14
52,益农,14
53,兴业银行,14
54,近,14
55,脱贫,14
56,福州市,13
57,收单,13
58,条码,13
59,生态,13
60,北美,12
61,广东,12
62,公共服务,12
63,致同,12
64,商标,12
65,国债,12
66,上智村,12
67,定向,12
68,土地,12
69,王晶,11
70,新兴,11
71,弘卓,11
72,扫码,11
73,互联网,11
74,合作伙伴,11
75,江滨,11
76,花园,11
77,民生银行,11
78,贫困户,11
79,环保,11
80,古民居,11
81,建造,11
82,装备,11
83,网络,10
84,微,10
85,银行卡,10
86,致力于,10
87,资源,10
88,风控,10
89,终端,10
90,结构性,10
91,胡钢,10
92,企业债,10
93,无锡,10
94,电子设备,10
95,智慧,9
96,英吉,9
97,君,9
98,盛观,9
99,鑫宇,9
100,翼码,9
101,亚,9
102,物流,9
103,电信,9
104,商品房,9
105,房产,9
106,公共,9
107,物业管理,9
108,公司债,9
109,宁波,9
110,惠山,9
111,增发,9
112,新台币,9
113,许可证,9
114,上表,9
115,八闽,8
116,线下,8
117,一站式,8
118,解码,8
119,万户,8
120,工业,8
121,模型,8
122,制造业,8
123,摘要,8
124,集合,8
125,中央,8
126,东兴,8
127,基础设施,8
128,经营权,8
129,天至天,8
130,含天,8
131,资讯网,7
132,自动识别,7
133,溯源,7
134,兴业,7
135,物业,7
136,马尾区,7
137,牌照,7
138,制造,7
139,农产品,7
140,乡村,7
141,垂直,7
142,旅游,7
143,承购,7
144,修订稿,7
145,开放式,7
146,村民,7
147,解禁,7
148,福夏,7
149,国兴,6
150,国通,6
151,创投,6
152,瑞之付,6
153,奋新,6
154,四川,6
155,小额贷款,6
156,星,6
157,金融机构,6
158,管理系统,6
159,人工智能,6
160,农业,6
161,智能化,6
162,消费,6
163,万亿元,6
164,机具,6
165,万台,6
166,材料,6
167,天津,6
168,信息产业,6
169,金证,6
170,恒,6
171,信号,6
172,次级债,6
173,混合,6
174,资管,6
175,住房,6
176,饮用水,6
177,白头,6
178,格,6
179,林学,6
180,本科,6
181,可比,6
182,服务收入,6
183,研制,6
184,徐志凌,5
185,云商,5
186,网络科技,5
187,智锐,5
188,蓝新,5
189,网商小贷,5
190,云势,5
191,儒,5
192,江西,5
193,路,5
194,科技园,5
195,吴春,5
196,旸,5
197,即征,5
198,退,5
199,服务行业,5
200,便民服务,5
201,较强,5
202,扫描器,5
203,产品线,5
204,全省,5
205,系统集成,5
206,消费信贷,5
207,深耕,5
208,传统,5
209,技术创新,5
210,新建,5
211,办公楼,5
212,清,5
213,分款,5
214,民生,5
215,平安,5
216,对接,5
217,第一名,5
218,第二名,5
219,第三名,5
220,第四名,5
221,第五名,5
222,预先,5
223,挖掘,5
224,缺乏,5
225,中车,5
226,日月,5
227,新世纪,5
228,公司公告,5
229,完,5
230,第十四次,5
231,雪球,5
232,优悦,5
233,光伏,5
234,拨款,5
235,修缮,5
236,民宿,5
237,集体,5
238,国泰,5
239,契约型,5
240,私募,5
241,社保,5
242,五零,5
243,杰,5
244,陈继胜,5
245,建筑物,5
246,定期存款,5
247,期末存货,5
248,销售价格,5
249,预缴,5
250,信用贷款,5
251,净收入,5
252,软件业,5
253,占本,5
254,澳门,5
255,媒体,4
256,微电子,4
257,翼,4
258,码永益,4
259,民德,4
260,天地,4
261,广场,4
262,胡素萍,4
263,张慧玲,4
264,服务商,4
265,上线,4
266,定位,4
267,小微,4
268,信贷,4
269,芯片,4
270,搭建,4
271,农户,4
272,交通,4
273,差异化,4
274,备付,4
275,下沉,4
276,不断丰富,4
277,硬件,4
278,通车,4
279,里程,4
280,科技园区,4
281,商业模式,4
282,高度,4
283,卓越,4
284,尝试,4
285,展开,4
286,深化,4
287,当月,4
288,手持,4
289,物业费,4
290,借入,4
291,可变,4
292,几年,4
293,对手,4
294,流失,4
295,派送,4
296,途径,4
297,填补,4
298,转让方,4
299,日为,4
300,另加,4
301,第期,4
302,中国银行,4
303,中银,4
304,中央银行,4
305,两村,4
306,贫困村,4
307,指数,4
308,确立,4
309,发电,4
310,养殖,4
311,游,4
312,防治法,4
313,信鑫,4
314,徐强,4
315,许成,4
316,建,4
317,梁健,4
318,工程师,4
319,分析师,4
320,电,4
321,相关者,4
322,相符,4
323,后本,4
324,参与者,4
325,半成品,4
326,著作权,4
327,移交,4
328,工程项目,4
329,维修,4
330,教育费,4
331,孙,4
332,折算率,4
333,天至,4
334,基准利率,4
335,九八,4
336,软件工程,3
337,数码科技,3
338,通讯,3
339,有无,3
340,机构名称,3
341,终端产品,3
342,旨在,3
343,个体,3
344,消费者,3
345,产品类别,3
346,固定式,3
347,医疗,3
348,诸多,3
349,载体,3
350,一家,3
351,进村,3
352,入户,3
353,协助,3
354,社的,3
355,电子商务,3
356,体验,3
357,粤,3
358,农优品,3
359,落地,3
360,农民,3
361,机电工程,3
362,端,3
363,通用,3
364,中国人民银行,3
365,沉淀,3
366,迎来,3
367,普及,3
368,亚太,3
369,竞争对手,3
370,核心技术,3
371,激烈,3
372,促使,3
373,一千,3
374,健康,3
375,环节,3
376,交叉,3
377,政府部门,3
378,高速,3
379,控,3
380,交易系统,3
381,零售,3
382,数据挖掘,3
383,扩张,3
384,定制,3
385,角度,3
386,邮储,3
387,夯实,3
388,助力,3
389,全球化,3
390,全方位,3
391,总体目标,3
392,上涨,3
393,会计核算,3
394,衍生品,3
395,验资,3
396,超募,3
397,投向,3
398,发,3
399,发展前景,3
400,有望,3
401,双重,3
402,社区,3
403,由股,3
404,协议书,3
405,回避,3
406,规避,3
407,中融,3
408,向名,3
409,第九次,3
410,为元股,3
411,共名,3
412,主债务,3
413,受托人,3
414,信字,3
415,日积月累,3
416,光大银行,3
417,对公,3
418,类产品,3
419,新股申购,3
420,金融债,3
421,加银,3
422,增利,3
423,新城,3
424,级别,3
425,启盈,3
426,国务院,3
427,智村,3
428,方略,3
429,村里,3
430,小组,3
431,组长,3
432,成效,3
433,抢救性,3
434,建筑群,3
435,环境保护,3
436,等额,3
437,并未,3
438,前上,3
439,王栋,3
440,很小,3
441,分开,3
442,医疗保险,3
443,财产损失,3
444,支持性,3
445,费用率,3
446,业经,3
447,第十九次,3
448,权责,3
449,须用,3
450,可用,3
451,一组,3
452,该组,3
453,该种,3
454,开发成本,3
455,机器设备,3
456,运输设备,3
457,办公设备,3
458,原先,3
459,大修理,3
460,合同规定,3
461,届满时,3
462,保险费,3
463,竣工,3
464,表时,3
465,税项,3
466,高新技术,3
467,无需,3
468,科技成果,3
469,转化,3
470,扩散,3
471,科技局,3
472,签全,3
473,无线,3
474,市级,3
475,预研,3
476,与物,3
477,互联互通,3
478,陈再辉,3
479,郑艺祥,3
480,谢祺隆,3
481,张俊,3
482,一人,3
483,荷兰,3
484,对冲,3
485,天创,3
486,续展,3
487,期为,3
488,获授,3
489,阶段性,3
490,思必拓,3
491,人士,2
492,项本,2
493,联众,2
494,资讯科技,2
495,网络工程,2
496,永益物,2
497,创业投资,2
498,物业公司,2
499,信息工程,2
500,中文,2
501,外文,2
502,网址,2
503,电子信箱,2
504,证券部,2
505,历次,2
506,华泰,2
507,冲销,2
508,税收政策,2
509,支点,2
510,台,2
511,数据分析,2
512,伙伴,2
513,商小贷,2
514,输出,2
515,终端设备,2
516,餐饮,2
517,二维码,2
518,识,2
519,直销,2
520,域,2
521,农村,2
522,厅,2
523,农村部,2
524,遴选,2
525,唯一,2
526,公益,2
527,社,2
528,统筹,2
529,延伸,2
530,提供商,2
531,调试,2
532,投入使用,2
533,地域,2
534,痛点,2
535,成熟,2
536,市场主体,2
537,工商户,2
538,流量,2
539,接入,2
540,安全性,2
541,弱,2
542,征信,2
543,居民,2
544,链内,2
545,亚太地区,2
546,越来越,2
547,传输,2
548,新一代,2
549,广阔,2
550,门槛,2
551,拉动,2
552,仓储,2
553,来看,2
554,巨头,2
555,固有,2
556,信息网络,2
557,年前,2
558,角色,2
559,大力发展,2
560,流水,2
561,坚定,2
562,完备,2
563,面向,2
564,持续性,2
565,团结,2
566,各层次,2
567,骨干,2
568,共享,2
569,贯彻,2
570,十九,2
571,国民经济,2
572,推行,2
573,中长期,2
574,层面,2
575,着力,2
576,剔除,2
577,底层,2
578,陆续,2
579,粉丝,2
580,良性,2
581,规范化,2
582,引入,2
583,身份,2
584,动力,2
585,笔数,2
586,交易量,2
587,风,2
588,控系统,2
589,依赖,2
590,放款,2
591,表现,2
592,出货量,2
593,入围,2
594,招商银行,2
595,多家,2
596,印度,2
597,民族,2
598,照明,2
599,实验,2
600,检测,2
601,获,2
602,手持式,2
603,知名,2
604,厂商,2
605,领先地位,2
606,布放,2
607,积极探索,2
608,全域,2
609,中移,2
610,一体化,2
611,轨道交通,2
612,设有,2
613,通星,2
614,变,2
615,动,2
616,布,2
617,暂未,2
618,解封,2
619,投资额,2
620,年份,2
621,去向,2
622,到位,2
623,文,2
624,致同验,2
625,投资总额,2
626,第三十五,2
627,有助于,2
628,泛华云信,2
629,至善,2
630,厦信,2
631,止经,2
632,拥抱,2
633,系统性,2
634,二年,2
635,全力,2
636,开辟,2
637,公民,2
638,战略性,2
639,更为,2
640,进程,2
641,政务,2
642,窗口,2
643,战略规划,2
644,跨,2
645,人才资源,2
646,生存,2
647,树立,2
648,可行性研究,2
649,最新,2
650,应有,2
651,详细情况,2
652,时所作,2
653,集,2
654,附属,2
655,同等条件,2
656,控股权,2
657,公平合理,2
658,所涉,2
659,非公,2
660,尽量减少,2
661,确有,2
662,操作,2
663,易方达,2
664,擅自,2
665,变相,2
666,动用,2
667,内不年,2
668,其所持,2
669,新设,2
670,日该,2
671,解聘,2
672,第十一次,2
673,第六次,2
674,第十三次,2
675,第八次,2
676,为关,2
677,联方,2
678,国,2
679,金海,2
680,重工,2
681,三板,2
682,非凡,2
683,珠江,2
684,央行,2
685,企业债券,2
686,融资券,2
687,开门红,2
688,中信银行,2
689,中信,2
690,之共赢,2
691,编码,2
692,掉期,2
693,汇集,2
694,叙作,2
695,村上,2
696,六年,2
697,全村,2
698,土鸡,2
699,种植,2
700,生活必需品,2
701,领导小组,2
702,党支部,2
703,积极争取,2
704,储,2
705,水池,2
706,水,2
707,净化,2
708,装置,2
709,老人院,2
710,孤寡老人,2
711,养殖户,2
712,万多元,2
713,评为,2
714,该村,2
715,年底,2
716,华侨大学,2
717,华侨,2
718,承载,2
719,建筑,2
720,宗族,2
721,收集,2
722,熟悉,2
723,美丽,2
724,村道,2
725,整修,2
726,达标,2
727,建档立卡,2
728,贫困人口,2
729,基层组织,2
730,排污,2
731,外资股,2
732,现行,2
733,汇金,2
734,钱克佳,2
735,中国农业银行,2
736,中证,2
737,该个,2
738,人前,2
739,性别,2
740,章晓洪,2
741,卢杨,2
742,林整榕,2
743,锦,2
744,天城,2
745,易生,2
746,薪资,2
747,下表,2
748,杨,2
749,已行权,2
750,公司员工,2
751,限度,2
752,课程,2
753,召集,2
754,独立核算,2
755,尊重,2
756,职工工资,2
757,专职,2
758,职能部门,2
759,否否否,2
760,科学决策,2
761,公众,2
762,季报,2
763,审查,2
764,班子,2
765,奖惩,2
766,失效,2
767,负面影响,2
768,等于,2
769,总陷,2
770,审字,2
771,询问,2
772,选取,2
773,样本,2
774,发票,2
775,对账,2
776,清分,2
777,期后,2
778,选用,2
779,增至,2
780,减资,2
781,六合,2
782,日止,2
783,为个,2
784,内因,2
785,自同,2
786,表中,2
787,对以,2
788,近似,2
789,此类,2
790,计息,2
791,天数,2
792,还应,2
793,复利,2
794,准备金,2
795,恶化,2
796,当本,2
797,承兑人,2
798,出票,2
799,订立,2
800,投标,2
801,低值易耗品,2
802,包装物,2
803,有偿转让,2
804,但本,2
805,一致同意,2
806,外均,2
807,指为,2
808,收费权,2
809,内为,2
810,按规定,2
811,基准,2
812,工伤保险,2
813,生育,2
814,无风险,2
815,权日,2
816,商品销售,2
817,服务项目,2
818,工程进度,2
819,开出,2
820,土建,2
821,保修期,2
822,建筑工程,2
823,号本,2
824,清理,2
825,扣缴,2
826,应纳,2
827,销项,2
828,软件产品,2
829,软件产业,2
830,集成电路,2
831,若干,2
832,减半,2
833,小型,2
834,微利,2
835,新加坡元,2
836,存出,2
837,票,2
838,小贷,2
839,天及,2
840,海峡,2
841,永益,2
842,立体,2
843,停车场,2
844,商店,2
845,财务预算,2
846,销售款,2
847,购房,2
848,定金,2
849,资金运用,2
850,年利率,2
851,审验,2
852,系年,2
853,对位,2
854,系元,2
855,退税款,2
856,及清,2
857,分净,2
858,汇票,2
859,投资业,2
860,力求,2
861,审阅,2
862,控制系统,2
863,承受,2
864,五大,2
865,分散,2
866,按未,2
867,源于,2
868,使本,2
869,外汇,2
870,商标注册,2
871,主管人员,1
872,四本,1
873,对此,1
874,保持足够,1
875,理解,1
876,为准,1
877,查阅,1
878,送,1
879,红,1
880,股股,1
881,证监局,1
882,监管局,1
883,指致,1
884,指益农,1
885,中文名称,1
886,缩写,1
887,联系人,1
888,联系方式,1
889,联系地址,1
890,电话传真,1
891,徐芳宁,1
892,大陆,1
893,选定,1
894,登载,1
895,网站,1
896,朝阳区,1
897,建国,1
898,门外,1
899,大街,1
900,赛特,1
901,五层,1
902,代表人,1
903,上海市浦东新区,1
904,东方路,1
905,保利,1
906,座层,1
907,张志华陶,1
908,劲松,1
909,年本,1
910,比上,1
911,八分,1
912,第一季度,1
913,第二季度,1
914,第三季度,1
915,第四季度,1
916,其加,1
917,九非,1
918,元非,1
919,统一标准,1
920,叠加,1
921,直营,1
922,两种,1
923,代理商,1
924,聚合,1
925,全国性,1
926,服务公司,1
927,星驿付,1
928,邮政,1
929,等子,1
930,专业化,1
