,分词排序,词频
0,国光,334
1,电器,237
2,广州,141
3,音响,72
4,信息,53
5,科技,50
6,梧州,47
7,房地产,46
8,工程,42
9,资讯网,40
10,土地,37
11,智能,36
12,电子,35
13,光电子,32
14,外汇,32
15,电声,32
16,扬声器,32
17,国,31
18,材料,31
19,锂宝,25
20,产业园,25
21,小节,25
22,建设,24
23,节中,24
24,爱浪,22
25,深圳,22
26,制造,21
27,银行,21
28,安桥,20
29,花都区,19
30,音箱,19
31,广西,18
32,广东,18
33,智度,18
34,海昌,17
35,恒声,16
36,国际贸易,16
37,技术改造,16
38,声学,15
39,建筑物,15
40,香港,14
41,电脑,14
42,语音,14
43,越南,13
44,电池,13
45,数据,13
46,衍生品,13
47,宜宾,13
48,原价,13
49,周,12
50,锂,12
51,锂电池,12
52,惠信,12
53,年生,12
54,电子科技,11
55,普华永道,11
56,器件,11
57,元器件,11
58,现金管理,11
59,港,10
60,环境,10
61,郝旭明,10
62,商标,10
63,何伟成,9
64,蓝牙,9
65,无线,9
66,交互,9
67,生产工艺,9
68,新兴产业,9
69,郑崖民,9
70,仪器,9
71,否何,9
72,伟成,9
73,退税款,9
74,远期,9
75,电蟒,8
76,乐韵瑞,8
77,声,8
78,电视,8
79,公司总裁,8
80,刘杰生,8
81,错,8
82,代垫,8
83,外经贸,8
84,肖庆,7
85,华易,7
86,智能手机,7
87,资源,7
88,平板,7
89,环绕声,7
90,音频,7
91,最新,7
92,装置,7
93,金融机构,7
94,工程项目,7
95,养老保险,7
96,德信,7
97,沈肇章,7
98,生物,7
99,元于,7
100,水电费,7
101,租赁经营,7
102,补偿款,7
103,红,6
104,欧洲,6
105,正极,6
106,锂离子,6
107,耳机,6
108,零部件,6
109,网络,6
110,发明,6
111,预先,6
112,环保,6
113,宿舍,6
114,魏天慧,6
115,郭飏,6
116,陈升弟,6
117,信息化,6
118,报错,6
119,英镑,6
120,毁损,6
121,保险费,6
122,结售汇,6
123,代付款,6
124,工业,6
125,港元,6
126,约元,6
127,宝新,5
128,王斌,5
129,多媒体,5
130,亚马逊,5
131,宣传,5
132,算法,5
133,项目管理,5
134,自动化,5
135,集信,5
136,月经,5
137,办公会议,5
138,微型,5
139,号文,5
140,第七次,5
141,健康,5
142,环境保护,5
143,办公楼,5
144,光原,5
145,华威,5
146,权证,5
147,拉萨,5
148,技术开发区,5
149,智恒,5
150,房晓焱,5
151,光,5
152,否刘宇,5
153,呆滞,5
154,油气,5
155,机器设备,5
156,英国,5
157,新雅,4
158,街,4
159,镜湖,4
160,大道,4
161,张金辉,4
162,网站,4
163,第十二次,4
164,于本,4
165,消费类,4
166,成熟,4
167,传输技术,4
168,知名企业,4
169,厂商,4
170,电子产品,4
171,系列产品,4
172,售后服务,4
173,虚拟,4
174,质量体系,4
175,北京,4
176,外观设计,4
177,宝,4
178,意向,4
179,贸通,4
180,超募,4
181,类产品,4
182,服务业,4
183,部件,4
184,引入,4
185,电源,4
186,美元汇率,4
187,建,4
188,付,4
189,至否,4
190,召集,4
191,投票,4
192,摘要,4
193,四川,4
194,肖叶萍,4
195,光电,4
196,获,4
197,称号,4
198,荣获,4
199,暨南大学,4
200,公司财务,4
201,办,4
202,请参阅,4
203,否肖叶萍,4
