,分词排序,词频
0,福建,332
1,厦门,115
2,矿业,97
3,新能源,83
4,金鑫,76
5,锂,57
6,君合,52
7,信息,50
8,工程,46
9,信托,46
10,材料,45
11,否许,45
12,莆田,43
13,纺织印染,41
14,金和许,40
15,纺织,39
16,中融,39
17,天骄,36
18,兴业,35
19,荔城,32
20,资源,31
21,上浮,29
22,阿坝州,27
23,基准利率,27
24,锂电,24
25,科技,24
26,矿产资源,23
27,农行,23
28,排放,23
29,浙江,22
30,数据,22
31,电池,22
32,房地产,22
33,深圳,21
34,莆田市,20
35,许金,20
36,内蒙古,20
37,土地,19
38,闽,18
39,印染,18
40,固体,18
41,勘探,18
42,巨巢,17
43,雷奇,17
44,许,17
45,华兴,15
46,银行,15
47,上海,15
48,危机,15
49,许金和许,15
50,罚息,15
51,排放口,15
52,复工,14
53,锂电池,14
54,首个,14
55,项下,14
56,福建厦门,14
57,矿,13
58,山东,13
59,阿坝,13
60,环保,13
61,正极,13
62,意向,12
63,华纶,12
64,灌云,12
65,工业,12
66,时任,12
67,决定书,12
68,开元,12
69,陈,12
70,资讯网,12
71,矿区,12
72,开采,11
73,黄岩,11
74,汽车,11
75,采矿权,11
76,中国农业银行,11
77,中信银行,11
78,朱福惠,11
79,扶贫,11
80,污染物,11
81,谴责,10
82,罚款,10
83,停工,10
84,尽快,10
85,香港,10
86,马尔康,10
87,动力电池,10
88,拍卖,10
89,复利,10
90,列入,10
91,郑冲,9
92,警告,9
93,盐,9
94,金融机构,9
95,储量,9
96,环境,9
97,免息,9
98,詹金明,9
99,永志,9
100,建国,9
101,北京,9
102,服饰,9
103,监管局,8
104,能源,8
105,负值,8
106,受让方,8
107,科技开发,8
108,四川,8
109,矿山,8
110,纪律处分,8
111,该案,8
112,工行,8
113,张亦春,8
114,入股,8
115,黄燕琴,8
116,生物,8
117,勘探成本,8
118,赵德永,7
119,缺乏,7
120,临沂,7
121,三元,7
122,锂辉石,7
123,资金紧张,7
124,米,7
125,当事人,7
126,失信,7
127,被执行人,7
128,异议,7
129,裁决,7
130,唐予,7
131,华,7
132,予华,7
133,电子科技,7
134,小额贷款,7
135,多家,6
136,投资人,6
137,公司债务,6
138,服装,6
139,华印,6
140,证监局,6
141,秀屿区,6
142,西许,6
143,工业区,6
144,万辆,6
145,探明,6
146,处分,6
147,详细情况,6
148,保全费,6
149,中国光大银行,6
150,上诉,6
151,预处理,6
152,建设,6
153,连带保证,6
154,春,6
155,李志刚,6
156,赤峰市,6
157,处以,6
158,张亦春唐,6
159,建造,6
160,机器设备,6
161,被套,6
162,教育费,6
163,矿点,6
164,高尔达,6
165,所审,5
166,内因,5
167,对此,5
168,下发,5
169,谈判,5
170,所在地,5
171,杰能,5
172,锂业,5
173,福州市,5
174,矿石,5
175,党坝,5
176,氢氧化锂,5
177,矿产,5
178,纠纷案件,5
179,房产,5
180,或众,5
181,对众,5
182,裁定书,5
183,及金鑫,5
184,列为,5
185,律师费,5
186,问询,5
187,回复,5
188,二审,5
189,担保人,5
190,书,5
191,光大银行,5
192,许元,5
193,清罗,5
194,汶川县,5
195,镍,5
196,钴,5
197,锰,5
198,监测,5
199,资源管理,5
200,阿府,5
201,发号,5
202,作价,5
203,矿业权,5
204,国有资产,5
205,督促,5
206,负面影响,5
207,油气,5
208,可采储量,5
209,集体,5
210,按应,5
211,神工,5
212,供货,5
213,磐融,5
214,追偿,5
215,锂离子,5
216,广东,5
217,产品价格,4
218,法定期限,4
219,征集,4
220,三次,4
221,资金短缺,4
222,非银行,4
223,途径,4
224,困境,4
225,面料,4
226,优购,4
227,尚品,4
228,帛石,4
229,惠州,4
230,媒体,4
231,刘延东,4
232,陈碧芸,4
233,非金融,4
234,制约,4
235,马尔康县,4
236,乡,4
237,紧缺,4
238,涉案,4
239,停产,4
240,荔城区,4
241,缴税,4
242,访谈,4
243,年报,4
244,此基础,4
245,采取措施,4
246,寻求,4
247,剥离,4
248,配合,4
249,轨道,4
250,请参阅,4
251,审查,4
252,暂计,4
253,抵押权,4
254,兴业银行,4
255,执行程序,4
256,民事裁定,4
257,共件,4
258,涉嫌,4
259,教育,4
260,烟囱,4
261,无众,4
262,氨氮,4
263,二氧化硫,4
264,废气,4
265,朱小聘,4
266,陈锦堂,4
267,张海升,4
268,于子,4
269,桓,4
270,侢,4
271,正文,4
272,指除,4
273,错,4
274,报错,4
275,酸,4
276,勘查,4
277,表时,4
278,建筑物,4
279,证券化,4
280,东莞市,4
281,凯特,4
282,九龙,4
