,分词排序,词频
0,国轩,533
1,高科,298
2,合肥,186
3,新能源,175
4,动力,103
5,汽车,84
6,锂电池,77
7,电池,75
8,东源,73
9,上海,65
10,江苏,59
11,材料,57
12,安徽,57
13,信息,56
14,科技,55
15,高新技术,54
16,合肥市,53
17,工程,52
18,财政拨款,50
19,电器,42
20,能源,42
21,南京,40
22,南通,39
23,苏州,37
24,建设,36
25,缜,34
26,李,33
27,制造,33
28,电器集团,31
29,储能,31
30,珠海,30
31,电气,29
32,排放,28
33,三元,28
34,青岛,27
35,动力电池,27
36,庐江,26
37,新站,24
38,元国轩,23
39,扶贫,23
40,输配电,21
41,数据,21
42,公交,21
43,磷酸,20
44,工业生产,20
45,电池组,19
46,电芯,18
47,智能,17
48,工业,17
49,银行,17
50,记录表,17
51,正极,16
52,充电,16
53,第五次,16
54,新加坡,15
55,北京,15
56,大道,15
57,铁,15
58,香港,14
59,阿斯,14
60,整车,14
61,环境,14
62,市场价,14
63,天利,13
64,资源,13
65,新设,13
66,资讯网,12
67,高比能,12
68,比能,12
69,新建,12
70,房地产,12
71,地方性,12
72,指国轩,11
73,轩,11
74,绿色,11
75,亿高,11
76,摘要,11
77,污染物,11
78,反向,11
79,人力资源,11
80,组织部,11
81,海权,10
82,锂离子,10
83,密度,10
84,自动化,10
85,桩,10
86,安栋梁,10
87,人类,10
88,填补,10
89,第一个,10
90,第二个,10
91,教育,10
92,证书编号,10
93,所得税法,10
94,钱,9
95,客车,9
96,电动,9
97,乘用车,9
98,能量,9
99,厂商,9
100,配股,9
101,信息化,9
102,李晨,9
103,盛扬,9
104,成就,9
105,创源,9
106,就业,9
107,生物,9
108,经贸,9
109,孙益源,8
110,单体,8
111,锂电,8
112,电动汽车,8
113,博士后,8
114,科技进步,8
115,奖项,8
116,镍,8
117,负极,8
118,经开区,8
119,期及,8
120,应急,8
121,发后,8
122,土地,8
123,错,8
124,报错,8
125,华悦,8
126,奖补,8
127,科技局,8
128,六合,8
129,市委,8
130,年利率,8
131,普天,7
132,健,7
133,山国,7
134,中冶,7
135,十总镇,7
136,商用车,7
137,工作站,7
138,环保,7
139,释放,7
140,第一名,7
141,第二名,7
142,第三名,7
143,第四名,7
144,第五名,7
145,金通,7
146,核查,7
147,电网,7
148,吴永钢,7
149,乔贇,7
150,获授,7
151,铜材,7
152,脱贫,7
153,车间,7
154,文化产业,7
155,届满时,7
156,建造,7
157,泸州,7
158,唐,6
159,泰富,6
160,江淮,6
161,顺利,6
162,华,6
