,分词排序,词频
0,海洋,413
1,山东,255
2,养殖,155
3,健康,103
4,烟台,97
5,诊断,96
6,烟台市,65
7,科技,63
8,医疗,62
9,水产品,61
10,试剂,53
11,水产,51
12,检测,49
13,海参,48
14,信息,45
15,质谱,45
16,海水,42
17,医学,40
18,工程,39
19,建设,38
20,海珍品,34
21,食品,33
22,海域,32
23,渔业,31
24,生物,30
25,检验,29
26,资源,28
27,权证,27
28,车轼,26
29,莱山区,26
30,环境,23
31,沣,23
32,大街,22
33,生物科技,21
34,良种,20
35,基因,20
36,澳柯玛,19
37,数据,19
38,试剂盒,19
39,生命,19
40,休闲,18
41,志远,18
42,副会长,18
43,刺参,17
44,水域,16
45,科研,16
46,工厂化,16
47,车间,16
48,天仁,16
49,医院,16
50,钓鱼,16
51,涉诉,16
52,车,16
53,养殖业,15
54,国家级,15
55,北京,15
56,文号,15
57,海带,14
58,育种,14
59,临床,14
60,北儿,14
61,俱乐部,14
62,莱字,14
63,畜禽,13
64,生态,13
65,鱼,13
66,海藻,13
67,山海,13
68,排放,13
69,债务纠纷,13
70,诉讼费,13
71,材料,13
72,土地,13
73,房地产,13
74,繁育,12
75,医药,12
76,鱼类,12
77,医疗器械,12
78,批文,12
79,银行,12
80,仓储,11
81,欧盟,11
82,艾维可,11
83,海洋渔业,11
84,规格,11
85,货运,11
86,资讯网,11
87,烟房,11
88,于雁冰,10
89,苗种,10
90,生物制品,10
91,选育,10
92,技术创新,10
93,教育,10
94,牧场,10
95,人工,10
96,环保,10
97,鲁,10
98,玉山,10
99,疾病,9
100,天运,9
101,保税,9
102,物流,9
103,冷藏,9
104,农业,9
105,两大,9
106,大西洋,9
107,三文鱼,9
108,分子,9
109,进料加工,9
110,技术转让,9
111,兼大,9
112,盘点,9
113,中间体,8
114,高新技术,8
115,名贵,8
116,亚洲,8
117,循环水,8
118,美国公司,8
119,育苗,8
120,获,8
121,串联,8
122,治疗,8
123,捕捞,8
124,等于,8
125,对策,8
126,改为,8
127,结,8
128,赵,8
129,牟平,8
130,款年,8
131,莱山,8
132,房,8
133,开字,8
134,精深,7
135,鲑鱼,7
136,加工出口,7
137,规模化,7
138,立足,7
139,污染,7
140,农产品,7
141,筛查,7
