,分词排序,词频
0,天马,671
1,轴承,487
2,北京,330
3,星河,303
4,喀什,212
5,科技,207
6,信息,156
7,创业投资,140
8,徐州,99
9,成都,84
10,浙江,84
11,徐茂栋,73
12,数控,64
13,信息技术,63
14,霍尔果斯,61
15,耀灼,55
16,杭州,54
17,附属,51
18,齐重,50
19,机床,49
20,资讯网,49
21,创投,44
22,正泽,40
23,苍穹,39
24,之下,39
25,睦德,38
26,上海,38
27,诚合,37
28,互联,33
29,智能,31
30,房地产,31
31,土地,30
32,退出,29
33,技术改造,27
34,基石,27
35,财富,27
36,中兴,26
37,财,26
38,光华,26
39,恒天,26
40,铁路,26
41,数据,26
42,淘,26
43,深圳,26
44,装备,25
45,云纵,24
46,典当,24
47,食乐,24
48,该案,24
49,裁决,23
50,赢,23
51,经贸,22
52,工程,21
53,建设,21
54,优先级,21
55,协议书,21
56,盈盛,20
57,天津,20
58,强制执行,20
59,朔,20
60,捷耀,19
61,金丰,19
62,风电,19
63,浙商,19
64,暂无,19
65,仁文,18
66,生物,18
67,补足,18
68,微创,18
69,之星,18
70,待定,18
71,融泽,17
72,网络科技,17
73,借贷,17
74,法律文书,17
75,否武剑,17
76,飞,17
77,材料,16
78,制造业,16
79,电梯,16
80,教育,16
81,民间,16
82,信融,16
83,制造,15
84,机械,15
85,互联网,15
86,和解,15
87,日照,15
88,承担责任,15
89,亿德宝,15
90,武剑飞,14
91,咏冠,14
92,格物,14
93,致诚,14
94,投后,14
95,银行,14
96,通天,14
97,企服,14
98,否李光,14
99,陈,13
100,重型,13
101,反,13
102,第三十三,13
103,第三十四,13
104,浙,13
105,传票,13
106,仲裁费,13
107,因未,13
108,执号,13
109,齐齐哈尔市,13
110,浙证,12
111,慕铭,12
112,长华,12
113,齐齐哈尔,12
114,厂区,12
115,黑龙江省,12
116,京,12
117,解聘,12
118,书,12
119,闪惠,12
120,轮候,12
121,职工代表,12
122,印章,12
123,汇入,12
124,易金经,12
125,精密,11
126,创业,11
127,负有,11
128,追认,11
129,院,11
130,北京市第一中级人民法院,11
131,怡乐,11
132,修正,11
133,二年,11
134,扶贫,11
135,恒大,11
136,所涉,11
