,分词排序,词频
0,远望,378
1,谷,335
2,信息技术,244
3,科技,88
4,信息,85
5,联网,79
6,深圳,56
7,文化,53
8,资讯网,53
9,零售,51
10,毕泰卡,47
11,刊载,43
12,铁路,41
13,图书,39
14,徐玉锁,39
15,智能,36
16,智慧,30
17,图书馆,29
18,数据,28
19,建设,28
20,工程,28
21,自动化,28
22,详情请,28
23,陈光珠,27
24,上海,22
25,制造,22
26,昆山,22
27,思维,22
28,房地产,21
29,新加坡,19
30,洗涤,18
31,河南,18
32,扶贫,18
33,陈,16
34,射频,15
35,土地,15
36,服务业,15
37,电子标签,13
38,旅游,13
39,谷锐,12
40,泰,12
41,银行,12
42,停牌,12
43,材料,12
44,孙,11
45,纵横,11
46,自动识别,11
47,高新技术,11
48,行政许可,11
49,兰州,11
50,徐超洋,11
51,成都,11
52,软件,10
53,龙铁,10
54,无人,10
55,谷物,10
56,产业园,10
57,标签,10
58,通讯,10
59,填补,10
60,长安,10
61,狄瑞鹏,10
62,宁波,10
63,北京,9
64,芯片,9
65,服饰,9
66,万份,9
67,普什,9
68,实施细则,9
69,地为,9
70,英文,8
71,全称,8
72,希奥,8
73,读写器,8
74,外延,8
75,应用领域,8
76,有望,8
77,香港,8
78,零售业,8
79,信息化,8
80,法国,8
81,传感器,8
82,环境,8
83,露露,8
84,农产品,8
85,审查,8
86,反馈,8
87,西安,8
88,决策者,8
89,建筑物,8
90,新加坡元,8
91,核心技术,7
92,物联,7
93,粮食,7
94,众华,7
95,网络,7
96,物料,7
97,复牌,7
98,张大,7
99,获授,7
100,回复,7
101,男年生,7
102,电子,7
103,生物,7
104,鹏城,7
105,深鹏,7
106,所验,7
107,验资,7
108,鲲鹏,7
109,公司公告,7
110,马小英,6
111,超高频,6
112,深粮,6
113,南山区,6
114,街道,6
115,楼,6
116,马琳,6
117,专注,6
118,交通,6
119,深耕,6
120,挑战,6
121,欧洲,6
122,人力,6
123,装置,6
124,深远,6
125,通信,6
126,感知,6
127,方及,6
128,成世毅,6
129,汤军,6
130,王滨生,6
131,建新,6
132,老区,6
133,小学,6
134,开市,6
135,年报,6
136,告,6
137,公年,6
138,代理人,6
139,教育费,6
140,毕卡,5
141,中文,5
142,集成,5
143,粤海,5
144,十道,5
145,纺织,5
146,烟酒,5
147,垂直,5
148,自助,5
149,商超,5
150,物流,5
151,管理系统,5
152,国际化,5
153,最新,5
154,筹划,5
155,测算,5
156,电子科技,5
157,新兴,5
158,超洋,5
159,教育,5
160,一条,5
161,颁发,5
162,武岳山,5
163,李自良,5
164,女年生,5
165,于本,5
166,财产损失,5
167,油气,5
168,业经,5
169,上限,5
170,残疾,5
171,韩元,5
172,股占,5
173,译,4
174,产品开发,4
175,模型,4
176,远光,4
177,轨道交通,4
178,高新,4
179,南,4
180,高新区,4
181,谷是,4
182,内生,4
183,大力发展,4
184,资源,4
185,国务院,4
186,先河,4
187,公共,4
188,公众,4
189,数字化,4
190,服务商,4
191,商务,4
192,落地,4
193,贡献,4
194,图书市场,4
195,澳大利亚,4
196,韩国,4
197,博览会,4
198,交流,4
199,申请材料,4
200,资源管理,4
201,奖,4
202,备品备件,4
203,面向,4
204,定位,4
205,健康,4
206,层面,4
207,互联网,4
208,防伪,4
209,投后,4
210,第六次,4
211,志,4
212,永和县,4
213,孩子,4
214,门,4
215,环保,4
216,修订稿,4
217,重孙,4
218,鄞州区,4
219,中央,4
220,世毅,4
221,硕士学位,4
222,否徐,4
223,工作细则,4
224,中介,4
225,决策权,4
226,缺勤,4
227,证书编号,4
228,甘肃省,4
229,海星,4
230,文平,3
231,或本,3
232,无线电波,3
233,生命周期,3
234,有无,3
235,凌松梅,3
236,龚,3
237,小寒,3
238,手持,3
239,把握,3
240,与物,3
241,协同效应,3
242,装备,3
243,投资额,3
244,痛点,3
