,分词排序,词频
0,网络传媒,179
1,广陆,78
2,文化,49
3,数测,47
4,北京,45
5,量具,43
6,信息,39
7,桂林,33
8,网络,32
9,动画,31
10,房地产,31
11,影视,28
12,数显,27
13,量仪,25
14,彭朋,25
15,科技,24
16,文化传媒,24
17,水木,22
18,工程,22
19,测控,20
20,信托,20
21,宁波,19
22,上海,17
23,媒体,17
24,深圳,17
25,梅山,16
26,保税,16
27,港区,16
28,版权,15
29,桂林市,14
30,中辉,14
31,传媒,13
32,银行,13
33,土地,13
34,生于,13
35,安杰,13
36,制造业,12
37,良辰,12
38,广东,12
39,东柏,12
40,审华,11
41,华尚,11
42,数字电视,11
43,建筑物,11
44,文旅,11
45,优先级,11
46,动漫,10
47,互联网,10
48,自动化,10
49,旅游,10
50,补足,10
51,永旭,10
52,南通,10
53,东网,10
54,谴责,9
55,委托书,9
56,彭敏,8
57,广西,8
58,无锡,8
59,乾坤,8
60,智能化,8
61,数据,8
62,资源,8
63,建设,8
64,询问,8
65,人及,8
66,换届选举,8
67,增至,8
68,国,8
69,志强,7
70,策划,7
71,电子,7
72,环境,7
73,智慧,7
74,额外,7
75,直系亲属,7
76,富海,7
77,博创,7
78,江苏,7
79,胥,6
80,影业,6
81,网络科技,6
82,测量,6
83,智能,6
84,后级,6
85,新纪元,6
86,后本,6
87,资讯网,6
88,金甬,6
89,材料,6
90,第条,6
91,负面影响,6
92,投出,6
93,嵌入,6
94,佰川,6
95,泰中,6
96,航泰,6
97,广,5
98,游戏,5
99,运输设备,5
100,咨询服务,5
101,系列产品,5
102,星际,5
103,筹划,5
104,超越,5
105,银行贷款,5
106,创意,5
107,平潭,5
108,电影,5
109,款年,5
110,教育,5
111,谨慎,5
112,陈宗尧,5
113,框架,5
114,人类,5
115,限年,5
116,月售,5
117,股日,5
118,蒋海鸣,5
119,李文华,5
120,如皋市,5
121,高新技术,5
122,生物,5
123,中央财经,5
124,广西壮族自治区人民政府,5
125,文,5
126,不足以,5
127,第年,5
128,划归,5
129,磨床,5
130,数控,5
131,传播,4
132,幻维,4
133,临江,4
134,路,4
135,沈芳,4
136,精密,4
137,制造,4
138,主题乐园,4
139,科幻,4
140,集成,4
141,迷航,4
142,星辰,4
143,装修费,4
144,发明专利,4
145,原创,4
146,机场,4
147,扩建,4
148,器具,4
149,自行车,4
150,发,4
151,安重根,4
152,戴申,4
153,文化产业,4
154,健康,4
155,经济损失,4
156,公正,4
157,预告,4
158,快报,4
159,签署日,4
160,扶贫,4
161,陈建生,4
162,董,4
163,新平,4
164,朱晓跃,4
165,刘晓龙,4
166,刘红玉,4
167,蒋青谷,4
168,聊城市,4
169,工程师,4
170,处分,4
171,业经,4
172,自用,4
173,本身,4
174,教育费,4
175,广西壮族自治区,4
176,环宇,4
177,劣后级,4
178,睿,4
179,赢晟,4
180,金色,4
181,木棉,4
182,中间级,4
183,出资额,4
184,提案,4
185,召集,4
186,投票权,4
187,已有,3
188,七星区,3
189,许可证,3
190,机电,3
191,最新,3
192,精密机械,3
193,卡尺,3
194,数字化,3
195,仪器仪表,3
196,稳定性,3
197,谷,3
198,小镇,3
199,下滑,3
200,净流量,3
201,重要性,3
202,原点,3
203,一代,3
204,定位,3
205,传统,3
206,龙头,3
207,挖潜,3
208,多方,3
209,更好,3
210,元纯,3
211,华桦,3
212,橙,3
213,管理机构,3
214,游标卡尺,3
215,电动,3
216,助力,3
217,受限制,3
218,股股,3
219,退出,3
220,游艺,3
221,创新能力,3
222,进军,3
223,引入,3
224,科技领域,3
225,环保,3
226,透明,3
227,经中,3
228,签章,3
229,签订协议,3
230,广陆数,3
231,于本,3
232,权属,3
233,财务部门,3
234,相近,3
235,尊重,3
236,督促,3
237,计算机,3
238,寿祺,3
239,李会,3
240,陆取辉,3
241,周振宇,3
242,高跃朋,3
243,王艳,3
244,祝丽玮,3
